theme,construct,name,table_source,all years
Composite,Social Vulnerability Indices,SviSmryRnk,county-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh1,county-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh2,county-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh3,county-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh4,county-2022,"2018,2020,2022"
Economic,Employment Trends,EssnWrkE,,2018
Economic,Employment Trends,EssnWrkP,county-2023,"2018,2020,2023"
Economic,Employment Trends,HghRskP,county-2023,"2018,2020,2023"
Economic,Employment Trends,HltCrP,county-2023,"2018,2020,2023"
Economic,Employment Trends,RetailP,county-2023,"2018,2020,2023"
Economic,Employment Trends,TotWrkE,county-2023,"2018,2020,2023"
Economic,Great Recession Foreclosure Rate,ForDqP,,2018
Economic,Great Recession Foreclosure Rate,ForDqTot,,2018
Economic,Great Recession Foreclosure Rate,GiniCoeff,county-2023,"2010,2018,2020,2023"
Economic,Internet Access,NoIntP,,2019
Economic,"Poverty, Income, Gini Coefficient",MedInc,county-2023,"2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",PciE,county-2023,"2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",PovP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",UnempP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Environment,Alcohol Outlet Density Measures,AlcDens,,2018
Environment,Alcohol Outlet Density Measures,AlcPerCap,,2018
Environment,Alcohol Outlet Density Measures,AlcTot,,2018
Environment,Alcohol Outlet Density Measures,AreaSqMi,,2018
Environment,Greenspace Measures,Ndvi,,2018
Environment,Healthcare Provider Access,PcpPer100k,,2010
Environment,Healthcare Provider Access,SpPer100k,,2010
Environment,Healthcare Provider Access,TotPcp,,2010
Environment,Healthcare Provider Access,TotSp,,2010
Environment,Housing Characteristics,LngTermP,county-2023,"2018,2020,2023"
Environment,Housing Characteristics,MobileP,county-2023,"2018,2020,2023"
Environment,Housing Characteristics,RentalP,county-2023,"2018,2020,2023"
Environment,Housing Characteristics,TotUnits,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Environment,Housing Characteristics,UnitDens,county-2023,"2018,2020,2023"
Environment,Housing Characteristics,VacantP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Environment,Spatial Access to Hospitals,HospAvTmDr,county-2025,2020
Environment,Spatial Access to Hospitals,HospCtTmDr,county-2025,2020
Environment,Spatial Access to Hospitals,HospTmDrP,county-2025,2020
Environment,Spatial Access to MOUDs,BupAvTmBk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupAvTmDr,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupAvTmWk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupCtTmBk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupCtTmDr,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupCtTmWk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupTmBkP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupTmDrP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupTmWkP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetAvTmBk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetAvTmDr,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetAvTmWk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetCtTmBk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetCtTmDr,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetCtTmWk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetTmBkP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetTmDrP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetTmWkP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltAvTmBk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltAvTmDr,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltAvTmWk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCtTmBk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCtTmDr,county-2025,"2020,2025"
