theme,construct,name,table_source,all years
Composite,SDOH Indices & Typology,LimMobInd,,2014
Composite,SDOH Indices & Typology,MicaInd,,2014
Composite,SDOH Indices & Typology,NeighbTyp,,2014
Composite,SDOH Indices & Typology,SocEcAdvIn,,2014
Composite,SDOH Indices & Typology,UrbCoreInd,,2014
Composite,Social Vulnerability Indices,SviSmryRnk,tract-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh1,tract-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh2,tract-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh3,tract-2022,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh4,tract-2022,"2018,2020,2022"
Economic,Employment Trends,EssnWrkE,,2018
Economic,Employment Trends,EssnWrkP,tract-2023,"2018,2020,2023"
Economic,Employment Trends,HghRskP,tract-2023,"2018,2020,2023"
Economic,Employment Trends,HltCrP,tract-2023,"2018,2020,2023"
Economic,Employment Trends,RetailP,tract-2023,"2018,2020,2023"
Economic,Employment Trends,TotWrkE,tract-2023,"2018,2020,2023"
Economic,Great Recession Foreclosure Rate,ForDqP,,2018
Economic,Great Recession Foreclosure Rate,ForDqTot,,2018
Economic,Great Recession Foreclosure Rate,GiniCoeff,tract-2023,"2010,2018,2020,2023"
Economic,Internet Access,NoIntP,,2019
Economic,"Poverty, Income, Gini Coefficient",MedInc,tract-2023,"2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",PciE,tract-2023,"2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",PovP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",UnempP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Environment,Alcohol Outlet Density Measures,AlcDens,,2018
Environment,Alcohol Outlet Density Measures,AlcPerCap,,2018
Environment,Alcohol Outlet Density Measures,AlcTot,,2018
Environment,Alcohol Outlet Density Measures,AreaSqMi,,2018
Environment,Greenspace Measures,Ndvi,,2018
Environment,Healthcare Provider Access,PcpPer100k,,2010
Environment,Healthcare Provider Access,SpPer100k,,2010
Environment,Healthcare Provider Access,TotPcp,,2010
Environment,Healthcare Provider Access,TotSp,,2010
Environment,Housing Characteristics,LngTermP,tract-2023,"2018,2020,2023"
Environment,Housing Characteristics,MobileP,tract-2023,"2018,2020,2023"
Environment,Housing Characteristics,RentalP,tract-2023,"2018,2020,2023"
Environment,Housing Characteristics,TotUnits,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Environment,Housing Characteristics,UnitDens,tract-2023,"2018,2020,2023"
Environment,Housing Characteristics,VacantP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Environment,Spatial Access to Hospitals,HospCntDr,,2020
Environment,Spatial Access to Hospitals,HospMinDis,,2020
Environment,Spatial Access to Hospitals,HospTmDr,,2020
Environment,Spatial Access to MOUDs,BupCntDr30,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupCntDr60,tract-2025,2025
Environment,Spatial Access to MOUDs,BupMinDis,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,BupRm30,,2020
Environment,Spatial Access to MOUDs,BupRm60,,2020
Environment,Spatial Access to MOUDs,BupRm90,,2020
Environment,Spatial Access to MOUDs,BupTmDr,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntDr30,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntDr60,tract-2025,2025
Environment,Spatial Access to MOUDs,MetMinDis,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MetRm30,,"1980,1990,2000,2010,2020"
Environment,Spatial Access to MOUDs,MetRm60,,"1980,1990,2000,2010,2020"
Environment,Spatial Access to MOUDs,MetRm90,,"1980,1990,2000,2010,2020"
Environment,Spatial Access to MOUDs,MetTmDr,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,MoudMinDis,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntDr30,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntDr60,tract-2025,2025
Environment,Spatial Access to MOUDs,NaltMinDis,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltRm30,,2020
Environment,Spatial Access to MOUDs,NaltRm60,,2020
Environment,Spatial Access to MOUDs,NaltRm90,,2020
Environment,Spatial Access to MOUDs,NaltTmDr,tract-2025,"2020,2025"
Environment,Spatial Access to MOUDs,OtpCntDr,tract-2025,"2021,2025"
Environment,Spatial Access to MOUDs,OtpMinDis,tract-2025,"2021,2025"
Environment,Spatial Access to MOUDs,OtpTmDr,tract-2025,"2021,2025"
Environment,Spatial Access to Mental Health Providers,MhCntDr,,2020
Environment,Spatial Access to Mental Health Providers,MhMinDis,,2020
Environment,Spatial Access to Mental Health Providers,MhTmDr,,2020
Environment,Spatial Access to Pharmacies,RxCntDr,,2019
Environment,Spatial Access to Pharmacies,RxMinDis,,2019
Environment,Spatial Access to Pharmacies,RxTmDr,,2019
Environment,Spatial Access to Substance Use Treatment Providers,SutCntDr,,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutMinDis,,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutTmDr,,2020
Environment,Spatial access to Health Centers,FqhcCntDr,,2020
Environment,Spatial access to Health Centers,FqhcMinDis,,2020
