theme,construct,name,pick,all years
Economic,Employment Trends,EduP,2018,2018
Economic,Employment Trends,EssnWrkE,2018,2018
Economic,Employment Trends,EssnWrkP,2018,2018
Economic,Employment Trends,HghRskP,2018,2018
Economic,Employment Trends,HltCrP,2018,2018
Economic,Employment Trends,RetailP,2018,2018
Economic,Employment Trends,TotWrkE,2018,2018
Economic,Great Recession Foreclosure Rate,ForDqP,2018,2018
Economic,Great Recession Foreclosure Rate,ForDqTot,2018,2018
Economic,Great Recession Foreclosure Rate,GiniCoeff,2018,"2010,2018"
Economic,Internet Access,NoIntP,2019,2019
Economic,"Poverty, Income, Gini Coefficient",MedInc,2018,"2010,2018"
Economic,"Poverty, Income, Gini Coefficient",PciE,2018,"2010,2018"
Economic,"Poverty, Income, Gini Coefficient",PovP,2018,"1980,1990,2000,2010,2018"
Economic,"Poverty, Income, Gini Coefficient",UnempP,2018,"1980,1990,2000,2010,2018"
Environment,Alcohol Outlet Density Measures,AlcDens,2018,2018
Environment,Alcohol Outlet Density Measures,AlcPerCap,2018,2018
Environment,Alcohol Outlet Density Measures,AlcTot,2018,2018
Environment,Alcohol Outlet Density Measures,AreaSqMi,2018,2018
Environment,Greenspace Measures,Ndvi,2018,2018
Environment,Greenspace Measures,ParkArea,,2022
Environment,Greenspace Measures,StateArea,2018,2018
Environment,Healthcare Provider Access,TotPcp,2010,2010
Environment,Healthcare Provider Access,TotSp,2010,2010
Environment,Housing Characteristics ,LngTermP,2018,2018
Environment,Housing Characteristics ,MobileP,2018,2018
Environment,Housing Characteristics ,RentalP,2018,2018
Environment,Housing Characteristics ,TotUnits,2018,"1980,1990,2000,2010,2018"
Environment,Housing Characteristics ,UnitDens,2018,2018
Environment,Housing Characteristics ,VacantP,2018,"1980,1990,2000,2010,2018"
Environment,Spatial Access to Hospitals,HospAvTmDr,,2020
Environment,Spatial Access to Hospitals,HospCtTmDr,,2020
Environment,Spatial Access to Hospitals,HospTmDrP,,2020
Environment,Spatial Access to MOUDs,AvBupTime,,2020
Environment,Spatial Access to MOUDs,AvMetTime,,2020
Environment,Spatial Access to MOUDs,AvNaltTime,,2020
Environment,Spatial Access to MOUDs,BupAvTmBk,,2025
Environment,Spatial Access to MOUDs,BupAvTmDr,,2025
Environment,Spatial Access to MOUDs,BupAvTmWk,,2025
Environment,Spatial Access to MOUDs,BupCtTmBk,,2025
Environment,Spatial Access to MOUDs,BupCtTmDr,,2025
Environment,Spatial Access to MOUDs,BupCtTmWk,,2025
Environment,Spatial Access to MOUDs,BupTmBkP,,2025
Environment,Spatial Access to MOUDs,BupTmDrP,,2025
Environment,Spatial Access to MOUDs,BupTmWkP,,2025
Environment,Spatial Access to MOUDs,CntBupT,,2020
Environment,Spatial Access to MOUDs,CntMetT,,2020
Environment,Spatial Access to MOUDs,CntNaltT,,2020
Environment,Spatial Access to MOUDs,MetAvTmBk,,2025
Environment,Spatial Access to MOUDs,MetAvTmDr,,2025
Environment,Spatial Access to MOUDs,MetAvTmWk,,2025
Environment,Spatial Access to MOUDs,MetCtTmBk,,2025
Environment,Spatial Access to MOUDs,MetCtTmDr,,2025
Environment,Spatial Access to MOUDs,MetCtTmWk,,2025
Environment,Spatial Access to MOUDs,MetTmBkP,,2025
Environment,Spatial Access to MOUDs,MetTmDrP,,2025
Environment,Spatial Access to MOUDs,MetTmWkP,,2025
Environment,Spatial Access to MOUDs,NaltAvTmBk,,2025
Environment,Spatial Access to MOUDs,NaltAvTmDr,,2025
Environment,Spatial Access to MOUDs,NaltAvTmWk,,2025
Environment,Spatial Access to MOUDs,NaltCtTmBk,,2025
Environment,Spatial Access to MOUDs,NaltCtTmDr,,2025
Environment,Spatial Access to MOUDs,NaltCtTmWk,,2025
Environment,Spatial Access to MOUDs,NaltTmBkP,,2025
Environment,Spatial Access to MOUDs,NaltTmDrP,,2025
Environment,Spatial Access to MOUDs,NaltTmWkP,,2025
Environment,Spatial Access to MOUDs,OtpAvTmDr,,"2021,2025"
Environment,Spatial Access to MOUDs,OtpCtTmDr,,"2021,2025"
Environment,Spatial Access to MOUDs,OtpTmDrP,,"2021,2025"
Environment,Spatial Access to MOUDs,PctBupT,,2020
Environment,Spatial Access to MOUDs,PctMetT,,2020
Environment,Spatial Access to MOUDs,PctNaltT,,2020
Environment,Spatial Access to Mental Health Providers,MhAvTmDr,,2020
Environment,Spatial Access to Mental Health Providers,MhCtTmDr,,2020
Environment,Spatial Access to Mental Health Providers,MhTmDrP,,2020
Environment,Spatial Access to Pharmacies,RxAvTmDr,2019,2019
Environment,Spatial Access to Pharmacies,RxCtTmDr,2019,2019
Environment,Spatial Access to Pharmacies,RxTmDrP,2019,2019
Environment,Spatial Access to Substance Use Treatment Providers,SutpAvTmDr,,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutpCtTmDr,,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutpTmDrP,,2020
Environment,Spatial access to Health Centers,FqhcAvTmDr,,2020
Environment,Spatial access to Health Centers,FqhcCtTmDr,,2020
Environment,Spatial access to Health Centers,FqhcTmDrP,,2020
Environment,Spatial access to Health Centers,TotTracts,2018,"2018,2025"
Geography,Geographic Boundaries,FIPS,2019,"1980,1990,2000,2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025"
Geography,Geographic Boundaries,HEROP_ID,2019,"1980,1990,2000,2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025"
Outcome,Hepatitis C Rates,A50_74Hcv,2017,2017
Outcome,Hepatitis C Rates,A50_74HcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,AmInHcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,AsHcvD,2019,"2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,AsPiHcvD,2017,"2013,2014,2015,2016,2017"
Outcome,Hepatitis C Rates,AvA50_74HcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvAmInHcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvAsHcvD,,2022
Outcome,Hepatitis C Rates,AvAsPiHcvD,2017,2017
Outcome,Hepatitis C Rates,AvBlkHcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvFlHcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvHcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvHspHcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvMlHcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvMulHcvD,,2022
Outcome,Hepatitis C Rates,AvNhPiHcvD,,2022
