HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,SomeCollegeP,ChildrenP
050US01001,1001,32259,10957,14914.0,19.09,73.08,8.75,76.92,22.4,1.13,0.18,0.24,0.01,0.25,16.62,6.72,6.94,70.96,66.46,60.38,46.23,24814.0,7225.0,49.13,50.87,96.57,89.94,68.0,363.0,1.13,58.0,78.0,4.0,35.24,40.56,12.06,33.54
050US01003,1003,78556,29947,33616.0,17.09,67.63,12.54,83.81,15.34,1.01,0.55,0.11,0.01,0.18,16.23,7.6,10.59,73.22,69.2,64.06,42.79,65840.0,12048.0,48.83,51.17,95.43,91.25,77.97,795.0,1.01,432.0,89.0,7.0,33.72,39.74,14.48,30.8
050US01005,1005,24756,9246,10033.0,17.05,66.56,13.46,55.31,44.45,1.08,0.12,0.09,0.01,0.02,30.81,8.16,9.42,71.85,67.39,62.59,40.53,13693.0,11003.0,47.13,52.87,89.15,80.92,62.85,268.0,1.08,30.0,23.0,2.0,26.05,55.06,9.67,32.61
050US01007,1007,15723,5721,6695.0,17.59,68.81,13.12,76.51,23.37,1.12,0.01,0.05,0.02,0.04,21.24,9.16,9.68,71.77,67.76,62.59,42.58,12029.0,3675.0,48.51,51.49,94.23,89.94,69.79,176.0,1.12,2.0,8.0,3.0,29.56,59.47,6.07,32.24
050US01009,1009,36459,13733,16120.0,16.73,68.13,11.84,98.09,1.64,0.56,0.15,0.05,0.0,0.07,18.01,7.66,7.65,74.15,70.3,65.15,44.21,35761.0,598.0,49.49,50.51,97.97,94.2,79.58,204.0,0.56,56.0,17.0,1.0,32.4,53.91,8.41,29.7
050US01011,1011,10596,3895,4174.0,17.68,66.16,15.86,32.34,67.57,1.51,0.01,0.02,0.02,0.04,35.45,9.51,11.3,71.3,66.71,61.54,39.39,3427.0,7160.0,46.06,53.94,85.37,80.06,66.27,160.0,1.51,1.0,2.0,2.0,22.49,58.99,9.75,33.29
050US01013,1013,21680,8108,8339.0,16.26,64.05,15.83,61.16,38.73,1.33,0.02,0.06,0.0,0.02,27.16,7.07,7.86,72.56,68.47,63.87,38.46,13260.0,8397.0,46.57,53.43,87.17,82.34,63.12,289.0,1.33,5.0,12.0,1.0,28.83,54.95,8.06,31.53
050US01015,1015,119761,42454,58430.0,22.53,71.76,9.69,81.26,17.6,1.11,0.18,0.33,0.09,0.54,16.33,9.15,6.6,75.24,71.54,63.02,48.79,97313.0,21074.0,49.0,51.0,96.07,92.97,65.49,1329.0,1.11,221.0,401.0,107.0,32.77,43.26,12.93,28.46
050US01017,1017,39191,14422,15773.0,16.46,64.82,14.57,64.36,35.45,0.91,0.04,0.05,0.01,0.09,17.83,7.68,6.25,73.53,69.77,64.93,40.25,25222.0,13894.0,47.13,52.87,89.13,83.36,63.95,357.0,0.91,16.0,20.0,3.0,28.32,54.6,9.68,30.23
050US01019,1019,18760,7377,8092.0,16.82,66.47,12.46,91.6,8.26,0.53,0.08,0.04,0.0,0.01,18.61,7.4,11.82,74.87,71.42,66.31,43.13,17185.0,1550.0,49.29,50.71,97.2,92.9,76.32,100.0,0.53,15.0,8.0,0.0,28.13,56.76,8.77,28.58
