HEROP_ID,FIPS,TotPop,TotUnits,Age15_44,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,BachelorsP,GradSclP,SomeCollegeP
050US01029,1029,12730,5232,5592,14.95,65.21,13.39,94.93,4.61,0.3,0.16,0.09,0.01,0.2,15.3,5.48,8.72,77.17,73.98,69.54,43.93,12084.0,587.0,49.12,50.88,96.54,92.2,69.65,38.0,0.3,20.0,12.0,27.0,29.55,50.22,3.35,3.18,13.7
050US01031,1031,40240,16951,18276,14.76,66.27,13.2,81.27,17.19,1.17,0.41,0.73,0.06,0.35,15.54,6.15,9.98,77.52,74.34,69.86,45.42,32702.0,6917.0,48.86,51.14,95.55,91.61,66.25,471.0,1.17,163.0,293.0,165.0,26.27,32.81,10.66,5.79,24.46
050US01037,1037,11063,5113,4768,15.01,64.44,14.48,65.46,34.19,0.16,0.31,0.04,0.0,0.01,18.2,5.73,21.44,77.23,73.95,69.22,43.1,7242.0,3782.0,49.09,50.91,96.43,94.18,78.79,18.0,0.16,34.0,4.0,1.0,33.45,46.14,3.83,2.52,14.06
050US01039,1039,36478,16178,14856,13.44,61.58,17.27,86.49,13.1,0.36,0.2,0.13,0.01,0.08,22.04,5.28,10.72,77.71,74.68,70.38,40.73,31551.0,4777.0,47.28,52.72,89.66,85.57,63.2,130.0,0.36,72.0,46.0,32.0,28.9,42.71,6.06,3.06,19.27
050US01041,1041,13635,5938,5482,13.81,61.93,18.31,73.69,25.99,0.22,0.2,0.07,0.01,0.04,24.33,8.94,11.38,76.75,73.27,69.11,40.21,10048.0,3544.0,47.44,52.56,90.25,83.73,62.82,30.0,0.22,27.0,9.0,7.0,27.78,48.72,6.04,2.38,15.08
050US01045,1045,49633,19432,24989,17.38,74.05,9.39,79.31,17.82,2.45,0.48,1.3,0.18,0.91,14.79,6.92,9.56,74.89,72.04,66.79,50.35,39365.0,8847.0,50.48,49.52,101.96,101.4,67.71,1215.0,2.45,239.0,644.0,538.0,28.02,25.76,9.41,4.08,32.73
050US01049,1049,54651,22939,23901,14.41,64.42,14.65,96.94,1.88,0.39,0.88,0.13,0.01,0.16,17.35,5.53,8.59,77.79,74.55,70.05,43.73,52980.0,1028.0,48.26,51.74,93.29,88.73,63.66,215.0,0.39,481.0,70.0,92.0,30.35,46.96,4.1,3.0,15.58
050US01053,1053,35518,14356,15695,14.92,65.81,13.88,68.49,28.28,0.48,2.95,0.16,0.01,0.12,28.07,10.67,10.15,76.81,73.35,68.49,44.19,24326.0,10046.0,49.21,50.79,96.87,93.03,61.85,169.0,0.48,1047.0,56.0,43.0,34.81,40.12,4.72,2.85,17.5
050US01057,1057,17962,7555,7592,14.38,63.07,16.31,87.5,12.19,0.43,0.05,0.1,0.01,0.15,20.32,9.14,9.21,77.73,74.38,69.51,42.27,15717.0,2190.0,47.7,52.3,91.21,87.22,62.69,78.0,0.43,9.0,18.0,28.0,31.7,43.35,5.58,2.95,16.42
050US01061,1061,23647,10416,9752,14.2,61.5,16.76,87.46,11.94,0.51,0.39,0.06,0.0,0.14,19.49,5.81,11.38,78.17,75.09,70.47,41.24,20682.0,2824.0,48.16,51.84,92.9,88.12,67.19,121.0,0.51,93.0,15.0,33.0,31.82,44.56,4.47,2.37,16.78
050US01067,1067,15374,7056,6435,14.43,63.53,16.26,64.51,35.09,0.6,0.2,0.01,0.03,0.16,17.35,5.29,18.24,76.63,73.33,68.75,41.86,9918.0,5395.0,47.29,52.71,89.73,85.78,63.72,92.0,0.6,31.0,2.0,28.0,28.91,41.49,5.35,2.88,21.38
