HEROP_ID,FIPS,DmyBlckBlt,TotPop,TotUnits,Age15_44,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DisbP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,BachelorsP,GradSclP,SomeCollegeP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65
050US01001,1001,1,43671,17662,19015,10.19,80.65,17.11,1.4,0.44,0.46,0.03,1.33,40,10.92,4.88,9.39,74.68,71.39,67.64,43.54,35221.0,7473.0,48.59,51.41,94.53,90.6,68.98,610.0,1.4,194.0,200.0,13.0,33.83,21.28,11.76,6.26,19.43,28.61,32612.0,31177.0,29538.0,4451.0
050US01003,1003,0,140415,74285,55483,15.46,87.15,10.29,1.76,0.58,0.38,0.03,1.61,39,10.15,4.28,25.51,78.39,75.56,72.06,39.51,122366.0,14444.0,49.03,50.97,96.2,93.16,82.49,2466.0,1.76,809.0,537.0,38.0,29.61,17.98,14.82,8.25,22.62,24.44,110075.0,106095.0,101183.0,21703.0
050US01005,1005,1,29038,12461,12676,13.34,51.27,46.32,1.65,0.45,0.29,0.03,1.67,47,26.8,5.66,16.47,77.74,74.57,70.54,43.65,14887.0,13451.0,51.55,48.45,106.41,106.75,61.98,478.0,1.65,131.0,84.0,8.0,32.41,35.35,7.21,3.74,14.97,25.43,22575.0,21655.0,20484.0,3873.0
050US01007,1007,0,20826,8345,9254,11.59,76.66,22.2,1.01,0.24,0.08,0.01,0.82,49,20.61,6.24,11.07,77.43,74.62,70.59,44.43,15966.0,4624.0,51.59,48.41,106.59,106.95,70.77,210.0,1.01,49.0,17.0,2.0,35.73,36.81,4.07,3.04,15.05,25.38,16125.0,15540.0,14702.0,2413.0
050US01009,1009,0,51024,21158,21323,12.85,95.08,1.19,5.33,0.49,0.14,0.02,3.11,47,11.74,4.85,8.95,77.32,74.62,70.94,41.79,48512.0,606.0,49.93,50.07,99.72,97.25,73.77,2718.0,5.33,250.0,71.0,12.0,36.01,29.55,5.85,3.75,17.92,25.38,39450.0,38076.0,36198.0,6558.0
050US01011,1011,1,11714,4727,5200,13.17,25.25,73.11,2.75,0.38,0.18,0.02,1.08,45,33.48,8.56,15.68,77.12,73.89,69.63,44.39,2958.0,8564.0,52.42,47.58,110.15,113.36,60.4,322.0,2.75,44.0,21.0,2.0,35.23,39.52,4.36,3.38,11.62,26.11,9034.0,8656.0,8156.0,1543.0
050US01013,1013,1,21399,9957,8367,16.38,58.38,40.81,0.67,0.21,0.16,0.0,0.44,57,24.62,10.63,15.66,76.79,73.11,68.8,39.1,12492.0,8732.0,46.82,53.18,88.04,82.9,60.6,143.0,0.67,45.0,35.0,0.0,34.5,32.24,7.37,3.04,16.02,26.89,16433.0,15645.0,14722.0,3506.0
050US01015,1015,0,112249,51322,47565,14.14,78.88,18.54,1.56,0.4,0.56,0.07,1.62,48,16.11,6.59,11.72,79.24,76.43,71.75,42.37,88537.0,20810.0,47.84,52.16,91.72,88.15,62.39,1753.0,1.56,445.0,633.0,76.0,32.23,26.1,8.93,6.29,19.97,23.57,88948.0,85793.0,80536.0,15872.0
050US01017,1017,1,36583,16256,14537,16.2,60.88,38.11,0.77,0.13,0.19,0.0,0.69,51,17.04,6.52,10.67,78.18,75.35,71.38,39.74,22271.0,13943.0,47.25,52.75,89.57,85.33,59.7,280.0,0.77,49.0,68.0,0.0,32.1,35.83,6.34,3.21,15.41,24.65,28601.0,27566.0,26114.0,5928.0
050US01019,1019,0,23988,14025,9326,15.92,92.83,5.54,0.85,0.31,0.14,0.0,1.17,48,15.56,3.87,30.7,80.33,77.82,74.4,38.88,22268.0,1330.0,49.17,50.83,96.72,93.45,73.07,204.0,0.85,75.0,34.0,0.0,34.86,36.48,5.52,4.21,13.23,22.18,19269.0,18668.0,17847.0,3818.0
