"HEROP_ID","FIPS","OdMortRt"
"050US21007","21007",19.3
"050US21017","21017",24.3
"050US21031","21031",19.9
"050US21065","21065",39.8
"050US21069","21069",27.9
"050US21093","21093",15.9
"050US21099","21099",17.9
"050US21131","21131",48.2
"050US21151","21151",26
"050US21155","21155",19.9
"050US21179","21179",16.8
"050US17091","17091",17.2
"050US17187","17187",12.4
"050US17197","17197",12.9
"050US18027","18027",12.9
"050US18061","18061",15.9
"050US01001","01001",10
"050US01005","01005",9.9
"050US01023","01023",14.1
"050US01035","01035",15.5
"050US01051","01051",9.5
"050US01055","01055",16.9
"050US01065","01065",14.1
"050US01089","01089",8.6
"050US01113","01113",10.7
"050US01117","01117",17.5
"050US02016","02016",16.4
"050US02130","02130",18.8
"050US02180","02180",18
"050US02282","02282",17
"050US05011","05011",13.3
"050US05015","05015",15.7
"050US05019","05019",13
"050US05025","05025",12.7
"050US05063","05063",13.9
"050US05067","05067",14.2
"050US05121","05121",16.6
"050US06001","06001",10.5
"050US06003","06003",20.2
"050US06005","06005",25.6
"050US06013","06013",11.5
"050US06019","06019",13.2
"050US06023","06023",31.6
"050US06033","06033",41.5
"050US06037","06037",7.4
"050US06047","06047",11.7
"050US06057","06057",19.2
"050US06081","06081",9.3
"050US06085","06085",7.4
"050US06115","06115",12.4
"050US08013","08013",16.2
"050US08029","08029",15.2
"050US08049","08049",16
"050US08077","08077",15.3
"050US08083","08083",17.1
"050US08091","08091",17.3
"050US09009","09009",17.5
"050US11001","11001",15
"050US12009","12009",20.8
"050US12023","12023",18.2
"050US12039","12039",8.6
"050US12055","12055",16.9
"050US12065","12065",11.6
"050US12073","12073",7.2
"050US12095","12095",14.1
"050US12107","12107",14.3
"050US12123","12123",14.2
"050US12127","12127",16.2
"050US12131","12131",13.1
"050US12133","12133",14.1
"050US13009","13009",10.6
"050US13027","13027",10.1
"050US13103","13103",9.7
"050US13121","13121",13.9
"050US13141","13141",12.2
"050US13149","13149",14.2
"050US13179","13179",10.2
"050US13183","13183",12.7
"050US13189","13189",12.6
"050US13209","13209",14
"050US13229","13229",18
"050US13267","13267",13.5
"050US13271","13271",12.8
"050US13291","13291",18.4
"050US13305","13305",17.4
"050US13319","13319",12.5
"050US15007","15007",12.2
"050US16015","16015",15.4
"050US16023","16023",14.4
"050US16025","16025",14.1
"050US16027","16027",12
"050US16037","16037",15.1
"050US16039","16039",12.2
"050US16043","16043",14
"050US16061","16061",13.8
"050US16063","16063",14.1
"050US16085","16085",15.9
"050US19175","19175",12.2
"050US20053","20053",12
"050US20095","20095",15.3
"050US20135","20135",11.6
"050US20199","20199",13.5
"050US48011","48011",12.9
"050US48025","48025",11.6
"050US48035","48035",11
"050US48053","48053",10.2
"050US48055","48055",9.1
"050US48083","48083",12
"050US29057","29057",17.7
"050US29143","29143",17.1
"050US29157","29157",17.7
"050US29189","29189",18.7
"050US29199","29199",12.7
"050US29207","29207",16.4
"050US30015","30015",14.8
"050US30023","30023",18.1
"050US30029","30029",14.4
"050US30039","30039",15.9
"050US30057","30057",14.5
"050US30071","30071",14
"050US30077","30077",18.4
"050US30085","30085",15.9
"050US30087","30087",15.2
"050US30105","30105",14.3
"050US31091","31091",11.1
"050US53065","53065",17
"050US21189","21189",36.9
"050US21195","21195",44.6
"050US21217","21217",20.1
"050US21237","21237",41.9
"050US21239","21239",21.5
"050US22001","22001",18.3
"050US22009","22009",17.3
"050US22011","22011",14.9
"050US22029","22029",14.2
"050US22031","22031",12.4
"050US22033","22033",13.6
"050US22047","22047",13.1
"050US22071","22071",26.7
"050US22081","22081",12.4
"050US22099","22099",12.7
"050US22119","22119",13.9
"050US23013","23013",18.3
"050US23015","23015",16
"050US24003","24003",21.3
"050US18103","18103",14.2
"050US18129","18129",15.2
"050US18147","18147",13.7
"050US19001","19001",10.6
"050US19045","19045",9.6
"050US19083","19083",8.5
"050US19111","19111",11.7
"050US31167","31167",8.6
"050US34003","34003",9.5
"050US34007","34007",25.8
"050US34013","34013",12.3
"050US34023","34023",13.4
"050US34041","34041",15.1
