HEROP_ID,DmySgrg,OdMortRt
050US21007,0,21.6
050US21017,0,27.0
050US21031,0,25.2
050US21065,0,40.7
050US21069,0,32.7
050US21093,0,14.1
050US21099,0,21.1
050US21131,0,44.5
050US21151,0,29.7
050US21155,0,22.1
050US21179,0,18.5
050US17091,0,15.9
050US17187,0,15.0
050US17197,1,14.7
050US18027,0,16.0
050US18061,1,18.4
050US01001,0,10.8
050US01005,0,12.2
050US01023,0,14.4
050US01035,0,16.9
050US01051,0,8.7
050US01055,1,19.4
050US01065,0,14.8
050US01089,0,11.6
050US01113,0,11.5
050US01117,1,18.4
050US02016,0,17.9
050US02130,0,19.3
050US02180,0,19.0
050US02282,0,18.5
050US05011,0,14.7
050US05015,0,18.4
050US05019,0,14.5
050US05025,0,13.9
050US05063,0,15.1
050US05067,0,16.4
050US05121,0,18.5
050US06001,0,12.3
050US06003,0,22.1
050US06005,0,23.1
050US06013,0,10.3
050US06019,0,14.3
050US06023,0,31.9
050US06033,0,41.4
050US06037,0,7.3
050US06047,0,14.1
050US06057,0,19.9
050US06081,0,9.6
050US06085,0,7.7
050US06115,0,14.5
050US08013,0,15.1
050US08029,0,15.1
050US08049,0,18.2
050US08077,0,20.1
050US08083,0,18.4
050US08091,0,18.9
050US09009,0,24.3
050US11001,1,18.4
050US12009,0,27.2
050US12023,0,18.5
050US12039,0,9.6
050US12055,0,15.4
050US12065,0,12.8
050US12073,0,7.3
050US12095,0,15.2
050US12107,0,13.7
050US12123,0,15.8
050US12127,0,19.7
050US12131,0,16.1
050US12133,0,17.1
050US13009,0,10.3
050US13027,0,10.9
050US13103,1,10.4
050US13121,1,14.5
050US13141,0,13.3
050US13149,1,16.3
050US13179,0,10.8
050US13183,0,13.8
050US13189,0,15.5
050US13209,0,15.2
050US13229,0,16.5
050US13267,0,15.5
050US13271,0,15.4
050US13291,0,21.0
050US13305,0,19.4
050US13319,0,13.7
050US15007,0,13.1
050US16015,0,16.2
050US16023,0,15.4
050US16025,0,15.5
050US16027,0,10.5
050US16037,0,16.1
050US16039,0,13.2
050US16043,0,14.4
050US16061,0,15.1
050US16063,0,15.6
050US16085,0,18.3
050US19175,0,13.5
050US20053,0,13.1
050US20095,0,16.1
050US20135,0,12.6
050US20199,0,14.7
050US48011,1,14.1
050US48025,0,11.4
050US48035,0,11.2
050US48053,0,11.0
050US48055,0,9.8
050US48083,0,13.1
050US29057,0,19.7
050US29143,0,19.6
050US29157,0,20.7
050US29189,1,17.0
050US29199,0,13.9
050US29207,0,19.1
050US30015,0,16.2
050US30023,0,19.7
050US30029,0,14.9
050US30039,0,17.4
050US30057,0,15.8
050US30071,0,15.3
050US30077,0,18.9
050US30085,0,16.4
050US30087,0,16.8
050US30105,0,15.5
050US31091,0,12.1
050US53065,0,17.3
050US21189,0,40.2
050US21195,0,41.3
050US21217,0,24.0
050US21237,0,45.5
050US21239,0,25.6
050US22001,0,18.6
050US22009,0,17.3
050US22011,0,15.2
050US22029,0,15.0
050US22031,0,13.1
050US22033,0,16.0
050US22047,0,15.4
050US22071,1,25.4
050US22081,0,13.6
050US22099,0,12.7
050US22119,0,14.6
050US23013,0,18.7
050US23015,0,18.7
050US24003,1,23.3
050US18103,0,17.9
050US18129,0,16.4
050US18147,0,16.9
050US19001,0,11.5
050US19045,0,11.5
050US19083,0,9.1
050US19111,0,13.3
050US31167,0,9.4
050US34003,1,10.0
050US34007,1,30.3
050US34013,1,14.5
050US34023,1,12.0
050US34041,0,17.4
050US35007,0,27.3
050US35011,0,24.2
050US35051,0,28.2
050US36013,0,16.2
050US36029,1,27.7
050US36043,0,11.4
050US36045,0,12.8
050US36047,1,9.7
050US36053,1,12.0
050US36065,0,14.5
050US36077,0,12.3
050US36081,1,7.4
050US36091,0,9.2
050US36115,0,8.4
050US37007,0,15.5
050US37027,0,29.5
050US37039,0,26.1
050US37049,0,23.4
050US37055,0,19.4
050US37059,1,18.3
050US37069,0,13.8
050US37083,0,17.5
050US37091,0,14.5
050US37093,0,12.9
050US37099,0,21.3
050US37111,0,22.2
050US37117,0,16.1
050US37127,0,14.9
050US37165,0,17.9
050US37175,0,21.9
050US37199,0,25.9
050US38017,0,7.1
050US38037,0,11.3
050US38085,0,11.8
050US38099,0,10.9
050US39035,1,23.5
050US39039,0,15.6
050US39043,0,24.3
050US39125,0,16.4
050US40065,0,20.5
050US48103,0,14.1
050US48141,0,8.5
050US48151,0,13.9
050US48161,0,14.2
050US48167,1,17.1
050US48199,0,16.2
050US48213,0,15.4
050US48229,0,15.9
050US48241,0,16.2
050US48245,0,13.4
050US48261,0,8.4
050US48289,0,13.9
050US48317,0,14.1
050US48333,0,12.8
050US48347,0,15.0
050US48361,0,22.4
050US48371,0,14.5
050US48395,0,11.3
050US48423,0,10.7
050US48427,0,7.7
050US48457,0,16.8
050US48471,0,9.4
050US48475,0,17.1
050US48477,0,9.4
050US48499,0,12.4
050US49001,0,23.4
050US49003,0,19.8
050US49011,0,17.7
050US40073,0,16.6
050US40079,0,23.2
050US40145,0,22.6
050US41005,0,10.5
050US41021,0,13.4
050US41033,0,17.4
050US41035,0,16.0
050US41039,0,17.6
050US41043,0,13.8
050US41051,0,16.4
050US41055,0,13.5
050US41061,0,14.8
050US42005,1,31.0
050US42029,1,17.8
050US42035,0,13.5
050US42059,0,26.7
050US42067,0,15.6
050US42091,1,19.2
050US42111,0,24.2
050US45005,0,12.6
050US45019,0,17.5
050US45025,0,14.0
050US45043,0,17.7
050US45063,0,16.9
050US45077,0,27.5
050US45091,0,16.5
050US46073,0,10.4
050US46093,0,12.1
050US46095,0,11.6
050US46123,0,11.0
050US47001,0,32.9
050US47003,0,18.8
050US47005,0,30.3
050US47019,0,23.1
050US47029,0,23.5
050US47049,0,28.1
050US47063,0,27.9
050US47073,0,29.0
050US47081,0,22.8
050US47097,0,18.2
050US47121,0,28.4
050US47149,1,18.0
050US47173,0,33.2
050US48007,0,15.5
050US25001,0,28.7
050US25013,1,23.3
050US25025,1,23.9
050US26033,0,14.0
050US26053,0,18.4
050US26063,0,15.7
050US26097,0,15.2
050US26115,0,27.3
050US13283,0,13.8
050US13289,0,13.5
050US13313,0,15.3
050US13317,0,14.8
050US15001,0,12.2
050US15009,0,12.5
050US16059,0,17.7
050US16073,0,17.6
050US16083,0,16.8
050US16087,0,17.3
050US17027,1,12.9
050US17031,1,13.4
050US17047,0,18.3
050US49029,0,24.2
050US49035,0,25.6
050US49043,0,18.9
050US49049,0,17.7
050US51015,0,12.3
050US51037,0,14.1
050US51051,0,44.0
050US51053,1,15.5
050US51069,0,22.2
050US51073,0,14.3
050US51085,1,12.9
050US51099,0,18.3
050US51125,0,14.5
050US51131,0,15.8
050US51137,0,17.2
050US51145,1,13.4
050US51149,1,12.9
050US51161,1,14.5
050US51177,1,14.9
050US51185,0,35.8
050US51199,0,11.0
050US53005,0,16.4
050US53007,0,14.9
050US53009,0,21.5
050US53015,0,19.3
050US53025,0,14.6
050US53031,0,18.8
050US53037,0,13.1
050US53043,0,16.6
050US12077,0,15.4
050US05061,0,19.4
050US05093,0,13.9
050US05095,0,14.2
050US05099,0,13.8
050US05103,0,12.9
050US05109,0,19.0
050US05117,0,14.1
050US05133,0,20.0
050US05147,0,15.1
050US06045,0,21.4
050US06051,0,17.5
050US24011,0,21.8
050US24033,1,8.3
050US24043,0,31.9
050US25007,0,22.4
050US25017,1,20.3
050US26041,0,15.3
050US26099,1,28.7
