HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,OdMortRt
050US21007,1592.04,975.12,80.0,49.0,24.9
050US21017,707.83,550.53,90.0,70.0,28.3
050US21031,1635.49,1325.73,132.0,107.0,21.8
050US21065,898.43,756.0,82.0,69.0,48.5
050US21069,783.58,816.69,71.0,74.0,34.4
050US21093,1103.49,834.31,783.0,592.0,21.2
050US21099,1024.73,745.26,121.0,88.0,23.4
050US21131,399.29,221.83,27.0,15.0,53.4
050US21151,809.56,840.2,502.0,521.0,30.4
050US21155,448.47,350.62,55.0,43.0,23.2
050US21179,604.29,446.5,180.0,133.0,22.8
050US17091,,,,,17.8
050US17187,,,,,16.9
050US17197,,,,,18.3
050US18027,426.9,205.92,85.0,41.0,16.7
050US18061,448.99,269.39,115.0,69.0,24.0
050US01001,502.84,236.31,183.0,86.0,12.5
050US01005,902.36,240.63,150.0,40.0,12.4
050US01023,699.39,112.4,56.0,9.0,17.6
050US01035,591.33,197.11,45.0,15.0,18.8
050US01051,459.98,190.59,251.0,104.0,10.9
050US01055,1043.97,587.24,688.0,387.0,18.2
050US01065,323.21,,30.0,,18.5
050US01089,673.2,301.92,1621.0,727.0,15.6
050US01113,1241.73,407.81,475.0,156.0,12.0
050US01117,360.92,240.85,505.0,337.0,20.3
050US02016,,,,,19.9
050US02130,,,,,21.5
050US02180,,,,,23.2
050US02282,,,,,20.8
050US05011,,,,,15.8
050US05015,,,,,18.3
050US05019,,,,,16.1
050US05025,,,,,16.5
050US05063,,,,,17.0
050US05067,,,,,18.8
050US05121,,,,,19.4
050US06001,314.93,54.13,3601.0,619.0,10.5
050US06003,,,,,24.8
050US06005,482.63,201.83,110.0,46.0,25.3
050US06013,248.84,49.5,1870.0,372.0,11.5
050US06019,656.16,225.3,4121.0,1415.0,14.8
050US06023,433.31,135.68,396.0,124.0,39.1
050US06033,880.76,350.24,342.0,136.0,34.6
050US06037,617.12,143.1,42940.0,9957.0,8.2
050US06047,538.24,181.15,927.0,312.0,14.7
050US06057,164.12,56.94,98.0,34.0,20.5
050US06081,238.55,73.24,1228.0,377.0,8.2
050US06085,299.95,63.13,3953.0,832.0,8.2
050US06115,823.51,332.29,399.0,161.0,17.3
050US08013,268.72,98.91,614.0,226.0,15.9
050US08029,246.43,140.02,44.0,25.0,17.6
050US08049,228.38,95.16,24.0,10.0,18.7
