"HEROP_ID","FIPS","PrcNtvRsrv","TtlJlPpr","TtlJlAdmr","TtlJlPrtr","TtlJlPp","TtlJlAdm","TtlJlPrt","OdMortRt"
"050US21007","21007",0,880.88,4164.16,240.24,44,208,12,27.3
"050US21017","21017",0,646.85,18596.68,403.87,81.49,2342.81,50.88,33.2
"050US21031","21031",0,495.85,7735.22,185.94,40,624,15,23.1
"050US21065","21065",0,243.39,10930.41,132.76,22,988,12,54
"050US21069","21069",0,600.78,8689.75,354.13,54.22,784.25,31.96,38.4
"050US21093","21093",0,979.01,13285.9,435.58,699,9486,311,19.7
"050US21099","21099",0,1196.09,,303.23,142,,36,24.1
"050US21131","21131",0,,,,,,,52.4
"050US21151","21151",0,434.59,10639.51,314.05,274,6708,198,41.2
"050US21155","21155",0,1472.93,13276.16,509.46,181.45,1635.49,62.76,26.6
"050US21179","21179",0,411.13,2628.56,367.32,122,780,109,28.1
"050US17091","17091",0,596.16,768.88,637.95,428,552,458,24.7
"050US17187","17187",0,186.03,3869.41,130.22,20,416,14,18
"050US17197","17197",0,174.03,1988.38,168.2,806,9209,779,20.9
"050US18027","18027",0,678.12,3918.02,467.15,135,780,93,18.2
"050US18061","18061",0,665.94,6110.94,505.33,170,1560,129,20.8
"050US01001","01001",0,453.9,2145.69,266.84,165,780,97,12.2
"050US01005","01005",0,690.04,4848.94,261.1,111,780,42,12.8
"050US01023","01023",0,342.42,8573.24,38.05,27,676,3,18.9
"050US01035","01035",0,475.81,0,171.82,36,0,13,20.6
"050US01051","01051",0,628.46,8408.83,176.41,342,4576,96,11.4
"050US01055","01055",0,1092.97,10411.43,275.91,717,6830,181,27.2
"050US01065","01065",0,435.4,5660.17,293.89,40,520,27,18.1
"050US01089","01089",0.15,344.76,5818.97,352.99,838,14144,858,18.7
"050US01113","01113",0,606.94,10448.92,556.13,227,3908,208,12.1
"050US01117","01117",0,355.55,4665.5,341.33,500,6561,480,17.4
"050US02016","02016",0.03,,,,,,,21.4
"050US02130","02130",0.01,,,,,,,24.8
"050US02180","02180",0.03,16.01,12485.99,64.03,1,780,4,24.9
"050US02282","02282",0.01,,,,,,,22.3
"050US05011","05011",0,226.96,10228.48,136.18,15,676,9,16.9
"050US05015","05015",0,385.61,12219.08,463.94,64,2028,77,19.9
"050US05019","05019",0,339.21,691.72,246.09,51,104,37,17.1
"050US05025","05025",0,79.27,2061.04,39.64,4,104,2,16.7
"050US05063","05063",0,371.76,0,230.75,87,0,54,18
"050US05067","05067",0,608.5,13494.41,492.17,68,1508,55,20.8
"050US05121","05121",0,317.7,7774.25,130.82,34,832,14,21.2
"050US06001","06001",0,220,3985.91,174.43,2520,45656,1998,8.8
"050US06003","06003",0,,,,,,,26.5
"050US06005","06005",0,361.61,5921.89,225.47,85,1392,53,25.2
"050US06013","06013",0,207.31,3527.43,166.22,1564,26612,1254,11.1
"050US06019","06019",0,452.37,5518.98,318.26,2857,34856,2010,13.2
"050US06023","06023",0.06,423.14,10507.11,276.97,385,9560,252,35.5
"050US06033","06033",0,760.55,11467.82,483.75,294,4433,187,42.8
"050US06037","06037",0,263.61,2291.21,155.21,18294,159004,10771,9.1
"050US06047","06047",0,389.65,3668.98,385.06,680,6403,672,14
"050US06057","06057",0,332.38,7153.82,251.4,197,4240,149,21.7
"050US06081","06081",0,194.44,2841.54,117.64,1000,14614,605,11.1
"050US06085","06085",0,264.3,2211.09,188.3,3488,29180,2485,8.6
"050US06115","06115",0,742.59,10883.19,653.32,366,5364,322,18
"050US08013","08013",0,184.17,3903.98,115.93,421,8924,265,16.8
"050US08029","08029",0,246.32,7277.61,173.54,44,1300,31,19.1
"050US08049","08049",0,235.12,5868.52,65.83,25,624,7,21.6
"050US08077","08077",0,487.93,6532.87,421.21,468,6266,404,24.2
"050US08083","08083",0.34,571.25,0,241.19,90,0,38,21.6
"050US08091","08091",0,375.47,12580.9,256.27,10.93,366.23,7.46,22.4
"050US09009","09009",0,,,,,,,33.4
"050US11001","11001",0,381.84,2261.63,298.71,1920,11372,1502,41.5
"050US12009","12009",0,446.73,4940.73,241.97,1621,17928,878,40.6
"050US12023","12023",0,460.64,10802.51,302.58,204,4784,134,23.7
"050US12039","12039",0,730.98,5255,670.35,217,1560,199,11.2
"050US12055","12055",0,767.19,11130.9,604.28,405,5876,319,20.1
"050US12065","12065",0,395.12,4696.32,180.63,35,416,16,15.8
"050US12073","12073",0,471.96,4994.15,123.14,985,10423,257,9.6
"050US12095","12095",0,265.73,3871.7,184,2510,36571,1738,17.2
"050US12107","12107",0,693.15,7918.47,479.7,302,3450,209,20.7
"050US12123","12123",0,772.45,12388.1,577.53,107,1716,80,20.2
"050US12127","12127",0,434.35,7249.38,195.81,1433,23917,646,26.3
"050US12131","12131",0,665.23,6629.12,454.3,287,2860,196,18.9
"050US12133","12133",0,509.98,12460.83,239.63,83,2028,39,18
"050US13009","13009",0,630.07,7093.21,61.71,194,2184,19,13.1
"050US13027","13027",0,613.75,10229.13,613.75,60,1000,60,14.2
"050US13103","13103",0,870.61,6514.56,277.69,348,2604,111,14.7
"050US13121","13121",0,414.23,13236.6,312.52,3022,96568,2280,16
"050US13141","13141",0,700.68,5605.46,431.19,39,312,24,16
"050US13149","13149",0,617.61,15032.85,459.92,47,1144,35,18.8
"050US13179","13179",0,528.52,504.28,402.45,218,208,166,13.2
"050US13183","13183",0,,,,,,,17.2
"050US13189","13189",0,567.8,10268.2,507.4,75.58,1366.8,67.54,17.1
"050US13209","13209",0,,,,,,,18.7
"050US13229","13229",0,533.07,2598.7,474.76,64,312,57,19.5
"050US13267","13267",0,532.16,3273.06,440.6,93,572,77,18.7
"050US13271","13271",0,236.84,9245.76,273.27,26,1015,30,17.4
"050US13291","13291",0,485.59,5701.75,250.63,62,728,32,23.8
"050US13305","13305",0,809.8,11484.46,441.71,154,2184,84,22
"050US13319","13319",0,537.06,11170.78,447.55,30,624,25,16.3
"050US15007","15007",0.05,,,,,,,15.3
"050US16015","16015",0,332.31,5483.27,301.5,15.1,249.16,13.7,19.4
"050US16023","16023",0,339.44,,0,5,,0,18.4
"050US16025","16025",0,,,,,,,18.6
"050US16027","16027",0,250.15,7673.63,246.47,339,10399,334,11.2
"050US16037","16037",0,166.39,8652.25,166.39,4,208,4,19.6
"050US16039","16039",0,528.4,5077.25,212.51,92,884,37,16.8
"050US16043","16043",0,219.97,3788.34,97.76,18,310,8,17.6
"050US16061","16061",0.82,418.41,10646.21,232.45,9,229,5,18.2
"050US16063","16063",0,,,,,,,18.5
"050US16085","16085",0,419.12,13722.45,155.23,27,884,10,21.7
"050US19175","19175",0,117.82,3403.59,117.82,9,260,9,16.3
