HEROP_ID,TotTracts,AreaSqMi,CenFlags,TotPop,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,ChildrenP,Age45_49,Age50_54,AgeOv18,TotPopHh,NonRelFhhP,NonRelNfhhP,NoHsP,DisbP,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TotVetPop,VetP,AlcTot,AlcDens,AlcPerCap,TotUnits,VacantP,MobileP,LngTermP,RentalP,UnitDens,Ndvi,RcaUrbanP,RcaSubrbP,RcaRuralP,CenRuralP,PovP,UnempP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,TotWrkE,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,OdMortRt,SviTh1,SviTh2,SviTh3,SviTh4,SviSmryRnk
050US21007,3,246.87,,8090,4689,424,1043,493,462,2731,627,562,1618,11.8,51.89,20.0,0.22,516,569,6307,7972,2.56,25.81,14.77,16.7,93.31,4.15,1.27,0.51,0.4,0.0,1.63,0.1,0.93,0.04,0.42,0.92,0.02,0.37,0.94,0.01,621,9.85,,,,3913,21.16,17.2,35.95,20.19,15.85,0.19,0.0,0.0,1.0,1.0,17.0,5.5,25227.0,25571.0,10.53,32.33,0.46,3341.0,5.42,27.75,17.93,12.6,1762.0,52.74,27.1,0.62,0.73,0.09,0.36,0.45
050US21017,6,289.74,,20144,11888,1227,2575,1191,1119,6972,1329,1360,3675,11.47,53.48,18.24,0.23,1332,1674,15563,19886,3.82,22.96,14.95,16.0,90.43,7.12,6.86,0.0,0.44,0.0,2.01,0.43,0.78,0.13,0.26,0.83,0.08,0.68,0.86,0.01,1193,7.67,3.0,0.01,0.0,9057,10.26,6.4,24.25,35.29,31.26,0.27,0.0,0.5,0.5,0.45,17.7,6.4,26217.0,27477.0,9.77,42.33,0.45,9402.0,7.22,32.47,12.51,11.0,4610.0,49.03,32.4,0.64,0.74,0.68,0.17,0.56
050US21031,5,426.09,,12745,7642,757,1588,759,646,4629,870,917,2260,11.02,54.72,17.73,0.22,800,924,9902,12529,3.92,13.41,21.9,21.9,96.91,0.36,3.2,0.2,0.2,0.03,2.29,0.31,0.95,0.0,0.63,0.9,0.08,0.61,0.96,0.01,869,8.78,1.0,0.0,0.0,5941,15.91,25.55,29.69,26.82,13.94,0.26,0.0,0.8,0.2,1.0,19.4,6.0,23750.0,22597.0,13.86,30.8,0.45,5078.0,9.73,39.66,10.28,7.11,3031.0,59.69,24.5,0.81,0.83,0.43,0.66,0.79
050US21065,4,253.09,,14313,8661,750,1772,786,778,4953,1113,984,2602,10.93,52.23,18.18,0.21,1033,1106,11263,14188,2.93,13.57,25.29,26.3,97.62,0.17,0.33,0.41,0.08,0.05,1.68,0.48,0.96,0.0,0.81,0.9,0.03,0.91,0.9,0.01,696,6.18,2.0,0.01,0.0,6908,20.34,23.05,33.85,27.58,27.29,0.29,0.0,0.0,1.0,0.76,32.7,12.0,17780.0,17658.0,14.6,42.5,0.48,4625.0,11.24,34.08,10.88,18.53,2798.0,60.5,47.7,0.99,0.89,0.01,0.61,0.8
050US21069,4,348.54,,14479,8465,1020,1934,887,817,5063,1023,968,2458,11.77,55.37,16.98,0.25,961,1052,10923,14445,2.54,13.52,21.5,24.5,96.21,1.62,1.28,0.06,0.18,0.0,1.93,0.36,0.94,0.03,0.44,0.94,0.03,0.64,0.94,0.01,899,8.23,,,,6683,11.9,28.79,26.11,29.93,19.17,0.26,0.0,0.0,1.0,0.81,17.8,6.9,23418.0,23482.0,10.05,29.0,0.47,6145.0,10.56,38.29,13.39,13.91,3671.0,59.74,33.7,0.81,0.94,0.32,0.5,0.77
050US21093,22,623.39,,108095,67089,7257,14923,7162,7929,43453,7550,6008,14260,13.96,60.72,13.19,0.25,6977,7667,81349,105397,2.8,15.13,9.5,17.6,79.58,11.47,5.69,0.3,2.11,0.35,6.18,0.42,0.65,0.18,0.45,0.65,0.11,0.39,0.71,0.03,14313,18.33,18.0,0.03,0.0,46423,11.44,9.8,20.76,37.98,74.47,0.2,0.77,0.23,0.0,0.34,13.9,5.9,28490.0,27666.0,10.15,71.84,0.44,47969.0,7.11,20.4,13.28,12.86,24556.0,51.19,19.2,0.42,0.77,0.5,0.66,0.57
050US21099,5,412.56,,18627,10978,1286,2506,1203,1082,6435,1492,1164,3036,12.27,54.9,16.3,0.25,1188,1520,14014,18359,1.98,13.66,24.36,22.1,93.34,4.17,1.84,0.55,0.49,0.0,1.45,0.29,0.89,0.06,0.19,0.9,0.02,0.53,0.88,0.01,1142,8.15,,,,8974,18.53,19.94,28.53,26.52,21.75,0.28,0.0,0.0,1.0,0.87,21.4,6.9,21325.0,20421.0,13.48,41.2,0.46,7096.0,7.43,38.73,10.68,10.17,4377.0,61.68,26.2,0.9,0.77,0.2,0.65,0.77
050US21131,3,400.85,,10472,6434,610,1306,639,505,3718,840,732,1755,10.92,53.8,16.76,0.22,705,806,8189,10183,3.7,7.97,29.79,31.6,97.68,0.06,0.7,0.0,0.42,0.0,1.84,0.52,0.98,0.0,0.5,0.97,0.02,0.52,0.98,0.01,449,5.48,,,,5362,21.24,34.45,41.2,19.63,13.38,0.3,0.0,0.0,1.0,1.0,35.6,10.3,18713.0,15691.0,16.6,38.33,0.48,2880.0,12.88,23.37,21.42,10.59,1745.0,60.59,52.6,0.99,0.33,0.01,0.89,0.77
050US21151,19,437.35,,89700,59160,5136,10590,8104,11050,41141,5392,4876,11707,21.35,63.4,13.05,0.21,5424,5434,70867,83198,3.17,27.43,12.98,16.6,91.37,4.28,2.38,0.37,1.0,0.01,2.98,0.34,0.87,0.07,0.33,0.88,0.04,0.37,0.89,0.02,5823,8.23,12.0,0.03,0.0,36499,8.96,8.22,19.34,41.63,83.46,0.24,0.0,0.74,0.26,0.39,19.0,6.6,22228.0,24553.0,9.29,56.43,0.46,42056.0,14.91,20.65,13.97,11.7,20809.0,49.48,42.7,0.69,0.16,0.31,0.59,0.5
050US21155,6,343.04,,19232,11428,1143,2705,1262,1064,6964,1406,1124,3106,12.09,56.22,16.15,0.24,1426,1358,14534,18402,3.33,13.87,19.56,21.1,89.53,7.4,2.7,0.14,0.23,0.35,2.35,0.44,0.81,0.15,0.38,0.86,0.05,0.78,0.9,0.02,1060,7.29,5.0,0.01,0.0,8283,10.02,14.28,36.65,27.25,24.15,0.26,0.0,0.0,1.0,0.72,22.8,9.1,22403.0,21659.0,9.23,27.67,0.45,7751.0,9.2,40.34,11.75,7.92,4795.0,61.86,27.5,0.91,0.95,0.37,0.84,0.91
