HEROP_ID,FIPS,RxCtTmDr,RxAvTmDr,RxTmDrP,NoIntP,OdMortRt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
050US21007,21007,3.0,3.13,1.0,20.49,18.5,1402.64,1031.35,68,50
050US21017,21017,5.0,9.56,0.83,22.81,37.3,892.1,564.12,272,172
050US21031,21031,4.0,17.72,0.8,28.62,20.8,1270.16,952.62,100,75
050US21065,21065,4.0,10.15,1.0,28.73,64.6,888.09,831.99,744,697
050US21069,21069,4.0,11.22,1.0,23.93,27.5,963.51,800.45,325,270
050US21093,21093,22.0,5.85,1.0,15.16,19.3,1085.3,698.09,782,503
050US21099,21099,4.0,14.97,0.8,27.49,15.6,812.81,418.72,99,51
050US21131,21131,3.0,16.26,1.0,27.09,49.1,512.75,468.8,35,32
050US21151,21151,19.0,4.15,1.0,15.74,50.6,888.09,831.99,744,697
050US21155,21155,6.0,12.43,1.0,22.75,21.2,822.91,572.81,102,71
050US21179,21179,9.0,7.38,1.0,13.97,26.0,744.21,627.93,224,189
050US17091,17091,29.0,6.59,1.0,18.73,23.5,511.75,224.25,356,156
050US17187,17187,5.0,3.17,1.0,13.6,9.0,448.6,276.8,47,29
050US17197,17197,152.0,3.62,1.0,8.88,21.0,213.16,133.46,995,623
050US18027,18027,7.0,4.27,1.0,28.56,11.6,500.58,145.17,100,29
050US18061,18061,6.0,11.45,1.0,25.9,27.1,554.37,273.22,140,69
050US01001,1001,12.0,6.36,1.0,17.21,9.2,452.88,285.34,173,109
050US01005,1005,8.0,7.51,0.89,32.61,5.7,589.56,75.26,94,12
050US01023,1023,4.0,13.83,1.0,32.6,8.0,563.31,140.83,44,11
050US01035,1035,4.0,17.0,0.8,44.1,14.9,581.23,127.59,41,9
050US01051,1051,14.0,7.19,0.93,15.85,10.3,489.03,317.95,283,184
050US01055,1055,30.0,5.36,1.0,19.48,19.8,1320.12,923.47,862,603
050US01065,1065,6.0,11.93,1.0,33.84,6.8,331.79,66.36,30,6
050US01089,1089,73.0,2.9,1.0,10.61,19.6,641.93,340.9,1642,872
050US01113,1113,13.0,7.28,1.0,23.37,22.3,1308.94,697.41,503,268
050US01117,1117,48.0,4.34,1.0,9.26,16.8,296.86,232.51,429,336
050US02016,2016,,,,18.2,12.2,361.45,,1782,
050US02130,2130,4.0,0.0,1.0,10.93,16.8,361.45,,1782,
050US02180,2180,2.0,14.46,1.0,22.82,12.1,361.45,,1782,
050US02282,2282,0.0,1667.25,0.0,26.94,14.8,361.45,,1782,
050US05011,5011,5.0,6.19,1.0,27.47,9.2,,,,
050US05015,5015,5.0,4.02,1.0,24.96,22.5,,,,
050US05019,5019,4.0,9.81,0.8,25.44,7.7,,,,
