"HEROP_ID","FIPS","GEOID","TotUnits","VacantP","RentalP","MobileP","LngTermP","UnitDens","TotWrkE","EssnWrkP","HghRskP","EduP","HltCrP","RetailP","UnempP","PovP","MedInc","PciE","GiniCoeff","TotPop","Ovr65P","WhiteP","BlackP","AmIndP","PacIsP","OtherP","TotVetPop","VetP","DisbP","TotPopHh","NonRelFhhP","NonRelNfhhP","FqhcCtTmDr","FqhcAvTmDr","FqhcTmDrP","BupCtTmDr","BupCtTmBk","BupCtTmWk","MetCtTmDr","MetCtTmBk","MetCtTmWk","NaltCtTmDr","NaltCtTmBk","NaltCtTmWk","BupAvTmDr","BupAvTmBk","BupAvTmWk","MetAvTmDr","MetAvTmBk","MetAvTmWk","NaltAvTmDr","NaltAvTmBk","NaltAvTmWk","BupTmDrP","BupTmBkP","BupTmWkP","MetTmDrP","MetTmBkP","MetTmWkP","NaltTmDrP","NaltTmBkP","NaltTmWkP","MhCtTmDr","MhAvTmDr","MhTmDrP","SutpCtTmDr","SutpAvTmDr","SutpTmDrP","HospCtTmDr","HospAvTmDr","HospTmDrP","OpRxRt","OdMortRt","OdMortRtAv","OccupantP","CrowdHsng","HsdTot","HsdTypM","HsdTypMC","HsdTypCo","HHSize","FamSize","NvMrrdP","MrrdP","DivrcdP","SepartedP","WidwdP","HhldFC","HhldFA","HhldFS","HhldMC","HhldMA","HhldMS","EngProf","MaleP","FemP","SRatio","SRatio18","SRatio65","Und5P","Ovr16P","Und18P","Ovr18P","Ovr21P","Ovr62P","MedAge","HisP","TwoRaceP","EduNoHsP","EduHsP","SomeCollegeP","BachelorsP","GradSclP","SviTh1","SviTh2","SviTh3","SviTh4","SviSmryRnk"
"050US01001","01001",1001,23697,9,62.9,18.2,20.5,39.9,24580,45.2,20.3,8,12.4,10.7,2.9,15.2,36904,29804,0.4552,55639,15.3,75.8,19.5,0.3,0,0.5,41787,10.9,17.7,55061,6.2,2.2,9,23.81,0.75,11,5,NA,1,0,NA,0,0,NA,14.96,49.26,NA,39.64,145.24,NA,40.97,154.1,NA,0.92,0.42,NA,0.08,0,NA,0,0,NA,10,16.06,0.83,6,32.59,0.5,10,15.27,0.83,98.3,11.6,11.58,91,0.02,21559,52.3,NA,3.6,2.55,3.08,28.9,56.2,10.9,1.1,2.9,NA,15.5,8,NA,10.8,3.7,0.007,48.6,51.4,94.6,91.3,76.6,5.8,79.7,23.6,76.4,73.1,18.1,38.6,97.1,0.4,11.3,31.4,20.2,16.7,11.6,0.3838,0.7362,0.6337,0.4309,0.513
"050US01003","01003",1003,116747,28,53.8,10.2,17.9,73.4,98768,45.5,20.8,7.4,11.9,13.6,3.9,9.2,37574,33751,0.4566,218289,20.5,85.4,8.8,0.7,0,0.7,170975,11.2,14.2,215335,7.2,2.4,26,20.29,0.81,27,11,NA,4,NA,NA,1,NA,NA,16.69,52.06,NA,47.88,NA,NA,49.02,NA,NA,0.84,0.34,NA,0.12,NA,NA,0.03,NA,NA,19,25.9,0.59,23,24.04,0.72,26,17.58,0.84,65,27.4,16.96,72,0.02,84047,55.1,NA,4,2.56,3.19,27.1,57,11.1,1.4,3.4,NA,16.5,8.4,NA,12.6,4.2,0.008,48.5,51.5,94.2,91.9,85.4,5.5,81,21.5,78.5,75.2,25.2,43.2,95.4,0.4,9.6,27.2,22.2,20.2,11.7,0.3253,0.2724,0.5022,0.3612,0.3103
"050US01005","01005",1005,12057,22.7,88.7,30.2,31.2,13.6,8707,58.5,36.9,8.1,10.5,10.7,6.9,28.6,29838,20074,0.5047,25026,19.1,46.3,47.7,0.4,0,0.3,19804,6.8,18.8,22116,9.9,1.4,8,14.21,0.89,0,NA,NA,0,NA,NA,0,NA,NA,64.97,NA,NA,81.58,NA,NA,68.08,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,21.45,0.67,6,22.26,0.67,6,22.62,0.67,22.8,7.6,11.54,77.3,0.04,9322,38.8,NA,4.7,2.37,2.99,41.8,37.4,14.2,3.3,3.3,NA,20.1,11.6,NA,12.7,4.4,0.018,52.6,47.4,110.8,114.4,76.7,5.3,81.5,20.9,79.1,75.2,23.2,40.1,95.6,0,25.3,35.7,19.6,7.3,4.3,0.9567,0.9453,0.8962,0.9949,0.9927
"050US01007","01007",1007,9237,21.4,64.1,31.9,31.1,14.8,8303,58.6,29.2,7.6,14.9,10.8,7.4,18.1,33844,22626,0.45,22374,16.4,76.6,22.5,0.1,0,0.3,17790,6.8,18.1,20717,14.5,2.1,3,14.44,0.75,1,1,1,0,0,NA,0,0,NA,24.33,70.14,208.92,57.7,197.9,NA,53.64,197.38,NA,0.25,0.25,0.25,0,0,NA,0,0,NA,0,40.39,0,1,26.18,0.25,1,25.46,0.25,24.8,27.3,20.64,78.6,0.01,7259,49.6,NA,2,2.85,3.44,39.8,40.3,12.9,3.3,3.7,NA,11.8,7.1,NA,14.1,3.2,0.004,53.7,46.3,116.1,114.9,78.5,5.6,82.3,20.5,79.5,76.1,19.8,39.9,97.3,0,19.1,45.1,17.7,7.4,3.9,0.8008,0.5512,0.6292,0.8622,0.8078
"050US01009","01009",1009,24404,13.1,54.7,24.8,25.2,37.8,22836,58.3,29.7,7.2,14,10.4,5.2,13.7,36881,25457,0.4685,57755,18,94,1.4,0.1,0,1.1,44339,7.7,15,57191,8.1,2.3,5,24.74,0.56,3,0,NA,0,0,NA,2,0,NA,36.37,113.18,NA,46.48,167.98,NA,39.84,130.9,NA,0.33,0,NA,0,0,NA,0.22,0,NA,5,26.16,0.56,7,20.09,0.78,4,31.33,0.44,22.8,24.2,21.96,86.9,0.02,21205,56.8,NA,3.2,2.7,3.26,27.1,55,11.7,1.8,4.3,NA,13.1,7.9,NA,12.7,3.8,0.015,49.7,50.3,98.6,96.6,80.7,6.1,79.8,23.2,76.8,73.3,22,41,90.7,0.1,17.2,35.1,21.4,8.9,4.4,0.5757,0.7225,0.4147,0.2743,0.5137
"050US01011","01011",1011,4591,25.3,90.9,41.8,33,7.4,4007,68.9,51.2,8.8,5.3,5.4,3.4,29.5,27979,20783,0.4985,10173,16.1,26.2,68.6,0,0,0.1,7894,3.7,12.3,9740,13.8,3.2,1,37.81,0.33,0,0,NA,0,NA,NA,0,0,NA,47.18,172.47,NA,75.48,NA,NA,74.23,272.7,NA,0,0,NA,0,NA,NA,0,0,NA,3,15.99,1,0,51.16,0,3,15.99,1,22,10.6,10.86,74.7,0.01,3429,34.6,NA,0.7,2.84,3.77,50.6,38.9,8.1,1.6,0.9,NA,20.3,9.3,NA,15.2,6.3,0.016,54.8,45.2,121.4,121.1,NA,5.8,80,22.4,77.6,71.3,20.6,39.7,91.9,0,25,41.4,17.7,6.1,4.2,0.7183,0.6515,0.9809,0.8501,0.831
"050US01013","01013",1013,10119,34.3,81.4,23.2,34,13,7971,57.7,33.7,7.8,10.1,10.1,6.5,19.6,27658,23415,0.4667,19726,20.7,51.6,44.6,0.3,0,0.3,15325,6.4,15.8,19406,11.5,3.3,0,50.79,0,0,0,NA,0,NA,NA,0,NA,NA,54.44,221.63,NA,76.97,NA,NA,78.29,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,8,11.56,0.89,0,59.31,0,8,13.65,0.89,35.1,14.3,13.9,65.7,0.01,6649,49.6,NA,3.2,2.92,3.59,40.3,46.1,9.7,2.6,1.4,NA,20.4,11.4,NA,8.5,2.7,0.003,45.9,54.1,84.8,78.8,66.1,5.9,79.9,22.3,77.7,73.4,24.7,41.2,98.5,0.2,13.7,46.5,16.9,10.1,5.9,0.7486,0.6887,0.8686,0.2982,0.6843
"050US01015","01015",1015,53722,17,73.9,15.6,26.2,88.7,47905,54.8,25.6,8.9,13.7,13.2,7.3,15.8,32526,26238,0.4581,114324,17.7,73.3,21.2,0.3,0,0.7,89040,10,20.4,111345,8.1,3.3,25,16.49,0.81,29,17,6,24,5,NA,21,2,NA,11.61,36.39,120.36,20.27,69.87,NA,25.84,86.25,NA,0.94,0.55,0.19,0.77,0.16,NA,0.68,0.06,NA,29,12.49,0.94,27,14.12,0.87,29,12.91,0.94,97.9,24.5,17.74,83,0.01,44572,46.4,NA,6.6,2.5,3.06,33.2,48.9,12.4,1.9,3.6,NA,16.3,8.1,NA,12.7,3.5,0.007,48,52,92.5,89.5,74.8,5.8,81,21.7,78.3,74.1,22,39.5,96.1,0.3,14.9,34.4,24.1,10.5,8.4,0.7533,0.7279,0.6582,0.5197,0.7349
"050US01017","01017",1017,16985,20,77.2,13.4,31.3,28.5,14724,61.2,38.5,6.1,12.1,8.7,3.6,15.4,31815,24088,0.4182,33427,19.5,56.9,40,0.2,0,0.3,26481,7.5,18.5,32869,9.7,1.9,7,16.93,0.78,8,4,1,0,0,NA,1,0,NA,13.09,39.23,187.22,42.4,173.76,NA,38.8,136.63,NA,0.89,0.44,0.11,0,0,NA,0.11,0,NA,1,36.44,0.11,4,32.93,0.44,7,15.19,0.78,60.5,14.2,13.2,80,0.07,13582,43.9,NA,7.5,2.42,2.95,33.2,50.3,9.5,3.4,3.6,NA,15.6,7.2,NA,11.9,4,0.004,47.7,52.3,91,88.9,75.8,5.9,81.6,20.8,79.2,76.3,23.7,41.9,97.5,0.2,17.4,37.1,21.7,10.5,4,0.5837,0.5955,0.8421,0.9599,0.8074
"050US01019","01019",1019,16631,34.8,44.9,25.3,31.4,30,10310,63.2,37.2,7.5,15.9,10.4,4.1,12.9,35350,26231,0.4596,26035,22.9,92.1,4.8,0.6,0,0.8,21032,7.6,16.7,25761,6.6,1.1,5,18.52,0.83,5,2,2,0,0,NA,2,0,NA,16.36,58.16,170.89,46.98,189.26,NA,35.24,129.71,NA,0.83,0.33,0.33,0,0,NA,0.33,0,NA,6,14.1,1,6,11.3,1,6,14.1,1,50.6,21.7,20.24,65.2,0.01,10836,56.3,NA,4.5,2.38,2.92,23.1,59.3,10.6,0.8,6.2,NA,12.7,8.1,NA,14.8,5.5,0.011,49.5,50.5,97.8,98.1,88.1,4.3,83.5,19.2,80.8,77.6,27.2,46.8,98.3,0,17.2,39.2,19.8,6.3,6.7,0.5029,0.4096,0.2778,0.1792,0.3269
