"HEROP_ID","FIPS","OtpCtTmDr","OtpAvTmDr","OtpTmDrP","OdMortRt"
"050US01001","01001",1,39.64,0.08,16.5
"050US01003","01003",4,47.88,0.12,32.5
"050US01005","01005",0,81.58,0,8.8
"050US01007","01007",0,47.37,0,33.5
"050US01009","01009",2,39.97,0.22,35.9
"050US01011","01011",0,75.48,0,12.2
"050US01013","01013",0,76.97,0,16.5
"050US01015","01015",24,20.27,0.77,28.2
"050US01017","01017",0,42.4,0,20.7
"050US01019","01019",0,46.98,0,30.6
"050US01021","01021",6,23.62,0.67,31.6
"050US01023","01023",0,74.06,0,12.7
"050US01025","01025",0,111,0,13.6
"050US01027","01027",0,67.88,0,17.8
"050US01029","01029",2,38.44,0.5,23
"050US01031","01031",3,42.82,0.21,14.7
"050US01033","01033",13,14.1,0.93,16.2
"050US01035","01035",0,66.09,0,26
"050US01037","01037",0,78.22,0,20.5
"050US01039","01039",0,82.94,0,16.9
"050US01041","01041",0,80.1,0,14
"050US01043","01043",15,20.98,0.83,32
"050US01045","01045",6,35.06,0.43,18
"050US01047","01047",0,82.31,0,12.4
"050US01049","01049",1,47.13,0.07,36.3
"050US01051","01051",4,38.92,0.27,14.3
"050US01053","01053",2,33.86,0.22,53.4
"050US01055","01055",29,12.91,0.97,33.8
"050US01057","01057",0,57.26,0,34
"050US01059","01059",0,49.12,0,31.4
"050US01061","01061",1,43.26,0.17,20.5
"050US01063","01063",0,57.87,0,9.7
"050US01065","01065",1,51.08,0.17,11.1
"050US01067","01067",0,55.05,0,13.9
"050US01069","01069",16,24.97,0.73,21.5
"050US01071","01071",4,34.31,0.36,19.4
"050US01073","01073",151,19.92,0.93,40.7
"050US01075","01075",0,58.87,0,16.8
"050US01077","01077",17,21.81,0.77,20.5
"050US01079","01079",0,43.02,0,25.7
"050US01081","01081",6,44.27,0.22,13.8
"050US01083","01083",6,33.03,0.38,15.6
"050US01085","01085",0,56.42,0,10.2
"050US01087","01087",0,46.63,0,11.9
"050US01089","01089",68,13.83,0.93,24
"050US01091","01091",0,85.94,0,9.7
"050US01093","01093",5,27.19,0.62,13.2
"050US01095","01095",1,46.04,0.06,28.3
"050US01097","01097",103,15.8,0.9,28.2
"050US01099","01099",0,86,0,18.6
"050US01101","01101",62,16.23,0.95,13.2
"050US01103","01103",4,35.13,0.15,31.2
"050US01105","01105",0,87.82,0,10.9
"050US01107","01107",0,59.09,0,22.5
"050US01109","01109",0,77.46,0,12.3
"050US01111","01111",0,56.75,0,21.4
"050US01113","01113",11,18.62,0.85,26.3
"050US01115","01115",5,35.15,0.38,44.5
"050US01117","01117",28,28.95,0.58,31.3
"050US01119","01119",0,49.35,0,7.8
"050US01121","01121",4,50.85,0.18,21.7
"050US01123","01123",0,78.73,0,19.2
"050US01125","01125",42,18.16,0.89,28.1
"050US01127","01127",11,24.61,0.61,60.3
"050US01129","01129",0,82.95,0,14.6
"050US01131","01131",0,136.84,0,9.9
"050US01133","01133",0,48.98,0,20.7
"050US02013","02013",,,,23.9
"050US02016","02016",,,,21.2
"050US02020","02020",54,10.37,0.98,38.7
"050US02050","02050",,,,19.3
"050US02060","02060",,,,33
"050US02063","02063",,,,
"050US02066","02066",,,,
"050US02068","02068",0,133.84,0,22.6
"050US02070","02070",,,,29.4
"050US02090","02090",17,14.75,0.89,26.3
"050US02100","02100",,,,19.1
"050US02105","02105",,,,
