HEROP_ID,GEOID,OpRxRt,SviTh1,SviTh2,SviTh3,SviTh4,SviSmryRnk
050US01001,1001.0,78.1,0.2367,0.3675,0.6354,0.2358,0.2663
050US01003,1003.0,61.7,0.3433,0.2883,0.489,0.4308,0.3487
050US01005,1005.0,9.4,0.9399,0.9399,0.8941,0.9959,0.9927
050US01007,1007.0,33.7,0.8893,0.4954,0.6185,0.8931,0.8451
050US01009,1009.0,19.0,0.6866,0.7884,0.413,0.3532,0.6166
050US01011,1011.0,18.9,0.8654,0.5138,0.9809,0.9491,0.8985
050US01013,1013.0,29.0,0.8441,0.6106,0.8661,0.217,0.6872
050US01015,1015.0,83.2,0.854,0.65,0.658,0.7114,0.8145
050US01017,1017.0,62.0,0.7171,0.5317,0.8396,0.9469,0.8295
050US01019,1019.0,36.4,0.6077,0.6494,0.2628,0.1152,0.406
050US01021,1021.0,32.7,0.5924,0.6837,0.5425,0.2698,0.5336
050US01023,1023.0,28.2,0.6901,0.798,0.8151,0.2539,0.6548
050US01025,1025.0,56.7,0.8412,0.7264,0.8641,0.6462,0.8365
050US01027,1027.0,68.1,0.7235,0.3688,0.5269,0.5851,0.6223
050US01029,1029.0,4.4,0.4938,0.6739,0.1985,0.5482,0.5196
050US01031,1031.0,103.5,0.6497,0.9488,0.6806,0.2323,0.6802
050US01033,1033.0,135.6,0.4944,0.6984,0.5644,0.16,0.4467
050US01035,1035.0,127.5,0.5272,0.5332,0.8727,0.2482,0.5122
050US01037,1037.0,-9.0,0.3513,0.328,0.7321,0.6427,0.4808
050US01039,1039.0,63.3,0.7509,0.7821,0.4839,0.5075,0.7121
050US01041,1041.0,30.8,0.7588,0.6201,0.6656,0.4575,0.685
050US01043,1043.0,69.1,0.5323,0.713,0.2587,0.3341,0.4909
050US01045,1045.0,32.3,0.8648,0.9014,0.7003,0.2736,0.7766
050US01047,1047.0,54.1,0.9555,0.867,0.9698,0.594,0.9189
050US01049,1049.0,60.8,0.7996,0.8139,0.5425,0.5017,0.756
050US01051,1051.0,19.2,0.3185,0.3869,0.6373,0.5667,0.4397
050US01053,1053.0,66.8,0.9462,0.7353,0.7814,0.4986,0.8473
050US01055,1055.0,77.9,0.7961,0.7544,0.574,0.2911,0.672
050US01057,1057.0,32.7,0.8514,0.4788,0.4556,0.6914,0.7458
050US01059,1059.0,69.0,0.6675,0.9491,0.6045,0.4846,0.7576
050US01061,1061.0,18.7,0.6729,0.6427,0.5161,0.3509,0.5822
050US01063,1063.0,14.8,0.9211,0.8425,0.9857,0.7254,0.9157
050US01065,1065.0,17.2,0.9341,0.5072,0.9259,0.8148,0.8826
050US01067,1067.0,39.5,0.6519,0.5695,0.6726,0.4677,0.6195
