HEROP_ID,FIPS,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US13031,13031,331.0,3588.0,,559.06,6060.09,
050US13121,13121,3980.0,46913.0,,526.49,6205.87,
050US13179,13179,226.0,4034.0,,504.84,9011.1,
050US13189,13189,109.0,1662.0,,823.14,12550.97,
050US13213,13213,142.0,2388.0,,537.78,9043.74,
050US13209,13209,,,,,,
050US13139,13139,578.0,8611.0,,419.78,6253.9,
050US13245,13245,1347.0,6528.0,,989.28,4794.36,
050US13049,13049,1.0,,,11.35,,
050US13141,13141,21.0,334.0,,397.2,6317.38,
050US13157,13157,164.0,2910.0,,300.68,5335.24,
050US13315,13315,25.0,312.0,,441.38,5508.47,
050US13241,13241,134.0,1331.0,,1332.54,13235.88,
050US13269,13269,28.0,551.0,,578.15,11377.25,
050US13177,13177,102.0,1404.0,,463.91,6385.59,
050US13279,13279,107.0,1697.0,,644.5,10221.66,
050US13007,13007,,,,,,
050US34015,34015,,,,,,
050US34023,34023,,,,,,
050US34035,34035,,,,,,
050US34031,34031,,,,,,
050US34021,34021,,,,,,
050US34009,34009,231.0,2112.0,,426.91,3903.16,
050US35031,35031,,,,,,
050US35013,35013,,,,,,
050US28059,28059,,,,,,
050US02170,2170,,,,,,
050US35033,35033,,,,,,
050US53067,53067,,,,,,
050US51147,51147,375.57,2052.0,45.25,647.55,3537.99,78.02
050US01009,1009,,,,,,
050US01095,1095,,,,,,
050US51029,51029,375.57,2052.0,45.25,647.55,3537.99,78.02
050US51139,51139,75.13,808.0,,513.43,5521.77,
050US53017,53017,,,,,,
050US51153,51153,589.84,8306.0,,160.43,2259.08,
050US51171,51171,463.35,4722.0,,796.44,8116.47,
050US01043,1043,,,,,,
050US51061,51061,732.34,6155.0,,544.58,4576.99,
050US53021,53021,,,,,,
050US53019,53019,,,,,,
050US53029,53029,,,,,,
050US53075,53075,,,,,,
050US33017,33017,,,,,,
050US31093,31093,,,,,,
050US31115,31115,,,,,,
050US51001,51001,103.03,1504.0,,542.52,7919.54,
050US21101,21101,483.0,3551.0,,1758.35,12927.3,
050US21093,21093,516.0,5883.0,,714.42,8145.27,
050US51119,51119,260.16,2598.0,,1229.72,12280.2,
050US22075,22075,534.0,1411.0,,3626.73,9582.99,
050US22107,22107,,,,,,
050US51193,51193,760.39,6659.0,,3309.64,28983.68,
050US22119,22119,607.0,1585.0,,2797.24,7304.15,
050US23027,23027,,,,,,
050US51091,51091,678.31,3647.0,110.0,569.48,3061.88,92.35
050US21013,21013,125.0,5677.0,,849.36,38574.44,
050US21131,21131,185.0,2325.0,,2930.46,36828.77,
050US51083,51083,1668.29,16929.0,,887.19,9002.78,
050US23023,23023,160.0,1188.0,,367.63,2729.65,
050US21235,21235,273.0,3042.0,,1186.8,13224.36,
050US24041,24041,67.0,977.0,,323.16,4712.29,
050US24033,24033,1015.0,5661.0,,160.8,896.84,
050US24035,24035,61.0,943.0,,188.41,2912.56,
050US24023,24023,34.0,599.0,,193.05,3401.09,
050US51165,51165,298.21,3430.0,,565.91,6509.03,
050US37083,37083,104.0,2142.0,,359.07,7395.39,
050US37179,37179,259.0,5933.0,,156.92,3594.67,
050US37129,37129,486.0,7336.0,,311.31,4699.07,
050US37163,37163,250.0,4496.0,,685.38,12325.91,
050US37031,37031,129.0,2376.0,,312.57,5757.07,
050US37183,37183,1462.0,21549.0,,181.75,2678.95,
050US37119,37119,1283.0,15320.0,,161.7,1930.86,
050US37087,37087,98.0,4126.0,,260.21,10955.34,
050US37141,37141,62.0,1360.0,,149.31,3275.29,
050US37021,37021,399.0,7877.0,,227.3,4487.27,
050US37047,37047,196.0,3326.0,,630.73,10703.14,
050US37039,37039,119.0,2072.0,,722.88,12586.56,
050US37171,37171,254.0,2554.0,,574.54,5777.1,
050US37093,37093,141.0,1986.0,,400.03,5634.52,
050US37105,37105,107.0,1801.0,,257.07,4326.93,
050US37173,37173,73.0,1381.0,,842.08,15930.33,
050US37015,37015,,,,,,
050US37175,37175,56.0,2090.0,,302.16,11277.18,
050US18083,18083,272.0,1885.0,,1191.05,8254.15,
050US18183,18183,101.0,1501.0,,470.64,6994.41,
050US18089,18089,894.0,11458.0,,282.34,3618.65,
050US18051,18051,92.0,1603.0,,445.2,7757.08,
050US18071,18071,183.0,1633.0,,636.1,5676.25,
050US18061,18061,132.0,1431.0,,529.55,5740.76,
050US21071,21071,147.0,3285.0,,677.83,15147.32,
050US20123,20123,,,,,,
050US21043,21043,179.0,1475.0,,1101.2,9074.13,
050US21085,21085,702.0,3026.0,,4225.1,18212.46,
050US21011,21011,,,,,,
050US21099,21099,161.0,3187.0,,1313.96,26009.96,
050US20149,20149,,,,,,
050US21189,21189,667.0,4291.0,,786.28,5058.35,
050US21003,21003,106.0,1426.0,,790.1,10629.1,
050US21109,21109,108.0,1241.0,,1327.6,15255.07,
050US21205,21205,305.0,2512.0,,1818.51,14977.34,
050US21147,21147,,,,,,
050US21031,21031,45.0,878.0,,588.39,11480.13,
050US20203,20203,,,,,,
050US17031,17031,4788.0,35422.0,,140.59,1040.11,
050US17027,17027,,,,,,
050US17079,17079,,,,,,
050US17171,17171,,,,,,
050US17185,17185,,,,,,
050US17047,17047,,,,,,
050US39043,39043,,,,,,
050US06001,6001,1605.0,26226.0,,144.55,2361.93,
050US06081,6081,954.0,14117.0,,198.45,2936.62,
050US06065,6065,3708.0,52852.0,,229.98,3277.98,
050US06095,6095,503.0,9721.0,,173.87,3360.25,
050US06103,6103,89.0,2522.0,,226.89,6429.41,
050US06111,6111,1253.0,22393.0,,231.53,4137.85,
050US06083,6083,842.0,10310.0,,290.97,3562.86,
050US36081,36081,6200.0,21691.0,,111.96,391.7,
050US06093,6093,103.0,2727.0,,420.85,11142.44,
050US06115,6115,305.0,5151.0,,564.46,9532.89,
050US06033,6033,199.0,3514.0,,503.54,8891.7,
050US06061,6061,781.0,10302.0,,302.4,3988.93,
050US06005,6005,74.0,1322.0,,300.52,5368.75,
050US06043,6043,51.0,924.0,,541.0,9801.63,
050US08029,8029,45.0,1137.0,,251.47,6353.73,
050US12119,12119,492.0,3586.0,,926.62,6753.8,
050US12069,12069,736.0,8975.0,,310.38,3784.88,
050US08069,8069,505.0,12670.0,,202.79,5087.84,
050US09009,9009,,,,,,
050US09007,9007,,,,,,
050US12079,12079,47.0,1216.0,,411.74,10652.65,
050US12127,12127,1324.0,21314.0,,378.78,6097.71,
050US12099,12099,2166.0,24666.0,,239.24,2724.4,
050US12113,12113,650.0,6922.0,,500.6,5331.01,
050US12125,12125,25.0,480.0,,245.07,4705.42,
050US12093,12093,,,,,,
050US08083,8083,86.0,2380.0,,555.45,15371.7,
050US42033,42033,,,,,,
050US42125,42125,,,,,,
050US42031,42031,,,,,,
050US42097,42097,,,,,,
050US42061,42061,,,,,,
050US55099,55099,20.0,451.0,,244.35,5510.08,
050US55121,55121,32.0,966.0,,173.99,5252.28,
050US55075,55075,128.0,1584.0,,511.47,6329.42,
050US55001,55001,34.0,1036.0,,277.76,8463.36,
050US30051,30051,,,,,,
050US30005,30005,,,,,,
050US30077,30077,,,,,,
050US30057,30057,,,,,,
050US30003,30003,,,,,,
050US30073,30073,,,,,,
050US30045,30045,,,,,,
050US30009,30009,,,,,,
050US30085,30085,,,,,,
050US30069,30069,,,,,,
050US49035,49035,1906.0,27551.0,,238.13,3442.09,
050US49011,49011,,,,,,
050US01097,1097,1483.0,17897.0,,568.09,6855.77,
050US49025,49025,,,,,,
050US01033,1033,,,,,,
050US01041,1041,,,,,,
050US01065,1065,,,,,,
050US01109,1109,81.0,958.0,,358.93,4245.14,
050US36011,36011,132.0,1367.0,,280.2,2901.72,
050US36025,36025,85.0,568.0,,313.25,2093.24,
050US36115,36115,59.0,1034.0,,152.95,2680.49,
050US48029,48029,2781.0,47117.0,,201.75,3418.07,
050US48423,48423,814.0,7847.0,,535.38,5161.11,
050US48201,48201,7779.0,78306.0,,242.84,2444.54,
050US48471,48471,189.0,3260.0,,325.02,5606.09,
050US48257,48257,404.0,4286.0,,356.42,3781.18,
050US48223,48223,200.0,1658.0,,857.08,7105.21,
050US48321,48321,134.0,1790.0,,613.5,8195.22,
050US48473,48473,138.0,2043.0,,323.65,4791.5,
050US48215,48215,1502.0,17000.0,,268.03,3033.58,
050US48323,48323,134.0,3962.0,,369.58,10927.55,
050US48187,48187,455.0,3958.0,,379.19,3298.5,
050US48343,48343,26.0,190.0,,364.66,2664.8,
050US48389,48389,57.0,975.0,,660.64,11300.42,
050US48071,48071,175.0,2098.0,,522.22,6260.63,
050US48351,48351,13.0,371.0,,178.35,5089.86,
050US48057,48057,76.0,1911.0,,626.39,15750.43,
050US48455,48455,14.0,84.0,,173.98,1043.87,
050US40017,40017,142.0,4310.0,,128.52,3900.84,
050US40135,40135,127.0,5675.0,,517.23,23112.32,
050US40117,40117,22.0,1191.0,,230.34,12469.9,
050US40101,40101,,,,,,
050US40127,40127,,,,,,
050US40075,40075,28.0,722.0,,563.15,14521.32,
050US41023,41023,,,,,,
050US41061,41061,,,,,,
050US41007,41007,,,,,,
050US41003,41003,,,,,,
050US41015,41015,,,,,,
050US01131,1131,,,,,,
050US01079,1079,,,,,,
050US01035,1035,,,,,,
050US05067,5067,,,,,,
050US05001,5001,,,,,,
050US05011,5011,,,,,,
050US05025,5025,,,,,,
050US05099,5099,,,,,,
050US48273,48273,108.0,2686.0,,531.47,13217.85,
050US48179,48179,58.0,1809.0,,439.46,13706.62,
050US48195,48195,,81.0,,,2551.18,
050US48379,48379,29.0,387.0,,386.36,5155.88,
050US48277,48277,129.0,2474.0,,419.44,8044.22,
050US45063,45063,,,,,,
050US45051,45051,,,,,,
050US45013,45013,168.0,4065.0,,149.99,3629.21,
050US45045,45045,1458.0,17525.0,,413.0,4964.21,
050US45069,45069,,,,,,
050US45021,45021,373.0,2686.0,,1041.29,7498.39,
050US45007,45007,,,,,,
050US45087,45087,92.0,198.0,,560.05,1205.33,
050US45027,45027,,,,,,
050US45061,45061,429.0,3817.0,,568.16,5055.16,
050US45039,45039,,,,,,
050US45017,45017,,,,,,
050US45043,45043,,,,,,
050US21181,21181,395.5,3038.0,,1292.86,9931.03,
050US22103,22103,766.0,7790.0,,448.69,4563.03,
050US47037,47037,2128.0,20503.0,,430.97,4152.3,
050US47045,47045,233.0,3360.0,,1023.82,14764.04,
050US47129,47129,72.0,1157.0,,518.17,8326.74,
050US46023,46023,,,,,,
050US47163,47163,927.0,8431.0,,923.95,8403.27,
050US47055,47055,101.0,1940.0,,533.52,10247.74,
050US47107,47107,282.0,2000.0,,825.58,5855.14,
050US47031,47031,354.0,3068.0,,943.17,8174.14,
050US46055,46055,,,,,,
050US47173,47173,74.0,1800.0,,567.48,13803.68,
050US47189,47189,485.0,6183.0,,470.7,6000.7,
050US46079,46079,,,,,,
050US20151,20151,,,,,,
050US47097,47097,72.0,1356.0,,445.13,8383.31,
050US47079,47079,255.0,2831.0,,1311.66,14562.01,
050US56039,56039,14.0,964.0,,87.96,6056.8,
050US56029,56029,,,,,,
050US54043,54043,554.0,4132.0,,379.73,2832.23,
050US54001,54001,401.0,2877.0,,487.33,3496.38,
050US54037,54037,457.0,4346.0,,339.56,3229.21,
050US54049,54049,1559.0,9516.0,487.0,683.39,4171.32,213.48
050US54109,54109,540.0,5362.0,,362.54,3599.91,
050US54005,54005,548.0,3626.0,40.0,981.27,6492.86,71.63
050US16005,16005,,,,,,
050US04001,4001,,,,,,
050US12045,12045,43.0,858.0,,447.03,8919.85,
050US12123,12123,96.0,1185.0,,742.12,9160.48,
050US29201,29201,,,,,,
050US29069,29069,,,,,,
050US29129,29129,,,,,,
050US29031,29031,231.0,6735.0,,428.95,12506.27,
050US25027,25027,694.0,2054.0,,121.32,359.07,
050US26163,26163,1245.0,10069.0,,110.77,895.86,
050US26021,26021,,,,,,
050US26077,26077,,,,,,
050US26033,26033,,,,,,
050US26071,26071,,,,,,
050US37055,37055,69.0,1310.0,,295.76,5615.09,
050US48443,48443,8.0,27.0,,2259.89,7627.12,
050US48205,48205,,,,,,
050US72113,72113,,,,,,
050US72097,72097,,,,,,
050US72037,72037,,,,,,
050US60030,60030,,,,,,
050US04013,4013,6947.0,84309.0,,232.87,2826.11,
050US15001,15001,,,,,,
050US27167,27167,,,,,,
050US27133,27133,,,,,,
050US27119,27119,,,,,,
050US27069,27069,,,,,,
050US27125,27125,,,,,,
050US27023,27023,,,,,,
050US26097,26097,,,,,,
050US38067,38067,,,,,,
050US48405,48405,26.0,422.0,,581.79,9442.83,
050US48119,48119,11.0,250.0,,343.32,7802.75,
050US22019,22019,968.0,7173.0,,756.63,5606.75,
050US22005,22005,497.0,3359.0,,582.94,3939.85,
050US22071,22071,1206.0,7784.0,,490.47,3165.67,
050US22113,22113,135.0,1130.0,,377.8,3162.34,
050US22043,22043,,,,,,
050US38005,38005,,,,,,
050US38097,38097,,,,,,
050US38095,38095,,,,,,
050US38037,38037,,,,,,
050US28093,28093,,,,,,
050US28001,28001,,,,,,
050US28121,28121,,,,,,
050US28143,28143,28.0,1085.0,,471.54,18272.15,
050US28095,28095,,,,,,
050US28039,28039,,,,,,
050US28087,28087,,,,,,
050US28163,28163,,,,,,
050US28053,28053,,,,,,
050US16061,16061,,,,,,
050US16079,16079,,,,,,
050US16077,16077,,,,,,
050US02020,2020,,,,,,
050US25011,25011,168.0,1753.0,,382.91,3995.44,
