HEROP_ID,FIPS,BupTmDr,BupTmBk,BupTmWk,MetTmDr,MetTmBk,MetTmWk,NaltTmDr,NaltTmBk,NaltTmWk,TlBupTmWk,TlBupTmBk,TlBupTmDr,TlBupMinDis,OtpCtTmDr,OtpAvTmDr,FqhcCtTmDr,FqhcCtTmDr2,FqhcTmDrP,FqhcTmDrP2,FqhcAvTmDr,FqhcAvTmDr2,HospCtTmDr,HospCtTmDr2,HospTmDrP,HospTmDrP2,HospAvTmDr,HospAvTmDr2,RxCtTmDr,RxCtTmDr2,RxTmDrP,RxTmDrP2,RxAvTmDr,RxAvTmDr2,HivCtTmDr,HivCtTmDr2,HivTmDrP,HivTmDrP2,HivAvTmDr,HivAvTmDr2,HcvCtTmDr,HcvCtTmDr2,HcvTmDrP,HcvTmDrP2,HcvAvTmDr,HcvAvTmDr2,TotTracts,MhCtTmDr,MhCtTmDr2,MhTmDrP,MhTmDrP2,MhAvTmDr,MhAvTmDr2,SmokeP,SutCtTmDr,SutCtTmDr2,SutTmDrP,SutTmDrP2,SutAvTmDr,SutAvTmDr2
050US01001,1001,,,,,,,,,,,,,16.640000000,,,15,2,88.240000000,11.760000000,19.930000000,39.870000000,16,11,94.120000000,64.710000000,11.990000000,23.970000000,17,12,100.000000000,70.590000000,9.910000000,19.810000000,16,11,94.120000000,64.710000000,11.990000000,23.970000000,16,11,94.120000000,64.710000000,11.990000000,23.970000000,17,17,11,100.000000000,64.710000000,11.240000000,22.470000000,0.150000000,0,0,0.000000000,0.000000000,,
050US01003,1003,,,,,,,,,,,,70.250000000,21.410000000,,,42,21,97.670000000,48.840000000,15.290000000,30.570000000,42,28,97.670000000,65.120000000,13.120000000,26.250000000,42,40,97.670000000,93.020000000,5.120000000,10.240000000,11,0,25.580000000,0.000000000,40.760000000,81.510000000,11,0,25.580000000,0.000000000,40.910000000,81.810000000,43,25,9,58.140000000,20.930000000,28.400000000,56.790000000,0.150000000,0,0,0.000000000,0.000000000,,
050US01005,1005,,,,,,,,,,,,74.190000000,36.490000000,,,7,2,77.780000000,22.220000000,19.420000000,38.850000000,6,1,66.670000000,11.110000000,25.920000000,51.840000000,8,4,88.890000000,44.440000000,14.710000000,29.420000000,0,0,0.000000000,0.000000000,55.510000000,111.020000000,5,2,55.560000000,22.220000000,25.870000000,51.740000000,9,6,2,66.670000000,22.220000000,23.810000000,47.610000000,0.220000000,0,0,0.000000000,0.000000000,,
050US01007,1007,,,,,,,,,,,,89.310000000,21.000000000,,,8,5,100.000000000,62.500000000,9.580000000,19.160000000,8,4,100.000000000,50.000000000,14.980000000,29.960000000,8,4,100.000000000,50.000000000,12.360000000,24.710000000,1,0,12.500000000,0.000000000,42.980000000,85.960000000,1,0,12.500000000,0.000000000,42.980000000,85.960000000,8,8,4,100.000000000,50.000000000,14.980000000,29.960000000,0.220000000,0,0,0.000000000,0.000000000,,
050US01009,1009,,,,,,,,,,,,,18.810000000,,,14,5,87.500000000,31.250000000,19.520000000,39.050000000,15,5,93.750000000,31.250000000,20.400000000,40.800000000,16,13,100.000000000,81.250000000,6.960000000,13.910000000,4,1,25.000000000,6.250000000,34.210000000,68.410000000,4,1,25.000000000,6.250000000,34.210000000,68.410000000,16,2,0,12.500000000,0.000000000,35.730000000,71.460000000,0.200000000,0,0,0.000000000,0.000000000,,
050US01011,1011,,,,,,,,,,,,75.690000000,23.300000000,,,1,0,25.000000000,0.000000000,36.060000000,72.120000000,4,2,100.000000000,50.000000000,16.390000000,32.780000000,4,2,100.000000000,50.000000000,16.190000000,32.380000000,0,0,0.000000000,0.000000000,49.930000000,99.870000000,0,0,0.000000000,0.000000000,45.770000000,91.540000000,4,0,0,0.000000000,0.000000000,45.950000000,91.900000000,0.250000000,0,0,0.000000000,0.000000000,,
050US01013,1013,,,,,,,,,,,,,49.640000000,,,1,0,11.110000000,0.000000000,37.790000000,75.580000000,7,3,77.780000000,33.330000000,18.670000000,37.340000000,8,6,88.890000000,66.670000000,10.010000000,20.010000000,0,0,0.000000000,0.000000000,44.450000000,88.900000000,0,0,0.000000000,0.000000000,47.350000000,94.710000000,9,8,5,88.890000000,55.560000000,12.290000000,24.580000000,0.200000000,0,0,0.000000000,0.000000000,,
050US01015,1015,,,,,,,,,,,,75.210000000,42.060000000,,,37,21,97.370000000,55.260000000,14.400000000,28.790000000,34,21,89.470000000,55.260000000,15.540000000,31.080000000,38,35,100.000000000,92.110000000,5.480000000,10.960000000,30,22,78.950000000,57.890000000,15.850000000,31.700000000,30,22,78.950000000,57.890000000,15.850000000,31.700000000,38,30,20,78.950000000,52.630000000,16.170000000,32.350000000,0.180000000,0,0,0.000000000,0.000000000,85.980000000,171.960000000
050US01017,1017,,,,,,,,,,,,32.320000000,15.790000000,,,8,5,88.890000000,55.560000000,14.720000000,29.430000000,8,5,88.890000000,55.560000000,14.720000000,29.440000000,9,7,100.000000000,77.780000000,8.040000000,16.080000000,7,0,77.780000000,0.000000000,25.740000000,51.480000000,7,0,77.780000000,0.000000000,26.980000000,53.960000000,9,8,3,88.890000000,33.330000000,19.850000000,39.700000000,0.210000000,0,0,0.000000000,0.000000000,,
050US01019,1019,,,,,,,,,,,,47.340000000,27.600000000,,,7,3,87.500000000,37.500000000,18.130000000,36.250000000,8,2,100.000000000,25.000000000,15.110000000,30.220000000,8,3,100.000000000,37.500000000,12.040000000,24.080000000,4,0,50.000000000,0.000000000,30.820000000,61.640000000,4,0,50.000000000,0.000000000,30.820000000,61.640000000,8,8,2,100.000000000,25.000000000,15.110000000,30.220000000,0.180000000,0,0,0.000000000,0.000000000,77.520000000,155.050000000
050US01021,1021,,,,,,,,,,,,,9.380000000,,,12,7,100.000000000,58.330000000,12.530000000,25.060000000,12,6,100.000000000,50.000000000,14.990000000,29.990000000,12,9,100.000000000,75.000000000,9.430000000,18.860000000,10,3,83.330000000,25.000000000,21.020000000,42.050000000,10,3,83.330000000,25.000000000,21.020000000,42.050000000,12,12,7,100.000000000,58.330000000,13.880000000,27.770000000,0.160000000,0,0,0.000000000,0.000000000,,
050US01023,1023,,,,,,,,,,,,57.120000000,37.310000000,,,4,1,100.000000000,25.000000000,19.750000000,39.490000000,4,1,100.000000000,25.000000000,19.720000000,39.440000000,4,2,100.000000000,50.000000000,11.820000000,23.650000000,0,0,0.000000000,0.000000000,54.110000000,108.220000000,0,0,0.000000000,0.000000000,54.110000000,108.220000000,4,4,1,100.000000000,25.000000000,19.720000000,39.440000000,0.210000000,0,0,0.000000000,0.000000000,,
050US01025,1025,,,,,,,,,,,,85.600000000,62.670000000,,,0,0,0.000000000,0.000000000,53.720000000,107.430000000,6,4,66.670000000,44.440000000,18.350000000,36.700000000,6,5,66.670000000,55.560000000,17.140000000,34.280000000,1,1,11.110000000,11.110000000,41.710000000,83.420000000,1,1,11.110000000,11.110000000,41.710000000,83.420000000,9,0,0,0.000000000,0.000000000,57.890000000,115.780000000,0.200000000,0,0,0.000000000,0.000000000,,
050US01027,1027,,,,,,,,,,,,79.300000000,23.720000000,,,4,1,100.000000000,25.000000000,18.660000000,37.310000000,4,1,100.000000000,25.000000000,17.110000000,34.230000000,4,1,100.000000000,25.000000000,17.040000000,34.080000000,4,1,100.000000000,25.000000000,18.660000000,37.310000000,4,1,100.000000000,25.000000000,18.660000000,37.310000000,4,1,0,25.000000000,0.000000000,37.390000000,74.780000000,0.220000000,0,0,0.000000000,0.000000000,,
050US01029,1029,,,,,,,,,,,,48.720000000,27.180000000,,,3,1,75.000000000,25.000000000,18.970000000,37.940000000,1,0,25.000000000,0.000000000,28.130000000,56.260000000,4,2,100.000000000,50.000000000,14.000000000,28.010000000,1,0,25.000000000,0.000000000,34.760000000,69.510000000,1,0,25.000000000,0.000000000,34.970000000,69.950000000,4,2,0,50.000000000,0.000000000,25.760000000,51.520000000,0.210000000,0,0,0.000000000,0.000000000,76.250000000,152.500000000
050US01031,1031,,,,,,,,,,,,83.370000000,24.730000000,,,14,11,87.500000000,68.750000000,12.930000000,25.850000000,15,9,93.750000000,56.250000000,12.930000000,25.860000000,16,13,100.000000000,81.250000000,7.950000000,15.900000000,9,0,56.250000000,0.000000000,28.840000000,57.670000000,11,0,68.750000000,0.000000000,27.870000000,55.740000000,16,15,9,93.750000000,56.250000000,13.070000000,26.140000000,0.150000000,0,0,0.000000000,0.000000000,,
050US01033,1033,,,,,,,,,,,,62.770000000,5.920000000,,,14,12,93.330000000,80.000000000,9.400000000,18.800000000,15,12,100.000000000,80.000000000,7.970000000,15.950000000,15,13,100.000000000,86.670000000,3.390000000,6.770000000,0,0,0.000000000,0.000000000,60.910000000,121.820000000,14,10,93.330000000,66.670000000,13.250000000,26.500000000,15,15,10,100.000000000,66.670000000,9.930000000,19.850000000,0.190000000,0,0,0.000000000,0.000000000,,
050US01035,1035,,,,,,,,,,,,76.880000000,58.070000000,,,3,1,60.000000000,20.000000000,23.480000000,46.950000000,3,1,60.000000000,20.000000000,23.540000000,47.090000000,5,1,100.000000000,20.000000000,16.510000000,33.020000000,0,0,0.000000000,0.000000000,56.920000000,113.850000000,0,0,0.000000000,0.000000000,79.960000000,159.920000000,5,1,0,20.000000000,0.000000000,33.840000000,67.690000000,0.200000000,0,0,0.000000000,0.000000000,,
050US01037,1037,,,,,,,,,,,,82.150000000,14.780000000,,,1,1,33.330000000,33.330000000,25.890000000,51.780000000,2,0,66.670000000,0.000000000,22.870000000,45.730000000,2,1,66.670000000,33.330000000,17.610000000,35.230000000,1,0,33.330000000,0.000000000,35.570000000,71.130000000,1,0,33.330000000,0.000000000,35.570000000,71.130000000,3,2,0,66.670000000,0.000000000,25.020000000,50.050000000,0.200000000,0,0,0.000000000,0.000000000,,
050US01039,1039,,,,,,,,,,,,78.180000000,49.920000000,,,3,0,21.430000000,0.000000000,36.160000000,72.320000000,13,8,92.860000000,57.140000000,14.340000000,28.680000000,14,12,100.000000000,85.710000000,6.020000000,12.030000000,12,5,85.710000000,35.710000000,20.120000000,40.240000000,0,0,0.000000000,0.000000000,50.720000000,101.440000000,14,13,9,92.860000000,64.290000000,13.070000000,26.140000000,0.190000000,0,0,0.000000000,0.000000000,,
