HEROP_ID,FIPS,PcpPer100k,TotSp,TotPcp,SpPer100k
050US21007,21007,12.36,0.0,1.0,0.0
050US21017,21017,94.32,8.0,19.0,39.71
050US21031,21031,0.0,0.0,0.0,0.0
050US21065,21065,41.92,4.0,6.0,27.95
050US21069,21069,48.35,8.0,7.0,55.25
050US21093,21093,73.08,153.0,79.0,141.54
050US21099,21099,37.58,3.0,7.0,16.11
050US21131,21131,28.65,1.0,3.0,9.55
050US21151,21151,52.4,57.0,47.0,63.55
050US21155,21155,46.8,14.0,9.0,72.8
050US21179,21179,39.66,44.0,18.0,96.94
050US17091,17091,51.32,163.0,57.0,146.77
050US17187,17187,74.98,6.0,13.0,34.61
050US17197,17197,46.61,475.0,321.0,68.97
050US18027,18027,33.4,13.0,11.0,39.47
050US18061,18061,40.29,20.0,16.0,50.36
050US01001,1001,38.04,19.0,21.0,34.42
050US01005,1005,54.3,3.0,14.0,11.64
050US01023,1023,30.59,0.0,4.0,0.0
050US01035,1035,55.94,3.0,7.0,23.97
050US01051,1051,29.55,21.0,24.0,25.86
050US01055,1055,78.69,112.0,81.0,108.8
050US01065,1065,13.43,2.0,2.0,13.43
050US01089,1089,77.19,479.0,276.0,133.96
050US01113,1113,29.2,8.0,17.0,13.74
050US01117,1117,62.96,162.0,133.0,76.68
050US02016,2016,104.35,0.0,6.0,0.0
050US02130,2130,123.15,22.0,17.0,159.37
050US02180,2180,80.6,2.0,8.0,20.15
050US02282,2282,0.0,0.0,0.0,0.0
050US05011,5011,45.67,1.0,5.0,9.13
050US05015,5015,57.37,12.0,16.0,43.03
050US05019,5019,80.41,11.0,18.0,49.14
050US05025,5025,12.16,0.0,1.0,0.0
050US05063,5063,83.19,39.0,31.0,104.66
050US05067,5067,63.86,11.0,11.0,63.86
050US05121,5121,68.17,5.0,12.0,28.4
050US06001,6001,96.85,2259.0,1592.0,137.43
050US06003,6003,0.0,1.0,0.0,87.26
050US06005,6005,63.44,23.0,24.0,60.8
050US06013,6013,83.48,1499.0,946.0,132.27
050US06019,6019,58.48,837.0,572.0,85.57
050US06023,6023,81.02,172.0,110.0,126.69
050US06033,6033,62.36,32.0,40.0,49.88
050US06037,6037,71.86,13862.0,7256.0,137.27
050US06047,6047,44.6,127.0,120.0,47.2
050US06057,6057,73.67,138.0,73.0,139.26
050US06081,6081,84.86,1271.0,650.0,165.94
050US06085,6085,96.92,3324.0,1863.0,172.93
050US06115,6115,35.76,36.0,27.0,47.69
050US08013,8013,108.71,644.0,349.0,200.6
050US08029,8029,98.86,20.0,30.0,65.91
050US08049,8049,46.46,2.0,7.0,13.27
050US08077,8077,101.33,252.0,152.0,168.0
050US08083,8083,88.77,11.0,23.0,42.46
050US08091,8091,148.24,4.0,7.0,84.71
050US09009,9009,91.93,1895.0,790.0,220.52
050US11001,11001,156.17,2607.0,1069.0,380.86
050US12009,12009,69.52,754.0,401.0,130.72
050US12023,12023,66.57,84.0,46.0,121.55
050US12039,12039,32.6,13.0,15.0,28.25
050US12055,12055,58.77,123.0,60.0,120.47
050US12065,12065,21.27,1.0,3.0,7.09
050US12073,12073,76.36,333.0,220.0,115.58
050US12095,12095,62.75,1617.0,829.0,122.39
050US12107,12107,48.1,44.0,35.0,60.47
050US12123,12123,40.73,8.0,9.0,36.2
050US12127,12127,63.3,534.0,334.0,101.21
050US12131,12131,37.96,52.0,25.0,78.96
050US12133,12133,32.57,5.0,8.0,20.35
050US13009,13009,79.49,51.0,36.0,112.62
050US13027,13027,19.2,5.0,3.0,32.01
050US13103,13103,28.97,11.0,17.0,18.74
050US13121,13121,93.55,2279.0,956.0,223.02
050US13141,13141,35.15,0.0,3.0,0.0
050US13149,13149,17.13,0.0,2.0,0.0
050US13179,13179,57.96,46.0,36.0,74.06
050US13183,13183,0.0,1.0,0.0,5.51
050US13189,13189,55.82,5.0,12.0,23.26
050US13209,13209,0.0,0.0,0.0,0.0
050US13229,13229,26.09,1.0,5.0,5.22
050US13267,13267,31.55,15.0,8.0,59.16
050US13271,13271,24.82,0.0,4.0,0.0
050US13291,13291,79.03,17.0,18.0,74.64
050US13305,13305,53.75,19.0,16.0,63.83
050US13319,13319,44.06,0.0,4.0,0.0
050US15007,15007,89.66,79.0,64.0,110.68
050US16015,16015,27.92,2.0,2.0,27.92
050US16023,16023,38.43,1.0,1.0,38.43
050US16025,16025,0.0,0.0,0.0,0.0
050US16027,16027,36.75,113.0,78.0,53.24
050US16037,16037,0.0,0.0,0.0,0.0
050US16039,16039,75.66,16.0,20.0,60.53
050US16043,16043,7.71,0.0,1.0,0.0
050US16061,16061,26.01,0.0,1.0,0.0
050US16063,16063,0.0,0.0,0.0,0.0
050US16085,16085,115.37,10.0,12.0,96.14
050US19175,19175,104.39,5.0,13.0,40.15
050US20053,20053,31.78,1.0,2.0,15.89
050US20095,20095,40.16,0.0,3.0,0.0
050US20135,20135,101.52,0.0,3.0,0.0
050US20199,20199,0.0,0.0,0.0,0.0
050US48011,48011,0.0,0.0,0.0,0.0
050US48025,48025,30.59,23.0,10.0,70.36
050US48035,48035,38.63,2.0,7.0,11.04
050US48053,48053,63.39,36.0,29.0,78.69
050US48055,48055,33.82,6.0,14.0,14.49
050US48083,48083,47.67,0.0,4.0,0.0
050US29057,29057,39.53,0.0,3.0,0.0
050US29143,29143,16.84,0.0,3.0,0.0
050US29157,29157,52.23,10.0,10.0,52.23
050US29189,29189,98.93,2108.0,988.0,211.08
050US29199,29199,81.67,6.0,4.0,122.5
050US29207,29207,67.77,3.0,20.0,10.17
050US30015,30015,0.0,0.0,0.0,0.0
050US30023,30023,87.91,7.0,8.0,76.92
050US30029,30029,72.39,148.0,71.0,150.89
050US30039,30039,30.59,2.0,1.0,61.18
050US30057,30057,36.51,1.0,3.0,12.17
050US30071,30071,24.25,0.0,1.0,0.0
050US30077,30077,102.03,3.0,7.0,43.73
050US30085,30085,26.72,0.0,3.0,0.0
050US30087,30087,43.24,0.0,4.0,0.0
050US30105,30105,53.11,8.0,4.0,106.21
