HEROP_ID,FIPS,TotPop,TotVetPop,TotUnits,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,Age15_44,Ovr65P,DisbP,VetP,UnempP,PovP,PciE,MedInc,GiniCoeff,VacantP,SomeCollegeP,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,SRatio,SRatio18,SRatio65,FemP,MaleP,WhiteE,BlackE,AmIndE,AsianE,PacIsE,OtherE,TwoRaceP,TwoRaceE,HisE,Age15_44P
040US28,28,2967297,207673,1274277,59.13,37.02,0.51,0.87,0.04,2.44,1.85,1197713,12.82,16.3,9.44,9.39,22.29,20670,20784,0.4765,15,17.98,20.38,30.87,12.63,6.83,77.51,74.54,69.83,104.09,91.28,72.4,14.03,14.6,1754684,1098385,15030,25742,1187,38162,1.15,34107,54977,40.36
040US37,37,9535483,738926,4325088,68.47,21.48,1.28,2.19,0.07,6.5,5.16,3894908,12.94,13.1,10.29,9.19,16.83,25285,24828,0.4666,15,16.96,16.43,28.23,17.41,8.69,78.76,76.07,71.69,104.72,92.12,73.78,13.11,13.73,6528950,2048628,122110,208962,6604,414030,2.16,206199,492330,40.85
040US40,40,3751351,322008,1664404,72.16,7.4,8.58,1.73,0.12,10.02,5.32,1501418,13.51,15.7,11.5,6.18,16.58,24046,23805,0.4593,14,19.12,14.63,32.57,15.21,7.4,77.95,75.22,70.74,105.01,95.82,77.34,13.54,14.22,2706845,277644,321687,65076,4369,154409,5.9,221321,199457,40.02
040US51,51,8001024,734151,3365855,68.58,19.39,0.37,5.5,0.07,6.1,5.34,3322403,12.21,10.9,12.15,6.18,11.06,33326,30903,0.4606,11,15.9,13.92,25.99,19.93,13.88,79.53,76.83,72.49,104.3,94.02,75.83,12.75,13.3,5486852,1551399,29225,439890,5980,254278,2.92,233400,426857,41.52
040US54,54,1852994,164979,882240,93.9,3.41,0.2,0.67,0.02,1.79,0.8,695488,16.05,19.0,11.29,7.22,17.6,22482,21512,0.4596,16,14.6,18.09,41.29,10.57,6.69,81.56,79.09,74.9,105.16,95.24,77.3,11.55,12.15,1739988,63124,3787,12406,428,6119,1.46,27142,14764,37.53
040US22,22,4533372,313006,1964329,62.56,32.04,0.67,1.55,0.04,3.13,3.05,1858120,12.31,15.0,9.21,7.57,18.66,24264,23227,0.479,14,17.02,19.02,34.77,14.04,6.89,78.18,75.34,70.83,103.91,93.3,74.02,13.57,14.1,2836192,1452396,30579,70132,1963,69227,1.61,72883,138091,40.99
040US26,26,9883640,692582,4531958,78.95,14.17,0.63,2.41,0.03,3.82,2.68,3850794,13.78,13.5,9.17,11.02,16.35,25547,24769,0.4554,16,18.69,11.96,31.46,15.46,9.56,79.24,76.28,71.69,104.84,93.73,75.83,13.08,13.72,7803120,1400362,62007,238199,2604,147029,2.33,230319,264511,38.96
040US25,25,6547629,400874,2804206,80.41,6.63,0.29,5.34,0.03,7.29,6.37,2670714,13.79,11.2,7.8,7.66,11.03,35485,31617,0.4741,10,13.32,11.31,26.74,21.94,16.35,81.0,78.33,73.69,104.0,90.84,71.52,12.14,12.62,5265236,434398,18850,349768,2223,305151,2.63,172003,416775,40.79
040US16,16,1567582,125905,666718,89.09,0.63,1.37,1.22,0.15,7.56,6.56,624142,12.42,12.3,11.06,7.75,15.07,22581,22989,0.4281,13,21.46,11.82,28.84,16.73,7.56,75.59,72.63,68.26,104.96,98.54,85.7,14.79,15.53,1396487,9810,21441,19069,2317,79523,2.48,38935,102786,39.82
040US12,12,18801310,1606758,8983414,75.04,15.96,0.38,2.42,0.07,6.14,16.59,7177939,17.34,12.8,10.84,9.91,15.62,26451,24683,0.476,20,16.98,14.7,30.25,16.77,9.14,81.29,78.71,74.62,104.77,93.28,80.17,11.72,12.28,14109162,2999862,71458,454821,12286,681144,2.51,472577,3119182,38.18
040US31,31,1826341,146852,797210,86.12,4.54,1.01,1.77,0.07,6.49,5.38,724220,13.51,10.8,10.77,5.2,12.42,26523,26465,0.4357,10,19.02,10.0,29.64,18.89,8.78,77.63,74.86,70.47,104.8,96.43,75.85,13.7,14.36,1572838,82885,18427,32293,1279,79109,2.16,39510,98221,39.65
040US53,53,6724540,594914,2884186,77.27,3.57,1.54,7.15,0.6,9.86,6.79,2765726,12.31,12.0,11.64,7.98,12.93,30661,30117,0.4437,9,19.89,10.42,24.29,19.95,11.05,79.23,76.48,72.28,105.13,97.54,80.83,12.83,13.49,5196362,240042,103869,481067,40475,349799,4.65,312926,456355,41.13
040US35,35,2059179,175832,900504,68.37,2.07,9.38,1.37,0.09,18.72,31.63,807999,13.22,13.7,11.49,8.12,19.52,23749,23655,0.4663,15,19.32,17.29,26.99,14.62,10.83,77.72,74.81,70.39,104.02,95.64,81.93,13.8,14.36,1407876,42550,193222,28208,1810,308503,3.74,77010,651326,39.24
040US46,46,814180,69787,363793,85.9,1.25,8.82,0.93,0.05,3.04,1.59,313765,14.32,11.5,11.43,4.65,13.76,25570,25803,0.4417,12,17.44,10.74,32.73,17.98,7.34,77.89,75.09,70.69,105.56,98.44,77.37,13.55,14.3,699392,10207,71817,7610,394,7477,2.12,17283,12917,38.54
040US48,48,25145561,1611660,9978137,70.4,11.85,0.68,3.84,0.09,13.15,24.43,10772058,10.35,11.5,8.83,7.01,17.35,25809,25734,0.4741,12,19.28,19.98,25.99,17.26,8.5,75.7,72.7,68.22,104.76,96.18,77.46,14.8,15.51,17701552,2979598,170972,964596,21656,2628186,2.7,679001,6143144,42.84
040US06,6,37253956,1952910,13667226,57.59,6.17,0.97,13.05,0.39,21.83,24.85,16090476,11.4,10.0,7.0,9.71,15.28,29551,27129,0.4751,9,19.07,19.32,21.49,19.22,10.84,78.06,75.05,70.4,105.05,96.93,76.98,13.68,14.37,21453934,2299072,362801,4861007,144386,6317372,4.87,1815384,9257499,43.19
040US01,1,4779736,398343,2172647,68.53,26.18,0.59,1.12,0.06,3.52,2.48,1907216,13.76,16.3,10.97,9.11,18.07,23587,22318,0.4705,15,17.23,18.62,31.77,13.84,7.88,79.12,76.31,71.78,104.16,91.38,73.43,13.08,13.62,3275394,1251311,28218,53595,3057,96910,1.49,71251,118336,39.9
040US13,13,9687653,701808,4086231,59.74,30.46,0.33,3.25,0.07,6.16,5.56,4123179,10.65,11.8,9.78,9.38,17.41,25309,25705,0.4719,14,16.57,16.52,29.61,17.54,9.67,77.19,74.28,69.81,104.3,92.45,73.74,14.05,14.66,5787440,2950435,32151,314467,6799,388872,2.14,207489,539002,42.56
040US42,42,12702379,981865,5563832,81.92,10.85,0.21,2.75,0.03,4.24,3.62,4906000,15.42,13.2,9.91,7.71,13.06,28190,26248,0.4611,11,12.92,12.59,37.81,16.32,10.07,80.77,78.02,73.46,104.58,92.46,72.13,12.23,12.79,10406288,1377689,26843,349088,3653,300983,1.87,237835,459421,38.62
040US29,29,5988927,494876,2710506,82.8,11.58,0.46,1.64,0.1,3.42,2.2,2361158,14.0,14.0,10.89,7.71,14.98,25546,24955,0.4551,13,17.62,13.84,32.57,15.83,9.22,78.99,76.2,71.82,104.75,93.39,75.46,13.06,13.68,4958770,693391,27376,98083,6261,80457,2.08,124589,131812,39.43
040US08,8,5029196,405895,2211615,81.31,4.01,1.11,2.76,0.13,10.67,13.21,2114012,10.93,9.8,10.71,7.26,12.86,31039,30084,0.4559,11,18.03,10.69,23.34,23.03,12.85,78.3,75.63,71.48,105.33,99.1,79.75,13.22,13.92,4089202,201737,56010,139028,6623,364140,3.43,172456,664462,42.03
040US49,49,2763885,146524,979848,86.09,1.06,1.19,2.0,0.89,8.77,7.76,1225771,9.03,8.8,7.74,6.52,12.11,23794,25726,0.4197,10,22.26,9.4,24.84,19.9,9.52,71.6,68.49,63.65,104.6,98.86,82.87,17.02,17.8,2379560,29287,32927,55285,24554,166754,2.73,75518,214494,44.35
040US47,47,6346105,493980,2811854,77.56,16.66,0.32,1.44,0.06,3.97,2.87,2541557,13.45,15.0,10.2,8.72,17.26,24294,23216,0.4706,12,16.86,17.51,33.38,14.7,7.99,79.15,76.43,72.18,104.44,92.33,75.1,12.92,13.49,4921948,1057315,19994,91242,3642,141955,1.73,110009,182006,40.05
040US56,56,563626,51203,261430,90.71,0.84,2.37,0.79,0.08,5.22,5.69,223075,12.44,11.9,12.05,4.79,11.04,28858,28276,0.42,15,20.72,8.66,31.27,15.75,7.82,78.62,75.98,71.63,106.15,103.37,87.03,13.04,13.84,511279,4748,13336,4426,427,17049,2.19,12361,32070,39.58
040US36,36,19378102,957004,8102223,65.75,15.86,0.55,7.33,0.05,10.46,12.61,8046567,13.51,10.9,6.36,7.9,14.9,32104,29001,0.5005,11,13.75,15.55,28.24,18.34,13.79,80.45,77.68,73.21,104.62,90.85,70.73,12.35,12.92,12740974,3073800,106906,1420244,8766,1441563,3.02,585849,2444400,41.52
040US20,20,2853118,218511,1233125,83.8,5.88,0.99,2.38,0.08,6.87,6.24,1132668,13.18,12.1,10.35,6.15,13.21,26845,26646,0.4454,10,19.11,10.79,28.87,19.27,10.08,77.34,74.52,70.09,105.32,96.25,75.6,13.84,14.57,2391044,167864,28150,67762,2238,110127,3.01,85933,177942,39.7
040US02,2,710231,72090,305445,66.68,3.28,14.77,5.37,1.04,8.87,3.44,302659,7.74,11.2,14.22,7.4,9.59,32537,31005,0.4132,17,22.72,9.29,27.36,17.42,9.58,76.62,73.62,69.24,106.64,109.45,95.29,14.16,15.1,473576,23263,104871,38135,7409,11102,7.3,51875,24437,42.61
040US32,32,2700551,229570,1171300,66.16,8.1,1.19,7.24,0.62,16.7,16.83,1130438,12.01,10.8,11.31,10.4,14.23,27003,28272,0.4434,15,21.32,15.72,29.67,14.43,7.42,78.12,75.38,71.42,105.08,101.06,89.27,13.29,13.97,1786688,218626,32062,195436,16871,324793,4.67,126075,454534,41.86
040US17,17,12830632,755256,5293619,71.53,14.55,0.34,4.57,0.03,8.97,10.17,5302903,12.54,10.3,7.79,8.87,13.66,29519,28209,0.4681,10,17.18,13.79,27.85,18.86,11.42,78.51,75.61,71.35,104.57,93.74,72.61,13.32,13.93,9177877,1866414,43963,586934,4050,861412,2.26,289982,1304397,41.33
040US50,50,625741,50705,322243,95.29,1.0,0.35,1.27,0.03,2.05,1.01,237844,14.56,13.3,10.21,6.07,11.55,28846,26761,0.4347,20,13.04,9.44,32.05,20.16,13.11,82.02,79.35,74.32,105.68,94.98,79.41,11.67,12.34,596292,6277,2207,7947,160,2105,1.72,10753,6328,38.01
040US30,30,989415,97991,481401,89.44,0.41,6.32,0.63,0.07,3.13,1.76,369671,14.83,13.1,12.82,6.39,14.81,25002,23906,0.4398,16,18.74,9.04,31.25,19.22,8.65,80.1,77.4,73.23,106.04,99.39,86.46,12.31,13.06,884961,4027,62555,6253,668,5975,2.52,24976,17420,37.36
040US19,19,3046355,233698,1337410,91.31,2.93,0.36,1.74,0.07,3.59,2.9,1177318,14.87,11.4,10.07,5.22,12.23,26545,26622,0.4299,9,17.09,10.05,34.4,16.99,7.53,78.85,76.1,71.52,105.19,95.9,74.45,13.13,13.81,2781561,89148,11084,53094,2003,56132,1.75,53333,88337,38.65
040US45,45,4625364,396873,2134456,66.16,27.9,0.42,1.28,0.06,4.18,3.33,1854831,13.66,13.8,11.29,9.7,17.55,23906,23293,0.464,17,16.07,16.99,31.25,15.51,8.44,79.34,76.64,71.93,103.98,92.09,76.31,12.98,13.49,3060000,1290684,19524,59051,2706,113464,1.73,79935,154176,40.1
040US33,33,1316470,115415,613995,93.89,1.14,0.24,2.16,0.03,2.54,1.74,501816,13.54,11.3,11.2,6.08,8.44,32758,31145,0.428,16,14.74,9.05,29.75,20.97,11.88,81.0,78.18,73.84,104.51,95.34,79.66,12.1,12.65,1236050,15035,3150,28407,384,12062,1.62,21382,22934,38.12
040US04,4,6392017,530693,2841432,73.01,4.05,4.64,2.76,0.2,15.33,18.64,2583353,13.8,11.5,11.13,8.69,17.15,25571,26388,0.4571,17,21.32,15.04,25.1,16.73,9.58,77.35,74.51,70.07,104.56,96.89,83.66,13.92,14.55,4667121,259008,296529,176695,12648,761716,3.42,218300,1191203,40.42
040US11,11,601723,30777,296671,38.47,50.71,0.35,3.5,0.05,6.93,7.1,309433,11.44,11.3,6.17,9.33,18.46,45004,38230,0.5315,12,11.91,13.51,19.94,21.95,27.24,85.18,83.25,77.36,98.28,87.2,67.35,10.37,10.19,231471,305125,2079,21056,302,24374,2.88,17316,42708,51.42
040US34,34,8791894,457724,3555864,68.58,13.7,0.33,8.25,0.03,9.1,12.44,3487435,13.49,9.9,6.8,8.52,9.87,35928,33498,0.4669,10,13.89,12.74,29.77,21.64,12.96,79.35,76.51,72.7,105.18,92.0,71.25,12.7,13.36,6029248,1204826,29026,725726,3043,559722,2.73,240303,1094143,39.67
040US24,24,5773552,438387,2378932,58.18,29.45,0.35,5.52,0.05,6.44,5.58,2357553,12.26,10.1,9.95,7.03,9.43,36056,35444,0.4444,10,15.35,12.24,26.43,19.75,15.95,79.4,76.57,72.33,104.25,90.63,73.39,12.86,13.41,3359284,1700298,20420,318853,3157,206832,2.85,164708,322308,40.83
040US23,23,1328361,130685,721171,95.23,1.18,0.65,1.02,0.03,1.9,0.79,483956,15.89,15.6,12.41,6.79,13.27,26464,24627,0.44,23,15.3,10.24,35.16,17.17,9.38,82.0,79.33,75.28,105.83,93.43,77.96,11.37,12.04,1264971,15707,8568,13571,342,4261,1.58,20941,10525,36.43
040US15,15,1360301,112589,519811,24.74,1.57,0.31,38.6,9.96,24.82,5.56,543529,14.35,10.7,11.03,5.91,10.78,29227,30374,0.4294,14,17.84,10.23,28.97,19.66,9.78,80.21,77.67,73.77,106.1,98.87,79.1,12.07,12.8,336599,21424,4164,525078,135422,16985,23.57,320629,75574,39.96
040US10,10,897934,76752,405883,68.89,21.36,0.47,3.18,0.04,6.06,5.14,354954,14.4,12.4,11.11,7.52,11.5,29733,29752,0.4373,18,15.91,12.95,32.17,16.59,11.07,79.83,77.08,72.4,103.3,91.17,77.71,12.81,13.23,618617,191814,4181,28549,400,30519,2.66,23854,46136,39.53
040US44,44,1052567,74982,462603,81.41,5.72,0.58,2.89,0.05,9.35,8.05,426035,14.43,12.5,9.08,8.49,13.2,30005,27469,0.4634,11,14.63,16.34,28.22,18.46,11.88,81.44,78.72,73.28,103.73,90.53,69.82,12.21,12.66,856869,60189,6058,30457,554,63653,3.3,34787,84715,40.48
040US21,21,4339367,319678,1927916,87.79,7.78,0.23,1.13,0.06,3.01,1.91,1729641,13.33,16.7,9.68,8.48,18.56,23210,22257,0.4666,12,16.59,19.04,34.4,12.1,8.24,79.11,76.42,72.17,104.96,94.43,74.99,12.89,13.53,3809537,337520,10120,48930,2501,55551,1.73,75208,82887,39.86
040US39,39,11536504,893168,5124503,82.69,12.2,0.22,1.67,0.04,3.19,1.9,4476588,14.06,13.2,10.14,8.7,15.36,25857,25470,0.455,11,16.2,12.57,35.85,15.33,8.82,79.17,76.33,71.99,104.49,92.71,73.19,13.0,13.59,9539437,1407681,25292,192233,4066,130030,2.06,237765,218924,38.8
040US55,55,5686986,423264,2620401,86.2,6.32,0.96,2.27,0.03,4.22,3.51,2233121,13.67,10.9,9.73,6.88,12.48,27426,27171,0.4336,13,16.51,10.57,34.03,17.15,8.65,79.25,76.45,72.17,104.8,96.66,76.7,12.9,13.52,4902067,359148,54526,129234,1827,135867,1.83,104317,199822,39.27
040US41,41,3831074,333395,1673593,83.65,1.81,1.39,3.69,0.35,9.12,7.04,1531577,13.93,13.5,11.23,9.56,15.52,26702,25322,0.4517,10,20.79,11.45,25.6,18.25,10.38,80.0,77.38,73.25,104.93,96.01,80.43,12.38,12.99,3204614,69206,53203,141263,13404,204625,3.78,144759,269748,39.98
040US38,38,672591,54782,319468,90.02,1.18,5.44,1.03,0.05,2.28,1.2,272177,14.49,10.8,10.53,3.2,12.1,28700,27090,0.4481,12,18.41,10.58,28.11,19.38,6.93,80.28,77.72,72.58,105.65,101.32,77.07,12.43,13.13,605449,7960,36591,6909,320,3509,1.76,11853,8064,40.47
040US05,5,2915918,242151,1316874,77.0,15.43,0.76,1.24,0.2,5.37,3.81,1145555,14.4,16.8,11.01,7.74,18.72,22007,21604,0.4618,14,18.01,18.07,35.31,12.76,6.37,78.35,75.6,71.24,104.59,93.93,77.22,13.34,13.95,2245229,449895,22248,36102,5863,99571,1.96,57010,111094,39.29
040US18,18,6483802,468648,2797237,84.33,9.12,0.28,1.58,0.04,4.65,3.63,2595716,12.97,12.7,9.61,8.49,14.75,24558,25407,0.4396,11,16.61,13.79,36.17,14.34,8.09,78.06,75.2,70.61,104.69,94.33,74.06,13.61,14.25,5467906,591397,18462,102474,2348,173314,1.97,127901,235369,40.03
040US27,27,5303925,377522,2347928,85.3,5.17,1.15,4.04,0.04,4.3,2.81,2120160,12.88,10.0,9.37,6.49,11.22,30656,30070,0.442,10,17.79,8.67,27.84,21.34,10.08,78.59,75.79,71.64,104.66,96.64,77.38,13.18,13.8,4524062,274412,60916,214234,2156,103000,2.36,125145,148836,39.97
040US09,9,3574097,228291,1485445,77.57,10.14,0.31,3.79,0.04,8.15,8.92,1383547,14.17,10.6,8.3,8.2,9.95,37807,32842,0.4846,8,14.0,11.65,28.57,19.86,15.31,80.0,77.14,73.03,105.03,92.04,72.45,12.5,13.13,2772410,362296,11256,135565,1428,198466,2.59,92676,318947,38.71
