HEROP_ID,FIPS,HcvD,MlHcvD,FlHcvD,AmInHcvD,AsPiHcvD,BlkHcvD,HspHcvD,U50HcvD,A50_74HcvD,O75HcvD,OdMortRt,MedPolProp
040US28,28,183,127,56.0,,,48.0,,11.0,151.0,,12.1,0.0
040US37,37,511,357,154.0,10.0,,121.0,12.0,22.0,448.0,11.0,19.7,0.0
040US40,40,538,356,182.0,51.0,,38.0,22.0,50.0,456.0,12.0,21.5,0.0
040US51,51,327,233,94.0,,,105.0,,17.0,293.0,,16.7,0.0
040US54,54,118,91,27.0,,,12.0,,,87.0,,52.0,1.0
040US22,22,383,263,120.0,,,154.0,,20.0,327.0,,21.8,0.5
040US26,26,415,283,132.0,,,124.0,20.0,14.0,364.0,,24.4,1.0
040US25,25,261,187,74.0,,,32.0,39.0,15.0,214.0,,33.0,1.0
040US16,16,115,74,41.0,,,,,,90.0,,15.2,0.0
040US12,12,1222,859,363.0,,,173.0,143.0,76.0,1030.0,103.0,23.7,0.0
040US31,31,78,60,18.0,,,16.0,,,55.0,,6.4,0.0
040US53,53,517,354,163.0,24.0,24.0,38.0,27.0,17.0,453.0,26.0,14.5,1.0
040US35,35,203,141,62.0,13.0,,,116.0,25.0,153.0,,25.2,1.0
040US46,46,37,28,,,,,,,10.0,,8.4,0.0
040US48,48,1886,1366,520.0,,31.0,369.0,483.0,169.0,1591.0,118.0,10.1,0.0
040US06,6,2917,2033,884.0,52.0,159.0,367.0,868.0,193.0,2406.0,308.0,11.2,1.0
040US01,1,166,120,46.0,,,45.0,,,135.0,,16.2,0.0
040US13,13,368,264,104.0,,,119.0,,17.0,320.0,13.0,13.3,0.0
040US42,42,564,401,163.0,,,140.0,48.0,48.0,472.0,19.0,37.9,1.0
040US29,29,258,193,65.0,,,54.0,,,223.0,,23.6,0.0
040US08,8,385,288,97.0,,,36.0,99.0,20.0,327.0,20.0,16.6,1.0
040US49,49,85,61,24.0,,,,14.0,,59.0,,22.4,0.0
040US47,47,482,334,148.0,,,105.0,,63.0,387.0,12.0,24.5,0.0
040US56,56,38,27,11.0,,,,,,13.0,,17.6,0.0
040US36,36,789,543,246.0,,26.0,177.0,216.0,37.0,664.0,75.0,18.0,1.0
040US20,20,148,107,41.0,,,13.0,11.0,,126.0,,11.1,0.0
040US02,2,50,33,17.0,14.0,,,,,33.0,,16.8,1.0
040US32,32,181,126,55.0,,,17.0,16.0,,148.0,11.0,21.7,1.0
040US17,17,354,259,95.0,,,108.0,40.0,,300.0,20.0,18.9,1.0
040US50,50,35,28,,,,,,,11.0,,22.2,1.0
040US30,30,75,52,23.0,19.0,,,,11.0,43.0,,11.7,1.0
040US19,19,109,80,29.0,,,,,,95.0,,10.6,1.0
040US45,45,299,219,80.0,,,105.0,,10.0,263.0,,18.1,0.0
040US33,33,68,54,14.0,,,,,,48.0,,39.0,1.0
040US04,4,500,355,145.0,15.0,,29.0,93.0,33.0,420.0,15.0,20.3,1.0
040US11,11,95,67,28.0,,,89.0,,,71.0,,14.5,1.0
040US34,34,378,278,100.0,,,128.0,52.0,19.0,320.0,11.0,23.2,1.0
040US24,24,327,242,85.0,,,169.0,,25.0,269.0,13.0,33.2,1.0
040US23,23,40,29,11.0,,,,,,14.0,,28.7,0.0
040US15,15,70,53,17.0,,24.0,,10.0,,48.0,,12.8,1.0
040US10,10,47,33,14.0,,,17.0,,,36.0,,30.8,1.0
040US44,44,89,71,18.0,,,12.0,11.0,,69.0,,30.8,1.0
040US21,21,269,184,85.0,,,28.0,,45.0,193.0,,33.5,1.0
040US39,39,546,384,162.0,,,139.0,,50.0,443.0,28.0,39.1,1.0
040US55,55,214,147,67.0,,,52.0,13.0,,183.0,,19.3,0.0
040US41,41,491,350,141.0,10.0,,12.0,23.0,22.0,438.0,13.0,11.9,1.0
040US38,38,20,13,,,,,,,,,10.6,1.0
040US05,5,184,133,51.0,,,32.0,,,160.0,,14.0,1.0
040US18,18,295,208,87.0,,,48.0,13.0,25.0,249.0,,24.0,1.0
040US27,27,240,176,64.0,16.0,,36.0,15.0,,212.0,,12.5,1.0
040US09,9,123,91,32.0,,,24.0,27.0,,99.0,,27.4,1.0
