HEROP_ID,FIPS,TotTracts,AreaSqMi,StateArea,TotPop,Age15_44,Age15_24P,Und45P,Ovr65P,AgeOv18,TotPopHh,NonRelFhhP,NonRelNfhhP,DisbP,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TotVetPop,VetP,AlcTot,AlcDens,AlcPerCap,TotUnits,VacantP,MobileP,LngTermP,RentalP,UnitDens,Ndvi,PovP,UnempP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,TotWrkE,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,MedcdExp,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT,OdMortRt,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,MaleP,FemP,Ovr16P,Ovr18P,Ovr21P,SRatio,SRatio18,SRatio65,WhiteE,AsianE,PacIsE,HisE,AmIndE,TwoRaceE,OtherE,SomeCollegeP,EduNoHsP,EduHsP,BachelorsP,GradSclP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65,Age15_44P
040US01,1,1181,50646.35,1999581060.0,4864680,1890372,13.53,57.49,16.11,3765887,4745881,2.11,16.98,16.3,68.19,26.58,4.18,0.53,1.33,0.04,3.32,0.37,0.56,0.37,0.44,0.63,0.07,0.51,0.59,0.02,335599,8.94,378,0.01,0,2244462,17.12,13.29,26.54,31.45,44.32,0.24,17.5,6.6,25375,26846,10.68,54.4,0.48,2076708,8.9,23.74,13.49,11.76,1026959,49.45,5598446200,4014987200,1583459000,,,501051,167017,501051,1002102,642843,1609448,642843,1285686,1143894,1776465,1143894,2287788,16.6,167,114,53,-1,142,-1,-1,0,0,53,110,0,0,0,7/1/2015,7/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8/1/2004,11/1/2005,4/1/2006,3/9/2017,8/1/2004,48.43,51.57,80.06,77.41,66.43,93.9,90.81,76.77,3317453,64609,2182,203146,25576,91619,70055,17.69,14.24,30.91,15.62,9.31,77,3894696,3765887,3231752,783832,38.86
040US02,2,167,570980.58,52177139592.0,738516,315398,14.11,63.91,10.62,552378,711117,4.08,27.51,12.0,64.84,3.27,6.93,14.44,6.3,1.2,9.95,0.19,0.5,0.02,0.12,0.5,0.06,0.22,0.46,0.08,67452,12.6,147,0.0,0,315386,19.63,4.71,21.31,36.02,0.55,0.05,10.8,7.4,33413,35874,4.67,24.11,0.42,351152,9.38,16.63,14.66,10.93,167856,47.8,2077801600,1088386100,576420900,398204400,14790200,349572,116524,349572,699144,19371,489925,19371,38742,368943,606449,368943,737886,14.6,40,28,12,-1,10,-1,13,0,-1,-1,18,-1,-1,1,4/1/2016,4/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,0.57,1.0,9/7/2008,9/1/2008,1/1/2012,6/7/2018,9/7/2008,52.21,47.79,77.39,74.8,64.39,109.25,110.53,98.6,478834,46556,8849,51186,106660,62461,11027,22.46,7.28,28.02,18.43,10.8,75,571528,552378,475536,78428,42.71
040US04,4,1533,113590.17,19686821200.0,6946685,2757583,13.77,59.22,16.67,5312902,6790680,3.18,24.65,12.9,77.22,4.39,31.14,4.46,3.29,0.2,10.43,0.53,0.48,0.04,0.38,0.47,0.41,0.46,0.53,0.03,487684,9.21,298,0.0,0,2970935,15.03,10.47,16.73,36.38,26.15,0.1,16.1,6.5,28815,29265,14.24,148.17,0.47,3045978,8.85,16.15,13.02,12.16,1344429,44.14,11769148600,6371629300,2523317200,2653909200,220292800,754293,251431,754293,1508586,1848045,3429846,1848045,3696090,2602338,3681277,2602338,5204676,23.8,348,270,78,13,299,-1,14,-1,0,20,198,-1,90,1,9/1/2016,9/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9/19/2007,9/1/2007,12/1/2008,10/16/2017,9/19/2007,49.71,50.29,79.16,76.48,66.13,98.86,97.35,85.51,5364141,228887,14112,2163312,309580,252883,471823,21.59,13.23,24.01,18.02,10.85,76,5498826,5312902,4593897,1158320,39.7
040US05,5,686,52034.31,1836606158.0,2990671,1163477,13.56,58.49,16.3,2284728,2906459,2.5,18.55,17.2,77.0,15.41,7.32,0.67,1.47,0.27,5.18,0.4,0.69,0.21,0.35,0.72,0.08,0.51,0.66,0.02,202572,8.88,399,0.01,0,1362040,15.41,12.27,21.68,34.35,26.18,0.1,17.6,5.5,24977,25635,9.39,46.92,0.48,1292263,9.51,24.09,14.97,13.3,658909,50.99,6400396000,3228811200,1323965200,1739970200,107649400,317061,105687,317061,634122,531165,870184,531165,1062330,848226,975871,848226,1696452,15.7,150,103,47,-1,129,-1,-1,0,0,22,124,0,-1,1,8/1/2015,8/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3/11/2011,3/1/2013,5/1/2013,8/1/2017,7/27/2011,49.1,50.9,79.05,76.4,65.69,96.46,93.75,79.81,2302874,43988,7969,219052,20037,75852,78981,18.86,13.81,34.07,14.44,8.15,76,2364108,2284728,1964643,487536,38.9
040US06,6,8058,155793.02,7063958716.0,39148760,16482385,13.78,61.35,13.58,30075105,38329281,3.56,28.27,10.6,60.1,5.79,38.88,0.76,14.32,0.39,18.64,0.47,0.49,0.07,0.34,0.47,0.38,0.39,0.5,0.12,1618861,5.41,6054,0.04,0,14084824,7.95,3.69,23.14,45.35,90.41,0.22,14.3,6.7,30797,35021,13.7,126.0,0.49,18309012,8.51,18.55,12.47,10.63,7920148,43.26,89944234400,36497606700,35151528200,17251390500,1043709100,5647680,1882560,5647680,11295360,18713541,25783987,18713541,37427082,24361221,27666547,24361221,48722442,12.8,2391,1699,692,128,2004,255,31,103,14,278,1176,37,732,1,1/1/2008,1/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,1/1/1939,1/1/1990,9/1/2009,10/2/2018,1/1/1998,49.69,50.31,79.46,76.82,66.1,98.78,96.98,79.71,23529068,5604339,153366,15221577,296475,1882227,5415410,19.24,17.07,20.56,20.77,12.48,77,31109195,30075105,25877754,5315457,42.1
040US08,8,1249,103638.18,4209023352.0,5531141,2331051,13.25,61.13,13.39,4271322,5411306,2.81,27.14,10.6,84.17,4.12,21.42,0.99,3.12,0.15,7.45,0.37,0.63,0.03,0.22,0.7,0.24,0.31,0.61,0.02,375746,8.87,1352,0.01,0,2352202,10.15,4.13,17.91,35.12,22.7,0.09,10.9,4.7,34109,36415,9.84,80.8,0.46,2839374,8.73,17.96,12.03,10.84,1151623,40.56,9229483200,3812195000,3792747500,1525136400,99404300,578478,192826,578478,1156956,1402407,2693737,1402407,2804814,1980885,2886563,1980885,3961770,16.8,387,283,104,13,333,23,-1,-1,0,28,241,-1,104,1,6/1/2013,4/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,0.62,1.0,6/3/2005,6/1/2005,2/1/2008,5/21/2018,6/3/2005,50.28,49.72,79.71,77.22,66.8,101.11,100.12,83.91,4655584,172695,8296,1184794,54483,197328,214817,17.85,8.61,21.43,25.2,14.95,77,4409148,4271322,3694988,740638,42.14
040US09,9,833,4842.66,1613697223.0,3581504,1359543,13.76,55.0,16.41,2828879,3466662,2.59,19.7,11.0,76.36,10.56,15.69,0.27,4.43,0.03,8.34,0.56,0.57,0.17,0.47,0.59,0.24,0.41,0.72,0.08,173998,6.17,1215,0.25,0,1512305,9.58,0.78,29.97,33.66,312.29,0.17,10.0,6.5,36515,43056,8.46,55.12,0.5,1810445,10.91,17.6,15.58,10.6,729279,40.28,8579843200,3270834800,3257617600,1822845100,228545700,669357,223119,669357,1338714,0,1582453,0,0,669357,1805572,669357,1338714,30.7,89,56,33,-1,62,-1,0,0,0,13,56,0,20,1,10/1/2003,10/1/2017,7/1/2015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,48.78,51.22,81.66,78.99,67.0,95.24,92.73,76.16,2734880,158817,1173,561791,9698,113430,185244,13.73,9.51,27.05,21.74,17.2,79,2924591,2828879,2399697,587580,37.96
040US10,10,218,1948.23,1734973880.0,949495,357416,12.72,55.41,17.6,746069,924444,2.8,22.04,12.3,68.97,22.11,9.09,0.36,3.87,0.05,4.64,0.39,0.53,0.31,0.36,0.57,0.15,0.37,0.64,0.05,66590,8.96,258,0.13,0,428251,16.46,8.26,25.16,28.92,219.81,0.22,11.9,5.9,32357,33989,7.35,56.28,0.45,450946,9.71,16.89,15.11,12.16,196456,43.57,2318701900,987366600,761443100,514715800,55176500,440268,146756,440268,880536,0,270786,0,0,440268,417542,440268,880536,43.8,34,23,11,-1,-1,-1,0,0,0,18,15,0,-1,1,9/1/2014,9/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,48.4,51.6,81.07,78.58,67.5,93.8,91.42,80.32,654905,36723,477,86315,3455,26009,18034,15.44,10.22,31.6,18.3,13.1,79,769793,746069,640936,167129,37.64
040US11,11,179,61.14,176787002.2,684498,350426,13.37,66.68,11.94,562761,644878,3.7,29.71,11.8,40.97,46.94,10.92,0.29,3.9,0.05,7.84,0.68,0.16,0.71,0.41,0.39,0.18,0.25,0.53,0.07,26936,4.81,156,2.55,0,311545,9.7,0.07,21.43,58.21,5095.99,0.13,16.8,7.4,46436,53321,7.09,37.66,0.53,369194,9.54,4.46,9.0,4.68,92135,24.96,2780196600,1634749600,701938800,417278500,26229700,0,,0,0,,,,,0,0,0,0,22.8,70,51,19,-1,46,-1,0,-1,0,65,-1,0,-1,1,4/1/2013,3/1/2017,3/1/2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2/22/2014,2/1/2014,10/1/2016,,2/22/2014,47.46,52.54,83.75,82.22,71.77,90.34,87.1,69.06,280469,26718,340,74776,1993,20143,33518,10.96,9.41,17.16,24.4,33.17,82,573275,562761,491292,81712,51.19
040US12,12,4245,53648.32,2256248805.0,20598139,7644981,12.07,53.75,19.73,16449587,20166501,3.12,23.96,13.4,75.39,16.1,25.17,0.28,2.71,0.06,5.45,0.43,0.56,0.25,0.3,0.62,0.19,0.41,0.67,0.03,1452967,8.86,2137,0.04,0,9348689,18.47,8.96,19.62,34.99,174.26,0.16,14.8,6.3,26895,30197,18.45,200.21,0.49,9253932,7.62,14.18,13.4,12.91,4120574,44.53,23376959100,14473538300,8903420700,,,1819119,606373,1819119,3638238,5889987,11925508,5889987,11779974,7709106,12531881,7709106,15418212,13.2,1005,685,320,79,818,98,-1,-1,0,147,709,-1,134,1,7/1/2015,7/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,6/18/2009,12/1/2010,10/1/2011,7/1/2018,7/1/2009,48.9,51.1,82.2,79.86,69.31,95.68,93.42,82.02,15529098,559168,12887,5184720,58118,542340,580152,16.91,12.05,28.81,18.53,10.63,80,16932309,16449587,14277060,4064376,37.11
