"HEROP_ID","FIPS","RxCtTmDr","RxAvTmDr","RxTmDrP","NoIntP","MedcdExp","ExpSsp","NoPrphLw","NtPrFrDsSy","PrExcInj","PrNtRefInj","NoLwRmUnc","OdMortRt","AnyGslDt","GslArrDt","AnyGslFr","GslArrFr","HcvD","MlHcvD","FlHcvD","U50HcvD","A50_74HcvD","O75HcvD","AmInHcvD","AsHcvD","NhPiHcvD","BlkHcvD","WhtHcvD","MulHcvD","HspHcvD","MdMarijLaw","AnyNalxDt","NalxPrStDt","NalxPresDt","AnyNalxFr","NalxPrStFr","NalxPresFr","AnyPdmpFr","AnyPdmphFr","OpPdmpFr","MsAcPdmpFr","ElcPdmpFr","AnyPdmpDt","AnyPdmphDt","OpPdmpDt","MsAcPdmpDt","ElcPdmpDt","PlcFyrExp","CrrctExp","HlthExp","WlfrExp"
"040US01","01",1150,6.29,0.97,19.81,5916189723,0,0,0,0,0,1,16.3,"6/10/2015","",1,0,134,103,31,-1,117,-1,0,-1,0,38,93,0,-1,0,"7/1/2015","7/1/2015","",1,1,0,1,1,1,1,1,"8/1/2004","11/1/2005","4/1/2006","3/9/2017","8/1/2004",1897193,9651378,16339751,16024918
"040US02","02",128,76.08,0.77,11.46,2113813188,0,1,0,0,0,0,17.8,"9/8/2008","",1,0,41,31,10,-1,11,-1,-1,0,0,-1,28,-1,-1,1,"4/1/2016","4/1/2016","",1,1,0,1,1,1,1,1,"9/7/2008","9/1/2008","1/1/2012","6/7/2018","9/7/2008",617608,1382780,1729638,1418518
"040US04","04",1444,7,0.94,12.85,13178700072,0,0,0,0,0,1,26.8,"4/26/2018","",1,0,277,191,86,14,224,15,14,-1,0,11,165,-1,78,1,"9/1/2016","9/1/2016","",1,1,0,1,1,1,1,1,"9/19/2007","9/1/2007","12/1/2008","10/16/2017","9/19/2007",4259574,5374218,5154641,3475773
"040US05","05",652,6.95,0.95,21.07,6899029518,0,0,1,0,0,0,13.5,"7/22/2015","7/22/2015",1,1,134,91,43,-1,121,-1,-1,0,0,23,106,0,-1,1,"8/1/2015","8/1/2015","",1,1,0,1,1,1,1,1,"3/11/2011","3/1/2013","5/1/2013","8/1/2017","7/27/2011",1024298,2711534,3797106,3331987
"040US06","06",7971,3.15,0.99,10.64,88735876561,1,0,0,0,0,0,15,"1/1/2013","1/1/2013",1,1,2114,1503,611,104,1741,256,37,109,-1,276,994,30,629,1,"1/1/2008","1/1/2014","",1,1,0,1,1,1,1,1,"1/1/1939","1/1/1990","9/1/2009","10/2/2018","1/1/1998",30580925,91993145,137101320,123829892
"040US08","08",1205,6.04,0.96,9.41,9299627439,1,0,0,0,0,0,18,"5/29/2012","8/10/2016",1,1,376,270,106,-1,335,-1,10,-1,-1,35,219,-1,96,1,"6/1/2013","4/1/2015","9/1/2021",1,1,0,1,1,1,1,1,"6/3/2005","6/1/2005","2/1/2008","5/21/2018","6/3/2005",3732290,6748692,9195051,7879661
"040US09","09",833,3.14,1,11.57,8598198181,1,0,0,0,1,0,34.7,"10/1/2011","10/1/2011",1,1,102,73,29,-1,81,-1,0,0,0,21,59,-1,21,1,"10/1/2003","10/1/2017","7/1/2015",1,1,1,1,1,1,1,1,"6/6/2006","10/1/2006","7/1/2008","10/1/2015","10/1/2006",1843801,3807995,5654997,5033400
"040US10","10",218,2.92,1,11.82,2254530291,1,0,0,0,0,0,48,"8/31/2013","8/31/2013",1,1,26,21,-9,-1,-1,-1,0,0,0,11,14,0,-1,1,"9/1/2014","9/1/2014","",1,1,0,1,1,1,0,1,"7/15/2010","9/1/2011","8/1/2012","","1/1/2011",410404,1322930,1561407,1214816
"040US11","11",179,1.3,1,14.06,2901113778,1,0,0,0,0,0,43.2,"3/19/2013","3/19/2013",1,1,75,50,25,-1,52,-1,0,-1,0,68,-1,0,-1,1,"4/1/2013","3/1/2017","3/1/2017",1,1,1,1,1,1,0,1,"2/22/2014","2/1/2014","10/1/2016","3/16/2021","2/22/2014",964539,1478693,2144071,1933345
"040US12","12",4212,3.47,0.99,13.1,24504283362,1,0,0,0,0,0,25.5,"10/1/2012","7/1/2019",1,1,1025,717,308,74,846,100,-1,-1,0,152,770,-1,93,1,"7/1/2015","7/1/2016","",1,1,0,1,1,1,1,1,"6/18/2009","12/1/2010","10/1/2011","7/1/2018","7/1/2009",13781062,27552424,39420431,35491120
