HEROP_ID,FIPS,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,CntBupT,CntMetT,CntNaltT,AvBupTime,AvMetTime,AvNaltTime,PctBupT,PctMetT,PctNaltT,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,OpRxRt,PrMsuseP,OdMortRt,OdMortRtAv,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,PlcFyrExp,CrrctExp,HlthExp,WlfrExp,MedPolProp
040US01,1,972,17.21,0.82,1004,599,712,14.66,36.44,30.61,0.85,0.51,0.6,987,17.56,0.84,956,18.56,0.81,1024,15.64,0.87,80.4,3.56,22.3,16.56,6/10/2015,,1.0,0.0,178,126,52.0,,152.0,,,0.0,0.0,53.0,123.0,0.0,,0,7/1/2015,7/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8/1/2004,11/1/2005,4/1/2006,3/9/2017,8/1/2004,2020842,10072307,8313203,16239655,0.0
040US02,2,157,15.31,0.93,0,0,0,,,,0.0,0.0,0.0,144,48.22,0.86,144,73.34,0.86,131,72.47,0.78,36.1,3.61,22.0,17.08,9/8/2008,,1.0,0.0,46,29,17.0,,12.0,,10.0,,0.0,,29.0,,,1,4/1/2016,4/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9/7/2008,9/1/2008,1/1/2012,6/7/2018,9/7/2008,631370,1420572,724126,5589369,1.0
040US04,4,1434,12.04,0.94,1434,1258,1410,8.08,20.01,10.75,0.94,0.82,0.92,1430,10.1,0.93,1434,10.14,0.94,1386,12.88,0.91,40.5,3.89,35.8,22.42,4/26/2018,,1.0,0.0,329,227,102.0,,287.0,17.0,14.0,,0.0,17.0,204.0,,71.0,1,9/1/2016,9/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9/19/2007,9/1/2007,12/1/2008,10/16/2017,9/19/2007,4452018,5787421,2079675,35078145,1.0
040US05,5,563,15.88,0.82,536,232,474,17.79,51.93,24.77,0.78,0.34,0.69,593,14.18,0.86,576,15.47,0.84,564,16.45,0.82,75.8,3.36,19.1,14.5,7/22/2015,7/22/2015,1.0,1.0,138,96,42.0,,112.0,,,,0.0,22.0,110.0,,,1,8/1/2015,8/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3/11/2011,3/1/2013,5/1/2013,8/1/2017,7/27/2011,1060193,2893243,1805947,14838177,1.0
040US06,6,7881,6.61,0.98,7918,7251,7648,5.15,14.72,8.86,0.98,0.9,0.95,7779,8.3,0.97,7866,7.06,0.98,7835,8.38,0.97,28.5,3.69,21.8,12.4,1/1/2013,1/1/2013,1.0,1.0,2209,1556,653.0,108.0,1787.0,291.0,33.0,123.0,,251.0,1080.0,29.0,670.0,1,1/1/2008,1/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1939,1/1/1990,9/1/2009,10/2/2018,1/1/1998,32426170,98920436,66055904,282621843,1.0
040US08,8,1146,12.35,0.92,1168,893,1154,8.39,25.99,10.71,0.94,0.71,0.92,1180,10.42,0.94,1178,9.37,0.94,1145,12.91,0.92,37.5,3.7,24.9,16.88,5/29/2012,8/10/2016,1.0,1.0,424,287,137.0,10.0,355.0,35.0,,,0.0,48.0,252.0,,107.0,1,6/1/2013,4/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6/3/2005,6/1/2005,2/1/2008,5/21/2018,6/3/2005,4230099,7289249,4359005,21897538,1.0
040US09,9,829,6.41,1.0,833,814,830,4.33,11.02,7.11,1.0,0.98,1.0,832,6.83,1.0,833,7.3,1.0,817,10.14,0.98,37.0,3.48,39.1,29.16,10/1/2011,10/1/2011,1.0,1.0,102,76,26.0,,82.0,,0.0,,0.0,18.0,57.0,0.0,24.0,1,10/1/2003,10/1/2017,7/1/2015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,1934241,4066831,2634001,8043218,1.0
040US10,10,217,10.43,1.0,218,218,218,5.61,10.79,8.17,1.0,1.0,1.0,212,9.48,0.97,218,8.63,1.0,211,11.45,0.97,45.2,3.34,47.3,36.32,8/31/2013,8/31/2013,1.0,1.0,30,22,,,,,,0.0,0.0,,19.0,0.0,,1,9/1/2014,9/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,428021,1332484,609964,5695020,1.0
040US11,11,179,2.17,1.0,179,179,179,1.53,6.21,5.16,1.0,1.0,1.0,179,9.24,1.0,179,2.7,1.0,179,4.08,1.0,32.6,3.62,58.1,22.08,3/19/2013,3/19/2013,1.0,1.0,73,54,19.0,,52.0,,0.0,0.0,0.0,70.0,,0.0,,1,4/1/2013,3/1/2017,3/1/2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2/22/2014,2/1/2014,10/1/2016,,2/22/2014,1009094,1471940,947236,9708416,1.0
040US12,12,4129,10.37,0.97,4161,3255,3933,6.58,22.95,12.3,0.98,0.77,0.93,4016,11.6,0.95,4071,10.22,0.96,4069,11.02,0.97,43.4,3.45,35.0,20.74,10/1/2012,7/1/2019,1.0,1.0,1012,705,307.0,79.0,818.0,95.0,,10.0,0.0,135.0,730.0,,127.0,1,7/1/2015,7/1/2016,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6/18/2009,12/1/2010,10/1/2011,7/1/2018,7/1/2009,14699372,29519491,19206231,62090170,0.0
040US13,13,1834,14.0,0.93,1799,1515,1457,11.21,22.14,22.43,0.91,0.77,0.74,1760,14.88,0.89,1751,13.89,0.89,1840,13.98,0.94,53.9,2.98,18.0,13.62,4/24/2014,4/24/2014,1.0,1.0,318,230,88.0,,264.0,17.0,,,0.0,104.0,202.0,0.0,,0,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5/13/2011,7/1/2011,5/1/2013,11/27/2019,7/1/2011,4393628,12574857,8224851,27874977,0.0
040US15,15,344,10.6,0.98,0,0,0,,,,0.0,0.0,0.0,305,11.84,0.87,345,10.4,0.98,309,12.24,0.93,27.3,2.79,18.3,13.68,7/7/2015,7/7/2015,1.0,1.0,55,42,13.0,0.0,38.0,,,10.0,,0.0,23.0,12.0,,1,7/1/2016,7/1/2016,7/1/2018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1943,1/1/1990,2/1/2012,7/1/2018,6/18/1996,814841,1783316,1314950,6246962,1.0
040US16,16,249,17.12,0.84,248,84,210,16.71,43.32,24.15,0.83,0.28,0.7,244,15.4,0.82,243,16.25,0.82,250,16.72,0.84,49.9,3.71,15.9,16.04,7/1/2018,,1.0,0.0,90,67,23.0,,64.0,,,0.0,0.0,,81.0,,,0,7/1/2015,,7/1/2015,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1/1/1967,1/1/1990,4/1/2008,,4/4/2000,799719,2192026,1215358,6610992,1.0
040US17,17,2861,10.48,0.92,2929,2488,2822,7.97,19.64,10.29,0.94,0.8,0.9,2941,9.33,0.94,3005,7.46,0.96,2980,9.63,0.95,40.2,3.03,28.1,20.42,6/1/2012,,1.0,0.0,288,214,74.0,,241.0,22.0,0.0,,0.0,80.0,175.0,,22.0,1,1/1/2010,1/1/2010,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1961,1/1/1990,12/1/2009,1/1/2018,4/1/2000,8397464,11627145,6929535,56198509,1.0
040US18,18,1320,13.69,0.87,1422,843,1367,9.72,31.06,12.57,0.94,0.56,0.9,1466,10.17,0.97,1458,9.59,0.96,1443,11.14,0.96,56.9,3.26,36.7,21.82,3/26/2014,7/1/2016,1.0,1.0,223,158,65.0,,184.0,12.0,0.0,,,39.0,174.0,0.0,,0,5/1/2015,5/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12/31/1987,1/1/1990,7/1/2007,11/1/2014,1/1/1994,2592625,9539854,7233706,34340471,1.0
