HEROP_ID,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,GEOID,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,MdMarijLaw
040US01,658,33.28,0.56,1,6/10/2015,,1,0,160,116,44,-1,128,-1,-1,-1,0,42,110,-1,-1,1
040US02,90,37.31,0.54,2,9/8/2008,,1,0,40,28,12,-1,10,-1,-1,0,0,0,28,-1,-1,1
040US04,1309,17.44,0.85,4,4/26/2018,,1,0,267,188,79,14,221,11,14,-1,-1,11,157,-1,76,1
040US05,244,50.94,0.36,5,7/22/2015,7/22/2015,1,1,141,92,49,-1,118,-1,-1,0,0,19,116,-1,-1,1
040US06,7448,13.54,0.92,6,1/1/2013,1/1/2013,1,1,1972,1403,569,113,1575,270,38,106,-1,217,880,35,661,1
040US08,1007,21.32,0.81,8,5/29/2012,8/10/2016,1,1,411,308,103,15,345,16,-1,-1,-1,44,247,-1,105,1
040US09,821,10.27,0.99,9,10/1/2011,10/1/2011,1,1,60,43,17,-1,31,-1,0,-1,0,-1,37,0,13,1
040US10,218,10.2,1.0,10,8/31/2013,8/31/2013,1,1,36,27,-9,-1,22,-1,-1,-1,0,15,17,0,-1,1
040US11,179,5.62,1.0,11,3/19/2013,3/19/2013,1,1,66,39,27,-1,44,-1,0,-1,0,60,-1,0,0,1
040US12,3420,20.57,0.81,12,10/1/2012,7/1/2019,1,1,913,645,268,87,739,72,-1,-1,0,115,672,-1,111,1
040US13,1559,21.0,0.79,13,4/24/2014,4/24/2014,1,1,264,184,80,-1,217,12,0,-1,0,89,170,0,-1,0
040US15,226,28.33,0.65,15,7/7/2015,7/7/2015,1,1,42,28,14,0,21,-1,-1,-1,-1,0,20,-1,-1,1
040US16,88,43.05,0.3,16,7/1/2018,,1,0,80,51,29,-1,66,-1,-1,-1,0,-1,66,0,-1,0
040US17,2550,17.71,0.82,17,6/1/2012,4/27/2021,1,1,272,191,81,-1,223,18,-1,-1,0,84,160,-1,24,1
040US18,973,25.56,0.64,18,3/26/2014,7/1/2016,1,1,254,169,85,13,209,12,0,-1,-1,57,187,-1,-1,0
040US19,265,49.93,0.32,19,7/1/2018,,1,0,93,63,30,-1,70,-1,0,-1,0,10,79,0,-1,0
040US20,393,33.75,0.51,20,,,0,0,108,81,27,-1,100,-1,-1,-1,0,-1,80,-1,11,0
040US21,668,28.45,0.6,21,3/25/2015,,1,0,296,217,79,48,222,-1,-1,0,0,35,256,-1,-1,0
040US22,686,32.94,0.6,22,8/1/2014,,1,0,323,239,84,11,268,19,-1,-1,0,143,170,0,-1,1
040US23,167,39.97,0.47,23,9/19/2019,9/19/2019,1,1,25,19,-9,-1,10,-1,0,0,0,0,24,-1,0,1
040US24,1334,11.84,0.95,24,10/1/2009,10/1/2015,1,1,227,147,80,-1,194,12,0,-1,0,125,94,-1,-1,1
