HEROP_ID,FIPS,ParkArea,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,AvHcvD,AvMlHcvD,AvFlHcvD,AvU50HcvD,AvA50_74HcvD,AvO75HcvD,AvAmInHcvD,AvAsHcvD,AvNhPiHcvD,AvBlkHcvD,AvWhHcvD,AvMulHcvD,AvHspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,OdMortRt,OpRxRt,PrMsuseP,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,PlcFyrExp,CrrctExp,HlthExp,WlfrExp,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,MedPolProp
040US01,1,9179680820.0,166,117,49.0,,122.0,,0.0,0.0,0.0,55.0,108.0,,,161,115,46.0,,132.0,,,0.0,0.0,48.0,109.0,0.0,,1,7/1/2015,7/1/2015,,1.0,1.0,0.0,29.4,74.5,4.22,1.0,1.0,1.0,1.0,1.0,8/1/2004,11/1/2005,4/1/2006,3/9/2017,8/1/2004,2145358,12533999,10626825,9596296,482.7,8339.13,384.07,15666.16,270650.25,12465.16,814.07,312.55,26421,10144.0,0
040US02,2,469000000000.0,32,21,11.0,,13.0,,,,0.0,,20.0,,,40,27,12.0,,11.0,,4.0,0.0,0.0,,25.0,,,1,4/1/2016,4/1/2016,,1.0,1.0,0.0,34.6,32.2,3.07,1.0,1.0,1.0,1.0,1.0,9/7/2008,9/1/2008,1/1/2012,6/7/2018,9/7/2008,712161,2033162,1134424,3130378,605.73,314.01,475.87,2934.0,1521.0,2305.0,310.71,314.01,1505,1521.0,1
040US04,4,49969878090.0,233,185,48.0,11.0,186.0,14.0,,,,11.0,129.0,,66.0,291,212,79.0,10.0,243.0,11.0,11.0,,0.0,14.0,171.0,,76.0,1,9/1/2016,9/1/2016,,1.0,1.0,0.0,36.2,37.1,3.36,1.0,1.0,1.0,1.0,1.0,9/19/2007,9/1/2007,12/1/2008,10/16/2017,9/19/2007,4784942,6609857,2480707,25346979,264.26,3213.0,104.19,12368.27,150377.88,4876.5,723.57,248.7,33865,11640.0,1
040US05,5,1893672651.0,114,86,28.0,,93.0,,0.0,,0.0,20.0,91.0,,,135,94,42.0,,115.0,,,0.0,0.0,21.0,109.0,,,1,8/1/2015,8/1/2015,,1.0,1.0,0.0,20.3,72.1,3.81,1.0,1.0,1.0,1.0,1.0,3/11/2011,3/1/2013,5/1/2013,8/1/2017,7/27/2011,1169065,3157416,2021444,9560992,496.14,11447.91,345.79,9580.1,221050.56,6677.03,912.77,443.21,17625,8558.0,1
040US06,6,107000000000.0,1738,1236,502.0,85.0,1407.0,242.0,22.0,87.0,,207.0,827.0,23.0,534.0,2085,1479,605.0,108.0,1703.0,263.0,32.0,106.0,2.0,246.0,991.0,31.0,645.0,1,1/1/2008,1/1/2014,,1.0,1.0,0.0,28.1,25.6,2.98,1.0,1.0,1.0,1.0,1.0,1/1/1939,1/1/1990,9/1/2009,10/2/2018,1/1/1998,35511690,112801895,76926071,167181476,231.13,2641.15,161.99,59889.73,684362.03,41974.95,376.7,108.86,97608,28207.0,1
040US08,8,51431167579.0,342,231,111.0,,289.0,29.0,11.0,,0.0,24.0,203.0,,95.0,388,276,112.0,7.0,331.0,20.0,4.0,,0.0,36.0,232.0,,101.0,1,6/1/2013,4/1/2015,9/1/2021,1.0,1.0,1.0,31.0,34.1,3.18,1.0,1.0,1.0,1.0,1.0,6/3/2005,6/1/2005,2/1/2008,5/21/2018,6/3/2005,3912290,8814323,5708993,14272632,276.46,4192.69,212.62,10869.8,164846.22,8359.84,436.65,166.52,17168,6547.0,1
040US09,9,1880342992.0,60,48,12.0,,46.0,,0.0,0.0,0.0,,37.0,0.0,16.0,83,59,23.0,,60.0,,0.0,0.0,0.0,10.0,49.0,0.0,19.0,1,10/1/2003,10/1/2017,7/1/2015,1.0,1.0,1.0,40.9,34.0,2.72,1.0,1.0,1.0,1.0,1.0,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,2081735,4672696,3268398,4026380,182.38,143.92,151.59,4325.0,3413.0,3595.0,260.64,143.92,6181,3413.0,1
040US10,10,839131003.3,50,39,11.0,,13.0,,0.0,,0.0,14.0,32.0,0.0,,35,26,,,6.0,,0.0,0.0,0.0,11.0,19.0,0.0,,1,9/1/2014,9/1/2014,,1.0,1.0,0.0,53.9,40.7,3.16,1.0,1.0,1.0,0.0,1.0,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,486487,1609099,715001,3525743,340.85,326.68,220.94,2166.0,2076.0,1404.0,438.73,326.68,2788,2076.0,1
040US11,11,25548615.98,53,45,,,36.0,,0.0,0.0,0.0,50.0,,0.0,0.0,67,48,16.0,,46.0,,0.0,,0.0,63.0,,0.0,,1,4/1/2013,3/1/2017,3/1/2017,1.0,1.0,1.0,67.1,32.2,2.83,1.0,1.0,1.0,1.0,1.0,2/22/2014,2/1/2014,10/1/2016,3/16/2021,2/22/2014,1051346,1842715,1281479,5409838,289.57,888.0,209.62,1380.0,4232.0,999.0,518.7,,2472,,1
040US12,12,36913909440.0,778,519,259.0,55.0,620.0,88.0,,,,98.0,585.0,,79.0,947,654,292.0,75.0,768.0,91.0,,1.0,0.0,129.0,693.0,,109.0,1,7/1/2015,7/1/2016,,1.0,1.0,0.0,33.9,40.0,2.66,1.0,1.0,1.0,1.0,1.0,6/18/2009,12/1/2010,10/1/2011,7/1/2018,7/1/2009,16199752,33369069,22976981,40122535,399.11,3883.1,297.52,55580.0,540760.0,41432.24,608.06,202.9,84678,28256.0,0
040US13,13,9891240198.0,240,169,71.0,10.0,205.0,,0.0,,0.0,58.0,172.0,0.0,,292,208,84.0,1.0,251.0,10.0,0.0,,0.0,96.0,187.0,0.0,,0,,,,0.0,0.0,0.0,24.6,49.8,3.01,1.0,1.0,1.0,1.0,1.0,5/13/2011,7/1/2011,5/1/2013,11/27/2019,7/1/2011,4925933,16334064,11019466,17009307,578.04,6593.99,352.46,41731.56,476055.97,25445.7,670.94,199.04,48439,14370.0,0
040US15,15,6909375004.0,34,23,11.0,,11.0,,0.0,,,,13.0,,,45,34,8.0,,22.0,,0.0,1.0,,0.0,20.0,4.0,,1,7/1/2016,7/1/2016,7/1/2018,1.0,1.0,1.0,19.7,24.3,2.79,1.0,1.0,1.0,1.0,1.0,1/1/1943,1/1/1990,2/1/2012,7/1/2018,6/18/1996,831403,1738904,1268098,4191540,176.59,122.45,114.53,1582.0,1097.0,1026.0,279.39,122.45,2503,1097.0,1
040US16,16,30419936378.0,81,62,19.0,,66.0,,,0.0,0.0,,72.0,0.0,,90,65,26.0,,69.0,,,0.0,0.0,,78.0,,,0,7/1/2015,,7/1/2015,1.0,0.0,1.0,19.9,45.4,3.07,1.0,1.0,1.0,0.0,1.0,1/1/1967,1/1/1990,4/1/2008,,4/4/2000,861764,2614507,1574255,4313611,330.71,4442.15,242.8,4069.56,54663.43,2987.83,740.31,297.59,9110,3662.0,1
040US17,17,5072662067.0,218,158,60.0,,178.0,17.0,0.0,,0.0,61.0,133.0,,19.0,256,184,72.0,,214.0,13.0,0.0,,0.0,73.0,156.0,,18.0,1,1/1/2010,1/1/2010,,1.0,1.0,0.0,30.6,37.1,2.94,1.0,1.0,1.0,1.0,1.0,1/1/1961,1/1/1990,12/1/2009,1/1/2018,4/1/2000,9407957,14483663,9487661,34895505,187.04,2343.69,171.82,15338.83,192198.75,14090.63,361.36,220.62,29634,18092.0,1
040US18,18,3026849803.0,219,148,71.0,,183.0,,0.0,,0.0,34.0,180.0,0.0,,239,168,71.0,5.0,201.0,4.0,0.0,,0.0,40.0,188.0,,2.0,0,5/1/2015,5/1/2015,,1.0,1.0,0.0,39.3,52.5,3.21,1.0,1.0,1.0,1.0,1.0,12/31/1987,1/1/1990,7/1/2007,11/1/2014,1/1/1994,2835213,9819388,7249514,19841608,455.07,5040.2,328.44,19971.0,221192.17,14413.99,576.18,210.02,25286,9217.0,1
040US19,19,3777774205.0,79,53,26.0,,54.0,,,,0.0,10.0,63.0,,0.0,98,70,28.0,,79.0,,,,0.0,6.0,83.0,0.0,,0,6/1/2016,6/1/2016,,1.0,1.0,0.0,14.7,37.1,2.66,1.0,1.0,1.0,0.0,1.0,5/31/2006,5/1/2006,3/1/2009,,5/31/2006,1315065,7239302,6181562,8743874,242.87,5762.95,193.39,4906.59,116423.95,3906.97,419.41,177.06,8473,3577.0,1
040US20,20,1428561400.0,91,71,20.0,,70.0,,,,,10.0,66.0,,,116,87,29.0,,101.0,,,,0.0,13.0,83.0,,1.0,0,7/1/2017,7/1/2017,,1.0,1.0,0.0,25.7,55.3,3.23,1.0,1.0,1.0,0.0,1.0,7/1/2008,7/1/2008,4/1/2011,,7/1/2008,1514301,6990982,5724638,6157970,386.65,7212.43,292.02,7213.47,134558.07,5448.1,466.81,181.6,8709,3388.0,0
040US21,21,3651406797.0,295,205,90.0,64.0,218.0,,0.0,0.0,0.0,29.0,261.0,0.0,,302,213,88.0,62.0,219.0,,,0.0,0.0,34.0,262.0,0.0,,0,7/1/2013,7/1/2013,,1.0,1.0,0.0,50.3,61.6,3.59,1.0,1.0,1.0,1.0,1.0,7/15/1998,7/1/1998,7/1/1999,7/20/2012,7/15/1998,1636492,6670160,4620478,16877514,779.64,8037.54,427.52,22553.87,232513.26,12367.59,682.51,530.65,19744,15351.0,1
040US22,22,6175933958.0,288,200,88.0,10.0,226.0,15.0,,,0.0,131.0,146.0,,,332,242,90.0,9.0,279.0,10.0,,,0.0,150.0,172.0,0.0,,1,9/1/2015,9/1/2015,,1.0,1.0,0.0,51.8,65.7,4.04,1.0,1.0,1.0,1.0,1.0,7/1/2006,7/1/2006,1/1/2009,8/1/2014,7/1/2006,3089799,6233610,4366734,17175590,1073.35,6449.22,559.36,31491.21,189214.47,16410.98,930.36,486.35,27296,14269.0,1
