HEROP_ID,FIPS,MdMarijLaw,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,ExpnFedExp,ExpnSttExp,TradFedExp,TradSttExp,MedcdExp,TotPop,MaleP,FemP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,WhiteE,AsianE,PacIsE,HisE,AmIndE,TwoRaceE,OtherE,SomeCollegeP,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16,Ovr18,Ovr21,Ovr65,BlackE,WhiteP,BlackP,AsianP,PacIsP,HisP,AmIndP,TwoRaceP,OtherP,EngProf,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TtlJlPpr,TtlJlPrtr,TtlJlPp,TtlJlPrt,EdBupPolP,PerImpBupP,BupPolP,MedPolProp
040US01,1,1.0,1.0,1.0,1.0,1.0,1.0,8/1/2004,11/1/2005,4/1/2006,3/9/2017,8/1/2004,,,6115858000.0,1760443100.0,7876301100.0,5054253,48.54,51.46,80.26,77.68,67.06,17.49,94.33,91.27,78.7,3303370,71969,2564,271640,22491,228050,107302,17.43,11.87,30.34,16.96,10.79,4056609,3926252,3389617,884210,1318507,65.36,26.09,1.42,0.05,5.37,0.44,4.51,2.12,97.64,0.4,0.54,0.37,0.44,0.6,0.08,0.57,0.62,0.02,490.7,399.89,15925.92,12978.49,0.41,2023-03-01 to 2023-10-14,0.74,0.0
040US02,2,1.0,1.0,1.0,1.0,1.0,1.0,9/7/2008,9/1/2008,1/1/2012,6/7/2018,9/7/2008,619243700.0,38918200.0,1381949900.0,536218800.0,2576330600.0,733971,52.5,47.5,78.21,75.69,66.21,13.33,110.52,112.03,99.78,445545,47099,11379,52473,101226,89804,16144,20.29,6.53,28.94,19.63,11.61,574021,555513,485945,97815,22774,60.7,3.1,6.42,1.55,7.15,13.79,12.24,2.2,95.73,0.2,0.47,0.02,0.13,0.46,0.06,0.16,0.45,0.09,,,,,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US04,4,1.0,1.0,1.0,1.0,1.0,1.0,9/19/2007,9/1/2007,12/1/2008,10/16/2017,9/19/2007,6742457500.0,709590200.0,11123060900.0,3571947400.0,22147056000.0,7268175,49.93,50.07,80.65,78.06,68.18,18.57,99.7,98.27,86.17,4593653,249816,14434,2255770,296794,1180757,595790,20.54,10.91,23.48,20.03,12.58,5862117,5673395,4955579,1349934,336931,63.2,4.64,3.44,0.2,31.04,4.08,16.25,8.2,92.15,0.56,0.52,0.05,0.38,0.46,0.41,0.53,0.52,0.03,264.33,136.17,12371.22,6373.37,0.0,,0.0,1.0
040US05,5,1.0,1.0,1.0,1.0,1.0,1.0,3/11/2011,3/1/2013,5/1/2013,8/1/2017,7/27/2011,2329491100.0,277126900.0,4562147600.0,1411953400.0,8580718900.0,3032651,49.33,50.67,79.46,76.72,66.69,17.33,97.35,94.85,81.21,2148886,47309,12040,265833,16893,263525,91871,17.82,11.44,34.39,15.88,9.23,2409758,2326772,2022491,525644,452127,70.86,14.91,1.56,0.4,8.77,0.56,8.69,3.03,96.75,0.42,0.66,0.21,0.38,0.68,0.1,0.56,0.68,0.02,519.27,350.22,10026.75,6762.44,0.0,,0.0,1.0
040US06,6,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1939,1/1/1990,9/1/2009,10/2/2018,1/1/1998,28775203200.0,3268018800.0,50713624800.0,40034897800.0,122791744500.0,39242785,49.96,50.04,80.39,77.76,67.5,15.28,99.84,98.16,82.11,17248779,5997069,147827,15630830,445219,6410245,6820303,18.18,15.4,20.4,22.4,14.1,31545603,30513773,26488214,5994486,2173343,43.95,5.54,15.28,0.38,39.83,1.13,16.33,17.38,82.72,0.52,0.45,0.07,0.33,0.45,0.4,0.41,0.47,0.13,232.15,157.55,60154.73,40824.28,0.0,,0.0,1.0
040US08,8,1.0,1.0,1.0,1.0,1.0,1.0,6/3/2005,6/1/2005,2/1/2008,5/21/2018,6/3/2005,2914745700.0,332704000.0,5293192500.0,4332011800.0,12872653900.0,5810774,50.64,49.36,81.18,78.65,68.71,15.19,102.59,101.7,86.11,4268784,187534,8647,1291078,58576,738535,315713,16.87,7.24,20.08,27.68,17.05,4717446,4569892,3992646,882557,232985,73.46,4.01,3.23,0.15,22.22,1.01,12.71,5.43,94.5,0.43,0.6,0.03,0.23,0.68,0.25,0.37,0.62,0.02,269.41,201.47,10592.7,7921.2,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US09,9,1.0,1.0,1.0,1.0,1.0,1.0,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,2477498500.0,484935900.0,4096914100.0,3316166100.0,10375514500.0,3598348,49.05,50.95,82.15,79.6,68.72,18.09,96.28,94.2,80.33,2431342,170954,1806,640668,9569,343180,256744,13.65,8.67,25.55,22.98,18.97,2955944,2864350,2472926,650772,384753,67.57,10.69,4.75,0.05,17.8,0.27,9.54,7.14,91.42,0.59,0.5,0.19,0.45,0.54,0.26,0.4,0.67,0.08,,,,,0.0,,0.0,1.0
040US10,10,1.0,1.0,1.0,1.0,0.0,1.0,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,826860500.0,92409500.0,1539699900.0,882445200.0,3341415100.0,1005872,48.47,51.53,81.58,79.08,68.93,20.01,94.08,91.77,82.32,621799,41164,403,107829,3744,76884,41233,15.64,8.61,29.02,20.32,14.96,820630,795476,693327,201255,220645,61.82,21.94,4.09,0.04,10.72,0.37,7.64,4.1,94.44,0.4,0.5,0.3,0.41,0.51,0.19,0.42,0.61,0.07,,,,,1.0,,0.0,1.0
040US11,11,1.0,1.0,1.0,1.0,1.0,1.0,2/22/2014,2/1/2014,10/1/2016,3/16/2021,2/22/2014,696915300.0,77432200.0,2401120600.0,785071600.0,3960539700.0,672079,47.61,52.39,82.81,81.3,72.39,12.72,90.89,87.39,71.19,262549,27465,378,77760,2044,56533,32338,10.19,7.15,14.52,26.07,37.49,556577,546404,486548,85501,290772,39.07,43.26,4.09,0.06,11.57,0.3,8.41,4.81,94.89,0.66,0.17,0.67,0.39,0.38,0.19,0.28,0.52,0.08,280.96,235.43,1339.0,1122.0,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US12,12,1.0,1.0,1.0,1.0,1.0,1.0,6/18/2009,12/1/2010,10/1/2011,7/1/2018,7/1/2009,,,22566038000.0,12004284600.0,34570322600.0,21928881,49.13,50.87,82.67,80.37,70.52,21.12,96.58,94.43,83.21,13136701,628137,13136,5865737,66779,3497792,1222567,15.99,10.37,27.42,20.73,12.48,18129301,17623515,15464965,4630733,3363769,59.91,15.34,2.86,0.06,26.75,0.3,15.95,5.58,87.9,0.47,0.52,0.25,0.32,0.59,0.21,0.47,0.64,0.04,400.34,299.42,55750.76,41696.55,1.0,2023-03-01 to 2023-12-31,1.0,0.0
040US13,13,0.0,1.0,1.0,1.0,1.0,1.0,5/13/2011,7/1/2011,5/1/2013,11/27/2019,7/1/2011,,,11399940300.0,4601344600.0,16001285000.0,10822590,48.8,51.2,79.31,76.51,65.79,14.61,95.32,92.35,78.77,5677531,472915,7338,1158299,42058,782473,448586,16.33,11.05,26.89,20.73,13.47,8582918,8280518,7120517,1581263,3391689,52.46,31.34,4.37,0.07,10.7,0.39,7.23,4.14,94.28,0.34,0.54,0.35,0.34,0.59,0.11,0.47,0.54,0.04,609.06,387.02,43971.02,27941.34,0.0,,0.0,0.0
040US15,15,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1943,1/1/1990,2/1/2012,7/1/2018,6/18/1996,929989300.0,103935500.0,1287827300.0,773296200.0,3095048200.0,1445635,50.32,49.68,81.33,79.15,69.99,19.9,101.3,99.8,84.96,325356,538807,149030,142225,3835,376533,24334,16.82,7.1,26.65,22.45,13.02,1175666,1144163,1011822,287642,27740,22.51,1.92,37.27,10.31,9.84,0.27,26.05,1.68,89.18,0.4,0.23,0.03,0.24,0.25,0.13,0.35,0.2,0.38,,,,,0.0,,0.0,1.0
040US16,16,0.0,1.0,1.0,1.0,0.0,1.0,1/1/1967,1/1/1990,4/1/2008,,4/4/2000,775087100.0,86314200.0,2060471200.0,677496900.0,3599369400.0,1893296,50.29,49.71,78.42,75.54,65.34,16.61,101.15,99.48,90.94,1578020,24979,3098,252466,21532,159396,92163,20.75,8.32,25.92,20.8,10.38,1484640,1430129,1237060,314391,14108,83.35,0.75,1.32,0.16,13.33,1.14,8.42,4.87,96.42,0.41,0.69,0.01,0.2,0.78,0.16,0.4,0.68,0.01,347.84,252.65,4280.35,3108.98,0.0,,0.0,1.0
040US17,17,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1961,1/1/1990,12/1/2009,1/1/2018,4/1/2000,8708492500.0,1895262700.0,11270177000.0,9161030300.0,31034962500.0,12692653,49.4,50.6,80.55,77.87,67.68,16.56,97.64,95.41,80.19,8038512,738308,5514,2348118,66990,1172661,920254,16.67,9.74,25.26,22.31,14.88,10223628,9883774,8590151,2101833,1750414,63.33,13.79,5.82,0.04,18.5,0.53,9.24,7.25,91.19,0.48,0.77,0.12,0.35,0.81,0.09,0.48,0.83,0.03,186.12,169.64,15262.8,13912.01,0.0,,0.0,1.0
040US18,18,0.0,1.0,1.0,1.0,1.0,1.0,12/31/1987,1/1/1990,7/1/2007,11/1/2014,1/1/1994,3947067200.0,453552600.0,9522057000.0,3963653100.0,17886329900.0,6811752,49.58,50.42,79.32,76.57,66.23,16.39,98.32,95.89,81.16,5347678,172936,2345,569410,17208,426963,213942,16.43,9.77,32.82,18.32,10.48,5403282,5215681,4511353,1116303,630680,78.51,9.26,2.54,0.03,8.36,0.25,6.27,3.14,96.37,0.5,0.81,0.06,0.38,0.82,0.09,0.55,0.85,0.03,442.26,329.92,19409.0,14478.52,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US19,19,0.0,1.0,1.0,1.0,0.0,1.0,5/31/2006,5/1/2006,3/1/2009,,5/31/2006,1416242700.0,158525300.0,3640257200.0,1709546800.0,6924571900.0,3195937,50.11,49.89,79.71,76.95,66.69,17.81,100.44,98.66,84.11,2735263,78267,4396,223471,10998,179208,64571,16.61,6.78,30.37,20.62,10.24,2547553,2459358,2131405,569081,123234,85.59,3.86,2.45,0.14,6.99,0.34,5.61,2.02,96.39,0.46,0.84,0.03,0.31,0.85,0.09,0.46,0.79,0.02,234.39,187.89,4735.27,3795.82,0.0,,0.0,1.0
040US20,20,0.0,1.0,1.0,1.0,0.0,1.0,7/1/2008,7/1/2008,4/1/2011,,7/1/2008,,,3373617700.0,1834211800.0,5207829500.0,2937569,50.17,49.83,78.81,76.01,65.89,16.57,100.67,98.84,83.81,2289052,86212,2586,389514,21898,262988,115004,18.7,8.1,25.61,22.01,13.15,2315234,2232748,1935518,486659,159829,77.92,5.44,2.93,0.09,13.26,0.75,8.95,3.91,95.32,0.28,0.75,0.03,0.17,0.8,0.13,0.3,0.72,0.01,378.85,287.63,7068.07,5366.22,0.0,,0.0,0.0
040US21,21,0.0,1.0,1.0,1.0,1.0,1.0,7/15/1998,7/1/1998,7/1/1999,7/20/2012,7/15/1998,5189196600.0,578826600.0,8031034100.0,2373743200.0,16172800500.0,4510725,49.52,50.48,79.93,77.33,67.15,17.03,98.11,95.74,81.51,3774581,68482,3737,212163,7610,233880,67198,16.81,11.47,32.71,15.91,11.08,3605426,3487979,3028981,767995,355237,83.68,7.88,1.52,0.08,4.7,0.17,5.18,1.49,97.31,0.45,0.84,0.07,0.4,0.86,0.06,0.52,0.76,0.02,749.19,385.5,21672.94,11152.0,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US22,22,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2006,7/1/2006,1/1/2009,8/1/2014,7/1/2006,5485590600.0,708047200.0,6602937600.0,2471742800.0,15268318100.0,4621025,48.97,51.03,79.1,76.44,66.57,16.31,95.96,93.18,80.32,2678942,79925,2884,321022,27605,289531,107185,17.45,13.1,32.54,16.77,9.78,3655132,3532362,3076184,753854,1434953,57.97,31.05,1.73,0.06,6.95,0.6,6.27,2.32,96.82,0.43,0.46,0.44,0.4,0.58,0.09,0.57,0.55,0.03,1086.21,563.59,31868.47,16535.14,0.0,,0.0,1.0
040US23,23,1.0,1.0,1.0,1.0,1.0,1.0,6/23/2003,1/1/2004,1/1/2005,1/1/2017,9/13/2003,665752700.0,92354200.0,2355402300.0,1095761200.0,4209270400.0,1377400,49.25,50.75,84.01,81.71,71.48,21.86,97.04,94.9,85.33,1258122,15318,276,28609,6237,64709,9593,14.9,5.51,30.52,22.01,13.34,1157198,1125518,984572,301161,23145,91.34,1.68,1.11,0.02,2.08,0.45,4.7,0.7,98.51,0.56,0.88,0.05,0.36,0.9,0.04,0.46,0.9,0.02,183.07,175.63,1596.19,1531.31,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US24,24,1.0,1.0,1.0,1.0,1.0,1.0,5/10/2011,10/1/2011,12/1/2013,7/1/2018,10/1/2011,3591477500.0,399059600.0,6894196400.0,5601686600.0,16486420000.0,6170738,48.65,51.35,80.28,77.7,67.36,16.26,94.74,91.99,77.82,3060731,398305,2556,744272,23158,458568,401540,14.74,8.96,23.74,22.47,20.27,4954123,4794802,4156684,1003219,1825880,49.6,29.59,6.45,0.04,12.06,0.38,7.43,6.51,92.23,0.42,0.54,0.3,0.38,0.59,0.13,0.43,0.62,0.06,421.24,169.95,16900.0,6818.38,0.0,,0.0,1.0
