HEROP_ID,FIPS,EdBupPolP,PerImpBupP,BupPolP,MedPolProp,MedPolP5Yr,TtlPrPpr,TtlPrPp
040US35,35,0.0,,0.0,1.0,1.0,420.54,5621
040US46,46,0.0,,0.0,1.0,0.3,665.51,3755
040US06,6,0.0,,0.0,1.0,1.0,365.54,94717
040US21,21,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,669.55,19369
040US01,1,0.41,,0.0,0.0,0.0,838.32,27208
040US13,13,0.0,,0.0,0.0,0.0,706.44,51002
040US05,5,0.0,,0.0,1.0,1.0,973.94,18806
040US42,42,0.0,,0.0,1.0,1.0,471.76,39061
040US29,29,1.0,2024-01-01 to 2024-09-01,1.0,1.0,0.65,605.77,23884
040US08,8,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,441.94,17376
040US49,49,0.59,2024-01-01 to 2024-01-21,0.09,1.0,1.0,292.27,6469
040US40,40,0.0,,0.0,1.0,0.7,882.16,22698
040US47,47,1.0,2024-01-01 to 2024-09-01,1.0,0.0,0.0,508.92,23235
040US56,56,0.0,,0.0,0.0,0.0,609.19,2238
040US36,36,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,256.77,32918
040US18,18,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,558.91,24528
040US20,20,0.0,,0.0,0.0,0.0,491.04,9161
040US16,16,0.0,,0.0,1.0,1.0,793.38,9763
040US02,2,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,917.47,4444
040US32,32,0.44,2024-01-01 to 2024-09-01,1.0,1.0,1.0,511.6,10613
040US17,17,0.0,,0.0,1.0,1.0,356.58,29242
040US50,50,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,331.37,1374
040US34,34,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,209.37,12593
040US38,38,0.0,,0.0,1.0,1.0,388.72,1929
040US19,19,0.0,,0.0,1.0,1.0,474.7,9590
040US45,45,0.32,2024-03-11 to 2024-09-01,0.71,0.0,0.0,503.91,16922
040US04,4,0.0,,0.0,1.0,1.0,743.26,34787
040US10,10,1.0,,0.0,1.0,1.0,777.37,4940
040US11,11,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,,
040US60,60,,,,,,,
040US09,9,0.0,,0.0,1.0,1.0,446.13,10580
040US33,33,0.0,,0.0,1.0,1.0,235.88,2144
040US31,31,0.0,,0.0,1.0,0.85,470.87,5846
040US53,53,0.0,,0.0,1.0,1.0,276.53,14147
040US72,72,,,,,,,
040US48,48,0.0,,0.0,0.0,0.0,756.92,150353
040US39,39,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,601.57,45063
040US55,55,1.0,2024-01-01 to 2024-09-01,1.0,0.0,0.0,614.37,23190
040US41,41,0.0,,0.0,1.0,1.0,440.03,12056
040US28,28,0.0,,0.0,0.0,0.0,1044.02,19628
040US37,37,0.0,,0.0,1.0,0.22,459.6,31972
040US51,51,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,482.51,27417
040US54,54,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,431.2,4793
040US22,22,0.0,,0.0,1.0,1.0,967.55,28387
040US26,26,0.21,,0.0,1.0,1.0,512.83,32969
040US25,25,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,134.97,6250
040US12,12,1.0,2024-01-01 to 2024-09-01,1.0,0.0,0.0,632.13,88031
040US78,78,,,,,,,
040US30,30,0.0,,0.0,1.0,1.0,413.02,2916
040US27,27,0.0,,0.0,1.0,1.0,228.33,8348
040US24,24,0.0,,0.0,1.0,1.0,403.24,16178
040US23,23,1.0,2024-01-01 to 2024-09-01,1.0,1.0,1.0,208.85,1821
040US15,15,0.0,,0.0,1.0,1.0,433.88,3887
040US66,66,,,,,,,
040US69,69,,,,,,,
040US44,44,0.0,,0.0,1.0,1.0,322.49,2325
