HEROP_ID,FIPS,TlBupTmWk,TlBupTmBk,SmokeP,TotTracts,MetCtTmDr2,MetTmDrP2,MetAvTmDr,MetAvTmDr2,BupCtTmDr2,BupTmDrP2,BupAvTmDr,BupAvTmDr2,NaltCtTmDr2,NaltTmDrP2,NaltAvTmDr,NaltAvTmDr2,OtpCtTmDr,OtpCtTmDr2,OtpTmDrP2,OtpAvTmDr,OtpAvTmDr2,SutCtTmDr,SutCtTmDr2,SutTmDrP,SutTmDrP2,SutAvTmDr,SutAvTmDr2
040US01,1,,70.11,0.16,1436,446,31.06,29.36,58.71,644,44.85,24.27,48.54,584,40.67,26.83,53.67,929,533,37.12,26.12,52.25,48,39,3.34,2.72,50.48,100.95
040US02,2,,,0.16,177,82,46.33,14.18,28.36,105,59.32,14.06,28.11,102,57.63,14.77,29.54,106,89,50.28,13.57,27.13,4,1,2.26,0.56,34.43,68.85
040US04,4,,,0.13,1765,1221,69.18,14.17,28.33,1479,83.80,9.20,18.39,1487,84.25,9.02,18.03,1540,1343,76.09,12.94,25.88,1095,574,62.04,32.52,20.48,40.96
040US05,5,,68.32,0.20,823,124,15.07,38.95,77.89,457,55.53,16.46,32.91,412,50.06,18.60,37.19,309,156,18.96,34.29,68.57,19,3,2.31,0.36,59.50,118.99
040US06,6,,,0.10,9109,7247,79.56,11.16,22.31,7921,86.96,8.60,17.20,7414,81.39,10.81,21.62,8562,7670,84.20,10.10,20.21,5045,2418,55.38,26.55,27.23,54.46
040US08,8,,,0.11,1447,996,68.83,14.61,29.21,1140,78.78,11.18,22.36,1120,77.40,11.38,22.77,1198,1064,73.53,13.93,27.86,928,636,64.13,43.95,21.62,43.25
040US09,9,55.03,63.95,0.10,879,0,0.00,,,0,0.00,,,0,0.00,,,0,0,0.00,,,0,0,0.00,0.00,,
040US10,10,43.88,30.34,0.14,259,218,84.17,9.25,18.51,226,87.26,7.16,14.33,226,87.26,7.62,15.24,258,219,84.56,8.36,16.71,0,0,0.00,0.00,55.11,110.21
040US11,11,36.91,12.00,0.11,206,206,100.00,4.00,7.99,206,100.00,2.95,5.90,206,100.00,3.18,6.37,206,206,100.00,3.69,7.38,206,75,100.00,36.41,15.92,31.84
040US12,12,49.92,34.34,0.12,5122,3117,60.86,15.46,30.92,4113,80.30,10.35,20.69,3985,77.80,10.93,21.85,4723,3506,68.45,13.76,27.52,2446,1481,47.75,28.91,33.07,66.15
040US13,13,49.39,45.07,0.13,2791,1669,59.80,17.99,35.98,1985,71.12,13.98,27.96,1759,63.02,16.12,32.23,2418,1885,67.54,15.25,30.51,1043,205,37.37,7.35,34.26,68.53
040US15,15,50.50,31.96,0.10,436,174,39.91,18.23,36.46,305,69.95,11.05,22.10,280,64.22,11.05,22.10,332,179,41.06,18.70,37.40,0,0,0.00,0.00,,
040US16,16,43.19,25.68,0.12,456,201,44.08,25.77,51.54,297,65.13,16.59,33.17,280,61.40,17.51,35.01,242,201,44.08,25.60,51.20,25,21,5.48,4.61,45.75,91.50
040US17,17,41.89,24.68,0.13,3263,2172,66.56,18.20,36.39,2720,83.36,8.92,17.85,2753,84.37,8.50,16.99,2758,2423,74.26,14.12,28.24,1922,549,58.90,16.83,29.18,58.37
040US18,18,41.34,31.14,0.17,1693,737,43.53,24.85,49.69,1369,80.86,8.86,17.71,1350,79.74,9.27,18.53,1285,916,54.11,19.30,38.60,607,237,35.85,14.00,37.03,74.06
040US19,19,42.30,28.93,0.16,896,182,20.31,45.49,90.99,495,55.25,18.93,37.86,521,58.15,16.79,33.57,377,235,26.23,37.00,73.99,27,25,3.01,2.79,45.89,91.77
040US20,20,41.78,32.19,0.15,829,329,39.69,24.58,49.17,587,70.81,13.50,26.99,589,71.05,13.70,27.40,433,366,44.15,23.63,47.25,207,79,24.97,9.53,36.07,72.14
040US21,21,34.54,31.76,0.18,1306,515,39.43,27.38,54.76,846,64.78,12.10,24.20,871,66.69,11.29,22.58,933,654,50.08,20.40,40.79,601,309,46.02,23.66,33.43,66.86
040US22,22,44.34,31.16,0.17,1379,171,12.40,54.08,108.16,845,61.28,16.37,32.74,871,63.16,15.61,31.23,942,625,45.32,23.80,47.61,262,105,19.00,7.61,48.15,96.30
040US23,23,21.83,34.30,0.16,401,100,24.94,32.31,64.62,231,57.61,15.13,30.27,222,55.36,16.14,32.28,254,139,34.66,26.73,53.46,0,0,0.00,0.00,,
040US24,24,36.46,25.05,0.10,1465,1223,83.48,9.43,18.86,1362,92.97,6.04,12.09,1357,92.63,6.27,12.53,1436,1233,84.16,8.75,17.50,1143,637,78.02,43.48,19.38,38.77
040US25,25,38.25,24.11,0.11,1613,1276,79.11,9.54,19.08,1507,93.43,5.98,11.97,1511,93.68,5.91,11.83,1599,1457,90.33,6.76,13.52,100,6,6.20,0.37,55.54,111.09
040US26,26,48.51,33.07,0.16,2972,1754,59.02,17.08,34.16,2225,74.87,11.52,23.03,2229,75.00,11.28,22.57,2380,1776,59.76,16.71,33.42,1551,619,52.19,20.83,32.35,64.70
040US27,27,43.10,28.19,0.13,1502,686,45.67,21.25,42.50,1053,70.11,13.65,27.30,1026,68.31,14.65,29.31,953,761,50.67,22.94,45.88,702,212,46.74,14.11,28.42,56.83
040US28,28,39.27,44.76,0.18,875,162,18.51,40.54,81.08,340,38.86,25.21,50.42,383,43.77,22.36,44.72,305,162,18.51,40.64,81.28,163,76,18.63,8.69,50.63,101.25
040US29,29,41.43,31.02,0.18,1654,600,36.28,32.79,65.57,1188,71.83,11.45,22.90,1217,73.58,11.16,22.33,993,684,41.35,29.06,58.12,485,271,29.32,16.38,38.80,77.61
040US30,30,39.90,26.70,0.16,319,49,15.36,33.35,66.71,133,41.69,26.40,52.79,108,33.86,34.07,68.15,105,76,23.82,36.72,73.45,17,12,5.33,3.76,55.80,111.61
040US31,31,42.51,32.42,0.14,553,236,42.68,20.94,41.88,344,62.21,16.68,33.36,363,65.64,14.24,28.48,304,274,49.55,19.86,39.71,27,13,4.88,2.35,47.64,95.28
040US32,32,47.23,26.41,0.15,779,581,74.58,13.50,27.00,674,86.52,9.67,19.34,671,86.14,9.98,19.96,682,650,83.44,10.63,21.25,653,488,83.83,62.64,16.35,32.71
040US33,33,33.79,36.86,0.12,349,118,33.81,27.98,55.97,248,71.06,11.74,23.49,243,69.63,12.03,24.06,266,163,46.70,21.32,42.65,0,0,0.00,0.00,86.63,173.26
040US34,34,43.93,24.07,0.11,2175,1803,82.90,9.22,18.43,2099,96.51,5.25,10.50,2094,96.28,5.24,10.48,2160,1915,88.05,8.19,16.37,1450,599,66.67,27.54,26.17,52.35
040US35,35,42.46,26.98,0.16,612,281,45.92,21.86,43.72,382,62.42,17.47,34.94,377,61.60,17.61,35.22,378,313,51.14,20.57,41.14,101,77,16.50,12.58,47.46,94.91
040US36,36,33.08,19.39,0.12,5394,3859,71.54,15.25,30.49,4667,86.52,6.80,13.61,4668,86.54,6.85,13.70,4853,4272,79.20,10.80,21.61,1227,73,22.75,1.35,39.07,78.14
040US37,37,44.28,39.61,0.15,2661,1372,51.56,18.35,36.71,1971,74.07,11.61,23.23,1791,67.31,13.25,26.50,2365,1617,60.77,15.27,30.54,708,251,26.61,9.43,39.39,78.79
040US38,38,43.40,27.00,0.16,228,19,8.33,44.55,89.11,73,32.02,37.21,74.42,106,46.49,26.84,53.68,100,86,37.72,31.87,63.73,0,0,0.00,0.00,,
040US39,39,44.76,30.64,0.18,3162,1917,60.63,16.45,32.90,2664,84.25,8.44,16.88,2697,85.29,8.08,16.16,2858,2254,71.28,12.66,25.32,1475,797,46.65,25.21,33.66,67.32
040US40,40,44.78,35.78,0.16,1205,550,45.64,24.55,49.11,816,67.72,13.95,27.89,722,59.92,16.48,32.96,828,597,49.54,22.03,44.07,379,208,31.45,17.26,33.51,67.02
040US41,41,45.19,26.21,0.13,994,594,59.76,18.58,37.17,720,72.43,13.85,27.71,707,71.13,13.54,27.08,766,605,60.87,18.54,37.09,386,164,38.83,16.50,30.14,60.28
040US42,42,40.48,29.99,0.16,3445,2073,60.17,15.60,31.19,2721,78.98,9.59,19.18,2740,79.54,9.53,19.06,3123,2371,68.82,13.18,26.37,745,188,21.63,5.46,44.32,88.64
040US44,44,37.67,22.47,0.12,247,220,89.07,7.25,14.50,229,92.71,5.55,11.10,226,91.50,6.21,12.41,246,227,91.90,6.13,12.26,203,139,82.19,56.28,16.16,32.31
040US45,45,49.89,45.31,0.16,1317,594,45.10,20.90,41.81,791,60.06,15.71,31.42,693,52.62,17.28,34.55,1041,633,48.06,19.57,39.13,54,11,4.10,0.84,67.51,135.01
040US46,46,37.83,37.19,0.15,242,48,19.83,33.74,67.48,83,34.30,30.66,61.33,82,33.88,31.46,62.93,59,48,19.83,34.88,69.75,4,2,1.65,0.83,63.70,127.41
040US47,47,41.92,35.80,0.19,1701,571,33.57,27.42,54.83,1133,66.61,13.36,26.71,1138,66.90,12.99,25.99,1195,750,44.09,22.17,44.34,620,425,36.45,24.99,33.35,66.70
