"HEROP_ID","FIPS","SocEcAdvIn","LimMobInd","UrbCoreInd","MicaInd"
"140US01117030317","01117030317",1.81,1.92,-1.09,0.82
"140US01119011500","01119011500",-1.52,-2.6,-0.52,0.1
"140US01121010900","01121010900",-1.11,-3.03,-1.43,-0.17
"140US01125010102","01125010102",2.5,-0.1,-0.36,-0.56
"140US01089000701","01089000701",-3.62,-0.98,-1.42,1.56
"140US01089002200","01089002200",-2.27,-2.07,0.69,-0.13
"140US01089003000","01089003000",-2.63,-1.74,-0.02,0.08
"140US01095030902","01095030902",0.2,0.19,-1.08,-1.4
"140US01097000401","01097000401",-4.2,-1.9,-0.73,2.09
"140US01097000402","01097000402",-5.03,0.72,-2.05,3.09
"140US01097000902","01097000902",1.66,-0.92,0.6,-0.02
"140US01097001302","01097001302",-3.63,-1.67,-0.73,1.65
"140US01097002200","01097002200",-2.61,-0.62,-2.15,0.68
"140US01003011501","01003011501",1.21,-1.01,-0.64,-0.73
"140US01009050500","01009050500",0.15,-0.78,-1.05,-0.65
"140US01015000300","01015000300",-3.82,-3.28,-1.58,1.25
"140US01015001600","01015001600",-0.94,-1.73,-1.88,-0.47
"140US01025957700","01025957700",-1.22,-2.16,-1.61,0.59
"140US01025958002","01025958002",-2.63,-1.36,-0.75,1.04
"140US01031011000","01031011000",-0.16,0.13,-1.09,-0.07
"140US01031011100","01031011100",0.22,-1.45,-1.38,-0.2
"140US01033020500","01033020500",-0.15,-1.28,-1.86,0.88
"140US01037961200","01037961200",0.09,-2.74,-0.31,-1.08
"140US01039961700","01039961700",0.21,-1.71,-1.49,-0.8
"140US01039962300","01039962300",0.85,0.04,-1.2,-0.81
"140US01039962800","01039962800",1,-0.97,-1.1,-0.59
"140US01047956202","01047956202",0.94,-1.03,-0.6,-0.1
"140US01047956701","01047956701",1.46,0.05,-0.44,0.26
"140US01053969800","01053969800",-1.64,-1.74,-2.13,0.26
"140US01055000300","01055000300",-4.04,-1.98,-0.83,2.3
"140US01055000500","01055000500",-2.04,-2.94,-1.16,-0.98
"140US01059972900","01059972900",0.51,-1.39,-1,-1.09
"140US01063060000","01063060000",-2.36,-2.4,-1.24,-0.46
"140US01069040301","01069040301",-0.24,-0.42,-0.74,0.39
"140US01069041200","01069041200",-3.46,-3.03,-0.82,0.57
"140US01071950400","01071950400",0.37,-1.03,-1.31,-0.44
"140US01073000400","01073000400",-3.8,-1.55,-0.21,1.92
"140US01073000700","01073000700",-5.7,-1.17,-1.51,2.74
"140US01073002900","01073002900",-5.13,-5.07,1.97,1.02
"140US01073004800","01073004800",2.89,-1.06,2.58,-0.25
