HEROP_ID,RxMinDis,RxTmDr,RxCntDr,NoIntP
140US01117030317,0.7,0.0,130,7.37
140US01119011500,7.77,0.0,2,39.39
140US01121010900,0.4,0.0,6,21.94
140US01125010102,11.16,0.0,39,15.36
140US01089000701,0.73,0.0,90,25.17
140US01089002200,0.35,0.0,96,18.25
140US01089003000,0.43,0.0,96,38.63
140US01095030902,3.03,7.55,20,16.01
140US01097000401,0.9,1.62,103,46.83
140US01097000402,0.96,2.07,103,38.11
140US01097000902,0.24,0.0,104,13.93
140US01097001302,0.51,0.0,103,45.9
140US01097002200,1.48,5.05,102,37.49
140US01003011501,1.92,0.0,21,15.69
140US01009050500,4.15,0.0,2,27.05
140US01015000300,0.78,5.1,28,45.33
140US01015001600,1.01,5.19,28,28.58
140US01025957700,18.37,57.48,0,51.05
140US01025958002,13.17,31.81,0,44.95
140US01031011000,2.24,6.62,10,13.55
140US01031011100,0.63,0.0,10,11.72
140US01033020500,1.79,0.0,45,22.54
140US01037961200,17.65,34.87,0,22.43
140US01039961700,9.44,15.9,8,33.46
140US01039962300,6.57,11.6,11,25.6
140US01039962800,8.87,10.96,10,23.59
140US01047956202,10.82,21.61,12,24.32
140US01047956701,0.74,7.96,13,7.8
140US01053969800,12.07,0.0,4,45.45
140US01055000300,1.02,3.31,33,23.08
140US01055000500,0.68,2.75,38,36.98
140US01059972900,6.77,14.41,7,30.19
140US01063060000,14.81,27.76,4,48.75
140US01069040301,1.16,0.0,40,17.58
140US01069041200,0.35,0.0,41,43.64
140US01071950400,8.79,0.0,1,19.63
140US01073000400,1.7,6.01,189,37.03
140US01073000700,1.05,5.88,196,47.44
140US01073002900,1.1,3.9,218,42.55
140US01073004800,0.85,2.23,218,10.83
140US01073005101,0.75,4.8,207,40.55
140US01073010500,0.18,0.0,129,28.92
140US01073011207,1.63,7.67,83,16.69
140US01073012910,0.67,0.0,203,1.05
140US01073014405,1.05,0.0,190,5.69
140US01077010700,0.96,0.0,46,34.66
140US01079979300,9.61,16.7,15,29.51
140US01081040400,0.57,0.0,34,7.9
140US01081040700,0.99,0.0,34,0.0
140US01083020801,4.53,9.46,49,9.6
140US01085781100,15.53,38.47,0,46.71
140US01089000302,1.06,0.0,90,23.46
140US01101001400,1.0,3.24,76,11.04
140US01101002800,0.55,0.0,73,19.85
140US01101005410,1.04,0.0,69,11.42
140US01103000200,2.11,4.42,34,5.6
140US01103005303,0.11,0.0,35,19.95
140US01105686800,13.13,41.99,0,21.45
140US01107050400,2.83,0.0,4,24.33
140US01113030200,0.22,0.0,62,25.37
140US01117030215,3.7,0.0,62,5.47
140US01125010204,1.97,0.0,53,5.57
140US01125010601,4.66,0.0,40,18.72
140US01125011901,1.06,3.61,55,19.41
140US01125012800,0.76,0.0,54,24.01
140US01129044000,9.49,26.9,1,41.75
140US01133965700,3.4,0.0,8,25.06
140US01097002800,0.5,0.0,108,33.72
140US01097003606,0.96,4.25,94,9.28
140US01097003708,0.84,0.0,88,11.17
140US01097005900,6.86,16.92,2,21.96
140US01097006701,3.41,14.8,12,26.55
140US01099076200,16.94,47.42,0,50.99
140US01003010500,0.89,0.0,5,14.81
140US01129044100,12.66,16.13,5,25.14
140US01131035200,11.04,25.44,5,48.91
140US01133965600,1.85,0.0,2,34.15
140US01055010800,8.23,13.79,29,23.38
140US01059973000,2.18,0.0,15,28.36
140US01063060100,4.71,0.0,4,48.45
140US01063060200,12.96,29.19,4,47.09
140US01065040100,10.25,16.63,5,40.57
140US01065040300,10.15,15.87,6,26.42
140US01069040302,0.77,0.0,40,17.87
140US01073011803,0.7,0.0,111,11.4
140US01077010600,0.49,0.0,48,20.08
140US01081040300,0.54,0.0,34,17.9
140US01081040800,0.46,3.21,34,7.12
140US01081041300,0.8,0.0,37,20.69
140US01025957800,7.93,0.0,9,35.5
140US01031010800,6.5,18.52,8,14.91
140US01051031100,1.13,0.0,35,6.54
140US01055000600,1.23,3.78,40,28.17
140US01087232300,10.94,23.03,2,53.02
140US01055000700,0.42,0.0,40,30.0
140US01089001000,0.95,3.05,91,12.53
140US01089001500,0.6,0.0,100,9.39
140US01089001903,0.48,0.0,83,4.0
140US01089002701,0.67,2.74,79,7.24
140US01089003100,0.56,0.0,97,20.1
140US01089010624,1.2,0.0,64,4.87
140US01089011013,1.32,5.42,84,2.39
140US01091973300,18.13,31.93,0,33.29
140US01095030701,1.25,0.0,19,13.68
140US01073012908,0.45,0.0,200,10.29
140US01073013002,1.43,7.43,177,29.37
140US01073013902,0.43,0.0,127,17.9
140US01073014102,9.14,21.23,1,23.37
140US01073014408,0.14,0.0,192,7.54
140US01003011407,4.45,0.0,14,14.99
140US01005950300,11.11,16.81,1,43.11
140US01009050102,0.62,0.0,11,26.49
140US01013952800,0.73,0.0,5,24.79
140US01015000200,0.84,0.0,28,36.58
140US01015000400,2.35,10.29,28,38.9
140US01015001700,1.16,0.0,28,21.2
140US01017954400,0.73,5.69,14,41.49
140US01097002501,0.26,0.0,112,13.44
