HEROP_ID,OtpMinDis,OtpTmDr,OtpCntDr
140US01117030317,6.58,19.62,2
140US01119011500,34.83,44.73,0
140US01121010900,23.81,41.63,0
140US01125010102,26.36,32.19,0
140US01089000701,3.15,10.19,3
140US01089002200,1.76,6.18,3
140US01089003000,3.11,9.57,3
140US01095030902,22.53,40.89,0
140US01097000401,5.92,13.74,3
140US01097000402,6.49,14.6,3
140US01097000902,4.4,11.44,3
140US01097001302,3.44,9.93,3
140US01097002200,1.79,7.78,3
140US01003011501,29.25,55.5,0
140US01009050500,21.91,52.64,0
140US01015000300,5.09,11.43,1
140US01015001600,7.68,16.77,1
140US01025957700,62.19,131.56,0
140US01025958002,49.49,110.25,0
140US01031011000,25.09,31.56,0
140US01031011100,22.67,30.41,0
140US01033020500,5.32,10.18,1
140US01037961200,25.89,70.3,0
140US01039961700,56.3,101.01,0
140US01039962300,58.4,79.79,0
140US01039962800,51.67,73.26,0
140US01047956202,37.31,93.92,0
140US01047956701,47.47,79.98,0
140US01053969800,28.95,39.47,0
140US01055000300,1.09,3.31,1
140US01055000500,2.18,4.74,1
140US01059972900,20.83,42.49,0
140US01063060000,36.02,59.61,0
140US01069040301,8.91,18.18,1
140US01069041200,10.45,19.45,1
140US01071950400,28.29,62.32,0
140US01073000400,9.15,24.09,2
140US01073000700,9.25,25.94,2
140US01073002900,5.53,19.62,3
140US01073004800,6.27,21.03,2
140US01073005101,3.96,16.86,2
140US01073010500,4.93,14.13,2
140US01073011207,7.25,17.42,1
140US01073012910,8.39,25.7,2
140US01073014405,2.76,17.43,1
140US01077010700,4.05,9.24,1
140US01079979300,24.49,34.97,0
140US01081040400,35.98,53.81,0
140US01081040700,37.33,53.36,0
140US01083020801,9.62,24.19,2
140US01085781100,45.55,69.51,0
140US01089000302,4.07,13.81,3
140US01101001400,6.13,15.67,1
140US01101002800,4.24,12.9,1
140US01101005410,1.63,10.48,1
140US01103000200,16.47,35.67,0
140US01103005303,20.35,30.35,0
140US01105686800,40.07,85.97,0
140US01107050400,38.02,70.16,0
140US01113030200,2.11,6.35,2
140US01117030215,17.09,39.71,0
140US01125010204,8.73,18.01,1
140US01125010601,21.01,31.7,0
140US01125011901,2.9,11.37,1
140US01125012800,5.78,15.63,1
140US01129044000,69.56,97.76,0
140US01133965700,31.53,57.83,0
140US01097002800,2.24,7.57,3
140US01097003606,2.64,8.63,3
140US01097003708,3.47,14.73,3
140US01097005900,28.68,42.74,0
140US01097006701,6.17,32.01,0
140US01099076200,36.81,78.67,0
140US01003010500,30.69,46.98,0
140US01129044100,60.54,69.31,0
140US01131035200,74.96,128.33,0
140US01133965600,23.12,47.04,0
140US01055010800,11.28,15.99,1
140US01059973000,19.13,33.05,0
140US01063060100,30.84,46.34,0
140US01063060200,46.79,67.67,0
140US01065040100,26.04,36.14,0
140US01065040300,35.92,52.96,0
140US01069040302,7.92,21.61,1
140US01073011803,5.7,20.29,1
140US01077010600,3.75,8.19,1
140US01081040300,35.55,51.69,0
140US01081040800,37.4,52.48,0
140US01081041300,31.55,41.93,0
140US01025957800,61.26,104.89,0
140US01031010800,22.71,42.29,0
140US01051031100,15.76,34.26,0
140US01055000600,3.0,4.58,1
140US01087232300,40.46,68.07,0
140US01055000700,1.48,2.65,1
140US01089001000,3.94,10.51,3
140US01089001500,0.84,4.2,3
140US01089001903,3.13,9.86,3
140US01089002701,4.26,10.76,2
140US01089003100,2.92,8.27,3
140US01089010624,5.67,17.01,3
140US01089011013,4.17,9.25,3
140US01091973300,57.47,86.98,0
140US01095030701,30.24,47.66,0
140US01073012908,5.54,19.17,3
140US01073013002,1.49,15.74,2
140US01073013902,6.89,17.32,2
140US01073014102,16.51,42.24,0
140US01073014408,6.97,21.57,3
140US01003011407,38.11,66.63,0
140US01005950300,45.57,88.06,0
140US01009050102,30.07,45.77,0
140US01013952800,52.23,61.48,0
140US01015000200,5.02,11.4,1
140US01015000400,5.45,16.25,1
140US01015001700,9.45,17.24,1
140US01017954400,22.32,34.06,0
140US01097002501,3.59,9.6,3
140US01097003204,0.55,0.0,3
140US01097003404,5.13,16.8,3
140US01097003502,1.38,8.71,3
140US01097003706,3.0,13.22,3
140US01097003902,4.84,13.38,3
140US01073002200,6.98,18.13,2
140US01073003200,5.59,20.83,2
140US01073003900,4.28,18.27,2
140US01073005000,3.9,18.93,1
140US01073005702,2.4,14.37,2
140US01073010100,4.07,10.05,2
140US01101005606,3.07,10.19,1
140US01097005100,8.18,14.65,3
140US01097006404,7.06,17.36,3
140US01097006405,5.03,15.13,3
140US01101005612,5.71,17.52,1
140US01103000300,18.13,31.25,0
140US01097007700,6.24,13.9,3
140US01099075800,51.23,83.67,0
140US01101000600,6.02,13.48,1
140US01101001200,7.85,17.35,1
140US01073010702,4.44,18.27,2
140US01073010900,9.47,23.57,2
140US01073011802,5.47,15.63,1
140US01101002700,1.69,9.54,1
140US01101005301,4.34,11.7,1
140US01101005604,13.37,23.04,1
140US01103000900,19.7,32.91,0
140US01111000100,26.32,41.57,0
140US01111000300,35.29,52.55,0
140US01113030500,4.6,11.37,2
140US01117030211,13.33,42.13,0
140US01117030319,3.33,13.2,1
140US01117980000,11.0,32.47,0
140US01121010700,26.23,40.81,0
140US01121011100,35.45,58.31,0
140US01125010103,24.88,43.69,0
140US01125010405,9.77,21.45,1
140US01125011401,3.97,10.94,1
140US01125011703,3.25,12.31,1
140US01019955702,30.75,58.02,0
140US01023956800,41.91,58.45,0
140US01097006901,6.85,15.58,4
140US01043965401,12.47,20.88,1
140US01045020500,17.97,42.28,0
140US01047956400,43.43,75.07,0
140US01047957000,64.41,121.06,0
140US01033020200,1.81,3.27,1
140US01037961100,23.16,81.59,0
140US01083020600,16.03,31.62,0
140US01085780800,24.82,49.16,0
140US01085781000,36.5,47.64,0
140US01087231800,36.93,45.46,0
140US01113030401,3.41,9.81,2
140US01001020300,19.77,33.72,0
140US01003010100,37.23,67.61,0
140US01023956700,35.39,61.24,0
140US01031011300,20.14,25.27,1
140US01043964800,1.59,0.0,1
140US01047956100,36.27,83.0,0
140US01055001000,1.0,1.77,1
140US01069040400,8.41,18.24,1
140US01071950800,23.59,29.9,1
140US01073010200,3.12,7.36,2
140US01081040902,35.92,53.64,0
140US01083020500,15.77,31.65,0
140US01073011804,6.71,20.71,1
140US01091973000,62.27,82.47,0
140US01097000600,5.72,15.7,3
140US01097001001,4.97,12.05,3
140US01125012000,3.6,12.67,1
140US01097001400,3.17,9.56,3
140US01097003203,1.11,5.72,3
140US01101001600,4.79,11.48,1
140US01101005605,3.19,13.16,1
140US01069041000,11.73,24.07,1
140US01073012401,9.9,28.53,1
140US01117030212,10.74,28.87,2
140US01099075600,64.01,105.09,0
140US01115040300,25.74,49.85,0
140US01089001301,0.64,0.0,3
140US01089002600,2.14,6.21,3
140US01093964500,18.78,35.04,0
140US01097001002,4.31,10.96,3
140US01001020500,16.84,28.97,1
140US01001021100,30.87,59.99,0
140US01023956900,42.67,82.04,0
140US01039962700,48.16,68.7,0
140US01051030400,19.79,47.39,0
140US01055001700,5.59,9.1,1
140US01073000100,6.15,16.11,1
140US01073003300,6.34,21.76,2
140US01073012302,16.57,41.64,0
140US01081040603,38.68,58.35,0
140US01087232200,20.87,33.62,0
140US01101005302,3.42,7.47,1
140US01047956900,58.95,97.58,0
140US01097001502,2.56,7.86,3
140US01097003705,3.91,14.7,3
140US01097007500,7.17,13.56,3
140US01071950200,7.41,16.0,1
140US01071950600,19.13,34.99,0
140US01071950700,30.0,32.23,0
140US01101000900,10.57,23.05,1
140US01103005109,19.95,35.31,0
140US01113031200,23.79,38.14,0
140US01121010600,23.87,38.02,0
140US01125011402,4.83,12.0,1
140US01127021300,18.2,37.12,0
140US01131034800,79.78,118.33,0
140US01103001000,19.81,34.48,0
140US01073003600,4.44,16.67,2
140US01081041400,30.73,41.43,0
140US01097006902,4.58,11.87,3
140US01101001100,8.61,16.96,1
140US01101001900,3.91,10.18,1
140US01101002100,6.49,16.89,1
140US01101002500,6.05,13.99,1
140US01101003301,3.79,11.83,1
140US01101005408,4.62,8.61,1
140US01101005502,10.96,20.75,1
140US01101005603,5.34,13.97,1
140US01079979800,34.82,50.45,0
140US01047956600,44.79,74.06,0
140US01101005610,6.98,20.82,1
140US01127021200,11.78,20.24,1
140US01101005101,7.48,12.43,1
140US01073001100,8.02,24.26,2
140US01051030902,17.38,40.88,0
140US01039962500,50.94,68.56,0
140US01039962600,51.02,69.49,0
140US01039963000,51.17,77.21,0
140US01089001402,3.57,10.12,3
140US01089011200,9.1,16.79,3
140US01089000602,1.62,7.61,3
140US01049961300,36.95,51.54,0
140US01073012602,3.02,15.85,1
140US01091973200,72.07,108.15,0
140US01097000500,6.03,14.13,3
140US01097004000,6.33,12.6,3
140US01093964200,12.8,23.47,1
140US01095030401,25.29,39.13,0
140US01123962200,48.8,83.51,0
140US01123962501,49.23,83.76,0
140US01097004100,5.94,13.03,3
140US01097004900,6.61,11.29,3
140US01127020700,5.1,19.12,1
140US01117030407,8.11,30.36,0
140US01079979900,34.87,54.48,0
140US01019956100,26.85,47.67,0
140US01021060102,7.44,17.82,1
140US01021060401,14.03,27.26,1
140US01051030100,20.56,48.13,0
140US01117030605,3.13,21.27,1
140US01069040600,9.88,19.07,1
140US01101005901,16.68,29.04,1
140US01103000600,18.39,31.31,0
140US01101005409,0.8,8.79,1
140US01073011706,12.58,36.54,0
140US01073012704,6.38,25.73,1
140US01113030300,2.37,6.05,2
140US01095030202,27.26,47.38,0
140US01097006403,7.63,16.43,3
140US01097006501,6.91,25.08,3
140US01097007101,6.98,16.67,3
140US01103005200,21.46,46.22,0
140US01103005301,21.43,37.34,0
140US01103005304,18.5,27.51,1
140US01021060500,22.44,38.41,0
140US01025957601,67.89,130.75,0
140US01073010701,3.79,16.73,3
140US01029959800,27.85,51.1,0
140US01119011400,50.71,69.27,0
140US01121010500,20.9,44.03,0
140US01027959100,35.93,70.75,0
140US01103005107,25.05,44.06,0
140US01105687100,55.54,92.92,0
140US01069040100,3.9,0.0,1
140US01069040700,9.28,20.28,1
140US01069040900,13.55,26.04,1
140US01103005103,21.7,39.45,0
140US01103005105,22.99,40.27,0
