HEROP_ID,ZCTA5,Ruca1,Ruca2,Rurality
860US01040,1040,1.0,1.0,Urban
860US01050,1050,2.0,2.0,Suburban
860US01053,1053,1.0,1.0,Urban
860US01056,1056,1.0,1.0,Urban
860US01057,1057,2.0,2.0,Suburban
860US01060,1060,1.0,1.0,Urban
860US01062,1062,1.0,1.0,Urban
860US01066,1066,2.0,2.0,Suburban
860US01069,1069,1.0,1.0,Urban
860US01070,1070,2.0,2.0,Suburban
860US01072,1072,2.0,2.0,Suburban
860US01073,1073,2.0,2.0,Suburban
860US01075,1075,1.0,1.0,Urban
860US01077,1077,1.0,1.0,Urban
860US01081,1081,2.0,2.0,Suburban
860US01082,1082,2.0,2.0,Suburban
860US01083,1083,2.0,2.0,Suburban
860US01084,1084,2.0,2.0,Suburban
860US01085,1085,1.0,1.0,Urban
860US01088,1088,2.0,2.0,Suburban
860US01089,1089,1.0,1.0,Urban
860US01093,1093,2.0,2.0,Suburban
860US01098,1098,2.0,2.0,Suburban
860US01104,1104,1.0,1.0,Urban
860US01106,1106,1.0,1.0,Urban
860US01118,1118,1.0,1.0,Urban
860US01128,1128,1.0,1.0,Urban
860US01201,1201,1.0,1.0,Urban
860US01220,1220,1.0,1.0,Urban
860US01223,1223,2.0,2.0,Suburban
860US01226,1226,1.0,1.0,Urban
860US01230,1230,7.0,7.0,Rural
860US01236,1236,7.0,7.0,Rural
860US01243,1243,2.0,2.0,Suburban
860US01245,1245,10.0,10.0,Rural
860US01253,1253,10.0,10.0,Rural
860US01255,1255,10.0,10.0,Rural
860US01257,1257,10.0,10.0,Rural
860US01260,1260,7.0,7.0,Rural
860US01264,1264,10.0,10.0,Rural
860US01267,1267,4.0,4.0,Suburban
860US01301,1301,4.0,4.0,Suburban
860US01337,1337,5.0,5.0,Rural
860US01339,1339,6.0,6.0,Rural
860US01341,1341,2.0,2.0,Suburban
860US01346,1346,6.0,6.0,Rural
860US01350,1350,6.0,6.0,Rural
860US01354,1354,5.0,5.0,Rural
860US01360,1360,5.0,5.0,Rural
860US01366,1366,3.0,3.0,Rural
860US01370,1370,10.0,10.0,Rural
860US01373,1373,2.0,2.0,Suburban
860US01376,1376,4.0,4.0,Suburban
860US01379,1379,6.0,6.0,Rural
860US01432,1432,1.0,1.0,Urban
860US01434,1434,2.0,2.0,Suburban
860US01440,1440,1.0,1.0,Urban
860US01463,1463,1.0,1.0,Urban
860US01464,1464,1.0,1.0,Urban
860US01468,1468,1.0,1.0,Urban
860US01474,1474,1.0,1.0,Urban
860US01475,1475,1.0,1.0,Urban
860US01516,1516,1.0,1.0,Urban
860US01518,1518,1.0,1.0,Urban
860US01519,1519,1.0,1.0,Urban
860US01520,1520,1.0,1.0,Urban
860US01522,1522,1.0,1.0,Urban
860US01523,1523,1.0,1.0,Urban
860US01531,1531,3.0,3.0,Rural
860US01532,1532,1.0,1.0,Urban
860US01534,1534,1.0,1.0,Urban
860US01537,1537,1.0,1.0,Urban
860US01540,1540,1.0,1.0,Urban
860US01542,1542,1.0,1.0,Urban
860US01545,1545,1.0,1.0,Urban
860US01550,1550,1.0,1.0,Urban
860US01561,1561,1.0,1.0,Urban
860US01566,1566,1.0,1.0,Urban
860US01568,1568,1.0,1.0,Urban
860US01569,1569,1.0,1.0,Urban
860US01571,1571,1.0,1.0,Urban
860US01585,1585,2.0,2.0,Suburban
860US01590,1590,1.0,1.0,Urban
860US01603,1603,1.0,1.0,Urban
860US01605,1605,1.0,1.0,Urban
860US01607,1607,1.0,1.0,Urban
860US01610,1610,1.0,1.0,Urban
860US01612,1612,1.0,1.0,Urban
860US01702,1702,1.0,1.0,Urban
860US01720,1720,1.0,1.0,Urban
860US01730,1730,1.0,1.0,Urban
860US01742,1742,1.0,1.0,Urban
860US01746,1746,1.0,1.0,Urban
860US01747,1747,1.0,1.0,Urban
860US01756,1756,1.0,1.0,Urban
860US01757,1757,1.0,1.0,Urban
860US01770,1770,1.0,1.0,Urban
860US01773,1773,1.0,1.0,Urban
860US01776,1776,1.0,1.0,Urban
860US01810,1810,1.0,1.0,Urban
860US01821,1821,1.0,1.0,Urban
860US01826,1826,1.0,1.0,Urban
860US01830,1830,1.0,1.0,Urban
860US01835,1835,1.0,1.0,Urban
860US01841,1841,1.0,1.0,Urban
860US01843,1843,1.0,1.0,Urban
860US01845,1845,1.0,1.0,Urban
860US01852,1852,1.0,1.0,Urban
860US01854,1854,1.0,1.0,Urban
860US01862,1862,1.0,1.0,Urban
860US01864,1864,1.0,1.0,Urban
860US01887,1887,1.0,1.0,Urban
860US01902,1902,1.0,1.0,Urban
860US01904,1904,1.0,1.0,Urban
860US01905,1905,1.0,1.0,Urban
860US01913,1913,1.0,1.0,Urban
860US01915,1915,1.0,1.0,Urban
860US01922,1922,1.0,1.0,Urban
860US01929,1929,1.0,1.0,Urban
860US01938,1938,1.0,1.0,Urban
860US01940,1940,1.0,1.0,Urban
860US01949,1949,1.0,1.0,Urban
860US01951,1951,1.0,1.0,Urban
860US01969,1969,1.0,1.0,Urban
860US01982,1982,1.0,1.0,Urban
860US01985,1985,1.0,1.0,Urban
860US02026,2026,1.0,1.0,Urban
860US02038,2038,1.0,1.0,Urban
860US02043,2043,1.0,1.0,Urban
860US02045,2045,1.0,1.0,Urban
860US02050,2050,1.0,1.0,Urban
860US02053,2053,1.0,1.0,Urban
860US02056,2056,1.0,1.0,Urban
860US02062,2062,1.0,1.0,Urban
860US02072,2072,1.0,1.0,Urban
860US02090,2090,1.0,1.0,Urban
860US02115,2115,1.0,1.0,Urban
860US02119,2119,1.0,1.0,Urban
860US02121,2121,1.0,1.0,Urban
860US02122,2122,1.0,1.0,Urban
860US02124,2124,1.0,1.0,Urban
860US02125,2125,1.0,1.0,Urban
860US02126,2126,1.0,1.0,Urban
860US02128,2128,1.0,1.0,Urban
860US02129,2129,1.0,1.0,Urban
860US02130,2130,1.0,1.0,Urban
860US02131,2131,1.0,1.0,Urban
860US02132,2132,1.0,1.0,Urban
860US02134,2134,1.0,1.0,Urban
860US02136,2136,1.0,1.0,Urban
860US02138,2138,1.0,1.0,Urban
860US02141,2141,1.0,1.0,Urban
860US02149,2149,1.0,1.0,Urban
860US02150,2150,1.0,1.0,Urban
860US02151,2151,1.0,1.0,Urban
860US02152,2152,1.0,1.0,Urban
860US02155,2155,1.0,1.0,Urban
860US02169,2169,1.0,1.0,Urban
860US02170,2170,1.0,1.0,Urban
860US02171,2171,1.0,1.0,Urban
860US02186,2186,1.0,1.0,Urban
860US02189,2189,1.0,1.0,Urban
860US02191,2191,1.0,1.0,Urban
860US02215,2215,1.0,1.0,Urban
860US02324,2324,1.0,1.0,Urban
860US02330,2330,1.0,1.0,Urban
860US02332,2332,1.0,1.0,Urban
860US02333,2333,1.0,1.0,Urban
860US02339,2339,1.0,1.0,Urban
860US02347,2347,1.0,1.0,Urban
860US02359,2359,1.0,1.0,Urban
860US02368,2368,1.0,1.0,Urban
860US02375,2375,1.0,1.0,Urban
860US02420,2420,1.0,1.0,Urban
860US02421,2421,1.0,1.0,Urban
860US02445,2445,1.0,1.0,Urban
860US02451,2451,1.0,1.0,Urban
860US02453,2453,1.0,1.0,Urban
860US02459,2459,1.0,1.0,Urban
860US02461,2461,1.0,1.0,Urban
860US02464,2464,1.0,1.0,Urban
860US02467,2467,1.0,1.0,Urban
860US02472,2472,1.0,1.0,Urban
860US02478,2478,1.0,1.0,Urban
860US02493,2493,1.0,1.0,Urban
860US02532,2532,1.0,1.0,Urban
860US02536,2536,1.0,1.0,Urban
860US02537,2537,1.0,1.0,Urban
860US02540,2540,1.0,1.0,Urban
860US02543,2543,1.0,1.0,Urban
860US02554,2554,7.0,7.0,Rural
860US02558,2558,1.0,1.0,Urban
860US02559,2559,1.0,1.0,Urban
860US02563,2563,1.0,1.0,Urban
860US02571,2571,1.0,1.0,Urban
860US02575,2575,10.0,10.0,Rural
860US02601,2601,1.0,1.0,Urban
860US02633,2633,1.0,1.0,Urban
860US02637,2637,1.0,1.0,Urban
860US02639,2639,1.0,1.0,Urban
860US02643,2643,1.0,1.0,Urban
860US02645,2645,1.0,1.0,Urban
860US02649,2649,1.0,1.0,Urban
860US02652,2652,10.0,10.3,Rural
860US02655,2655,1.0,1.0,Urban
860US02659,2659,1.0,1.0,Urban
860US02663,2663,10.0,10.0,Rural
860US02666,2666,10.0,10.3,Rural
860US02671,2671,1.0,1.0,Urban
860US02673,2673,1.0,1.0,Urban
860US02675,2675,1.0,1.0,Urban
860US02702,2702,1.0,1.0,Urban
860US02713,2713,10.0,10.0,Rural
860US02715,2715,1.0,1.0,Urban
860US02717,2717,1.0,1.0,Urban
860US02718,2718,1.0,1.0,Urban
860US02720,2720,1.0,1.0,Urban
860US02721,2721,1.0,1.0,Urban
860US02740,2740,1.0,1.0,Urban
860US02745,2745,1.0,1.0,Urban
860US02746,2746,1.0,1.0,Urban
860US02747,2747,1.0,1.0,Urban
860US02748,2748,1.0,1.0,Urban
860US02760,2760,1.0,1.0,Urban
860US02764,2764,1.0,1.0,Urban
860US02767,2767,1.0,1.0,Urban
860US02770,2770,3.0,3.0,Rural
860US02771,2771,1.0,1.0,Urban
860US02777,2777,1.0,1.0,Urban
860US02779,2779,1.0,1.0,Urban
860US02780,2780,1.0,1.0,Urban
860US02790,2790,1.0,1.0,Urban
860US02791,2791,3.0,3.0,Rural
860US02802,2802,1.0,1.0,Urban
860US02804,2804,2.0,2.0,Suburban
860US02808,2808,1.0,1.0,Urban
860US02812,2812,2.0,2.0,Suburban
860US02813,2813,2.0,2.0,Suburban
860US02814,2814,2.0,2.0,Suburban
860US02815,2815,2.0,2.0,Suburban
860US02818,2818,1.0,1.0,Urban
860US02825,2825,2.0,2.0,Suburban
860US02830,2830,1.0,1.0,Urban
860US02833,2833,2.0,2.0,Suburban
860US02838,2838,1.0,1.0,Urban
860US02839,2839,1.0,1.0,Urban
860US02840,2840,1.0,1.0,Urban
860US02852,2852,1.0,1.0,Urban
860US02858,2858,1.0,1.0,Urban
860US02860,2860,1.0,1.0,Urban
860US02864,2864,1.0,1.0,Urban
860US02865,2865,1.0,1.0,Urban
860US02873,2873,2.0,2.0,Suburban
860US02875,2875,2.0,2.0,Suburban
860US02878,2878,1.0,1.0,Urban
860US02881,2881,1.0,1.0,Urban
860US02886,2886,1.0,1.0,Urban
860US02888,2888,1.0,1.0,Urban
860US02891,2891,1.0,1.0,Urban
860US02894,2894,2.0,2.0,Suburban
860US02896,2896,1.0,1.0,Urban
860US02903,2903,1.0,1.0,Urban
860US02906,2906,1.0,1.0,Urban
860US02908,2908,1.0,1.0,Urban
860US02910,2910,1.0,1.0,Urban
860US02914,2914,1.0,1.0,Urban
860US02915,2915,1.0,1.0,Urban
860US02917,2917,1.0,1.0,Urban
860US02921,2921,1.0,1.0,Urban
860US03037,3037,3.0,3.0,Rural
860US03038,3038,1.0,1.0,Urban
860US03053,3053,1.0,1.0,Urban
860US03057,3057,2.0,2.0,Suburban
860US03076,3076,1.0,1.0,Urban
