"HEROP_ID","ZCTA5","RxMinDis","RxTmDr","RxCntDr","NoIntP"
"860US36083","36083",2.93,0,18,32.19
"860US35441","35441",10.16,26.82,1,35.97
"860US35051","35051",1.73,0,13,21.7
"860US35121","35121",1.26,0,12,26.39
"860US35058","35058",1.2,0,19,27.22
"860US35619","35619",12.13,22.44,13,29.78
"860US35016","35016",0.18,0,13,17.55
"860US36115","36115",1.44,5.64,81,0
"860US36353","36353",10.03,21.5,1,21.54
"860US36728","36728",18.96,39.06,0,50
"860US35229","35229",0.69,7.94,227,NA
"860US99574","99574",74.31,NA,0,5.15
"860US99729","99729",225.52,NA,0,13.98
"860US36027","36027",5.53,0,8,28.03
"860US35470","35470",2.49,0,4,27.89
"860US86544","86544",64.25,92.5,0,78.59
"860US35173","35173",3.92,0,115,7.46
"860US35098","35098",7.71,26.09,2,34.11
"860US71653","71653",2.01,0,18,33.95
"860US81524","81524",10.35,13.25,20,10.26
"860US93308","93308",11.34,0,111,14.24
"860US20012","20012",0.73,NA,0,13.65
"860US83811","83811",30.99,38.1,0,33.84
"860US04554","04554",8.45,25.61,2,18.75
"860US60034","60034",8.8,17.57,32,11.05
"860US21529","21529",3.33,11.04,23,23.79
"860US02671","02671",0.84,3.96,38,8.82
"860US04019","04019",9.54,89.59,0,0
"860US49854","49854",18.09,0,2,18.7
"860US56127","56127",14.33,19.02,1,26.95
"860US04766","04766",16.08,22.25,3,34.36
"860US39150","39150",3.33,0,1,37.93
"860US59870","59870",2.33,0,4,14.06
"860US59014","59014",33.02,42.1,0,19.09
"860US02461","02461",0.1,0,425,3.46
"860US88045","88045",47.29,57.7,0,25.42
"860US99517","99517",1.86,4.1,45,10.79
"860US99639","99639",58.37,NA,0,20.41
"860US99768","99768",487.6,NA,0,47.46
"860US85264","85264",12.88,23.12,9,19.35
"860US86334","86334",17.25,23.81,2,17.71
"860US85501","85501",10.86,0,3,31.24
"860US85638","85638",18.46,32.83,0,21.64
"860US85726","85726",1.29,10.17,147,NA
"860US72756","72756",9.26,0,61,19.46
"860US72950","72950",17.88,24.43,3,29.33
"860US71846","71846",11.5,30.06,0,28.56
"860US93592","93592",37.22,51.94,0,47.89
"860US93060","93060",4.83,0,88,21.13
"860US93960","93960",2.08,0,5,20.72
"860US93235","93235",5.85,11.66,48,24.58
"860US93622","93622",9.53,0,3,26.42
"860US90018","90018",1.13,0,1378,18.85
"860US96057","96057",26.16,22.98,2,26.68
"860US93666","93666",2.41,4.79,27,44.7
"860US94952","94952",7.45,0,60,8.07
"860US94127","94127",0.68,0,276,4.16
"860US96034","96034",15.98,33.1,0,20.59
"860US93620","93620",3.36,0,7,19.77
"860US49934","49934",6.92,12.8,6,4.14
"860US28428","28428",0.39,0,42,7.19
"860US39465","39465",3.66,0,22,18.25
"860US65747","65747",1.13,0,1,7.52
"860US64112","64112",0.31,0,236,5.59
"860US39144","39144",16.19,23.95,1,18.95
"860US03076","03076",0.75,0,121,7.08
"860US97368","97368",6.94,22.92,3,15.4
"860US15316","15316",2.89,6.7,2,6.25
"860US19137","19137",0.26,0,942,14.53
"860US29440","29440",2.08,0,19,27.1
"860US69341","69341",8.54,0,7,16.88
"860US11550","11550",0.31,0,1187,13.23
"860US78404","78404",0.45,0,67,21.25
"860US84753","84753",38.17,42.65,0,100
"860US05450","05450",1.19,0,1,16.08
"860US24171","24171",2.83,0,4,27.06
"860US23092","23092",4.54,8.88,11,42.39
"860US24622","24622",9.89,37.2,0,57.49
"860US44123","44123",0.57,0,149,19.01
"860US98382","98382",5.92,0,10,10.2
"860US73505","73505",3.1,0,20,10.57
"860US25425","25425",2.85,0,18,11.12
"860US97630","97630",11.75,0,3,25.32
"860US82225","82225",23.15,0,1,26.11
"860US35079","35079",5.13,0,11,18.9
"860US08073","08073",1.42,4.68,547,0
"860US87506","87506",11.02,15.48,26,23.47
"860US88301","88301",36.22,53.37,0,34.11
"860US87558","87558",25.3,53.6,0,18.72
"860US88042","88042",35.1,67.87,0,29.81
"860US88055","88055",31.79,118.21,0,21.43
"860US10171","10171",0.17,0.98,3327,NA
"860US10110","10110",0.16,1.72,3269,NA
"860US12758","12758",11.71,12.43,9,14.54
"860US10282","10282",0,0,3217,0
