"HEROP_ID","ZCTA5","OtpMinDis","OtpTmDr","OtpCntDr"
"860US36083","36083",36.17,40.46,0
"860US35441","35441",27.94,40.93,0
"860US35051","35051",11.61,30.44,0
"860US35121","35121",30.4,49.2,0
"860US35058","35058",9.81,17.81,1
"860US35619","35619",24.17,43.3,0
"860US35016","35016",27.76,40.68,0
"860US36115","36115",4.36,13.58,1
"860US36353","36353",23.16,53.58,0
"860US36728","36728",81.27,126.62,0
"860US35229","35229",4.48,15.24,4
"860US99574","99574",268.1,NA,0
"860US99729","99729",248.09,NA,0
"860US36027","36027",46.75,63.07,0
"860US35470","35470",44.31,48.71,0
"860US86544","86544",66.2,92.5,0
"860US35173","35173",7.39,18.65,1
"860US35098","35098",13.24,42.81,0
"860US71653","71653",90.51,NA,0
"860US81524","81524",25.65,35.75,0
"860US93308","93308",13.68,6.65,3
"860US20012","20012",3.31,NA,0
"860US83811","83811",86.63,125.36,0
"860US04554","04554",34.11,53.37,0
"860US60034","60034",17.73,26.54,1
"860US21529","21529",3.17,14.75,2
"860US02671","02671",7.09,11.18,1
"860US04019","04019",16.14,92.5,0
"860US49854","49854",156.01,NA,0
"860US56127","56127",137.34,NA,0
"860US04766","04766",181.93,NA,0
"860US39150","39150",64.74,94.73,0
"860US59870","59870",33.63,45.13,0
"860US59014","59014",57.35,61.62,0
"860US02461","02461",4.43,5.72,19
"860US88045","88045",74.58,93.87,0
"860US99517","99517",3.49,4.1,2
"860US99639","99639",190.05,NA,0
"860US99768","99768",496.51,NA,0
"860US85264","85264",20.94,32.76,0
"860US86334","86334",33.91,47.35,0
"860US85501","85501",62.42,75.99,0
"860US85638","85638",20.31,32.83,0
"860US85726","85726",1.99,6.94,12
"860US72756","72756",20.2,22.68,1
"860US72950","72950",67.86,108.37,0
"860US71846","71846",43.29,62.53,0
"860US93592","93592",119.97,NA,0
"860US93060","93060",4.76,0,4
"860US93960","93960",31.49,35.3,0
"860US93235","93235",8.05,18.5,2
"860US93622","93622",43.44,66.03,0
"860US90018","90018",2.57,5.56,35
"860US96057","96057",70.55,91.52,0
"860US93666","93666",20.12,30.17,0
"860US94952","94952",20.05,31.24,0
"860US94127","94127",3.15,9.45,12
"860US96034","96034",81.66,99.75,0
"860US93620","93620",26.08,45.96,0
"860US49934","49934",235.4,NA,0
"860US28428","28428",13.08,23.83,4
"860US39465","39465",77.5,104.48,0
"860US65747","65747",52.2,100.29,0
"860US64112","64112",2.19,9.64,6
"860US39144","39144",61.82,96.88,0
"860US03076","03076",10.16,16.08,6
"860US97368","97368",60.24,83.78,0
"860US15316","15316",22.52,49.85,0
"860US19137","19137",1.47,0,36
"860US29440","29440",39.52,56.39,0
"860US69341","69341",141.36,NA,0
"860US11550","11550",5.14,8.62,20
"860US78404","78404",2.29,4.44,3
"860US84753","84753",80.77,95.9,0
"860US05450","05450",23.08,35.1,0
"860US24171","24171",42.63,69.83,0
"860US23092","23092",22.74,50.68,0
"860US24622","24622",14.09,44.96,0
"860US44123","44123",8.26,18.1,7
"860US98382","98382",26.16,24.42,1
"860US73505","73505",5.04,13.99,1
"860US25425","25425",19.77,41.32,0
"860US97630","97630",170.38,NA,0
"860US82225","82225",230.07,NA,0
"860US35079","35079",12.58,26.16,1
"860US08073","08073",5.41,8.34,25
"860US87506","87506",13.42,18.69,4
"860US88301","88301",94.93,NA,0
"860US87558","87558",73.85,132.89,0
"860US88042","88042",71.55,114.96,0
"860US88055","88055",67.78,155.29,0
"860US10171","10171",1.38,3.23,92
"860US10110","10110",0.79,2.59,92
"860US12758","12758",49.9,59.35,0
"860US10282","10282",0.99,1.32,88
"860US14212","14212",3.47,10.5,6
"860US11956","11956",13.98,17.76,2
"860US14788","14788",21.53,32.05,0
"860US10040","10040",1.02,1.79,81
"860US11501","11501",5.06,9.79,22
"860US14035","14035",29.08,39.37,0
