"HEROP_ID","GEOID","TotTracts","BupCtTmDr","BupCtTmDr2","BupTmDrP","BupTmDrP2","BupAvTmDr","BupAvTmDr2"
"040US01","01",1436,988,644,68.8,44.85,24.27,48.54
"040US02","02",177,118,105,66.67,59.32,14.06,28.11
"040US04","04",1765,1631,1479,92.41,83.8,9.2,18.39
"040US05","05",823,689,457,83.72,55.53,16.46,32.91
"040US06","06",9109,8655,7921,95.02,86.96,8.6,17.2
"040US08","08",1447,1307,1140,90.32,78.78,11.18,22.36
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,226,99.61,87.26,7.16,14.33
"040US11","11",206,206,206,100,100,2.95,5.9
"040US12","12",5122,4843,4113,94.55,80.3,10.35,20.69
"040US13","13",2791,2481,1985,88.89,71.12,13.98,27.96
"040US15","15",436,335,305,76.83,69.95,11.05,22.1
"040US16","16",456,351,297,76.97,65.13,16.59,33.17
"040US17","17",3263,3028,2720,92.8,83.36,8.92,17.85
"040US18","18",1693,1650,1369,97.46,80.86,8.86,17.71
"040US19","19",896,677,495,75.56,55.25,18.93,37.86
"040US20","20",829,712,587,85.89,70.81,13.5,26.99
"040US21","21",1306,1215,846,93.03,64.78,12.1,24.2
"040US22","22",1379,1117,845,81,61.28,16.37,32.74
"040US23","23",401,341,231,85.04,57.61,15.13,30.27
"040US24","24",1465,1459,1362,99.59,92.97,6.04,12.09
"040US25","25",1613,1611,1507,99.88,93.43,5.98,11.97
"040US26","26",2972,2724,2225,91.66,74.87,11.52,23.03
"040US27","27",1502,1262,1053,84.02,70.11,13.65,27.3
"040US28","28",875,588,340,67.2,38.86,25.21,50.42
"040US29","29",1654,1522,1188,92.02,71.83,11.45,22.9
"040US30","30",319,174,133,54.55,41.69,26.4,52.79
"040US31","31",553,415,344,75.05,62.21,16.68,33.36
"040US32","32",779,714,674,91.66,86.52,9.67,19.34
"040US33","33",349,327,248,93.7,71.06,11.74,23.49
"040US34","34",2175,2174,2099,99.95,96.51,5.25,10.5
"040US35","35",612,462,382,75.49,62.42,17.47,34.94
"040US36","36",5394,5189,4667,96.2,86.52,6.8,13.61
"040US37","37",2661,2523,1971,94.81,74.07,11.61,23.23
"040US38","38",228,85,73,37.28,32.02,37.21,74.42
"040US39","39",3162,3089,2664,97.69,84.25,8.44,16.88
"040US40","40",1205,1057,816,87.72,67.72,13.95,27.89
"040US41","41",994,834,720,83.9,72.43,13.85,27.71
"040US42","42",3445,3300,2721,95.79,78.98,9.59,19.18
"040US44","44",247,246,229,99.6,92.71,5.55,11.1
"040US45","45",1317,1160,791,88.08,60.06,15.71,31.42
"040US46","46",242,110,83,45.45,34.3,30.66,61.33
"040US47","47",1701,1525,1133,89.65,66.61,13.36,26.71
"040US48","48",6884,5797,4755,84.21,69.07,15.34,30.69
"040US49","49",716,671,625,93.72,87.29,8.05,16.1
"040US50","50",193,161,95,83.42,49.22,16.77,33.54
"040US51","51",2186,2057,1699,94.1,77.72,10.98,21.96
"040US53","53",1772,1565,1288,88.32,72.69,13.75,27.5
"040US54","54",546,456,322,83.52,58.97,16.03,32.06
"040US55","55",1528,1224,938,80.1,61.39,16.88,33.76
"040US56","56",160,102,90,63.75,56.25,18.33,36.65
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
