"HEROP_ID","GEOID","TotTracts","FqhcCtTmDr","FqhcCtTmDr2","FqhcTmDrP","FqhcTmDrP2","FqhcAvTmDr","FqhcAvTmDr2"
"040US01","01",1681,1309,838,77.87,49.85,14,28
"040US02","02",196,153,133,78.06,67.86,10.02,20.04
"040US04","04",1998,1646,1519,82.38,76.03,9.21,18.42
"040US05","05",962,742,519,77.13,53.95,13.27,26.53
"040US06","06",10288,8912,8636,86.63,83.94,4.9,9.81
"040US08","08",1633,1344,1208,82.3,73.97,9.63,19.25
"040US09","09",939,0,0,0,0,NA,NA
"040US10","10",300,258,209,86,69.67,9.26,18.52
"040US11","11",231,206,206,89.18,89.18,1.39,2.77
"040US12","12",6032,5054,4531,83.79,75.12,7.48,14.96
"040US13","13",3502,2735,2106,78.1,60.14,10.63,21.26
"040US15","15",561,410,365,73.08,65.06,8.06,16.12
"040US16","16",561,388,347,69.16,61.85,12.51,25.01
"040US17","17",3411,3081,2747,90.33,80.53,8.31,16.61
"040US18","18",1883,1564,1226,83.06,65.11,11.09,22.17
"040US19","19",954,667,483,69.92,50.63,20.21,40.42
"040US20","20",929,711,569,76.53,61.25,13.49,26.99
"040US21","21",1500,1244,899,82.93,59.93,10.71,21.43
"040US22","22",1654,1320,1074,79.81,64.93,9.03,18.05
"040US23","23",86,80,76,93.02,88.37,4.57,9.14
"040US25","25",458,414,386,90.39,84.28,4.49,8.98
"040US26","26",3269,2828,2273,86.51,69.53,10.33,20.67
"040US27","27",1668,1003,741,60.13,44.42,22.94,45.88
"040US28","28",1080,819,600,75.83,55.56,11.69,23.38
"040US29","29",1910,1615,1263,84.55,66.13,9.53,19.07
"040US30","30",367,220,176,59.95,47.96,19.69,39.39
"040US31","31",572,418,347,73.08,60.66,17.68,35.35
"040US32","32",862,713,661,82.71,76.68,9.86,19.72
"040US33","33",407,305,194,74.94,47.67,15.15,30.31
"040US34","34",2350,2171,2013,92.38,85.66,6.81,13.62
"040US35","35",716,547,484,76.4,67.6,10.01,20.02
"040US36","36",5903,5222,4759,88.46,80.62,6.41,12.82
"040US37","37",3134,2545,1950,81.21,62.22,11.44,22.88
"040US38","38",256,132,111,51.56,43.36,26.12,52.24
"040US39","39",3498,3120,2605,89.19,74.47,8.65,17.3
"040US40","40",1382,1096,798,79.31,57.74,12.92,25.84
"040US41","41",1153,901,810,78.14,70.25,9.77,19.54
"040US42","42",3724,3234,2569,86.84,68.98,10.56,21.13
"040US44","44",255,246,241,96.47,94.51,4.32,8.65
"040US45","45",1532,1292,981,84.33,64.03,10.39,20.77
"040US46","46",271,142,116,52.4,42.8,26.2,52.4
"040US47","47",1906,1519,1120,79.7,58.76,13.29,26.57
"040US48","48",8355,6405,5385,76.66,64.45,10.76,21.51
"040US49","49",823,639,524,77.64,63.67,12.38,24.76
"040US50","50",212,181,104,85.38,49.06,13.2,26.4
"040US51","51",2460,2062,1609,83.82,65.41,11.39,22.78
"040US53","53",2074,1666,1500,80.33,72.32,8.52,17.05
"040US54","54",606,527,402,86.96,66.34,8.69,17.39
"040US55","55",1656,1298,906,78.38,54.71,15.08,30.16
"040US56","56",187,80,70,42.78,37.43,24.82,49.65
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",57,0,0,0,0,NA,NA
"040US69","69",25,0,0,0,0,NA,NA
"040US72","72",1005,0,0,0,0,NA,NA
"040US78","78",32,0,0,0,0,NA,NA
