"HEROP_ID","GEOID","TotTracts","HcvCtTmDr","HcvCtTmDr2","HcvTmDrP","HcvTmDrP2","HcvAvTmDr","HcvAvTmDr2"
"040US01","01",1436,1018,584,70.89,40.67,22.97,45.94
"040US02","02",177,115,100,64.97,56.5,13.66,27.31
"040US04","04",1765,1630,1475,92.35,83.57,9.51,19.01
"040US05","05",823,478,315,58.08,38.27,27.54,55.09
"040US06","06",9109,8638,7828,94.83,85.94,8.71,17.41
"040US08","08",1447,1253,1079,86.59,74.57,12.7,25.39
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,257,203,99.23,78.38,8.94,17.89
"040US11","11",206,206,206,100,100,3.24,6.47
"040US12","12",5122,4682,3733,91.41,72.88,11.91,23.83
"040US13","13",2791,2521,2001,90.33,71.69,13.12,26.24
"040US15","15",436,379,319,86.93,73.17,13.31,26.61
"040US16","16",456,312,254,68.42,55.7,20.08,40.16
"040US17","17",3263,2944,2539,90.22,77.81,10.9,21.8
"040US18","18",1693,1595,1306,94.21,77.14,10.32,20.65
"040US19","19",896,655,427,73.1,47.66,20.9,41.8
"040US20","20",829,573,472,69.12,56.94,22.07,44.14
"040US21","21",1306,1185,855,90.74,65.47,12.44,24.88
"040US22","22",1379,1163,908,84.34,65.84,14.98,29.97
"040US23","23",401,294,177,73.32,44.14,20.88,41.76
"040US24","24",1465,1449,1318,98.91,89.97,7.3,14.61
"040US25","25",1613,1599,1454,99.13,90.14,6.59,13.19
"040US26","26",2972,2660,2188,89.5,73.62,12.19,24.38
"040US27","27",1502,1158,868,77.1,57.79,18.78,37.55
"040US28","28",875,520,285,59.43,32.57,28.7,57.41
"040US29","29",1654,1264,943,76.42,57.01,19.22,38.44
"040US30","30",319,125,96,39.18,30.09,35.24,70.49
"040US31","31",553,418,347,75.59,62.75,16.25,32.5
"040US32","32",779,694,647,89.09,83.06,9.92,19.84
"040US33","33",349,316,215,90.54,61.6,14.11,28.22
"040US34","34",2175,2166,1989,99.59,91.45,6.82,13.64
"040US35","35",612,429,360,70.1,58.82,19.57,39.14
"040US36","36",5394,5094,4524,94.44,83.87,8.01,16.03
"040US37","37",2661,2331,1619,87.6,60.84,15.25,30.51
"040US38","38",228,65,55,28.51,24.12,39.33,78.67
"040US39","39",3162,3038,2535,96.08,80.17,9.62,19.24
"040US40","40",1205,967,757,80.25,62.82,17.42,34.84
"040US41","41",994,767,633,77.16,63.68,17.03,34.05
"040US42","42",3445,3209,2591,93.15,75.21,11.04,22.08
"040US44","44",247,246,225,99.6,91.09,6.67,13.34
"040US45","45",1317,1038,606,78.82,46.01,19.51,39.01
"040US46","46",242,130,90,53.72,37.19,25.45,50.9
"040US47","47",1701,1396,971,82.07,57.08,16.71,33.42
"040US48","48",6884,5959,4986,86.56,72.43,14.04,28.07
"040US49","49",716,657,616,91.76,86.03,8.66,17.33
"040US50","50",193,158,90,81.87,46.63,17.5,35
"040US51","51",2186,1958,1598,89.57,73.1,13.23,26.46
"040US53","53",1772,1483,1234,83.69,69.64,15.25,30.5
"040US54","54",546,408,298,74.73,54.58,18.85,37.71
"040US55","55",1528,1211,921,79.25,60.27,17.63,35.26
"040US56","56",160,52,43,32.5,26.88,29.3,58.59
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
