"HEROP_ID","GEOID","TotTracts","HivCtTmDr","HivCtTmDr2","HivTmDrP","HivTmDrP2","HivAvTmDr","HivAvTmDr2"
"040US01","01",1436,987,577,68.73,40.18,24.1,48.2
"040US02","02",177,116,100,65.54,56.5,13.45,26.9
"040US04","04",1765,1625,1455,92.07,82.44,9.75,19.5
"040US05","05",823,565,384,68.65,46.66,22.64,45.29
"040US06","06",9109,8670,7861,95.18,86.3,8.47,16.93
"040US08","08",1447,1178,996,81.41,68.83,15.34,30.67
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,257,203,99.23,78.38,8.71,17.41
"040US11","11",206,206,206,100,100,2.65,5.3
"040US12","12",5122,4847,3973,94.63,77.57,10.29,20.58
"040US13","13",2791,2558,2032,91.65,72.81,12.37,24.73
"040US15","15",436,386,336,88.53,77.06,11.69,23.38
"040US16","16",456,312,254,68.42,55.7,20.08,40.16
"040US17","17",3263,2906,2442,89.06,74.84,11.5,23
"040US18","18",1693,1590,1302,93.92,76.9,10.26,20.53
"040US19","19",896,652,423,72.77,47.21,20.96,41.91
"040US20","20",829,565,469,68.15,56.57,22.16,44.32
"040US21","21",1306,1187,857,90.89,65.62,12.39,24.78
"040US22","22",1379,1190,946,86.29,68.6,14.02,28.05
"040US23","23",401,283,169,70.57,42.14,21.8,43.6
"040US24","24",1465,1449,1323,98.91,90.31,7.32,14.63
"040US25","25",1613,1594,1443,98.82,89.46,6.96,13.92
"040US26","26",2972,2647,2172,89.06,73.08,12.54,25.07
"040US27","27",1502,1186,879,78.96,58.52,17.91,35.82
"040US28","28",875,616,366,70.4,41.83,23.77,47.53
"040US29","29",1654,1251,935,75.63,56.53,19.52,39.04
"040US30","30",319,125,94,39.18,29.47,35.7,71.39
"040US31","31",553,421,348,76.13,62.93,16.35,32.7
"040US32","32",779,694,647,89.09,83.06,10.02,20.03
"040US33","33",349,316,212,90.54,60.74,14.12,28.24
"040US34","34",2175,2159,1998,99.26,91.86,6.65,13.29
"040US35","35",612,429,354,70.1,57.84,19.41,38.82
"040US36","36",5394,5058,4487,93.77,83.19,8.41,16.82
"040US37","37",2661,2324,1624,87.34,61.03,15.09,30.18
"040US38","38",228,65,55,28.51,24.12,39.33,78.67
"040US39","39",3162,3035,2527,95.98,79.92,9.7,19.39
"040US40","40",1205,860,653,71.37,54.19,22.31,44.62
"040US41","41",994,749,614,75.35,61.77,17.7,35.39
"040US42","42",3445,3202,2569,92.95,74.57,11.2,22.39
"040US44","44",247,246,225,99.6,91.09,6.58,13.17
"040US45","45",1317,1084,638,82.31,48.44,18.24,36.47
"040US46","46",242,129,90,53.31,37.19,26.24,52.49
"040US47","47",1701,1353,982,79.54,57.73,17.63,35.26
"040US48","48",6884,5978,4976,86.84,72.28,13.89,27.78
"040US49","49",716,657,609,91.76,85.06,8.88,17.75
"040US50","50",193,158,90,81.87,46.63,17.48,34.95
"040US51","51",2186,1999,1616,91.45,73.92,12.24,24.48
"040US53","53",1772,1477,1191,83.35,67.21,15.76,31.51
"040US54","54",546,395,281,72.34,51.47,19.93,39.86
"040US55","55",1528,1191,911,77.95,59.62,17.89,35.77
"040US56","56",160,54,45,33.75,28.12,28.36,56.73
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
