GEOID,HivTmDr,HivTmDr2,HivCntDr,HivMinDis
501,,,,
601,0,0,0,12.42654036
602,0,0,0,3.542659535
603,0,0,0,1.430138711
604,0,0,0,3.91626888
605,0,0,0,1.335867427
606,0,0,0,4.097933981
610,0,0,0,5.579156548
611,0,0,0,7.195070766
612,0,0,0,5.1623552
613,0,0,0,6.270077101
614,0,0,0,5.247547195
616,0,0,0,2.772153867
617,0,0,0,2.788279285
622,0,0,0,2.076642184
623,0,0,0,3.496307997
624,0,0,0,8.501549677
627,0,0,0,6.894501302
631,,,,
637,0,0,0,1.447290982
638,0,0,0,7.174923144
641,0,0,0,10.44940264
646,0,0,0,4.672159429
647,0,0,0,2.484460785
650,0,0,0,7.207571957
652,0,0,0,1.696367561
653,0,0,0,0.448562231
656,0,0,0,8.585465967
659,0,0,0,5.315229295
660,0,0,0,4.526195116
662,0,0,0,2.112863196
664,0,0,0,13.57142945
667,0,0,0,3.068716821
669,0,0,0,4.270905798
670,0,0,0,1.335999726
674,0,0,0,8.357162168
676,0,0,0,3.636089297
677,0,0,0,8.631553603
678,0,0,0,6.845694025
680,0,0,0,1.590130223
681,0,0,0,0.263419475
682,0,0,0,4.980358188
683,0,0,0,1.105409314
685,0,0,0,4.311912565
687,0,0,0,7.999569924
688,0,0,0,7.034297878
690,0,0,0,4.806869141
692,0,0,0,6.418728976
693,0,0,0,10.9283872
694,0,0,0,10.66989255
698,0,0,0,5.188500078
703,0,0,0,4.979921064
704,0,0,0,8.394276245
705,0,0,0,0.882970039
707,0,0,0,6.857509831
714,0,0,0,3.901396309
715,0,0,0,4.61598053
716,0,0,0,1.774145398
717,0,0,0,0.722542985
718,0,0,0,6.984350556
719,0,0,0,5.596811844
720,0,0,0,0.640683318
721,0,0,0,7.17305642
723,0,0,0,8.232279974
725,0,0,0,1.571259234
726,0,0,0,0.625420201
727,0,0,0,1.419002206
728,0,0,0,2.968395926
729,0,0,0,8.185870411
730,0,0,0,1.73792507
731,0,0,0,6.343296212
732,0,0,0,1.06134202
733,0,0,0,0.375952708
735,0,0,0,4.202225597
736,0,0,0,1.915976499
737,0,0,0,0.310308623
738,0,0,0,1.014712571
739,0,0,0,1.551379037
740,0,0,0,1.094094314
741,0,0,0,4.849669111
744,0,0,0,6.534124554
745,0,0,0,6.02159195
751,0,0,0,9.598427412
754,0,0,0,3.897392372
757,0,0,0,13.30687073
765,0,0,0,21.81927039
766,0,0,0,9.450653738
767,0,0,0,2.743131246
769,0,0,0,8.022324256
771,0,0,0,3.714953155
772,0,0,0,9.235299187
773,0,0,0,1.335411248
775,,,,
777,0,0,0,1.212147624
778,0,0,0,1.212438079
780,0,0,0,4.037399948
782,0,0,0,5.514133165
783,0,0,0,5.843317457
784,0,0,0,1.671140849
785,0,0,0,1.05927343
786,,,,
791,0,0,0,1.748609734
792,0,0,0,0.15582555
794,0,0,0,4.046656752
795,0,0,0,7.56320669
801,0,0,0,50.36121835
802,0,0,0,50.37448051
803,0,0,0,50.36121835
804,0,0,0,50.36121835
820,0,0,0,75.03530484
830,0,0,0,62.72301471
831,0,0,0,59.63554579
840,0,0,0,68.56273694
850,0,0,0,70.94959368
901,0,0,0,1.498716482
902,0,0,0,1.228774706
907,0,0,0,1.586696534
908,0,0,0,1.155857259
909,0,0,0,2.160049143
910,0,0,0,2.107977125
911,0,0,0,2.710781731
912,0,0,0,2.600677386
913,0,0,0,3.829473077
914,0,0,0,2.911722743
915,0,0,0,3.204544969
916,0,0,0,3.151959951
917,0,0,0,2.395462146
918,0,0,0,1.645179328
919,0,0,0,2.251705934
920,0,0,0,1.457528625
921,0,0,0,0.836786807
922,0,0,0,2.033757303
923,0,0,0,2.771446195
924,0,0,0,2.352223441
925,0,0,0,1.556263086
926,0,0,0,2.217109516
927,0,0,0,0.722690251
928,0,0,0,1.903978834
929,0,0,0,2.402364397
931,0,0,0,1.903978834
934,0,0,0,0.533862423
935,,,,
936,0,0,0,1.729485763
937,0,0,0,5.125731085
940,0,0,0,2.107977125
949,0,0,0,2.995693771
950,0,0,0,2.429859008
951,0,0,0,2.429859008
952,0,0,0,2.69553644
953,0,0,0,2.053749269
954,0,0,0,0.096571568
956,0,0,0,3.717935493
957,0,0,0,3.847868509
958,0,0,0,3.024352637
959,0,0,0,2.490223148
960,0,0,0,1.837048307
961,0,0,0,1.578979919
962,0,0,0,1.570974353
963,0,0,0,1.455964415
965,0,0,0,1.504206797
966,0,0,0,2.234518507
968,0,0,0,1.783565216
969,0,0,0,2.562337011
970,0,0,0,3.040769232
971,0,0,0,2.830313951
975,,,,
976,0,0,0,1.049622475
977,0,0,0,1.455964415
979,0,0,0,4.59531732
981,0,0,0,5.125731085
982,0,0,0,3.481931446
983,0,0,0,4.356494105
984,0,0,0,4.055135085
985,0,0,0,4.691397632
986,0,0,0,4.360267316
987,0,0,0,3.737982531
988,0,0,0,3.605116057
1001,4.668308045,9.336616091,16.28058767,2.110282267
1002,15.83454914,31.66909827,10.99655173,7.508139455
1003,15.78377483,31.56754967,12.50993377,7.455888764
1004,15.07,30.14,14,7.345745375
1005,15.11458788,30.22917576,7.99652433,7.750586616
1007,6.976079262,13.95215852,12.72243231,2.720756561
1008,34.69383959,69.38767918,0.18771331,16.71150197
1009,14.48,28.96,16,6.527927537
1010,26.3825803,52.7651606,9.706638119,14.56191018
1011,30.01613875,60.03227751,0.330316743,15.77329019
1012,17.48,34.96,3,6.900939844
1013,4.288880828,8.577761655,18,1.365398369
1014,4.2,8.4,18,1.790373233
1020,5.58997111,11.17994222,18,2.443222652
1021,5.84,11.68,18,2.539550541
1022,7.177982595,14.35596519,18,3.018758919
1026,0.642114391,1.284228782,3.187175044,5.341531622
1027,10.84710849,21.69421699,17.52163849,4.539666058
1028,8.416728354,16.83345671,15.52897474,4.620944686
1029,41.35,82.7,0,15.03751067
1030,5.7780434,11.5560868,15.57908895,3.262464567
1031,16.76871838,33.53743677,1.001686341,12.04681554
1032,17.48,34.96,3,6.900939844
1033,8.15656623,16.31313246,18,4.180796872
1034,29.9104626,59.8209252,6.21062992,14.42087004
1035,11.75,23.5,19,4.61101486
1036,16.2,32.4,16,8.67977679
1037,16.76,33.52,1,12.05097415
1038,8.24,16.48,19,4.213625773
1039,16.9681042,33.9362084,4.104196814,7.105212039
1040,3.317384692,6.634769384,17.99790075,1.389289408
1041,1.520813239,3.041626478,18,0.669696789
1050,19.51010375,39.0202075,6.535514763,10.48097582
1053,0,0,20,1.18604848
1054,20.55237349,41.10474699,3.034939758,10.70540071
1056,12.50086819,25.00173639,16.55898219,6.10057286
1057,24.91193567,49.82387133,9.584272748,12.9972837
1059,,,,
1060,4.459594542,8.919189083,19.13725976,1.334201616
1061,4.4,8.8,20,1.420618156
1062,2.889354013,5.778708026,18.7926225,1.152767962
1063,,,,
1066,8.24,16.48,19,4.213625773
1068,22.56873056,45.13746112,14.03108808,11.58023481
1069,15.60610689,31.21221377,15.90906789,8.251610062
1070,0.207184469,0.414368938,3.03236246,5.252464596
1071,27.58,55.16,10,12.79756135
1072,20.79,41.58,3,10.9146108
1073,14.63928468,29.27856936,17,6.968994069
1074,,,,
1075,7.340399952,14.6807999,18,3.331891231
1077,15.43056164,30.86112328,15,8.31833762
1079,,,,
1080,12.7348121,25.4696242,16,7.083234296
1081,36.59,73.18,0,18.14473521
1082,21.52662959,43.05325917,1.381342694,8.159965686
1083,27.17,54.34,1,12.19656568
1084,17.48,34.96,3,6.900939844
1085,13.46327883,26.92655765,16.33441208,6.532380373
1086,13.88,27.76,15,5.728793084
1088,8.205060977,16.41012195,19,4.187937676
1089,4.0483673,8.096734599,17.80642929,1.422535256
1090,3.02,6.04,18,1.073297089
1092,,,,
1093,,,,
1094,,,,
1095,14.93203186,29.86406372,16.00030057,7.854660457
1096,17.67471483,35.34942967,3.193916348,6.827672103
1097,,,,
1098,0.290365454,0.580730908,3,5.229058356
1101,0,0,18,0.292071847
1103,0.125326797,0.250653594,18,0.311995918
1104,3.388205023,6.776410046,18,1.818164431
1105,1.176489235,2.352978471,17.99847432,0.478476174
1106,7.095053294,14.19010659,15.48885659,3.647003602
1107,1.761253981,3.522507962,18,0.633287058
1108,3.376883272,6.753766544,17.16838235,1.593108562
1109,4.235696437,8.471392873,17.50921496,1.970069741
1111,,,,
1115,,,,
1116,8.93,17.86,15,3.883253879
1118,6.128019869,12.25603974,16.75562914,2.724174024
1119,7.718203783,15.43640757,16.66248361,3.876622185
1128,9.083534172,18.16706834,16,4.550575495
1129,9.66006131,19.32012262,16.12584705,4.884445217
1138,2.34,4.68,18,0.886042097
1139,4.08,8.16,18,2.168013908
1144,,,,
1151,9.480929932,18.96185986,17.07763841,5.39085105
1152,,,,
1199,,,,
1201,3.163116974,6.326233949,7.407760591,1.174043389
1202,0,0,7,0.051508987
1220,4.945000001,9.890000001,11,2.911681295
1222,40.58,81.16,0,6.994512782
1223,23.29532417,46.59064834,5.995415846,10.66703807
1224,12.37,24.74,11,5.038005989
1225,13.27601454,26.55202908,11.98479841,7.481132076
1226,9.050828523,18.10165705,7.998641766,3.281282082
1227,9.05,18.1,8,3.280801679
1229,,,,
1230,30.99977216,61.99954431,2.964121748,13.14240022
1235,13.19512195,26.39024389,6.837398372,6.055879128
1236,26.54580402,53.09160804,5.389447236,13.57345169
1237,12.84533807,25.69067613,10.75345536,5.012079426
1238,18.40906884,36.81813768,5.750581974,10.4579828
1240,12.07271469,24.14542939,6,5.60695565
1242,,,,
1243,,,,
1244,,,,
1245,36.4648,72.9296,0,15.28548949
1247,3.070766094,6.141532188,7.434517442,1.317349542
1253,41.35,82.7,0,15.03751067
1254,21.92600368,43.85200736,6,4.617670729
1255,41.33712014,82.67424029,0,15.03856961
1256,18.65,37.3,6,5.210216227
1257,40.59140087,81.18280175,0,6.997598699
1258,30,60,1,12.14533238
1259,44.5,89,0,8.055553745
1260,,,,
1262,,,,
1263,,,,
1264,,,,
1266,24.34400618,48.68801237,5.54369683,11.77980402
1267,12.6581884,25.31637679,9.693142426,5.705730012
1270,11.11803571,22.23607142,7.205357142,6.94881286
1301,1.814612848,3.629225696,5.983172259,1.213312447
1302,1.41,2.82,6,0.391639664
1330,24.01169935,48.0233987,2.977777778,6.75123193
1331,6.224386327,12.44877265,7.728083216,1.975866318
1337,9.184013905,18.36802781,5.001737619,6.305640127
1338,15.52,31.04,2,6.471689403
1339,27.364,54.728,1.1,12.08187876
1340,28.43936,56.87872001,1.018285714,12.59124833
1341,24.36431666,48.72863332,3.008333335,6.754988353
1342,8.98,17.96,8,4.178070015
1343,21.2383871,42.47677419,4.70967742,7.144414136
1344,21.2,42.4,4,7.227406805
1346,28.68,57.36,1,12.70523313
1347,,,,
1349,13.07933492,26.15866984,4,3.908584999
1350,28.68,57.36,1,12.70523313
1351,12.80738447,25.61476894,3.999075786,3.801004628
1354,9.2,18.4,5,6.312466021
1355,20.7975576,41.59511521,3.01843318,10.84664391
1360,16.91297092,33.82594183,4,9.58796908
1364,13.20348818,26.40697636,4.475026854,3.075668286
1366,0.02494118,0.04988236,3.01344538,4.347038685
1367,28.00273312,56.00546623,1.33762058,12.19913874
1368,7.853009708,15.70601942,5.019417476,6.799407189
1370,17.59454894,35.18909789,1.961132436,7.196333327
1373,10.14190087,20.28380173,8,4.90685047
1375,15.31090722,30.62181444,7.985567012,8.138982704
1376,7.52718258,15.05436516,4.818760469,2.0126913
1378,21.2,42.4,4,7.227406805
1379,21.2,42.4,4,7.227406805
1380,21.2,42.4,4,7.227406805
1420,2.621623805,5.243247609,16.98825046,1.166078408
1430,14.15902825,28.3180565,13.00134499,3.879229922
1431,0,0,12.00162338,1.460719315
1432,15.95776986,31.91553972,17.03778066,8.99992294
1434,14.37291022,28.74582043,16.49226006,7.862359353
1436,9.9,19.8,13,1.806131788
1438,8.22,16.44,15,3.955757088
1440,3.381829855,6.763659709,14.9845135,1.409886648
1450,21.1492803,42.29856059,17.51709077,9.313361059
1451,15.30828934,30.61657868,26.74306717,8.451060763
1452,13.33334761,26.66669522,15.18157473,6.172085645
1453,2.70857093,5.41714186,30.99469417,1.36421549
1460,15.52208564,31.04417129,27.24624254,9.343187687
1462,7.643787717,15.28757543,12.38549618,3.32470975
1463,17.81602492,35.63204984,17.57625451,8.718591499
1464,13.39897512,26.79795024,13.00037133,5.817573867
1467,,,,
1468,8.683115602,17.3662312,14.46898496,3.394219248
1469,11.10940282,22.21880565,14.97792255,6.531611283
1472,,,,
1473,0.004314231,0.008628462,15.99178018,1.308953564
1474,10.98686347,21.97372693,14.79704797,6.37527209
1475,2.49378153,4.987563061,11.89054617,4.286092916
1501,5.726426529,11.45285306,28.98440105,2.852925184
1503,13.99548473,27.99096946,35.00044267,6.774625228
1504,5.921517348,11.8430347,25.5616261,2.774611954
1505,10.07345946,20.14691892,31.99523052,4.38339888
1506,28.91977164,57.83954327,2.068509611,14.3671648
1507,16.31659895,32.6331979,21.97168453,9.890780919
1508,18.06,36.12,22,11.30789915
1509,18.06,36.12,22,11.30789915
1510,15.48456868,30.96913736,34.8950349,7.941232767
1515,24.34,48.68,18,11.35131961
1516,12.79861971,25.59723943,26.9186655,6.540728765
1518,23.41243307,46.82486614,21,14.39027257
1519,7.429326262,14.85865252,26.35059264,3.82056008
1520,8.698500515,17.39700103,31.7773535,4.538405335
1521,36.59,73.18,0,18.14473521
1522,8.992380952,17.9847619,32.75653924,5.89971719
1523,8.684658652,17.3693173,31.03961797,4.619666964
1524,8.506801273,17.01360255,24.00708466,4.670733132
1525,13.05,26.1,27,6.80625974
1526,,,,
1527,1.193434888,2.386869775,30.5629871,0.87624536
1529,9.906572891,19.81314578,37.92242115,4.132235468
1531,16.82194103,33.64388205,1.061425063,12.05206732
1532,7.902811292,15.80562258,30.2414386,2.621488819
1534,12.27039326,24.54078652,27.40508575,6.605153034
1535,24.85939821,49.71879641,9.946649585,12.49078165
1536,6.476516429,12.95303286,26.22739168,2.986148167
1537,9.04,18.08,24,6.112114515
1538,15,30,39,8.446336239
1540,7.98507441,15.97014882,23.99797905,6.111957268
1541,0,0,32,0.816618101
1542,6.321376,12.642752,24,3.566272736
1543,15.59176125,31.18352251,23.38513089,7.903908415
1545,3.832462906,7.664925812,30.01953296,1.511908294
1546,,,,
1550,21.8803799,43.76075981,16.33415758,10.03631946
1560,7.193373553,14.38674711,27.99662162,4.055343723
1561,,,,
1562,15.2033294,30.4066588,21.96862877,8.199634564
1564,10.41824576,20.83649152,33.97514124,5.775458277
1566,22.95167274,45.90334548,20.99505723,12.9963783
1568,12.20876222,24.41752444,26.9704269,5.690614342
1569,13.33537928,26.67075856,40.22121081,7.772239945
1570,2.920683324,5.841366648,22.00473709,1.962121213
1571,8.961869121,17.92373824,20.76750993,3.902752411
1581,3.765252999,7.530505997,29.82849014,1.63267775
1583,7.452811409,14.90562282,33,4.353223192
1585,29.58336923,59.16673846,0.208205133,13.14020121
1586,0,0,32,0.231273166
1588,11.55843631,23.11687263,28.76845862,6.876498267
1590,7.838496174,15.67699235,27.56306011,3.625085127
1602,2.312888572,4.625777143,29.03936324,0.935567376
1603,1.915412564,3.830825129,29.36898698,0.692237483
1604,1.789987573,3.579975147,31.78147929,0.945398783
1605,1.104866408,2.209732816,31.72906283,0.570216869
1606,3.300176991,6.600353982,32.61228527,1.650125847
1607,3.659592887,7.319185774,32.00535676,1.559732538
1608,1.412213713,2.824427427,32.85886214,0.680023795
1609,1.546453414,3.092906828,31.60870071,0.695008445
1610,1.162185682,2.324371364,32.3942953,0.436494032
1611,5.406514163,10.81302833,24.17864923,2.983466617
1612,10.91562898,21.83125797,28.01623188,6.051013671
1613,1.42,2.84,33,0.782325247
1653,,,,
1655,,,,
1701,6.349513267,12.69902653,49.10346432,2.984421167
1702,2.948663933,5.897327866,55.9837565,1.231045428
1703,3.94,7.88,62,1.619214752
1704,3.15,6.3,61,0.919021114
1718,17.74,35.48,18,7.842632486
1719,19.51,39.02,32,12.0519021
1720,19.66095694,39.32191388,20.10963581,10.70134248
1721,7.639834554,15.27966911,27.87201945,3.159941883
1730,14.72678482,29.45356964,51.08092848,7.251793148
1731,9.861299053,19.72259811,49.02165088,5.166949891
1740,14.93333333,29.86666667,39.97270955,9.478543087
1741,13.62754302,27.25508604,25.00360144,6.473337334
1742,16.20396178,32.40792356,41.37870793,9.117080978
1745,8.62,17.24,54,3.521870417
1746,9.350765724,18.70153145,13.0077484,4.059244652
1747,5.851975508,11.70395102,18.97632653,2.616402611
1748,10.88207012,21.76414023,28.84314226,4.182197171
1749,14.94895661,29.89791321,33.72499193,7.813520958
1752,11.99696266,23.99392531,32.20429675,5.100575061
1754,20.17929127,40.35858255,19.46855659,10.4128098
1756,11.64112014,23.28224028,16.10035337,4.866445731
1757,4.721787594,9.443575188,19.87731155,1.640610402
1760,7.228561455,14.45712291,46.66548343,3.118627034
1770,9.47,18.94,24,3.890389719
1772,7.513186712,15.02637342,46.89863735,2.682579104
1773,9.844952892,19.68990578,49.04004038,5.14719551
1775,21.57948897,43.15897794,30.81625244,10.66685986
1776,13.60019995,27.20039989,20.88939508,6.883666321
1778,8.536365366,17.07273073,48.21275493,4.713999527
1784,,,,
1801,9.218209301,18.4364186,59.5422482,4.791511554
1803,10.01049145,20.02098289,57.58877444,4.71833912
1805,,,,
1810,5.826752493,11.65350499,38.886774,3.166981601
1812,,,,
1821,8.931177671,17.86235534,38.88296657,4.570553127
1822,8.1,16.2,31,4.065937936
1824,6.558926458,13.11785292,30.27775785,2.355077527
1826,6.001484717,12.00296943,24.4446077,3.009026613
1827,13.12159504,26.24319008,19.00247934,5.988085231
1830,2.243492051,4.486984102,19.09880112,1.16442836
1831,0.96,1.92,20,0.472957169
1832,3.916604079,7.833208159,19.77316475,2.052098843
1833,2.748163095,5.496326191,17.20623434,2.000384758
1834,5.71,11.42,18,1.773665051
1835,4.245968362,8.491936723,20.06035939,1.646274988
1840,1.437974588,2.875949175,31.99466328,0.851451516
1841,2.051838492,4.103676984,31.31828635,0.667486778
1842,1.33,2.66,32,0.865795904
1843,1.959515296,3.919030592,30.34308893,0.965815203
1844,3.839631598,7.679263196,30.99489145,1.624297803
1845,5.433610483,10.86722097,24.50668752,2.353537632
1850,2.490103601,4.980207201,28.99342214,1.082007852
1851,2.02075946,4.041518921,31.61958294,0.877317655
1852,1.825029154,3.650058308,31.81610132,0.83175497
1853,0.99,1.98,30,0.370950009
1854,3.178220865,6.356441729,27.3200188,1.261098399
1860,9.786941378,19.57388276,18.91551724,5.191793529
1862,6.202290835,12.40458167,31.97786632,3.616112504
1863,7.013661889,14.02732378,25.47849462,2.153225596
1864,7.745771139,15.49154228,51.51359063,2.635895243
1865,10.33,20.66,30,5.98494608
1866,,,,
1867,7.577663497,15.15532699,58.93168345,2.577777675
1876,2.422007158,4.844014315,47.16551018,1.206885587
1879,11.0162631,22.03252621,22.00061665,4.992158189
1880,10.70970456,21.41940911,57.03211009,5.061745973
1885,,,,
1886,10.67037231,21.34074462,27.34755105,5.381960547
1887,2.332178899,4.664357799,59.49071647,1.33817455
