"HEROP_ID","GEOID","TotTracts","HospCtTmDr","HospCtTmDr2","HospTmDrP","HospTmDrP2","HospAvTmDr","HospAvTmDr2"
"050US01001","01001",17,16,11,94.12,64.71,11.99,23.97
"050US01003","01003",43,42,28,97.67,65.12,13.12,26.25
"050US01005","01005",9,6,1,66.67,11.11,25.92,51.84
"050US01007","01007",8,8,4,100,50,14.98,29.96
"050US01009","01009",16,15,5,93.75,31.25,20.4,40.8
"050US01011","01011",4,4,2,100,50,16.39,32.78
"050US01013","01013",9,7,3,77.78,33.33,18.67,37.34
"050US01015","01015",38,34,21,89.47,55.26,15.54,31.08
"050US01017","01017",9,8,5,88.89,55.56,14.72,29.44
"050US01019","01019",8,8,2,100,25,15.11,30.22
"050US01021","01021",12,12,6,100,50,14.99,29.99
"050US01023","01023",4,4,1,100,25,19.72,39.44
"050US01025","01025",9,6,4,66.67,44.44,18.35,36.7
"050US01027","01027",4,4,1,100,25,17.11,34.23
"050US01029","01029",4,1,0,25,0,28.13,56.26
"050US01031","01031",16,15,9,93.75,56.25,12.93,25.86
"050US01033","01033",15,15,12,100,80,7.97,15.95
"050US01035","01035",5,3,1,60,20,23.54,47.09
"050US01037","01037",3,2,0,66.67,0,22.87,45.73
"050US01039","01039",14,13,8,92.86,57.14,14.34,28.68
"050US01041","01041",6,3,1,50,16.67,23.26,46.51
"050US01043","01043",22,21,12,95.45,54.55,13.23,26.47
"050US01045","01045",14,14,11,100,78.57,11.53,23.06
"050US01047","01047",17,16,11,94.12,64.71,12.7,25.4
"050US01049","01049",21,20,9,95.24,42.86,17.67,35.34
"050US01051","01051",20,19,7,95,35,15.27,30.55
"050US01053","01053",10,8,5,80,50,16.01,32.02
"050US01055","01055",33,24,19,72.73,57.58,15.84,31.68
"050US01057","01057",5,4,1,80,20,18.4,36.79
"050US01059","01059",11,10,4,90.91,36.36,15.88,31.77
"050US01061","01061",6,6,2,100,33.33,15.69,31.38
"050US01063","01063",4,4,3,100,75,12.63,25.26
"050US01065","01065",7,7,3,100,42.86,15.29,30.59
"050US01067","01067",6,3,1,50,16.67,28.87,57.75
"050US01069","01069",26,26,21,100,80.77,8.42,16.83
"050US01071","01071",16,11,5,68.75,31.25,20.73,41.45
"050US01073","01073",189,186,158,98.41,83.6,9.07,18.13
"050US01075","01075",4,3,0,75,0,27.2,54.41
"050US01077","01077",26,24,15,92.31,57.69,13.24,26.48
"050US01079","01079",11,11,6,100,54.55,15.91,31.81
"050US01081","01081",48,48,38,100,79.17,11.48,22.95
"050US01083","01083",23,23,15,100,65.22,11.74,23.47
"050US01085","01085",4,2,0,50,0,32.32,64.64
"050US01087","01087",12,8,0,66.67,0,28,56
"050US01089","01089",95,92,73,96.84,76.84,10.35,20.7
"050US01091","01091",8,7,1,87.5,12.5,23.57,47.14
"050US01093","01093",11,11,4,100,36.36,15.37,30.74
"050US01095","01095",26,13,5,50,19.23,28.01,56.03
"050US01097","01097",135,131,102,97.04,75.56,10.03,20.06
"050US01099","01099",9,6,1,66.67,11.11,25.25,50.49
"050US01101","01101",71,69,65,97.18,91.55,7.21,14.43
"050US01103","01103",31,30,18,96.77,58.06,12.8,25.6
"050US01105","01105",4,2,0,50,0,31.59,63.18
"050US01107","01107",6,1,0,16.67,0,35.5,71.01
"050US01109","01109",11,11,7,100,63.64,13.83,27.67
"050US01111","01111",6,5,1,83.33,16.67,21.42,42.85
"050US01113","01113",18,17,13,94.44,72.22,12.29,24.58
"050US01115","01115",24,24,5,100,20.83,18.84,37.69
"050US01117","01117",55,53,33,96.36,60,13.33,26.66
"050US01119","01119",5,4,1,80,20,20.81,41.62
"050US01121","01121",24,24,16,100,66.67,10.59,21.17
"050US01123","01123",12,11,4,91.67,33.33,17.91,35.82
