GEOID,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
501,,,,
601,0,0,0,7.914687057
602,0,0,0,3.908610192
603,0,0,0,1.739187664
604,0,0,0,4.258230089
605,0,0,0,1.724302139
606,0,0,0,7.926202814
610,0,0,0,4.014727789
611,0,0,0,7.832058735
612,0,0,0,1.795017548
613,0,0,0,0.276303902
614,0,0,0,0.593588496
616,0,0,0,6.37902
617,0,0,0,5.33028413
622,0,0,0,4.148064645
623,0,0,0,1.91480038
624,0,0,0,5.436873074
627,0,0,0,8.162876876
631,,,,
637,0,0,0,5.410654681
638,0,0,0,9.827372115
641,0,0,0,10.72416292
646,0,0,0,1.486165052
647,0,0,0,7.271801913
650,0,0,0,7.5400814
652,0,0,0,6.845286055
653,0,0,0,5.314773452
656,0,0,0,0.828835641
659,0,0,0,5.451380195
660,0,0,0,3.173198982
662,0,0,0,7.718378677
664,0,0,0,12.3862968
667,0,0,0,3.180822736
669,0,0,0,8.1862186
670,0,0,0,9.066901523
674,0,0,0,1.362475213
676,0,0,0,1.073288754
677,0,0,0,8.56447853
678,0,0,0,12.11503943
680,0,0,0,1.244641196
681,0,0,0,0.296554124
682,0,0,0,4.612834357
683,0,0,0,1.109235599
685,0,0,0,9.327043389
687,0,0,0,6.679318411
688,0,0,0,10.20721694
690,0,0,0,5.229786365
692,0,0,0,4.000523313
693,0,0,0,1.877302993
694,0,0,0,0.697239548
698,0,0,0,1.069460029
703,0,0,0,4.732854802
704,0,0,0,10.98133199
705,0,0,0,0.764449434
707,0,0,0,10.88752571
714,0,0,0,11.35411251
715,0,0,0,3.479180403
716,0,0,0,1.187816707
717,0,0,0,0.51164024
718,0,0,0,7.126327207
719,0,0,0,5.735084142
720,0,0,0,9.9018042
721,0,0,0,10.22856359
723,0,0,0,11.96335808
725,0,0,0,1.476898763
726,0,0,0,0.699627777
727,0,0,0,1.330653783
728,0,0,0,2.717212834
729,0,0,0,6.769944588
730,0,0,0,1.567695683
731,0,0,0,5.405366554
732,0,0,0,1.562475873
733,0,0,0,1.110608923
735,0,0,0,4.691413177
736,0,0,0,2.692340275
737,0,0,0,3.00893171
738,0,0,0,1.127365515
739,0,0,0,1.496815241
740,0,0,0,0.856247775
741,0,0,0,4.806239275
744,0,0,0,6.494742517
745,0,0,0,10.53655218
751,0,0,0,10.12513148
754,0,0,0,5.40521919
757,0,0,0,10.77657537
765,0,0,0,21.89705849
766,0,0,0,7.072938344
767,0,0,0,6.618401463
769,0,0,0,7.671771943
771,0,0,0,3.724930105
772,0,0,0,8.936880476
773,0,0,0,5.526569639
775,,,,
777,0,0,0,6.746845742
778,0,0,0,4.105320596
780,0,0,0,0.95190363
782,0,0,0,5.38681683
783,0,0,0,8.120992904
784,0,0,0,10.22343928
785,0,0,0,9.755348506
786,,,,
791,0,0,0,2.003020362
792,0,0,0,0.094615348
794,0,0,0,4.521777633
795,0,0,0,3.424332484
801,0,0,0,41.8175645
802,0,0,0,41.89612738
803,0,0,0,41.8175645
804,0,0,0,41.8175645
820,0,0,0,2.260151401
830,0,0,0,39.76765214
831,0,0,0,38.93107607
840,0,0,0,9.125789814
850,0,0,0,5.110691121
901,0,0,0,1.535373873
902,0,0,0,1.341319184
907,0,0,0,0.36534154
908,0,0,0,0.287198626
909,0,0,0,0.222102196
910,0,0,0,0.199273628
911,0,0,0,0.411624054
912,0,0,0,0.294156849
913,0,0,0,1.418355424
914,0,0,0,0.612122014
915,0,0,0,1.115260208
916,0,0,0,0.85071103
917,0,0,0,0.570513059
918,0,0,0,0.579986306
919,0,0,0,1.020625024
920,0,0,0,0.471217208
921,0,0,0,0.464276173
922,0,0,0,0.906896474
923,0,0,0,0.806841363
924,0,0,0,0.7522596
925,0,0,0,0.398168047
926,0,0,0,1.107490443
927,0,0,0,0.561319766
928,0,0,0,1.027116597
929,0,0,0,1.156387577
931,0,0,0,1.027116597
934,0,0,0,1.072829562
935,,,,
936,0,0,0,0.836805959
937,0,0,0,2.785222301
940,0,0,0,0.199273628
949,0,0,0,3.78055973
950,0,0,0,4.859524065
951,0,0,0,4.859524065
952,0,0,0,3.12588021
953,0,0,0,3.936332939
954,0,0,0,4.886876741
956,0,0,0,1.380096887
957,0,0,0,1.743652161
958,0,0,0,1.818797509
959,0,0,0,1.477650831
960,0,0,0,0.677222671
961,0,0,0,1.546782263
962,0,0,0,2.518959761
963,0,0,0,2.355865792
965,0,0,0,1.969320457
966,0,0,0,0.707355586
968,0,0,0,0.853116134
969,0,0,0,0.996381934
970,0,0,0,0.123586064
971,0,0,0,0.604191449
975,,,,
976,0,0,0,1.79063704
977,0,0,0,2.355865792
979,0,0,0,2.326699369
981,0,0,0,2.785222301
982,0,0,0,0.941416897
983,0,0,0,1.754650119
984,0,0,0,1.327198199
985,0,0,0,2.546520235
986,0,0,0,2.723770886
987,0,0,0,2.717520522
988,0,0,0,1.256629434
1001,7.810861033,15.62172207,5.293111753,3.674009009
1002,17.7991181,35.59823621,4.953103449,8.290395451
1003,15.78377483,31.56754967,5.695364238,7.439597311
1004,15.07,30.14,6,7.327257251
1005,21.19432969,42.38865938,2.003972195,12.63251834
1007,19.66767206,39.33534412,4.294660414,9.786855205
1008,22.58175768,45.16351536,1.018771331,11.97006426
1009,6.33,12.66,5,2.261627645
1010,14.14436831,28.28873661,2.004282656,7.434420929
1011,22.64704374,45.29408748,1.110105581,12.10711531
1012,17.48,34.96,2,7.055426701
1013,5.575308401,11.1506168,7,1.908516786
1014,3.95,7.9,7,1.7011725
1020,7.599123511,15.19824702,7,3.004485842
