"HEROP_ID","GEOID","TotTracts","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"040US01","01",1436,847,446,58.98,31.06,29.36,58.71
"040US02","02",177,102,82,57.63,46.33,14.18,28.36
"040US04","04",1765,1530,1221,86.69,69.18,14.17,28.33
"040US05","05",823,236,124,28.68,15.07,38.95,77.89
"040US06","06",9109,8445,7247,92.71,79.56,11.16,22.31
"040US08","08",1447,1188,996,82.1,68.83,14.61,29.21
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,218,99.61,84.17,9.25,18.51
"040US11","11",206,206,206,100,100,4,7.99
"040US12","12",5122,4639,3117,90.57,60.86,15.46,30.92
"040US13","13",2791,2299,1669,82.37,59.8,17.99,35.98
"040US15","15",436,332,174,76.15,39.91,18.23,36.46
"040US16","16",456,242,201,53.07,44.08,25.77,51.54
"040US17","17",3263,2524,2172,77.35,66.56,18.2,36.39
"040US18","18",1693,1111,737,65.62,43.53,24.85,49.69
"040US19","19",896,262,182,29.24,20.31,45.49,90.99
"040US20","20",829,438,329,52.83,39.69,24.58,49.17
"040US21","21",1306,785,515,60.11,39.43,27.38,54.76
"040US22","22",1379,298,171,21.61,12.4,54.08,108.16
"040US23","23",401,181,100,45.14,24.94,32.31,64.62
"040US24","24",1465,1411,1223,96.31,83.48,9.43,18.86
"040US25","25",1613,1543,1276,95.66,79.11,9.54,19.08
"040US26","26",2972,2346,1754,78.94,59.02,17.08,34.16
"040US27","27",1502,881,686,58.66,45.67,21.25,42.5
"040US28","28",875,286,162,32.69,18.51,40.54,81.08
"040US29","29",1654,887,600,53.63,36.28,32.79,65.57
"040US30","30",319,56,49,17.55,15.36,33.35,66.71
"040US31","31",553,304,236,54.97,42.68,20.94,41.88
"040US32","32",779,661,581,84.85,74.58,13.5,27
"040US33","33",349,207,118,59.31,33.81,27.98,55.97
"040US34","34",2175,2153,1803,98.99,82.9,9.22,18.43
"040US35","35",612,339,281,55.39,45.92,21.86,43.72
"040US36","36",5394,4462,3859,82.72,71.54,15.25,30.49
"040US37","37",2661,2176,1372,81.77,51.56,18.35,36.71
"040US38","38",228,23,19,10.09,8.33,44.55,89.11
"040US39","39",3162,2651,1917,83.84,60.63,16.45,32.9
"040US40","40",1205,771,550,63.98,45.64,24.55,49.11
"040US41","41",994,752,594,75.65,59.76,18.58,37.17
"040US42","42",3445,2982,2073,86.56,60.17,15.6,31.19
"040US44","44",247,245,220,99.19,89.07,7.25,14.5
"040US45","45",1317,1004,594,76.23,45.1,20.9,41.81
"040US46","46",242,59,48,24.38,19.83,33.74,67.48
"040US47","47",1701,1039,571,61.08,33.57,27.42,54.83
"040US48","48",6884,5581,4246,81.07,61.68,17.29,34.59
"040US49","49",716,535,438,74.72,61.17,20.44,40.89
"040US50","50",193,113,63,58.55,32.64,25.67,51.35
"040US51","51",2186,1700,1158,77.77,52.97,19.89,39.78
"040US53","53",1772,1335,1043,75.34,58.86,18.48,36.97
"040US54","54",546,233,86,42.67,15.75,35.82,71.64
"040US55","55",1528,958,662,62.7,43.32,24.76,49.52
"040US56","56",160,0,0,0,0,55.03,110.05
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
