GEOID,HEROP_ID,MhCntDr,MhTmDr,MhTmDr2
1089011021,140US01089011021,11,10.86,21.72
1095031200,140US01095031200,2,16.64,33.28
1073012401,140US01073012401,12,10.15,20.3
1073003400,140US01073003400,14,5.38,10.76
1073010402,140US01073010402,11,4.75,9.5
1073005101,140US01073005101,14,2.88,5.76
1073000500,140US01073000500,13,5.65,11.3
1073010705,140US01073010705,15,5.46,10.92
1103001000,140US01103001000,9,3.92,7.84
1125011701,140US01125011701,5,1.72,3.44
1125012304,140US01125012304,5,6.54,13.08
1065040300,140US01065040300,2,15.49,30.98
1099075800,140US01099075800,0,56.91,113.82
1127021300,140US01127021300,3,27.08,54.16
1129044000,140US01129044000,1,0,0
1079979300,140US01079979300,3,16.76,33.52
1015000300,140US01015000300,3,3.62,7.24
1023956800,140US01023956800,1,0,0
1039961600,140US01039961600,3,14.68,29.36
1043964600,140US01043964600,0,31.9,63.8
1085781000,140US01085781000,0,30.61,61.22
1047956600,140US01047956600,1,11.46,22.92
1055000600,140US01055000600,1,8.91,17.82
1077010600,140US01077010600,2,3,6
1003010100,140US01003010100,0,52.58,105.16
1111000300,140US01111000300,0,41.35,82.7
1113030200,140US01113030200,6,5.11,10.22
1037961200,140US01037961200,0,37.31,74.62
1085780800,140US01085780800,1,28.45,56.9
1087232200,140US01087232200,5,20.06,40.12
1069041500,140US01069041500,15,4,8
1081041600,140US01081041600,6,7.26,14.52
1101002202,140US01101002202,6,7.78,15.56
1101002201,140US01101002201,6,7.74,15.48
1101003100,140US01101003100,6,5.5,11
1101001400,140US01101001400,6,7.64,15.28
1001021100,140US01001021100,2,17.22,34.44
1005950300,140US01005950300,0,43.96,87.92
1097000500,140US01097000500,7,1.6,3.2
1097002700,140US01097002700,7,3.75,7.5
1097004800,140US01097004800,7,6.98,13.96
1097003205,140US01097003205,6,7.31,14.62
1069040301,140US01069040301,13,0,0
1069041000,140US01069041000,13,0,0
1121011100,140US01121011100,3,13.01,26.02
1081040603,140US01081040603,6,10.88,21.76
1073012914,140US01073012914,14,8.59,17.18
1101000900,140US01101000900,0,,
1101005407,140US01101005407,7,6.11,12.22
1097007500,140US01097007500,7,6.18,12.36
1103005108,140US01103005108,7,8.41,16.82
1087231700,140US01087231700,5,11.85,23.7
1131035200,140US01131035200,0,51.42,102.84
1069040203,140US01069040203,13,6.74,13.48
1001020501,140US01001020501,6,6.4,12.8
1125012307,140US01125012307,5,3.5,7
1125012407,140US01125012407,5,3.51,7.02
1131034802,140US01131034802,0,61.03,122.06
1119011302,140US01119011302,4,0,0
1015002104,140US01015002104,0,31.11,62.22
1077010901,140US01077010901,2,5.38,10.76
1133965602,140US01133965602,0,39.02,78.04
1101003304,140US01101003304,7,0,0
1071950902,140US01071950902,1,12.51,25.02
1081040802,140US01081040802,6,7.48,14.96
1081040201,140US01081040201,7,5.35,10.7
1097006804,140US01097006804,5,10.25,20.5
1049960301,140US01049960301,3,20.1,40.2
1089002923,140US01089002923,6,7.53,15.06
1089002804,140US01089002804,6,6.09,12.18
1089010404,140US01089010404,4,26.08,52.16
1073004501,140US01073004501,15,1.02,2.04
1073012921,140US01073012921,16,7.35,14.7
1073003700,140US01073003700,14,3.31,6.62
1073001500,140US01073001500,14,4.36,8.72
1073013300,140US01073013300,12,6.25,12.5
1073005200,140US01073005200,14,2.7,5.4
1073002000,140US01073002000,12,2.64,5.28
1073005903,140US01073005903,11,0,0
1073002305,140US01073002305,13,4.03,8.06
1073002100,140US01073002100,12,3.25,6.5
1073012302,140US01073012302,5,21.97,43.94
1103000700,140US01103000700,11,0,0
1103000300,140US01103000300,11,3.7,7.4
1125011703,140US01125011703,5,4.19,8.38
1125010407,140US01125010407,4,4.54,9.08
1091973300,140US01091973300,1,29.72,59.44
1065040100,140US01065040100,2,24.65,49.3
1099076200,140US01099076200,0,76.94,153.88
1099075700,140US01099075700,0,74.94,149.88
1083020500,140US01083020500,8,3.62,7.24
1105686800,140US01105686800,0,30.81,61.62
1063060200,140US01063060200,2,23.9,47.8
1071950400,140US01071950400,0,31.85,63.7
1089000901,140US01089000901,8,7.3,14.6
1089010623,140US01089010623,10,10.07,20.14
1089000902,140US01089000902,8,7.02,14.04
1089002300,140US01089002300,10,3.43,6.86
1025957800,140US01025957800,0,63.93,127.86
1025957700,140US01025957700,0,56.12,112.24
1033020200,140US01033020200,2,2.14,4.28
1033020400,140US01033020400,2,4.83,9.66
1039962800,140US01039962800,3,20.72,41.44
1047957000,140US01047957000,0,45.35,90.7
1047956202,140US01047956202,0,32.83,65.66
1047956800,140US01047956800,1,12.81,25.62
1015000200,140US01015000200,3,3.65,7.3
1019955702,140US01019955702,3,20.41,40.82
1117030319,140US01117030319,13,9.13,18.26
1081040300,140US01081040300,6,5.82,11.64
1081041300,140US01081041300,6,5.3,10.6
1101003000,140US01101003000,6,13.23,26.46
1101001100,140US01101001100,6,8.8,17.6
1101005410,140US01101005410,7,4.95,9.9
1101005302,140US01101005302,6,7.6,15.2
1101002500,140US01101002500,6,9.27,18.54
1101003301,140US01101003301,6,4.64,9.28
1037961100,140US01037961100,2,20.66,41.32
1085781100,140US01085781100,0,37.68,75.36
1121010600,140US01121010600,5,26.13,52.26
1113031200,140US01113031200,4,22.49,44.98
1097005900,140US01097005900,0,35.86,71.72
1097001901,140US01097001901,6,12.15,24.3
1097005000,140US01097005000,7,7.94,15.88
1097005200,140US01097005200,7,7.94,15.88
1097000902,140US01097000902,7,3.12,6.24
1097001400,140US01097001400,7,5.09,10.18
1097002600,140US01097002600,6,2.92,5.84
1097003301,140US01097003301,6,7.84,15.68
1097003602,140US01097003602,6,11.54,23.08
1069040600,140US01069040600,13,1.85,3.7
1069040400,140US01069040400,13,2.44,4.88
1093964500,140US01093964500,0,39.2,78.4
1093964300,140US01093964300,0,56,112
1125011402,140US01125011402,5,3.05,6.1
1125012101,140US01125012101,5,5.08,10.16
1125010105,140US01125010105,0,54.95,109.9
1125012102,140US01125012102,5,4.41,8.82
1097990000,140US01097990000,6,15.38,30.76
1047956400,140US01047956400,1,9.29,18.58
1069040205,140US01069040205,13,6.43,12.86
1001020502,140US01001020502,6,6.13,12.26
1051031001,140US01051031001,6,8.59,17.18
1115040104,140US01115040104,11,14.19,28.38
1073011002,140US01073011002,9,20.04,40.08
1073012913,140US01073012913,16,4.82,9.64
1117030330,140US01117030330,15,10.26,20.52
1097007600,140US01097007600,7,6.1,12.2
1031011100,140US01031011100,3,4.86,9.72
1001020600,140US01001020600,5,7.9,15.8
1121011200,140US01121011200,3,25.61,51.22
1089000403,140US01089000403,6,10.72,21.44
1089011201,140US01089011201,10,6.22,12.44
1089011026,140US01089011026,11,12.56,25.12
1089010503,140US01089010503,8,18.3,36.6
1089011023,140US01089011023,11,9.95,19.9
1073004502,140US01073004502,15,1.64,3.28
1073012918,140US01073012918,16,1.84,3.68
1073012805,140US01073012805,16,6.44,12.88
1073011003,140US01073011003,11,13.17,26.34
1073012919,140US01073012919,16,2.96,5.92
1117030352,140US01117030352,14,11.25,22.5
1097007203,140US01097007203,0,32.15,64.3
1097006410,140US01097006410,5,9.37,18.74
1097000802,140US01097000802,7,1.18,2.36
1009050302,140US01009050302,0,38.45,76.9
1049960302,140US01049960302,3,14.77,29.54
1031011205,140US01031011205,3,7.03,14.06
1059973702,140US01059973702,0,41.25,82.5
1077010902,140US01077010902,2,2.59,5.18
1101003303,140US01101003303,6,4.77,9.54
1047957301,140US01047957301,1,14.05,28.1
1091973002,140US01091973002,4,22.34,44.68
1081040202,140US01081040202,7,3.3,6.6
1081042009,140US01081042009,10,4.22,8.44
1081042007,140US01081042007,6,9.16,18.32
1053969802,140US01053969802,0,44.25,88.5
1065040402,140US01065040402,1,8.78,17.56
1113030601,140US01113030601,6,0,0
1083020103,140US01083020103,4,16.05,32.1
1115040208,140US01115040208,4,26.82,53.64
1063060000,140US01063060000,1,14.65,29.3
1089011013,140US01089011013,11,9.59,19.18
1089000701,140US01089000701,9,6.51,13.02
1039961700,140US01039961700,2,21.85,43.7
1055000500,140US01055000500,2,6.57,13.14
1011952500,140US01011952500,0,50.11,100.22
1073000400,140US01073000400,12,8.82,17.64
1073013902,140US01073013902,12,10.32,20.64
1073000300,140US01073000300,13,3.39,6.78
1073005000,140US01073005000,14,2.99,5.98
1103005500,140US01103005500,3,21.27,42.54
1125011200,140US01125011200,5,4.92,9.84
1083020900,140US01083020900,10,3.83,7.66
1111000100,140US01111000100,0,30.95,61.9
1023956900,140US01023956900,1,29.61,59.22
1063060101,140US01063060101,1,11.97,23.94
1099075901,140US01099075901,0,59.14,118.28
1125012408,140US01125012408,5,5.55,11.1
1101005614,140US01101005614,6,5.68,11.36
1031011206,140US01031011206,3,6.86,13.72
1099075600,140US01099075600,0,39.16,78.32
1089001302,140US01089001302,11,2.55,5.1
1097006803,140US01097006803,6,11.48,22.96
1003010706,140US01003010706,7,9.62,19.24
1073004902,140US01073004902,15,0,0
1097003703,140US01097003703,6,8.07,16.14
1097005400,140US01097005400,6,12.41,24.82
1097003405,140US01097003405,6,10.84,21.68
1097004000,140US01097004000,7,5.4,10.8
1069040900,140US01069040900,11,0,0
1067030300,140US01067030300,2,12.91,25.82
1101005604,140US01101005604,5,16.86,33.72
1101001600,140US01101001600,6,5.7,11.4
1001020200,140US01001020200,5,4.13,8.26
1097000200,140US01097000200,7,2.02,4.04
1097001100,140US01097001100,7,3.48,6.96
1013952800,140US01013952800,4,8.14,16.28
1131034700,140US01131034700,0,61.34,122.68
1073014408,140US01073014408,16,4.1,8.2
1101002100,140US01101002100,6,7.09,14.18
1125012505,140US01125012505,5,8.69,17.38
1073000700,140US01073000700,13,7.65,15.3
1073013200,140US01073013200,14,3.95,7.9
1033020100,140US01033020100,2,3.25,6.5
1103000900,140US01103000900,9,5.5,11
1125010601,140US01125010601,0,35.69,71.38
1125012404,140US01125012404,5,6.36,12.72
1083021000,140US01083021000,8,4.73,9.46
1089000602,140US01089000602,10,4.29,8.58
1089002701,140US01089002701,6,2.75,5.5
1077010200,140US01077010200,2,5.9,11.8
1097000903,140US01097000903,7,3.87,7.74
1097003607,140US01097003607,6,9.28,18.56
1101005613,140US01101005613,6,8.3,16.6
1097006408,140US01097006408,5,10.15,20.3
1073002702,140US01073002702,14,3.1,6.2
1117980100,140US01117980100,14,10.25,20.5
1001020503,140US01001020503,6,5.5,11
1125012002,140US01125012002,5,3.82,7.64
1089003000,140US01089003000,10,4.8,9.6
