"HEROP_ID","GEOID","TotTracts","MhCtTmDr","MhCtTmDr2","MhTmDrP","MhTmDrP2","MhAvTmDr","MhAvTmDr2"
"040US01","01",1436,1216,821,84.68,57.17,16.14,32.29
"040US02","02",177,129,118,72.88,66.67,11.47,22.94
"040US04","04",1765,1655,1555,93.77,88.1,7.53,15.06
"040US05","05",823,761,539,92.47,65.49,11.93,23.86
"040US06","06",9109,8847,8254,97.12,90.61,6.51,13.03
"040US08","08",1447,1331,1213,91.98,83.83,9.31,18.61
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,231,99.61,89.19,7.01,14.02
"040US11","11",206,206,206,100,100,2.11,4.23
"040US12","12",5122,5019,4396,97.99,85.83,7.69,15.38
"040US13","13",2791,2648,2133,94.88,76.42,10.93,21.87
"040US15","15",436,358,328,82.11,75.23,9.67,19.35
"040US16","16",456,386,342,84.65,75,11.67,23.34
"040US17","17",3263,3163,2844,96.94,87.16,6.78,13.55
"040US18","18",1693,1688,1452,99.7,85.76,7.49,14.99
"040US19","19",896,807,606,90.07,67.63,11.63,23.26
"040US20","20",829,750,639,90.47,77.08,10.95,21.9
"040US21","21",1306,1267,945,97.01,72.36,9.62,19.24
"040US22","22",1379,1277,1026,92.6,74.4,11.05,22.09
"040US23","23",401,355,238,88.53,59.35,13.93,27.86
"040US24","24",1465,1456,1370,99.39,93.52,5.19,10.38
"040US25","25",1613,1609,1550,99.75,96.09,4.71,9.43
"040US26","26",2972,2889,2446,97.21,82.3,8.39,16.78
"040US27","27",1502,1360,1174,90.55,78.16,9.6,19.21
"040US28","28",875,802,513,91.66,58.63,14.33,28.67
"040US29","29",1654,1550,1249,93.71,75.51,10.26,20.51
"040US30","30",319,216,174,67.71,54.55,21.22,42.44
"040US31","31",553,485,417,87.7,75.41,10.69,21.38
"040US32","32",779,736,699,94.48,89.73,7.88,15.76
"040US33","33",349,331,252,94.84,72.21,11.34,22.68
"040US34","34",2175,2174,2117,99.95,97.33,4.43,8.87
"040US35","35",612,516,445,84.31,72.71,12.75,25.5
"040US36","36",5394,5278,4787,97.85,88.75,5.81,11.61
"040US37","37",2661,2532,2050,95.15,77.04,10.89,21.77
"040US38","38",228,150,118,65.79,51.75,22.93,45.87
"040US39","39",3162,3149,2845,99.59,89.97,6.32,12.64
"040US40","40",1205,1134,914,94.11,75.85,10.5,21
"040US41","41",994,893,783,89.84,78.77,11.01,22.03
"040US42","42",3445,3367,2936,97.74,85.22,7.78,15.56
"040US44","44",247,246,232,99.6,93.93,5.25,10.5
"040US45","45",1317,1276,918,96.89,69.7,12,24
"040US46","46",242,156,122,64.46,50.41,22.79,45.57
"040US47","47",1701,1649,1297,96.94,76.25,10.02,20.05
"040US48","48",6884,6458,5604,93.81,81.41,10.03,20.07
"040US49","49",716,693,658,96.79,91.9,5.35,10.7
"040US50","50",193,167,95,86.53,49.22,16.03,32.06
"040US51","51",2186,2084,1760,95.33,80.51,9.31,18.62
"040US53","53",1772,1644,1449,92.78,81.77,9.67,19.33
"040US54","54",546,484,337,88.64,61.72,13.76,27.52
"040US55","55",1528,1442,1199,94.37,78.47,8.98,17.96
"040US56","56",160,127,110,79.38,68.75,14.1,28.2
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
