GEOID,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
501,,,,
601,0,0,0,11.68467429
602,0,0,0,6.027285008
603,0,0,0,1.792069158
604,0,0,0,2.251454515
605,0,0,0,2.307756124
606,0,0,0,11.10701066
610,0,0,0,3.401114207
611,0,0,0,13.01427939
612,0,0,0,2.313001648
613,0,0,0,0.507603582
614,0,0,0,1.468638966
616,0,0,0,6.488180626
617,0,0,0,11.18137918
622,0,0,0,4.297677751
623,0,0,0,1.82740343
624,0,0,0,7.398253057
627,0,0,0,9.20729822
631,,,,
637,0,0,0,7.593047428
638,0,0,0,7.307157083
641,0,0,0,13.67325603
646,0,0,0,9.238438625
647,0,0,0,7.682810084
650,0,0,0,13.22849993
652,0,0,0,6.985932948
653,0,0,0,5.645967026
656,0,0,0,4.183685256
659,0,0,0,6.492550921
660,0,0,0,2.090590429
662,0,0,0,8.798310593
664,0,0,0,12.3784406
667,0,0,0,6.6828218
669,0,0,0,16.13748633
670,0,0,0,11.19039963
674,0,0,0,14.57729823
676,0,0,0,5.926913192
677,0,0,0,8.807840043
678,0,0,0,14.16882827
680,0,0,0,1.185322396
681,0,0,0,0.263419475
682,0,0,0,4.154894092
683,0,0,0,6.974872866
685,0,0,0,12.67674375
687,0,0,0,8.044912998
688,0,0,0,10.26231785
690,0,0,0,3.815842171
692,0,0,0,10.88259191
693,0,0,0,14.45374204
694,0,0,0,13.81509537
698,0,0,0,1.023646034
703,0,0,0,4.556949129
704,0,0,0,8.183881646
705,0,0,0,0.873172025
707,0,0,0,12.76249251
714,0,0,0,3.397899685
715,0,0,0,3.481674463
716,0,0,0,1.315036685
717,0,0,0,0.592451034
718,0,0,0,6.296830313
719,0,0,0,2.790829079
720,0,0,0,0.655542994
721,0,0,0,9.307135063
723,0,0,0,7.742485715
725,0,0,0,1.387473922
726,0,0,0,0.585811174
727,0,0,0,1.318441595
728,0,0,0,2.241405065
729,0,0,0,5.872099613
730,0,0,0,1.35605612
