"HEROP_ID","GEOID","TotTracts","NaltCtTmDr","NaltCtTmDr2","NaltTmDrP","NaltTmDrP2","NaltAvTmDr","NaltAvTmDr2"
"040US01","01",1436,905,584,63.02,40.67,26.83,53.67
"040US02","02",177,116,102,65.54,57.63,14.77,29.54
"040US04","04",1765,1633,1487,92.52,84.25,9.02,18.03
"040US05","05",823,656,412,79.71,50.06,18.6,37.19
"040US06","06",9109,8263,7414,90.71,81.39,10.81,21.62
"040US08","08",1447,1275,1120,88.11,77.4,11.38,22.77
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,226,99.61,87.26,7.62,15.24
"040US11","11",206,206,206,100,100,3.18,6.37
"040US12","12",5122,4808,3985,93.87,77.8,10.93,21.85
"040US13","13",2791,2373,1759,85.02,63.02,16.12,32.23
"040US15","15",436,322,280,73.85,64.22,11.05,22.1
"040US16","16",456,344,280,75.44,61.4,17.51,35.01
"040US17","17",3263,3064,2753,93.9,84.37,8.5,16.99
"040US18","18",1693,1649,1350,97.4,79.74,9.27,18.53
"040US19","19",896,710,521,79.24,58.15,16.79,33.57
"040US20","20",829,717,589,86.49,71.05,13.7,27.4
"040US21","21",1306,1241,871,95.02,66.69,11.29,22.58
"040US22","22",1379,1154,871,83.68,63.16,15.61,31.23
"040US23","23",401,340,222,84.79,55.36,16.14,32.28
"040US24","24",1465,1457,1357,99.45,92.63,6.27,12.53
"040US25","25",1613,1612,1511,99.94,93.68,5.91,11.83
"040US26","26",2972,2738,2229,92.13,75,11.28,22.57
"040US27","27",1502,1244,1026,82.82,68.31,14.65,29.31
"040US28","28",875,642,383,73.37,43.77,22.36,44.72
"040US29","29",1654,1532,1217,92.62,73.58,11.16,22.33
"040US30","30",319,144,108,45.14,33.86,34.07,68.15
"040US31","31",553,429,363,77.58,65.64,14.24,28.48
"040US32","32",779,714,671,91.66,86.14,9.98,19.96
"040US33","33",349,327,243,93.7,69.63,12.03,24.06
"040US34","34",2175,2173,2094,99.91,96.28,5.24,10.48
"040US35","35",612,445,377,72.71,61.6,17.61,35.22
"040US36","36",5394,5189,4668,96.2,86.54,6.85,13.7
"040US37","37",2661,2470,1791,92.82,67.31,13.25,26.5
"040US38","38",228,132,106,57.89,46.49,26.84,53.68
"040US39","39",3162,3122,2697,98.73,85.29,8.08,16.16
"040US40","40",1205,992,722,82.32,59.92,16.48,32.96
"040US41","41",994,843,707,84.81,71.13,13.54,27.08
"040US42","42",3445,3297,2740,95.7,79.54,9.53,19.06
"040US44","44",247,246,226,99.6,91.5,6.21,12.41
"040US45","45",1317,1131,693,85.88,52.62,17.28,34.55
"040US46","46",242,106,82,43.8,33.88,31.46,62.93
"040US47","47",1701,1538,1138,90.42,66.9,12.99,25.99
"040US48","48",6884,5797,4737,84.21,68.81,14.71,29.43
"040US49","49",716,676,636,94.41,88.83,7.67,15.33
"040US50","50",193,155,85,80.31,44.04,18.15,36.3
"040US51","51",2186,2068,1670,94.6,76.4,10.85,21.7
"040US53","53",1772,1562,1281,88.15,72.29,13.94,27.88
"040US54","54",546,458,317,83.88,58.06,16.08,32.17
"040US55","55",1528,1278,968,83.64,63.35,15.79,31.58
"040US56","56",160,91,82,56.88,51.25,23.97,47.94
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
