"HEROP_ID","GEOID","TotTracts","NaltCtTmDr","NaltCtTmDr2","NaltTmDrP","NaltTmDrP2","NaltAvTmDr","NaltAvTmDr2"
"050US01001","01001",17,12,0,70.59,0,29.19,58.39
"050US01003","01003",43,8,0,18.6,0,44.18,88.37
"050US01005","01005",9,5,2,55.56,22.22,29.15,58.29
"050US01007","01007",8,1,0,12.5,0,42.98,85.96
"050US01009","01009",16,3,0,18.75,0,37.65,75.29
"050US01011","01011",4,0,0,0,0,46.45,92.9
"050US01013","01013",9,0,0,0,0,60.17,120.35
"050US01015","01015",38,0,0,0,0,57.78,115.57
"050US01017","01017",9,6,0,66.67,0,26.09,52.18
"050US01019","01019",8,0,0,0,0,65.55,131.1
"050US01021","01021",12,10,3,83.33,25,21.02,42.05
"050US01023","01023",4,0,0,0,0,49.44,98.88
"050US01025","01025",9,0,0,0,0,80.87,161.75
"050US01027","01027",4,0,0,0,0,73.58,147.16
"050US01029","01029",4,0,0,0,0,46.62,93.23
"050US01031","01031",16,2,0,12.5,0,39.1,78.19
"050US01033","01033",15,14,10,93.33,66.67,14.26,28.52
"050US01035","01035",5,0,0,0,0,53.86,107.72
"050US01037","01037",3,0,0,0,0,50.21,100.43
"050US01039","01039",14,0,0,0,0,54.18,108.37
"050US01041","01041",6,0,0,0,0,65.96,131.92
"050US01043","01043",22,21,9,95.45,40.91,16.09,32.18
"050US01045","01045",14,10,0,71.43,0,27.41,54.83
"050US01047","01047",17,0,0,0,0,62.74,125.49
"050US01049","01049",21,0,0,0,0,60.14,120.27
"050US01051","01051",20,13,0,65,0,27.9,55.8
"050US01053","01053",10,6,0,60,0,30.92,61.84
"050US01055","01055",33,0,0,0,0,72.27,144.54
"050US01057","01057",5,0,0,0,0,46.64,93.28
"050US01059","01059",11,1,0,9.09,0,39.51,79.01
"050US01061","01061",6,6,1,100,16.67,15.92,31.84
"050US01063","01063",4,1,0,25,0,42.12,84.23
"050US01065","01065",7,0,0,0,0,45.31,90.61
"050US01067","01067",6,2,1,33.33,16.67,29.88,59.77
"050US01069","01069",26,26,21,100,80.77,9.32,18.64
"050US01071","01071",16,3,0,18.75,0,45.8,91.59
"050US01073","01073",189,186,160,98.41,84.66,9.2,18.41
"050US01075","01075",4,0,0,0,0,36.85,73.7
"050US01077","01077",26,24,15,92.31,57.69,13.54,27.08
"050US01079","01079",11,1,0,9.09,0,35.8,71.6
"050US01081","01081",48,48,35,100,72.92,11.66,23.31
"050US01083","01083",23,23,14,100,60.87,13.7,27.4
"050US01085","01085",4,0,0,0,0,45.72,91.44
"050US01087","01087",12,11,6,91.67,50,15.73,31.45
"050US01089","01089",95,91,74,95.79,77.89,12.2,24.4
"050US01091","01091",8,0,0,0,0,62.39,124.78
"050US01093","01093",11,9,1,81.82,9.09,22.68,45.35
"050US01095","01095",26,3,0,11.54,0,52.79,105.58
"050US01097","01097",135,130,101,96.3,74.81,11.88,23.76
"050US01099","01099",9,0,0,0,0,68.9,137.79
"050US01101","01101",71,68,60,95.77,84.51,11.25,22.5
