"HEROP_ID","GEOID","TotTracts","OtpCtTmDr","OtpCtTmDr2","OtpTmDrP","OtpTmDrP2","OtpAvTmDr","OtpAvTmDr2"
"040US01","01",1436,929,533,64.69,37.12,26.12,52.25
"040US02","02",177,106,89,59.89,50.28,13.57,27.13
"040US04","04",1765,1540,1343,87.25,76.09,12.94,25.88
"040US05","05",823,309,156,37.55,18.96,34.29,68.57
"040US06","06",9109,8562,7670,93.99,84.2,10.1,20.21
"040US08","08",1447,1198,1064,82.79,73.53,13.93,27.86
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,219,99.61,84.56,8.36,16.71
"040US11","11",206,206,206,100,100,3.69,7.38
"040US12","12",5122,4723,3506,92.21,68.45,13.76,27.52
"040US13","13",2791,2418,1885,86.64,67.54,15.25,30.51
"040US15","15",436,332,179,76.15,41.06,18.7,37.4
"040US16","16",456,242,201,53.07,44.08,25.6,51.2
"040US17","17",3263,2758,2423,84.52,74.26,14.12,28.24
"040US18","18",1693,1285,916,75.9,54.11,19.3,38.6
"040US19","19",896,377,235,42.08,26.23,37,73.99
"040US20","20",829,433,366,52.23,44.15,23.63,47.25
"040US21","21",1306,933,654,71.44,50.08,20.4,40.79
"040US22","22",1379,942,625,68.31,45.32,23.8,47.61
"040US23","23",401,254,139,63.34,34.66,26.73,53.46
"040US24","24",1465,1436,1233,98.02,84.16,8.75,17.5
"040US25","25",1613,1599,1457,99.13,90.33,6.76,13.52
"040US26","26",2972,2380,1776,80.08,59.76,16.71,33.42
"040US27","27",1502,953,761,63.45,50.67,22.94,45.88
"040US28","28",875,305,162,34.86,18.51,40.64,81.28
"040US29","29",1654,993,684,60.04,41.35,29.06,58.12
"040US30","30",319,105,76,32.92,23.82,36.72,73.45
"040US31","31",553,304,274,54.97,49.55,19.86,39.71
"040US32","32",779,682,650,87.55,83.44,10.63,21.25
"040US33","33",349,266,163,76.22,46.7,21.32,42.65
"040US34","34",2175,2160,1915,99.31,88.05,8.19,16.37
"040US35","35",612,378,313,61.76,51.14,20.57,41.14
"040US36","36",5394,4853,4272,89.97,79.2,10.8,21.61
"040US37","37",2661,2365,1617,88.88,60.77,15.27,30.54
"040US38","38",228,100,86,43.86,37.72,31.87,63.73
"040US39","39",3162,2858,2254,90.39,71.28,12.66,25.32
"040US40","40",1205,828,597,68.71,49.54,22.03,44.07
"040US41","41",994,766,605,77.06,60.87,18.54,37.09
"040US42","42",3445,3123,2371,90.65,68.82,13.18,26.37
"040US44","44",247,246,227,99.6,91.9,6.13,12.26
"040US45","45",1317,1041,633,79.04,48.06,19.57,39.13
"040US46","46",242,59,48,24.38,19.83,34.88,69.75
"040US47","47",1701,1195,750,70.25,44.09,22.17,44.34
"040US48","48",6884,5745,4532,83.45,65.83,16.19,32.39
"040US49","49",716,620,513,86.59,71.65,12.47,24.93
"040US50","50",193,121,64,62.69,33.16,24,48.01
"040US51","51",2186,1829,1305,83.67,59.7,17.16,34.33
"040US53","53",1772,1434,1136,80.93,64.11,17.13,34.27
"040US54","54",546,271,111,49.63,20.33,33.6,67.2
"040US55","55",1528,1066,812,69.76,53.14,20.9,41.8
"040US56","56",160,0,0,0,0,54.99,109.98
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
