"HEROP_ID","GEOID","TotTracts","RxCtTmDr","RxCtTmDr2","RxTmDrP","RxTmDrP2","RxAvTmDr","RxAvTmDr2"
"040US01","01",1436,1411,1208,98.26,84.12,6.46,12.93
"040US02","02",177,117,107,66.1,60.45,11.72,23.44
"040US04","04",1765,1649,1565,93.43,88.67,6.38,12.75
"040US05","05",823,800,663,97.21,80.56,7.1,14.21
"040US06","06",9109,8979,8779,98.57,96.38,3.21,6.42
"040US08","08",1447,1347,1260,93.09,87.08,6.89,13.79
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,258,99.61,99.61,3.02,6.03
"040US11","11",206,206,206,100,100,0.98,1.97
"040US12","12",5122,5092,4908,99.41,95.82,3.41,6.82
"040US13","13",2791,2781,2603,99.64,93.26,4.94,9.87
"040US15","15",436,418,399,95.87,91.51,5.19,10.38
"040US16","16",456,407,367,89.25,80.48,9.64,19.27
"040US17","17",3263,3250,3067,99.6,93.99,3.69,7.37
"040US18","18",1693,1689,1521,99.76,89.84,5.23,10.45
"040US19","19",896,882,744,98.44,83.04,6.64,13.28
"040US20","20",829,820,754,98.91,90.95,4.61,9.22
"040US21","21",1306,1286,1051,98.47,80.47,7.11,14.22
"040US22","22",1379,1344,1224,97.46,88.76,5.68,11.37
"040US23","23",401,370,298,92.27,74.31,10.14,20.28
"040US24","24",1465,1464,1436,99.93,98.02,3.19,6.39
"040US25","25",1613,1613,1594,100,98.82,2.55,5.1
"040US26","26",2972,2930,2742,98.59,92.26,4.77,9.55
"040US27","27",1502,1442,1264,96.01,84.15,6.67,13.35
"040US28","28",875,854,676,97.6,77.26,8.22,16.43
"040US29","29",1654,1626,1432,98.31,86.58,5.97,11.95
"040US30","30",319,241,205,75.55,64.26,16.46,32.93
"040US31","31",553,533,495,96.38,89.51,5.53,11.06
"040US32","32",779,749,724,96.15,92.94,4.86,9.72
"040US33","33",349,341,298,97.71,85.39,7.2,14.4
"040US34","34",2175,2175,2168,100,99.68,1.86,3.72
"040US35","35",612,514,450,83.99,73.53,12.07,24.14
"040US36","36",5394,5371,5188,99.57,96.18,2.69,5.39
"040US37","37",2661,2646,2451,99.44,92.11,5.42,10.84
"040US38","38",228,203,168,89.04,73.68,9.91,19.82
"040US39","39",3162,3158,3031,99.87,95.86,3.98,7.96
"040US40","40",1205,1187,1069,98.51,88.71,5.51,11.01
"040US41","41",994,918,842,92.35,84.71,8.14,16.28
"040US42","42",3445,3432,3259,99.62,94.6,3.91,7.81
"040US44","44",247,247,245,100,99.19,2.53,5.06
"040US45","45",1317,1304,1172,99.01,88.99,5.86,11.72
"040US46","46",242,201,172,83.06,71.07,13.31,26.63
"040US47","47",1701,1689,1499,99.29,88.12,5.86,11.71
"040US48","48",6884,6785,6368,98.56,92.5,4.51,9.02
"040US49","49",716,685,658,95.67,91.9,5.45,10.89
"040US50","50",193,179,129,92.75,66.84,11.42,22.85
"040US51","51",2186,2172,1974,99.36,90.3,5.18,10.36
"040US53","53",1772,1700,1594,95.94,89.95,5.92,11.83
"040US54","54",546,521,411,95.42,75.27,8.73,17.45
"040US55","55",1528,1484,1300,97.12,85.08,6.41,12.83
"040US56","56",160,130,114,81.25,71.25,13.79,27.59
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
