GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
501,,,,
601,0,0,0,0.507090347
602,0,0,0,0.640585858
603,0,0,0,0.328490264
604,0,0,0,0.387728835
605,0,0,0,0.369789215
606,0,0,0,4.024474228
610,0,0,0,0.3904795
611,0,0,0,1.065198972
612,0,0,0,0.692102979
613,0,0,0,0.287192566
614,0,0,0,0.882144501
616,0,0,0,1.027416148
617,0,0,0,1.030219238
622,0,0,0,1.659515023
623,0,0,0,1.221783015
624,0,0,0,1.639987202
627,0,0,0,0.195179516
631,,,,
637,0,0,0,0.757527225
638,0,0,0,3.452557617
641,0,0,0,0.643299721
646,0,0,0,0.80353541
647,0,0,0,2.412468139
650,0,0,0,1.283833219
652,0,0,0,1.235132663
653,0,0,0,0.368093857
656,0,0,0,0.417996872
659,0,0,0,0.849870305
660,0,0,0,0.815560693
662,0,0,0,1.044339627
664,0,0,0,0.728837891
667,0,0,0,0.646397444
669,0,0,0,0.256691297
670,0,0,0,0.857563419
674,0,0,0,1.176912794
676,0,0,0,0.24833962
677,0,0,0,0.515067
678,0,0,0,0.655049905
680,0,0,0,0.664997138
681,0,0,0,0.225457937
682,0,0,0,3.78743805
683,0,0,0,0.745628143
685,0,0,0,0.284188412
687,0,0,0,0.96381074
688,0,0,0,2.810645184
690,0,0,0,0.358353674
692,0,0,0,0.950114777
693,0,0,0,1.096007354
694,0,0,0,0.452611759
698,0,0,0,0.379206007
703,0,0,0,1.085356518
704,0,0,0,1.461397787
705,0,0,0,0.564184271
707,0,0,0,0.532353313
714,0,0,0,0.605978606
715,0,0,0,1.886957934
716,0,0,0,0.638362501
717,0,0,0,0.323185576
718,0,0,0,1.885537422
719,0,0,0,0.381028652
720,0,0,0,0.554772895
721,0,0,0,0.29924702
723,0,0,0,1.300321635
725,0,0,0,0.77390293
726,0,0,0,0.265616217
727,0,0,0,0.843418214
728,0,0,0,0.911757541
729,0,0,0,0.736718923
730,0,0,0,0.877648453
731,0,0,0,4.715565882
732,0,0,0,0.779238606
733,0,0,0,0.377090618
735,0,0,0,2.131914401
736,0,0,0,1.154813075
737,0,0,0,0.323028344
738,0,0,0,1.021449588
739,0,0,0,0.699521814
740,0,0,0,0.956643155
741,0,0,0,0.656201903
744,0,0,0,2.717876687
745,0,0,0,1.17304523
751,0,0,0,1.36925809
754,0,0,0,0.72819778
757,0,0,0,1.107328921
765,0,0,0,19.32685438
766,0,0,0,0.425898457
767,0,0,0,1.343454498
769,0,0,0,0.745339488
771,0,0,0,0.7664982
772,0,0,0,0.82308944
773,0,0,0,0.67319465
775,,,,
777,0,0,0,0.880801839
778,0,0,0,0.777641176
