"HEROP_ID","GEOID","TotTracts","SutCtTmDr","SutCtTmDr2","SutTmDrP","SutTmDrP2","SutAvTmDr","SutAvTmDr2"
"040US01","01",1436,48,39,3.34,2.72,50.48,100.95
"040US02","02",177,4,1,2.26,0.56,34.43,68.85
"040US04","04",1765,1095,574,62.04,32.52,20.48,40.96
"040US05","05",823,19,3,2.31,0.36,59.5,118.99
"040US06","06",9109,5045,2418,55.38,26.55,27.23,54.46
"040US08","08",1447,928,636,64.13,43.95,21.62,43.25
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,0,0,0,0,55.11,110.21
"040US11","11",206,206,75,100,36.41,15.92,31.84
"040US12","12",5122,2446,1481,47.75,28.91,33.07,66.15
"040US13","13",2791,1043,205,37.37,7.35,34.26,68.53
"040US15","15",436,0,0,0,0,NA,NA
"040US16","16",456,25,21,5.48,4.61,45.75,91.5
"040US17","17",3263,1922,549,58.9,16.83,29.18,58.37
"040US18","18",1693,607,237,35.85,14,37.03,74.06
"040US19","19",896,27,25,3.01,2.79,45.89,91.77
"040US20","20",829,207,79,24.97,9.53,36.07,72.14
"040US21","21",1306,601,309,46.02,23.66,33.43,66.86
"040US22","22",1379,262,105,19,7.61,48.15,96.3
"040US23","23",401,0,0,0,0,NA,NA
"040US24","24",1465,1143,637,78.02,43.48,19.38,38.77
"040US25","25",1613,100,6,6.2,0.37,55.54,111.09
"040US26","26",2972,1551,619,52.19,20.83,32.35,64.7
"040US27","27",1502,702,212,46.74,14.11,28.42,56.83
"040US28","28",875,163,76,18.63,8.69,50.63,101.25
"040US29","29",1654,485,271,29.32,16.38,38.8,77.61
"040US30","30",319,17,12,5.33,3.76,55.8,111.61
"040US31","31",553,27,13,4.88,2.35,47.64,95.28
"040US32","32",779,653,488,83.83,62.64,16.35,32.71
"040US33","33",349,0,0,0,0,86.63,173.26
"040US34","34",2175,1450,599,66.67,27.54,26.17,52.35
"040US35","35",612,101,77,16.5,12.58,47.46,94.91
"040US36","36",5394,1227,73,22.75,1.35,39.07,78.14
"040US37","37",2661,708,251,26.61,9.43,39.39,78.79
"040US38","38",228,0,0,0,0,NA,NA
"040US39","39",3162,1475,797,46.65,25.21,33.66,67.32
"040US40","40",1205,379,208,31.45,17.26,33.51,67.02
"040US41","41",994,386,164,38.83,16.5,30.14,60.28
"040US42","42",3445,745,188,21.63,5.46,44.32,88.64
"040US44","44",247,203,139,82.19,56.28,16.16,32.31
"040US45","45",1317,54,11,4.1,0.84,67.51,135.01
"040US46","46",242,4,2,1.65,0.83,63.7,127.41
"040US47","47",1701,620,425,36.45,24.99,33.35,66.7
"040US48","48",6884,2754,968,40.01,14.06,36.16,72.31
"040US49","49",716,376,267,52.51,37.29,22.18,44.37
"040US50","50",193,0,0,0,0,NA,NA
"040US51","51",2186,1274,837,58.28,38.29,23.88,47.77
"040US53","53",1772,421,118,23.76,6.66,38.3,76.6
"040US54","54",546,16,0,2.93,0,55.7,111.4
"040US55","55",1528,591,379,38.68,24.8,32.38,64.76
"040US56","56",160,45,38,28.12,23.75,27.29,54.57
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
