"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"01001",8.47,0.91,0.4,"860US01001"
"01002",11.61,10.64,12.74,"860US01002"
"01003",0,2.98,60.48,"860US01003"
"01005",4.51,0,0,"860US01005"
"01007",5.11,0.59,1.65,"860US01007"
"01008",1.96,0,1.55,"860US01008"
"01009",10.48,0,0,"860US01009"
"01010",1.96,0,0,"860US01010"
"01011",5.1,0,3.06,"860US01011"
"01012",1.59,0,2.68,"860US01012"
"01013",14.33,1.53,2.66,"860US01013"
"01020",8.19,0.65,1.62,"860US01020"
"01022",6.32,0.87,0,"860US01022"
"01026",5.57,2.08,3.46,"860US01026"
"01027",5.77,2.09,1.94,"860US01027"
"01028",5.3,1.07,1.89,"860US01028"
"01029",2.83,0,0,"860US01029"
"01030",6.12,0,0.15,"860US01030"
"01031",15.58,0,8.11,"860US01031"
"01032",1.32,1.31,0,"860US01032"
"01033",2.97,0.69,0,"860US01033"
"01034",1.43,0.69,1.72,"860US01034"
"01035",9.81,0.65,0.99,"860US01035"
"01036",4.79,0.35,1.26,"860US01036"
"01037",0,0,10.49,"860US01037"
"01038",7.22,0.79,3.16,"860US01038"
"01039",4.11,0.81,5.18,"860US01039"
"01040",22.49,1.78,4.67,"860US01040"
"01050",5.14,0,0,"860US01050"
"01053",6.05,6.76,0,"860US01053"
"01054",0.9,0.78,0.87,"860US01054"
"01056",5.63,0.62,0.76,"860US01056"
"01057",2.03,0,0.44,"860US01057"
"01060",14.08,2.95,16.93,"860US01060"
"01062",5.76,1.4,3.18,"860US01062"
"01063",NA,3.7,66.05,"860US01063"
"01066",0,NA,NA,"860US01066"
"01068",3.28,0.69,1.58,"860US01068"
"01069",8.49,0,5.34,"860US01069"
"01070",3.07,1.52,0.61,"860US01070"
"01071",3.12,0,0.76,"860US01071"
"01072",2.92,0,0.5,"860US01072"
"01073",4.34,0,0,"860US01073"
"01074",0,0,0,"860US01074"
"01075",7.83,1.25,11.41,"860US01075"
"01077",6.63,0.3,2.7,"860US01077"
"01079",5.33,0,0,"860US01079"
"01080",7.02,0,2.18,"860US01080"
"01081",3.35,0,2.17,"860US01081"
"01082",10.38,0.02,1.89,"860US01082"
"01083",4.4,0,0,"860US01083"
"01084",3.95,0,4.4,"860US01084"
"01085",7.47,0.54,2.8,"860US01085"
"01086",NA,0,47.69,"860US01086"
"01088",11.85,0,2.68,"860US01088"
"01089",9.65,1.5,2.91,"860US01089"
"01092",7.04,0,0,"860US01092"
"01093",0,0,0,"860US01093"
"01094",15.91,0,0,"860US01094"
"01095",4.63,0.66,1.04,"860US01095"
"01096",4.24,0.2,1.2,"860US01096"
"01097",0,0,0,"860US01097"
"01098",5.52,1.01,0,"860US01098"
"01103",38.72,9.94,22.54,"860US01103"
"01104",26.3,5.94,3.64,"860US01104"
"01105",46.99,10.26,10.76,"860US01105"
"01106",3.78,0.49,2.28,"860US01106"
"01107",31.71,8.23,8.91,"860US01107"
"01108",24.93,5.9,3.75,"860US01108"
"01109",20.9,4.62,7.67,"860US01109"
"01118",9.46,0.69,2.26,"860US01118"
"01119",12.85,0.59,6.59,"860US01119"
"01128",2.23,0.6,0,"860US01128"
"01129",7.14,0,1.17,"860US01129"
"01151",13.79,3.33,2.46,"860US01151"
"01199",NA,NA,NA,"860US01199"
"01201",13.19,1.73,2.8,"860US01201"
"01220",9.45,0.32,2,"860US01220"
"01222",0,0,0,"860US01222"
"01223",1.05,0,1.06,"860US01223"
"01224",0,18.09,0,"860US01224"
"01225",3.09,0,1.92,"860US01225"
"01226",2.59,0.53,0,"860US01226"
"01229",20.93,0,0,"860US01229"
"01230",7.83,1.96,12.68,"860US01230"
"01235",1.96,0.26,1.05,"860US01235"
"01236",13.42,0,0,"860US01236"
"01237",0.3,0,2.09,"860US01237"
"01238",7.2,0.71,4.05,"860US01238"
"01240",10.9,0,2.42,"860US01240"
"01242",0,0,0,"860US01242"
"01243",0,0,3.68,"860US01243"
"01244",0,0,0,"860US01244"
"01245",0.96,1.33,8.43,"860US01245"
"01247",15.24,1.4,9.09,"860US01247"
"01253",1.71,2.57,0,"860US01253"
"01254",1.23,0,0.98,"860US01254"
"01255",2.25,1.06,1.69,"860US01255"
"01256",2.69,0,2.07,"860US01256"
"01257",3.66,0,7.18,"860US01257"
"01258",3.45,1.19,5.16,"860US01258"
"01259",1.44,1.56,2.72,"860US01259"
"01260",0,0,0,"860US01260"
"01262",8.22,0.93,15.14,"860US01262"
"01264",1.32,4.35,11.96,"860US01264"
"01266",2.66,0.41,2.98,"860US01266"
"01267",9.76,1.26,36.54,"860US01267"
"01270",0,0,0,"860US01270"
"01301",10.68,0.58,4.65,"860US01301"
"01330",4.59,1.76,2.51,"860US01330"
"01331",8.18,1.38,2.72,"860US01331"
"01337",4.56,0,0.39,"860US01337"
"01338",0,0,16.44,"860US01338"
"01339",3.28,0.33,5.14,"860US01339"
"01340",1.21,0.56,1.57,"860US01340"
"01341",1.33,0.97,1.27,"860US01341"
"01342",5.47,1.03,28.97,"860US01342"
"01343",8.33,0,0,"860US01343"
"01344",6.71,2.17,4.05,"860US01344"
"01346",1.16,0,3.64,"860US01346"
"01347",0,0,0,"860US01347"
"01349",1.51,6.62,0,"860US01349"
"01350",2.13,0,0,"860US01350"
"01351",5.01,0.57,1.22,"860US01351"
