"HEROP_ID","NAMELSAD","STUSPS","GEOID","CountyFIPS","TotTracts","FqhcCtTmDr","FqhcCtTmDr2","FqhcTmDrP","FqhcTmDrP2","FqhcAvTmDr","FqhcAvTmDr2"
"050US01001","Autauga County","AL","01001","01001",17,15,2,88.24,11.76,19.93,39.87
"050US01003","Baldwin County","AL","01003","01003",43,42,21,97.67,48.84,15.29,30.57
"050US01005","Barbour County","AL","01005","01005",9,7,2,77.78,22.22,19.42,38.85
"050US01007","Bibb County","AL","01007","01007",8,8,5,100,62.5,9.58,19.16
"050US01009","Blount County","AL","01009","01009",16,14,5,87.5,31.25,19.52,39.05
"050US01011","Bullock County","AL","01011","01011",4,1,0,25,0,36.06,72.12
"050US01013","Butler County","AL","01013","01013",9,1,0,11.11,0,37.79,75.58
"050US01015","Calhoun County","AL","01015","01015",38,37,21,97.37,55.26,14.4,28.79
"050US01017","Chambers County","AL","01017","01017",9,8,5,88.89,55.56,14.72,29.43
"050US01019","Cherokee County","AL","01019","01019",8,7,3,87.5,37.5,18.13,36.25
"050US01021","Chilton County","AL","01021","01021",12,12,7,100,58.33,12.53,25.06
"050US01023","Choctaw County","AL","01023","01023",4,4,1,100,25,19.75,39.49
"050US01025","Clarke County","AL","01025","01025",9,0,0,0,0,53.72,107.43
"050US01027","Clay County","AL","01027","01027",4,4,1,100,25,18.66,37.31
"050US01029","Cleburne County","AL","01029","01029",4,3,1,75,25,18.97,37.94
"050US01031","Coffee County","AL","01031","01031",16,14,11,87.5,68.75,12.93,25.85
"050US01033","Colbert County","AL","01033","01033",15,14,12,93.33,80,9.4,18.8
"050US01035","Conecuh County","AL","01035","01035",5,3,1,60,20,23.48,46.95
"050US01037","Coosa County","AL","01037","01037",3,1,1,33.33,33.33,25.89,51.78
"050US01039","Covington County","AL","01039","01039",14,3,0,21.43,0,36.16,72.32
"050US01041","Crenshaw County","AL","01041","01041",6,5,1,83.33,16.67,21.76,43.53
"050US01043","Cullman County","AL","01043","01043",22,21,10,95.45,45.45,14.17,28.35
"050US01045","Dale County","AL","01045","01045",14,13,4,92.86,28.57,17.17,34.35
"050US01047","Dallas County","AL","01047","01047",17,16,11,94.12,64.71,11.72,23.44
"050US01049","DeKalb County","AL","01049","01049",21,21,16,100,76.19,12.64,25.28
"050US01051","Elmore County","AL","01051","01051",20,17,3,85,15,19.55,39.09
"050US01053","Escambia County","AL","01053","01053",10,8,2,80,20,21.15,42.31
"050US01055","Etowah County","AL","01055","01055",33,31,20,93.94,60.61,10.99,21.97
"050US01057","Fayette County","AL","01057","01057",5,3,0,60,0,33.29,66.58
"050US01059","Franklin County","AL","01059","01059",11,9,3,81.82,27.27,20.62,41.24
"050US01061","Geneva County","AL","01061","01061",6,6,4,100,66.67,9.59,19.18
"050US01063","Greene County","AL","01063","01063",4,4,3,100,75,12.63,25.26
"050US01065","Hale County","AL","01065","01065",7,7,3,100,42.86,14.72,29.43
"050US01067","Henry County","AL","01067","01067",6,6,3,100,50,12.86,25.71
"050US01069","Houston County","AL","01069","01069",26,26,19,100,73.08,9.91,19.82
"050US01071","Jackson County","AL","01071","01071",16,15,7,93.75,43.75,14.42,28.84
"050US01073","Jefferson County","AL","01073","01073",189,189,166,100,87.83,8.01,16.02
"050US01075","Lamar County","AL","01075","01075",4,3,1,75,25,17.16,34.33
"050US01077","Lauderdale County","AL","01077","01077",26,25,18,96.15,69.23,11.62,23.24
"050US01079","Lawrence County","AL","01079","01079",11,9,2,81.82,18.18,20.52,41.05
"050US01081","Lee County","AL","01081","01081",48,46,7,95.83,14.58,20.8,41.6
"050US01083","Limestone County","AL","01083","01083",23,23,16,100,69.57,10.94,21.87
"050US01085","Lowndes County","AL","01085","01085",4,3,1,75,25,21.38,42.75
"050US01087","Macon County","AL","01087","01087",12,12,8,100,66.67,9.58,19.16
"050US01089","Madison County","AL","01089","01089",95,94,81,98.95,85.26,9.49,18.98
"050US01091","Marengo County","AL","01091","01091",8,6,3,75,37.5,21.73,43.46
"050US01093","Marion County","AL","01093","01093",11,7,1,63.64,9.09,27.08,54.16
"050US01095","Marshall County","AL","01095","01095",26,21,7,80.77,26.92,22.27,44.53
"050US01097","Mobile County","AL","01097","01097",135,135,120,100,88.89,6.53,13.06
"050US01099","Monroe County","AL","01099","01099",9,7,3,77.78,33.33,22.25,44.51
"050US01101","Montgomery County","AL","01101","01101",71,70,67,98.59,94.37,5.5,11
"050US01103","Morgan County","AL","01103","01103",31,31,19,100,61.29,12.25,24.5
"050US01105","Perry County","AL","01105","01105",4,4,2,100,50,11.91,23.81
"050US01107","Pickens County","AL","01107","01107",6,5,3,83.33,50,12.45,24.91
"050US01109","Pike County","AL","01109","01109",11,11,6,100,54.55,14.18,28.35
"050US01111","Randolph County","AL","01111","01111",6,4,1,66.67,16.67,24.57,49.15
"050US01113","Russell County","AL","01113","01113",18,16,13,88.89,72.22,12.86,25.71
"050US01115","St. Clair County","AL","01115","01115",24,17,0,70.83,0,27.06,54.12
"050US01117","Shelby County","AL","01117","01117",55,50,15,90.91,27.27,20.06,40.11
"050US01119","Sumter County","AL","01119","01119",5,4,1,80,20,20.81,41.62
"050US01121","Talladega County","AL","01121","01121",24,21,8,87.5,33.33,19.55,39.09
"050US01123","Tallapoosa County","AL","01123","01123",12,4,0,33.33,0,34.66,69.32
"050US01125","Tuscaloosa County","AL","01125","01125",59,51,41,86.44,69.49,12.64,25.28
"050US01127","Walker County","AL","01127","01127",20,20,14,100,70,11,22.01
"050US01129","Washington County","AL","01129","01129",5,3,1,60,20,20.43,40.86
"050US01131","Wilcox County","AL","01131","01131",5,4,2,80,40,14.05,28.1
"050US01133","Winston County","AL","01133","01133",8,8,3,100,37.5,15.51,31.02
"050US02013","Aleutians East Borough","AK","02013","02013",1,1,1,100,100,0,0
"050US02016","Aleutians West Census Area","AK","02016","02016",2,2,2,100,100,0,0
"050US02020","Anchorage Municipality","AK","02020","02020",61,59,51,96.72,83.61,8.24,16.47
"050US02050","Bethel Census Area","AK","02050","02050",3,3,3,100,100,0,0
"050US02060","Bristol Bay Borough","AK","02060","02060",1,1,1,100,100,0,0
"050US02063","Chugach Census Area","AK","02063","02063",2,2,2,100,100,0,0
"050US02066","Copper River Census Area","AK","02066","02066",1,1,1,100,100,0,0
"050US02068","Denali Borough","AK","02068","02068",1,1,1,100,100,0,0
"050US02070","Dillingham Census Area","AK","02070","02070",2,2,2,100,100,0,0
"050US02090","Fairbanks North Star Borough","AK","02090","02090",22,18,15,81.82,68.18,13.4,26.79
"050US02100","Haines Borough","AK","02100","02100",1,1,1,100,100,0,0
"050US02105","Hoonah-Angoon Census Area","AK","02105","02105",1,1,1,100,100,0,0
"050US02110","Juneau City and Borough","AK","02110","02110",6,4,1,66.67,16.67,28.99,57.98
"050US02122","Kenai Peninsula Borough","AK","02122","02122",14,10,8,71.43,57.14,19.4,38.8
"050US02130","Ketchikan Gateway Borough","AK","02130","02130",5,4,4,80,80,17.45,34.9
"050US02150","Kodiak Island Borough","AK","02150","02150",5,5,5,100,100,2.08,4.16
"050US02158","Kusilvak Census Area","AK","02158","02158",1,1,1,100,100,0,0
"050US02164","Lake and Peninsula Borough","AK","02164","02164",1,1,1,100,100,0,0
"050US02170","Matanuska-Susitna Borough","AK","02170","02170",24,21,17,87.5,70.83,15.01,30.01
"050US02180","Nome Census Area","AK","02180","02180",2,2,2,100,100,0,0
"050US02185","North Slope Borough","AK","02185","02185",3,1,1,33.33,33.33,0,0
"050US02188","Northwest Arctic Borough","AK","02188","02188",2,2,2,100,100,0,0
"050US02195","Petersburg Borough","AK","02195","02195",1,0,0,0,0,NA,NA
"050US02198","Prince of Wales-Hyder Census Area","AK","02198","02198",4,2,2,50,50,0,0
"050US02220","Sitka City and Borough","AK","02220","02220",2,0,0,0,0,NA,NA
"050US02230","Skagway Municipality","AK","02230","02230",1,1,1,100,100,0,0
"050US02240","Southeast Fairbanks Census Area","AK","02240","02240",2,1,1,50,50,0,0
