HEROP_ID,GEOID,HospCntDr,HospTmDr,HospTmDr2,HospTmDrP,HospTmDrP2,HospAvTmDr,HospAvTmDr2
050US01001,1001,17,16,11,94.12,64.71,16,11
050US01003,1003,43,42,28,97.67,65.12,42,28
050US01005,1005,9,6,1,66.67,11.11,6,1
050US01007,1007,8,8,4,100,50,8,4
050US01009,1009,16,15,5,93.75,31.25,15,5
050US01011,1011,4,4,2,100,50,4,2
050US01013,1013,9,7,3,77.78,33.33,7,3
050US01015,1015,38,34,21,89.47,55.26,34,21
050US01017,1017,9,8,5,88.89,55.56,8,5
050US01019,1019,8,8,2,100,25,8,2
050US01021,1021,12,12,6,100,50,12,6
050US01023,1023,4,4,1,100,25,4,1
050US01025,1025,9,6,4,66.67,44.44,6,4
050US01027,1027,4,4,1,100,25,4,1
050US01029,1029,4,1,0,25,0,1,0
050US01031,1031,16,15,9,93.75,56.25,15,9
050US01033,1033,15,15,12,100,80,15,12
050US01035,1035,5,3,1,60,20,3,1
050US01037,1037,3,2,0,66.67,0,2,0
050US01039,1039,14,13,8,92.86,57.14,13,8
050US01041,1041,6,3,1,50,16.67,3,1
050US01043,1043,22,21,12,95.45,54.55,21,12
050US01045,1045,14,14,11,100,78.57,14,11
050US01047,1047,17,16,11,94.12,64.71,16,11
050US01049,1049,21,20,9,95.24,42.86,20,9
050US01051,1051,20,19,7,95,35,19,7
050US01053,1053,10,8,5,80,50,8,5
050US01055,1055,33,24,19,72.73,57.58,24,19
050US01057,1057,5,4,1,80,20,4,1
050US01059,1059,11,10,4,90.91,36.36,10,4
050US01061,1061,6,6,2,100,33.33,6,2
050US01063,1063,4,4,3,100,75,4,3
050US01065,1065,7,7,3,100,42.86,7,3
050US01067,1067,6,3,1,50,16.67,3,1
050US01069,1069,26,26,21,100,80.77,26,21
050US01071,1071,16,11,5,68.75,31.25,11,5
050US01073,1073,189,186,158,98.41,83.6,186,158
050US01075,1075,4,3,0,75,0,3,0
050US01077,1077,26,24,15,92.31,57.69,24,15
050US01079,1079,11,11,6,100,54.55,11,6
050US01081,1081,48,48,38,100,79.17,48,38
050US01083,1083,23,23,15,100,65.22,23,15
050US01085,1085,4,2,0,50,0,2,0
050US01087,1087,12,8,0,66.67,0,8,0
050US01089,1089,95,92,74,96.84,77.89,92,74
050US01091,1091,8,7,1,87.5,12.5,7,1
050US01093,1093,11,11,4,100,36.36,11,4
050US01095,1095,26,13,5,50,19.23,13,5
050US01097,1097,135,131,102,97.04,75.56,131,102
050US01099,1099,9,6,1,66.67,11.11,6,1
050US01101,1101,71,69,66,97.18,92.96,69,66
050US01103,1103,31,30,18,96.77,58.06,30,18
050US01105,1105,4,2,0,50,0,2,0
050US01107,1107,6,1,0,16.67,0,1,0
050US01109,1109,11,11,7,100,63.64,11,7
050US01111,1111,6,5,1,83.33,16.67,5,1
