GEOID,HEROP_ID,TtlJlPpr_Q1,TtlJlPpr_Q2,TtlJlPpr_Q3,TtlJlPpr_Q4,TtlJlAdmr_Q1,TtlJlAdmr_Q2,TtlJlAdmr_Q3,TtlJlAdmr_Q4,TtlJlPrtr_Q1,TtlJlPrtr_Q2,TtlJlPrtr_Q3,TtlJlPrtr_Q4,TtlJlPp_Q1,TtlJlPp_Q2,TtlJlPp_Q3,TtlJlPp_Q4,TtlJlAdm_Q1,TtlJlAdm_Q2,TtlJlAdm_Q3,TtlJlAdm_Q4,TtlJlPrt_Q1,TtlJlPrt_Q2,TtlJlPrt_Q3,TtlJlPrt_Q4
2013,050US02013,,,,,,,,,,,,,,,,,,,,,,,,
2016,050US02016,,,,,,,,,,,,,,,,,,,,,,,,
2020,050US02020,,,,,,,,,,,,,,,,,,,,,,,,
2050,050US02050,,,,,,,,,,,,,,,,,,,,,,,,
2060,050US02060,,,,,,,,,,,,,,,,,,,,,,,,
2261,050US02261,,,,,,,,,,,,,,,,,,,,,,,,
2068,050US02068,,,,,,,,,,,,,,,,,,,,,,,,
2070,050US02070,,,,,,,,,,,,,,,,,,,,,,,,
2090,050US02090,,,,,,,,,,,,,,,,,,,,,,,,
2100,050US02100,,,,,,,,,,,,,,,,,,,,,,,,
2105,050US02105,,,,,,,,,,,,,,,,,,,,,,,,
2110,050US02110,,,,,,,,,,,,,,,,,,,,,,,,
2122,050US02122,,,,,,,,,,,,,,,,,,,,,,,,
2130,050US02130,,,,,,,,,,,,,,,,,,,,,,,,
2150,050US02150,,,,,,,,,,,,,,,,,,,,,,,,
2158,050US02158,,,,,,,,,,,,,,,,,,,,,,,,
2164,050US02164,,,,,,,,,,,,,,,,,,,,,,,,
2170,050US02170,,,,,,,,,,,,,,,,,,,,,,,,
2180,050US02180,,,,,,,,,,,,,,,,,,,,,,,,
2185,050US02185,,,,,,,,,,,,,,,,,,,,,,,,
2188,050US02188,,,,,,,,,,,,,,,,,,,,,,,,
2195,050US02195,,,,,,,,,,,,,,,,,,,,,,,,
2198,050US02198,,,,,,,,,,,,,,,,,,,,,,,,
2220,050US02220,,,,,,,,,,,,,,,,,,,,,,,,
2230,050US02230,,,,,,,,,,,,,,,,,,,,,,,,
2240,050US02240,,,,,,,,,,,,,,,,,,,,,,,,
2275,050US02275,,,,,,,,,,,,,,,,,,,,,,,,
2282,050US02282,,,,,,,,,,,,,,,,,,,,,,,,
2290,050US02290,,,,,,,,,,,,,,,,,,,,,,,,
1001,050US01001,368,383.55,349.86,357.63,6696.56,6696.56,6696.56,6696.56,,,,,142,148,135,138,2584,2584,2584,2584,,,,
1003,050US01003,439.17,406.66,423.25,402.68,12577.53,12573.39,12573.39,12573.39,240.59,218.26,,,662,613,638,607,18959.25,18953,18953,18953,362.66,329,,
1005,050US01005,,444.33,,,,5544.47,,,,19.32,,,,69,,,,861,,,,3,,
1007,050US01007,,,,,,,,,,,,,,,,,,,,,,,,
1009,050US01009,,,,,,,,,,,,,,,,,,,,,,,,
1011,050US01011,,,,,,,,,,,,,,,,,,,,,,,,
1013,050US01013,,,,,,,,,,,,,,,,,,,,,,,,
1015,050US01015,,,,,,,,,,,,,,,,,,,,,,,,
1017,050US01017,,,,,,,,,,,,,,,,,,,,,,,,
1019,050US01019,620.23,874.84,678.98,626.75,11519.88,11973.62,11973.62,11973.62,573.94,809.56,,,95,134,104,96,1764.5,1834,1834,1834,87.91,124,,
1021,050US01021,,802.57,,,,10831.29,,,,601.93,,,,232,,,,3131,,,,174,,
1023,050US01023,,,,,,,,,,,,,,,,,,,,,,,,
1025,050US01025,,832.85,,,,10856.03,,,,724.22,,,,115,,,,1499,,,,100,,
1027,050US01027,,,,,,,,,,,,,,,,,,,,,,,,
1029,050US01029,,,,,,,,,,,,,,,,,,,,,,,,
1031,050US01031,,,,,,,,,,,,,,,,,,,,,,,,
1033,050US01033,,,,,,,,,,,,,,,,,,,,,,,,
1035,050US01035,,,,,,,,,,,,,,,,,,,,,,,,
1037,050US01037,,569.38,,,,9972.34,,,,,,,,35,,,,613,,,,,,
1039,050US01039,,,,,,,,,,,,,,,,,,,,,,,,
1041,050US01041,,,,,,,,,,,,,,,,,,,,,,,,
1043,050US01043,,763.99,,,,9456.58,,,,704.14,,,,434,,,,5372,,,,400,,
1045,050US01045,246.14,236.42,197.56,168.41,7850.5,7850.5,7850.5,7850.5,,,,,76,73,61,52,2424,2424,2424,2424,,,,
1047,050US01047,,,,,,,,,,,,,,,,,,,,,,,,
1049,050US01049,323.11,325.32,318.68,314.26,16226.26,16226.26,16226.26,16226.26,,,,,146,147,144,142,7332,7332,7332,7332,,,,
1051,050US01051,,,,,,,,,,,,,,,,,,,,,,,,
1053,050US01053,,1150.73,,,,10116.82,,,,414.09,,,,264,,,,2321,,,,95,,
1055,050US01055,,800.48,,,,17316.9,,,,,,,,515,,,,11141,,,,,,
1057,050US01057,,,,,,,,,,,,,,,,,,,,,,,,
1059,050US01059,479.22,474.17,524.62,524.62,12348.67,12348.67,12348.67,12348.67,,,,,95,94,104,104,2448,2448,2448,2448,,,,
1061,050US01061,,,,,,,,,,,,,,,,,,,,,,,,
1063,050US01063,,,,,,,,,,,,,,,,,,,,,,,,
1065,050US01065,,,,,,,,,,,,,,,,,,,,,,,,
1067,050US01067,,,,,,,,,,,,,,,,,,,,,,,,
1069,050US01069,,720.22,,,,13129.64,,,,590.08,,,,487,,,,8878,,,,399,,
1071,050US01071,506.55,576.32,506.55,521.72,12324.07,12324.07,12324.07,12324.07,,,,,167,190,167,172,4063,4063,4063,4063,,,,
