GEOID,HEROP_ID,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
51036,050US51036,434.65,4676.81,223.34,1431.88,15407,735.75
51041,050US51041,434.65,4676.81,223.34,1431.88,15407,735.75
51149,050US51149,434.65,4676.81,223.34,1431.88,15407,735.75
51181,050US51181,434.65,4676.81,223.34,1431.88,15407,735.75
51570,050US51570,434.65,4676.81,223.34,1431.88,15407,735.75
51670,050US51670,434.65,4676.81,223.34,1431.88,15407,735.75
51730,050US51730,434.65,4676.81,223.34,1431.88,15407,735.75
54017,050US54017,683.39,4171.32,213.48,1559,9516,487
54033,050US54033,683.39,4171.32,213.48,1559,9516,487
54049,050US54049,683.39,4171.32,213.48,1559,9516,487
54061,050US54061,683.39,4171.32,213.48,1559,9516,487
54073,050US54073,683.39,4171.32,213.48,1559,9516,487
54085,050US54085,683.39,4171.32,213.48,1559,9516,487
54095,050US54095,683.39,4171.32,213.48,1559,9516,487
54105,050US54105,683.39,4171.32,213.48,1559,9516,487
54107,050US54107,683.39,4171.32,213.48,1559,9516,487
51021,050US51021,591.93,5343.84,257.99,627.5,5665,273.5
51035,050US51035,591.93,5343.84,257.99,627.5,5665,273.5
51063,050US51063,591.93,5343.84,257.99,627.5,5665,273.5
51071,050US51071,591.93,5343.84,257.99,627.5,5665,273.5
51077,050US51077,591.93,5343.84,257.99,627.5,5665,273.5
51155,050US51155,591.93,5343.84,257.99,627.5,5665,273.5
51197,050US51197,591.93,5343.84,257.99,627.5,5665,273.5
51640,050US51640,591.93,5343.84,257.99,627.5,5665,273.5
51750,050US51750,591.93,5343.84,257.99,627.5,5665,273.5
51067,050US51067,510.9,8587.73,90.43,932.17,15669,165
51121,050US51121,510.9,8587.73,90.43,932.17,15669,165
51161,050US51161,510.9,8587.73,90.43,932.17,15669,165
51775,050US51775,510.9,8587.73,90.43,932.17,15669,165
51015,050US51015,569.48,3061.88,92.35,678.31,3647,110
51091,050US51091,569.48,3061.88,92.35,678.31,3647,110
51660,050US51660,569.48,3061.88,92.35,678.31,3647,110
51790,050US51790,569.48,3061.88,92.35,678.31,3647,110
51820,050US51820,569.48,3061.88,92.35,678.31,3647,110
51095,050US51095,293.19,2499.71,56.71,327,2788,63.25
51199,050US51199,293.19,2499.71,56.71,327,2788,63.25
51735,050US51735,293.19,2499.71,56.71,327,2788,63.25
51830,050US51830,293.19,2499.71,56.71,327,2788,63.25
51007,050US51007,647.55,3537.99,78.02,375.57,2052,45.25
51029,050US51029,647.55,3537.99,78.02,375.57,2052,45.25
51049,050US51049,647.55,3537.99,78.02,375.57,2052,45.25
51111,050US51111,647.55,3537.99,78.02,375.57,2052,45.25
51135,050US51135,647.55,3537.99,78.02,375.57,2052,45.25
