GEOID,HEROP_ID,state_abbr,YEAR,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
02,040US02,AK,2022,605.7277817,314.0122549,475.8699853,2934,1521,2305
01,040US01,AL,2022,482.6973798,8339.133732,384.0701026,15666.15585,270650.2545,12465.16417
05,040US05,AR,2022,496.1403807,11447.91,345.7943634,9580.098646,221050.5561,6677.029812
04,040US04,AZ,2022,264.2625918,3212.998768,104.1921851,12368.27416,150377.8849,4876.503715
06,040US06,CA,2022,231.1315113,2641.14787,161.9932797,59889.72937,684362.034,41974.95022
08,040US08,CO,2022,276.4617836,4192.687907,212.6236815,10869.8,164846.2164,8359.842228
09,040US09,CT,2022,182.3754091,143.9184442,151.5929701,4325,3413,3595
11,040US11,DC,2022,289.5667829,888.0048009,209.6211711,1380,4232,999
10,040US10,DE,2022,340.8463249,326.6837352,220.936399,2166,2076,1404
99,040US99,FED,2022,,,,,,
12,040US12,FL,2022,399.1096079,3883.096645,297.5171991,55580,540760,41432.24217
13,040US13,GA,2022,578.0359894,6593.989463,352.455756,41731.56259,476055.9707,25445.69839
15,040US15,HI,2022,176.5873326,122.4502553,114.5250337,1582,1097,1026
19,040US19,IA,2022,242.8745186,5762.948738,193.3936792,4906.587456,116423.9548,3906.968116
16,040US16,ID,2022,330.7073914,4442.148018,242.8015479,4069.562796,54663.42991,2987.826012
17,040US17,IL,2022,187.043536,2343.694589,171.8227976,15338.83062,192198.7528,14090.62749
18,040US18,IN,2022,455.0698555,5040.202736,328.4447931,19971,221192.17,14413.98696
20,040US20,KS,2022,386.6487128,7212.434956,292.0232228,7213.473045,134558.0715,5448.102053
21,040US21,KY,2022,779.6446907,8037.542952,427.5241914,22553.87347,232513.2575,12367.59082
22,040US22,LA,2022,1073.352535,6449.2233,559.3550749,31491.20808,189214.4718,16410.98007
25,040US25,MA,2022,144.9259714,834.0639739,101.0656258,6711,38622.5,4679.985297
24,040US24,MD,2022,206.5819584,1422.75597,154.9024492,8288,57080.5,6214.635144
23,040US23,ME,2022,166.2967036,2895.382739,124.5823501,1449.939296,25244.81315,1086.232265
26,040US26,MI,2022,204.1003528,3104.494913,146.2132118,13121.36676,199584.2526,9399.871934
27,040US27,MN,2022,137.4044031,4477.976474,106.7615696,5023.617648,163718.4918,3903.290528
29,040US29,MO,2022,286.9178022,5533.0466,234.6039936,11312.53772,218155.8547,9249.919341
28,040US28,MS,2022,690.4190532,6442.579846,315.8822729,12980.10604,121122.6271,5938.690973
30,040US30,MT,2022,432.7337207,5865.909186,236.9022031,3055.156324,41414.08142,1672.560351
37,040US37,NC,2022,264.6156367,4758.912701,235.0109943,18408,331054,16348.55157
38,040US38,ND,2022,260.6835722,7276.702469,155.1617337,1293.642227,36110.636,769.9901033
31,040US31,NE,2022,290.7379964,4740.614205,218.1375886,3609.596539,58856.10013,2708.241423
33,040US33,NH,2022,122.6137027,1860.105855,102.8918225,1114.492346,16907.35776,935.2311051
34,040US34,NJ,2022,192.5392105,1277.410226,158.7954958,11580.80992,76833.41479,9551.199723
35,040US35,NM,2022,410.0742437,7034.35606,402.6843635,5481.060542,94021.34378,5382.287257
32,040US32,NV,2022,294.3664262,5402.085863,193.5655624,6106.540257,112064.5966,4015.457587
36,040US36,NY,2022,119.7634123,806.0766398,100.6249856,15354,103341.25,12900.40088
39,040US39,OH,2022,227.6813447,4277.000432,160.4275765,17055.4456,320387.0229,12017.51425
40,040US40,OK,2022,415.9631206,7314.69735,272.1951734,10702.73525,188207.236,7003.584534
41,040US41,OR,2022,168.1578751,4638.471062,109.7890651,4607.25,127086.5,3008.040329
42,040US42,PA,2022,330.450728,1687.677071,226.8539908,27360.93035,139737.67,18783.24275
44,040US44,RI,2022,143.5597833,66.43974512,105.9706999,1035,479,764
45,040US45,SC,2022,334.2503456,4552.838341,284.3362331,11224.62798,152891.1408,9548.43721
46,040US46,SD,2022,488.8447893,13170.72798,364.4030225,2758.189401,74312.67165,2056.056598
47,040US47,TN,2022,564.9231192,7182.130539,315.1510912,25792,327905.7,14388.46574
48,040US48,TX,2022,380.2649864,4285.268174,304.4912181,75534.75695,851213.5,60483.27082
98,040US98,US,2022,306.2503642,3767.242815,211.9753422,660210.6886,8121374.744,456973.7803
49,040US49,UT,2022,288.7089806,3431.059517,154.6240437,6390.278802,75943.00273,3422.445491
51,040US51,VA,2022,362.8525505,3899.255533,227.0459303,20618.00037,221563.4199,12901.19931
50,040US50,VT,2022,131.6811291,197.5216936,122.2753341,546,819,507
53,040US53,WA,2022,174.0867336,3191.720367,113.6227685,8906.017902,163283.6583,5812.771537
55,040US55,WI,2022,272.7181447,4849.661937,175.9427833,10294,183055,6641.123981
54,040US54,WV,2022,467.5406928,3531.520088,250.5485529,5197,39255,2785
56,040US56,WY,2022,351.2164781,7334.999533,268.1426888,1290.274512,26946.80784,985.08384
