"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"01001020100",5.36,0,0,"140US01001020100"
"01001020200",6.47,0,0.52,"140US01001020200"
"01001020300",8.3,0,0,"140US01001020300"
"01001020400",6.19,1.84,0,"140US01001020400"
"01001020501",0,1.31,0,"140US01001020501"
"01001020502",4.05,0,0,"140US01001020502"
"01001020503",2,0,0,"140US01001020503"
"01001020600",2.28,0,0,"140US01001020600"
"01001020700",0.92,0,0,"140US01001020700"
"01001020801",0,0,0,"140US01001020801"
"01001020803",12.16,0,0,"140US01001020803"
"01001020804",0,0,0.57,"140US01001020804"
"01001020805",6.76,0,0,"140US01001020805"
"01001020901",3,0,0.2,"140US01001020901"
"01001020902",2.01,0,0,"140US01001020902"
"01001021000",2.56,0,0,"140US01001021000"
"01001021100",4.5,0,0,"140US01001021100"
"01003010100",3.46,0,0,"140US01003010100"
"01003010200",3.84,0,0,"140US01003010200"
"01003010300",1.23,0,0.81,"140US01003010300"
"01003010400",1.35,0,0,"140US01003010400"
"01003010500",4.35,0,0,"140US01003010500"
"01003010600",9.93,0,0.78,"140US01003010600"
"01003010704",0.88,0,0,"140US01003010704"
"01003010706",1.11,0,0,"140US01003010706"
"01003010707",9.87,0,0,"140US01003010707"
"01003010708",5.74,0,0,"140US01003010708"
"01003010709",0,0,0.1,"140US01003010709"
"01003010710",0,0,1.05,"140US01003010710"
"01003010711",3,0,0,"140US01003010711"
"01003010800",0.54,0,0.03,"140US01003010800"
"01003010903",1.9,2.03,0.29,"140US01003010903"
"01003010904",1.1,0,0.47,"140US01003010904"
"01003010906",2.34,0,0,"140US01003010906"
"01003010907",1.13,0,0,"140US01003010907"
"01003010908",1.24,0,0.88,"140US01003010908"
"01003011000",1.3,0,6.78,"140US01003011000"
"01003011102",0.36,0,0,"140US01003011102"
"01003011103",0,0,0,"140US01003011103"
"01003011104",4.54,0,0,"140US01003011104"
"01003011201",0.87,0,0.65,"140US01003011201"
"01003011202",2.97,0,1.38,"140US01003011202"
"01003011300",2.09,0,0,"140US01003011300"
"01003011409",0.53,0,0,"140US01003011409"
"01003011410",0.75,0,0.18,"140US01003011410"
"01003011411",0.46,0,0,"140US01003011411"
"01003011412",1.05,0,0,"140US01003011412"
"01003011413",2.17,0,0.85,"140US01003011413"
"01003011414",1.55,0,2.24,"140US01003011414"
"01003011415",0,0,1.06,"140US01003011415"
"01003011416",3.74,0,0,"140US01003011416"
"01003011417",0.64,0,0,"140US01003011417"
"01003011418",4.23,0,0,"140US01003011418"
"01003011419",3.48,0,0.46,"140US01003011419"
"01003011501",1.02,0,0.83,"140US01003011501"
"01003011503",1.96,0,0.69,"140US01003011503"
"01003011504",3.17,1.04,16.22,"140US01003011504"
"01003011601",2.24,0,2.11,"140US01003011601"
"01003011603",2.8,0,16.97,"140US01003011603"
"01003011604",0.8,0,0,"140US01003011604"
"01003990000",NA,NA,NA,"140US01003990000"
"01005950100",2.92,0,2.11,"140US01005950100"
"01005950200",17.24,2.01,0.24,"140US01005950200"
"01005950300",8.18,0,3.35,"140US01005950300"
"01005950400",12.11,0,2.57,"140US01005950400"
"01005950500",2.14,0,1.26,"140US01005950500"
"01005950600",21.3,0,0,"140US01005950600"
"01005950700",13.54,0,0,"140US01005950700"
"01005950800",7.24,0,0.68,"140US01005950800"
"01005950900",17.6,0,1.77,"140US01005950900"
"01007010001",5.74,0,0,"140US01007010001"
"01007010005",5.78,0,0.84,"140US01007010005"
"01007010006",1.71,0,1.41,"140US01007010006"
"01007010007",1.74,0,3.3,"140US01007010007"
"01007010008",7.29,0,0,"140US01007010008"
"01007010009",14.72,1.49,5.3,"140US01007010009"
"01007010010",10.4,0,0,"140US01007010010"
"01007010011",2.94,0,0,"140US01007010011"
"01009050103",0,0,6.2,"140US01009050103"
"01009050104",7.61,0,0,"140US01009050104"
"01009050105",6.44,0,0.34,"140US01009050105"
"01009050106",18.73,0,0,"140US01009050106"
"01009050107",3.08,0,0.1,"140US01009050107"
"01009050200",0.27,0,0,"140US01009050200"
"01009050301",1.61,0,0.85,"140US01009050301"
"01009050302",2.03,0,0,"140US01009050302"
"01009050400",6.57,0,0.42,"140US01009050400"
"01009050501",6.72,0,1.04,"140US01009050501"
"01009050502",5.29,0,4.02,"140US01009050502"
"01009050601",2.76,0,4.37,"140US01009050601"
"01009050603",1.84,0,0,"140US01009050603"
"01009050604",0.41,0,0,"140US01009050604"
"01009050701",3.68,0,0,"140US01009050701"
"01009050702",1.75,0,0,"140US01009050702"
"01011952100",8.32,0,0,"140US01011952100"
"01011952201",18.46,0,0,"140US01011952201"
"01011952202",11.12,0,0,"140US01011952202"
"01011952500",10.31,0,2.33,"140US01011952500"
"01013952700",6.63,0,0.44,"140US01013952700"
"01013952800",0,0,0,"140US01013952800"
"01013952900",8.55,0.81,0,"140US01013952900"
"01013953000",0.99,0,0,"140US01013953000"
"01013953100",10.56,0,0,"140US01013953100"
"01013953200",6.46,0,0,"140US01013953200"
"01013953300",1.41,1.45,2.89,"140US01013953300"
"01013953400",5.86,0.8,1.25,"140US01013953400"
"01013953500",4.6,0,0,"140US01013953500"
"01015000200",9.77,0,0,"140US01015000200"
"01015000300",20.97,0,2.76,"140US01015000300"
"01015000400",9.09,5.91,0,"140US01015000400"
"01015000500",29.54,0,1.74,"140US01015000500"
"01015000600",32.07,7.99,2.16,"140US01015000600"
"01015000700",27.5,0.09,9.21,"140US01015000700"
"01015000800",28.19,0.99,1.58,"140US01015000800"
"01015000900",3.79,0,0.85,"140US01015000900"
"01015001000",0,0,0,"140US01015001000"
"01015001101",0,0,0,"140US01015001101"
"01015001102",7.85,0,0,"140US01015001102"
"01015001103",4.98,0,0,"140US01015001103"
"01015001201",7.69,1.38,0,"140US01015001201"
"01015001202",3.24,0.71,1.1,"140US01015001202"
"01015001300",6.72,0,0,"140US01015001300"
"01015001400",4.72,0,0.92,"140US01015001400"
"01015001501",0.69,0,2.26,"140US01015001501"
"01015001502",0,0,2.48,"140US01015001502"
"01015001600",6.26,7.79,0,"140US01015001600"
"01015001700",8.05,0.03,0,"140US01015001700"
"01015001801",3.42,0,5.72,"140US01015001801"
"01015001802",0.87,0,0,"140US01015001802"
"01015002001",5.7,0,0,"140US01015002001"
"01015002002",0.77,0,0,"140US01015002002"
"01015002101",10.8,0,3.13,"140US01015002101"
"01015002102",2.55,0,0,"140US01015002102"
"01015002104",7.38,0,0.26,"140US01015002104"
"01015002105",11.65,0,0,"140US01015002105"
"01015002200",3.56,0,1.04,"140US01015002200"
"01015002300",5.29,0,0,"140US01015002300"
"01015002400",2.25,0,0,"140US01015002400"
"01015002502",5.67,0,0,"140US01015002502"
"01015002503",2.29,0,1.11,"140US01015002503"
"01015002504",0,2.97,0,"140US01015002504"
"01015002600",0.61,0,0,"140US01015002600"
"01015981901",NA,NA,NA,"140US01015981901"
"01015981902",NA,NA,NA,"140US01015981902"
"01015981903",NA,NA,NA,"140US01015981903"
"01017953800",3.63,2.76,0.36,"140US01017953800"
"01017953900",15.43,0,8.02,"140US01017953900"
"01017954001",1.65,0.6,1.69,"140US01017954001"
"01017954002",22.35,0,0,"140US01017954002"
"01017954200",1.41,0,0,"140US01017954200"
"01017954300",4.03,0.79,1.46,"140US01017954300"
"01017954600",5.15,0.99,0,"140US01017954600"
"01017954700",6.93,0,1.41,"140US01017954700"
"01017954800",8.18,0,0,"140US01017954800"
"01019955701",6.07,0,0,"140US01019955701"
"01019955702",4.3,0,0.43,"140US01019955702"
"01019955801",1.56,0,0,"140US01019955801"
"01019955802",1.32,4.66,0,"140US01019955802"
"01019955900",0.55,0,1.73,"140US01019955900"
"01019956000",3.79,0,2.78,"140US01019956000"
"01019956101",0,0,0,"140US01019956101"
"01019956102",6.17,0,0.89,"140US01019956102"
"01021060101",2.66,0,7.17,"140US01021060101"
"01021060103",0.85,0,0,"140US01021060103"
"01021060104",8.3,0,0,"140US01021060104"
"01021060200",2.23,0,0.42,"140US01021060200"
"01021060300",3.2,0,0.51,"140US01021060300"
"01021060401",2.18,0,0,"140US01021060401"
"01021060403",3.21,0,0,"140US01021060403"
"01021060404",1.05,0,0,"140US01021060404"
"01021060500",3.31,0,0,"140US01021060500"
"01021060600",0.56,0,0,"140US01021060600"
"01021060701",9.88,0,9.97,"140US01021060701"
"01021060702",1.27,0,0,"140US01021060702"
"01023956700",6.72,0,2.64,"140US01023956700"
"01023956800",8.19,0,1.04,"140US01023956800"
"01023956900",6.84,0,0,"140US01023956900"
"01023957000",2.29,0,3.13,"140US01023957000"
"01025957500",7.61,0,0,"140US01025957500"
"01025957601",9.76,0,0,"140US01025957601"
"01025957603",3.78,0,0,"140US01025957603"
"01025957604",10.96,0.15,0,"140US01025957604"
"01025957700",4.58,0,10.2,"140US01025957700"
"01025957800",7.42,0,3.88,"140US01025957800"
"01025957901",14.02,0,0,"140US01025957901"
"01025957902",8.52,0,0.42,"140US01025957902"
"01025958003",23.98,1.33,0.27,"140US01025958003"
"01027958900",4.54,0,2.55,"140US01027958900"
"01027959000",11.67,0,0,"140US01027959000"
"01027959100",3.89,1.41,0,"140US01027959100"
"01027959200",3.7,0,2.75,"140US01027959200"
"01029959500",4.76,0,0,"140US01029959500"
"01029959600",11.87,0,0,"140US01029959600"
"01029959700",1.78,0,0,"140US01029959700"
"01029959800",4.71,1.06,0,"140US01029959800"
"01031010100",10.66,0,0.74,"140US01031010100"
"01031010200",4.3,0,0.27,"140US01031010200"
"01031010300",3.16,0.25,0,"140US01031010300"
"01031010400",3.44,0.3,0.3,"140US01031010400"
