"GEOID","InsuredPop","InsuredPopP","PrivateInsP","PublicInsP","HEROP_ID"
"01001020100",1745,90.7,73.4,32.4,"140US01001020100"
"01001020200",1631,89.6,59.4,43.9,"140US01001020200"
"01001020300",3352,96.6,76.8,36.9,"140US01001020300"
"01001020400",3683,97.2,82.7,36.1,"140US01001020400"
"01001020500",8967,95.8,85.4,24.9,"140US01001020500"
"01001020600",3146,85.1,54,44.6,"140US01001020600"
"01001020700",3375,83.8,51.9,42.7,"140US01001020700"
"01001020801",2663,94.9,79.6,31.2,"140US01001020801"
"01001020802",10815,94.2,76.1,28.8,"140US01001020802"
"01001020900",6030,94.2,78.6,27.8,"140US01001020900"
"01001021000",2412,94.6,64.6,42.3,"140US01001021000"
"01001021100",2583,87.7,53.3,46.9,"140US01001021100"
"01003010100",3911,92.5,77.8,34.8,"140US01003010100"
"01003010200",2694,87.2,66.5,34.3,"140US01003010200"
"01003010300",8643,93.4,74.7,31.7,"140US01003010300"
"01003010400",4186,89.5,65,37.7,"140US01003010400"
"01003010500",4431,91.6,66.7,40.5,"140US01003010500"
"01003010600",2822,79.2,36.5,49.5,"140US01003010600"
"01003010701",7708,93.1,83.2,25.7,"140US01003010701"
"01003010703",17952,90.7,79.4,20.5,"140US01003010703"
"01003010704",5442,92.9,71.4,33.7,"140US01003010704"
"01003010705",9092,94.6,81.1,27.6,"140US01003010705"
"01003010800",6484,95.2,74.6,34.7,"140US01003010800"
"01003010903",4355,86.8,63.5,34.6,"140US01003010903"
"01003010904",5443,87.9,68,36.2,"140US01003010904"
"01003010905",6718,82.2,65.8,28.4,"140US01003010905"
"01003010906",4291,83.8,54.1,45.5,"140US01003010906"
"01003011000",3795,84.1,51.6,47.3,"140US01003011000"
"01003011101",10651,96.4,81.7,29.7,"140US01003011101"
"01003011102",4134,94.3,83.8,29,"140US01003011102"
"01003011201",4680,93.5,72.1,40.9,"140US01003011201"
"01003011202",5475,92.3,77.8,35.9,"140US01003011202"
"01003011300",4649,94.8,74.3,37.7,"140US01003011300"
"01003011401",9993,88.5,64.5,39.1,"140US01003011401"
"01003011403",9474,89.1,66.2,41.9,"140US01003011403"
"01003011405",4384,94.3,79.4,40.9,"140US01003011405"
"01003011406",2662,85.9,69.2,33.2,"140US01003011406"
"01003011407",4343,87.3,65.5,44.9,"140US01003011407"
"01003011408",573,92.4,67.3,45.2,"140US01003011408"
"01003011501",5075,88.8,66.1,39,"140US01003011501"
"01003011502",10148,81.3,57.7,39.1,"140US01003011502"
