"GEOID","CompHhlds","CompHhldsP","BbndInternetP","HEROP_ID"
"01001020100",625,81.7,71.8,"140US01001020100"
"01001020200",519,72.2,65.1,"140US01001020200"
"01001020300",1081,83.4,75.2,"140US01001020300"
"01001020400",1468,89.6,81.3,"140US01001020400"
"01001020500",3917,93.8,90.8,"140US01001020500"
"01001020600",1177,88.4,81.4,"140US01001020600"
"01001020700",1233,86.9,81.1,"140US01001020700"
"01001020801",979,95.8,87.5,"140US01001020801"
"01001020802",3617,88.2,83.4,"140US01001020802"
"01001020900",2001,86.8,68.1,"140US01001020900"
"01001021000",878,86.1,73.1,"140US01001021000"
"01001021100",873,65.9,50.7,"140US01001021100"
"01003010100",1271,81.6,73.8,"140US01003010100"
"01003010200",909,79.7,70.2,"140US01003010200"
"01003010300",2553,85.4,74.8,"140US01003010300"
"01003010400",1465,83.9,70.1,"140US01003010400"
"01003010500",1555,88.7,81.6,"140US01003010500"
"01003010600",852,78.2,61.6,"140US01003010600"
"01003010701",2972,91.7,86.9,"140US01003010701"
"01003010703",6775,98.5,92.2,"140US01003010703"
"01003010704",1812,96.8,90.8,"140US01003010704"
"01003010705",3842,96,88.2,"140US01003010705"
"01003010800",2297,88.4,85.4,"140US01003010800"
"01003010903",1445,80.7,72.2,"140US01003010903"
"01003010904",1864,80.6,68.8,"140US01003010904"
"01003010905",2778,82.1,71.9,"140US01003010905"
"01003010906",1427,82.5,74.8,"140US01003010906"
"01003011000",1302,85.2,72.6,"140US01003011000"
"01003011101",3640,93.3,89.6,"140US01003011101"
"01003011102",1495,91.5,87.9,"140US01003011102"
"01003011201",1723,88.5,80.2,"140US01003011201"
"01003011202",1939,88.4,85,"140US01003011202"
"01003011300",1702,91.8,83.7,"140US01003011300"
"01003011401",3437,84.1,71.2,"140US01003011401"
"01003011403",4646,92.4,70.9,"140US01003011403"
"01003011405",1927,97,83.8,"140US01003011405"
"01003011406",1268,88.2,75,"140US01003011406"
"01003011407",2133,87.6,68.4,"140US01003011407"
"01003011408",236,91.5,80.2,"140US01003011408"
"01003011501",2176,84.7,65.4,"140US01003011501"
"01003011502",4031,80.8,64.2,"140US01003011502"
"01003011601",2093,91.4,80.8,"140US01003011601"
"01003011602",2070,86.1,77.4,"140US01003011602"
"01003990000",0,NA,NA,"140US01003990000"
"01005950100",755,68.5,60.2,"140US01005950100"
"01005950200",703,73.2,48.8,"140US01005950200"
"01005950300",351,57.4,48.4,"140US01005950300"
"01005950400",715,66.1,46.9,"140US01005950400"
"01005950500",1220,87.2,57,"140US01005950500"
"01005950600",617,84.3,71.3,"140US01005950600"
"01005950700",474,77.2,65.5,"140US01005950700"
"01005950800",896,84,69.5,"140US01005950800"
"01005950900",1255,77.6,71,"140US01005950900"
"01007010001",608,73.3,72,"140US01007010001"
"01007010002",1564,78.8,65.9,"140US01007010002"
"01007010003",1478,86.2,74.6,"140US01007010003"
"01007010004",1567,67.8,57.8,"140US01007010004"
"01009050101",2141,77.2,63.4,"140US01009050101"
"01009050102",1925,72.8,64.9,"140US01009050102"
"01009050200",1173,84.3,67.9,"140US01009050200"
"01009050300",1285,66.8,61.5,"140US01009050300"
"01009050400",1316,81.1,66.9,"140US01009050400"
"01009050500",1854,74.9,66.3,"140US01009050500"
"01009050601",1065,81.1,70.5,"140US01009050601"
"01009050602",2833,86.3,79,"140US01009050602"
"01009050700",2610,82.4,71.1,"140US01009050700"
"01011952100",403,62.4,48.9,"140US01011952100"
"01011952200",1389,72,60.9,"140US01011952200"
"01011952500",839,81.2,61.2,"140US01011952500"
"01013952700",574,80.3,74.3,"140US01013952700"
"01013952800",410,80.9,75.5,"140US01013952800"
"01013952900",472,71,60.9,"140US01013952900"
"01013953000",422,77.4,65.1,"140US01013953000"
"01013953100",573,59.5,58.8,"140US01013953100"
"01013953200",871,68.6,57.3,"140US01013953200"
"01013953300",525,83.6,81.2,"140US01013953300"
"01013953400",528,56.9,49.4,"140US01013953400"
"01013953500",328,67.2,48,"140US01013953500"
"01015000200",957,77.1,57.8,"140US01015000200"
"01015000300",867,71.2,47,"140US01015000300"
"01015000400",734,73.3,48.6,"140US01015000400"
"01015000500",240,44.3,28,"140US01015000500"
"01015000600",506,72.6,51.5,"140US01015000600"
"01015000700",870,78.9,62.2,"140US01015000700"
"01015000800",305,73.7,36.5,"140US01015000800"
"01015000900",1439,88,79.3,"140US01015000900"
"01015001000",2154,85.7,81.1,"140US01015001000"
"01015001100",2288,82.6,82.7,"140US01015001100"
"01015001201",879,74.9,58.7,"140US01015001201"
"01015001202",1304,85.8,75.6,"140US01015001202"
"01015001300",617,80.9,64,"140US01015001300"
"01015001400",1003,82.6,72.1,"140US01015001400"
"01015001500",1516,81.4,72.9,"140US01015001500"
"01015001600",1183,85.5,69.9,"140US01015001600"
"01015001700",2319,87,73.4,"140US01015001700"
"01015001800",2254,90.9,77.1,"140US01015001800"
"01015002000",2576,92.5,81.1,"140US01015002000"
"01015002101",835,83.3,54.2,"140US01015002101"
"01015002102",1271,95.8,89.7,"140US01015002102"
"01015002103",2407,88.7,83.4,"140US01015002103"
"01015002200",1097,77.4,67.3,"140US01015002200"
"01015002300",1320,84.3,71.6,"140US01015002300"
"01015002400",1713,93,75.6,"140US01015002400"
"01015002501",2519,91.8,88.2,"140US01015002501"
"01015002502",1414,83.4,73,"140US01015002502"
"01015002600",1537,88.3,76.8,"140US01015002600"
"01015981901",0,NA,NA,"140US01015981901"
"01015981902",0,NA,NA,"140US01015981902"
"01015981903",0,NA,NA,"140US01015981903"
"01017953800",1019,72.1,57.7,"140US01017953800"
"01017953900",1054,83.1,70.5,"140US01017953900"
"01017954000",1624,64.8,51.9,"140US01017954000"
"01017954200",971,77.9,72.2,"140US01017954200"
"01017954300",1833,83.6,77.5,"140US01017954300"
"01017954400",290,62.9,48.8,"140US01017954400"
"01017954500",1125,74.2,65.5,"140US01017954500"
"01017954600",978,78.7,73.3,"140US01017954600"
"01017954700",1346,80.7,74.9,"140US01017954700"
"01019955701",1257,85.2,71.5,"140US01019955701"
"01019955702",1167,77.1,68.7,"140US01019955702"
"01019955800",1712,79.4,66.6,"140US01019955800"
"01019955900",1415,86.7,68.1,"140US01019955900"
"01019956000",1407,78.8,70.9,"140US01019956000"
"01019956100",1537,75.2,66.7,"140US01019956100"
"01021060101",1491,80,60.1,"140US01021060101"
"01021060102",1804,72.2,56.1,"140US01021060102"
"01021060200",863,82.2,70.5,"140US01021060200"
"01021060300",1186,82,64,"140US01021060300"
"01021060401",1509,76.6,66.1,"140US01021060401"
"01021060402",2816,82.8,69.2,"140US01021060402"
"01021060500",913,74.2,60.6,"140US01021060500"
"01021060600",912,73.3,61.3,"140US01021060600"
"01021060700",1578,76.9,49.2,"140US01021060700"
"01023956700",981,69.3,51.3,"140US01023956700"
"01023956800",1283,75.4,62.6,"140US01023956800"
"01023956900",1065,82.2,64.7,"140US01023956900"
"01023957000",633,67.6,51.9,"140US01023957000"
"01025957500",310,54,49.7,"140US01025957500"
"01025957601",275,70.2,54.6,"140US01025957601"
"01025957602",1345,64.5,58.5,"140US01025957602"
"01025957700",333,64.4,39.8,"140US01025957700"
"01025957800",1243,63.7,51.1,"140US01025957800"
