"GEOID","CompHhlds","CompHhldsP","BbndInternetP","HEROP_ID"
"01001",6380,85.3,79,"860US01001"
"01002",9501,96.2,91.2,"860US01002"
"01003",36,100,11.1,"860US01003"
"01005",1611,89.6,81.6,"860US01005"
"01007",5120,93.5,90.7,"860US01007"
"01008",434,85.1,69.8,"860US01008"
"01009",94,89.5,89.5,"860US01009"
"01010",1277,89.2,83.6,"860US01010"
"01011",492,86.5,70.7,"860US01011"
"01012",224,88.9,84.1,"860US01012"
"01013",8068,86.9,81.7,"860US01013"
"01020",10901,86.5,80,"860US01020"
"01022",848,76.5,68.1,"860US01022"
"01026",389,86.6,78.2,"860US01026"
"01027",7354,92.2,87.7,"860US01027"
"01028",5184,87,83.3,"860US01028"
"01029",247,87.3,79.5,"860US01029"
"01030",4025,91.6,86.3,"860US01030"
"01031",392,77.3,67.3,"860US01031"
"01032",225,98.7,77.6,"860US01032"
"01033",2136,85.7,81.7,"860US01033"
"01034",790,93.9,81.9,"860US01034"
"01035",2122,90.1,83.4,"860US01035"
"01036",1882,94.8,89.4,"860US01036"
"01037",241,97.6,70.4,"860US01037"
"01038",1090,82,84.4,"860US01038"
"01039",502,98.2,90.8,"860US01039"
"01040",12704,83.2,70.5,"860US01040"
"01050",960,93.1,87.7,"860US01050"
"01053",556,90.8,88.2,"860US01053"
"01054",748,95.9,88.7,"860US01054"
"01056",6781,85.2,79,"860US01056"
"01057",3074,89.2,85.8,"860US01057"
"01060",5908,91.1,85.7,"860US01060"
"01062",3681,90.6,84.4,"860US01062"
"01063",0,NA,NA,"860US01063"
"01066",9,100,100,"860US01066"
"01068",635,94.8,90.1,"860US01068"
"01069",2975,83.6,79.8,"860US01069"
"01070",233,89.3,77.8,"860US01070"
"01071",487,94.9,74.7,"860US01071"
"01072",585,90,80.3,"860US01072"
"01073",2223,92.7,91.5,"860US01073"
"01074",151,100,100,"860US01074"
"01075",6164,92.2,86.2,"860US01075"
"01077",3217,84.6,80.1,"860US01077"
"01079",228,71.5,68,"860US01079"
"01080",811,84.9,79.8,"860US01080"
"01081",701,90.5,85.2,"860US01081"
"01082",3873,84.8,79.6,"860US01082"
"01083",874,78.5,74.8,"860US01083"
"01084",67,88.2,76.3,"860US01084"
"01085",13882,89.2,84.5,"860US01085"
"01086",0,NA,NA,"860US01086"
"01088",161,76.3,82,"860US01088"
"01089",10344,85.9,80.5,"860US01089"
"01092",498,92.2,82.2,"860US01092"
"01093",105,90.5,86.2,"860US01093"
"01094",131,74.4,73.9,"860US01094"
"01095",4933,92.2,87.3,"860US01095"
"01096",978,90.1,76.7,"860US01096"
"01097",21,100,100,"860US01097"
"01098",502,89.3,79,"860US01098"
"01103",1208,83.4,62.2,"860US01103"
"01104",7237,79.7,60.8,"860US01104"
"01105",3679,74.1,56.3,"860US01105"
"01106",5441,93.4,89.7,"860US01106"
"01107",3056,80.5,70,"860US01107"
"01108",7498,75.9,67.6,"860US01108"
"01109",7125,76.9,67.2,"860US01109"
"01118",5164,90.8,86.8,"860US01118"
"01119",4158,83.7,74.4,"860US01119"
"01128",988,91.7,86.5,"860US01128"
"01129",2400,84.8,79.9,"860US01129"
"01151",2565,76.9,66.4,"860US01151"
"01199",0,NA,NA,"860US01199"
"01201",17043,85.7,79.8,"860US01201"
"01220",3306,86,78.6,"860US01220"
"01222",292,86.6,86.6,"860US01222"
"01223",965,92.5,79.9,"860US01223"
"01224",126,100,100,"860US01224"
"01225",1260,88.5,78.7,"860US01225"
"01226",2790,90.3,84.2,"860US01226"
"01229",19,44.2,44.2,"860US01229"
"01230",3210,90,85.4,"860US01230"
"01235",1063,90.5,80,"860US01235"
"01236",443,95.9,91.8,"860US01236"
"01237",940,93.8,80.3,"860US01237"
"01238",2106,91.9,86.9,"860US01238"
"01240",1889,86.9,71.2,"860US01240"
"01242",159,92.4,92.4,"860US01242"
"01243",131,93.6,78.6,"860US01243"
"01244",22,53.7,53.7,"860US01244"
"01245",404,97.1,84.1,"860US01245"
"01247",5615,83.2,75.8,"860US01247"
"01253",309,88,81.5,"860US01253"
"01254",454,92.8,92.4,"860US01254"
"01255",311,87.6,81.1,"860US01255"
"01256",252,84.8,79.8,"860US01256"
"01257",760,81.8,80.2,"860US01257"
"01258",212,91.4,81,"860US01258"
"01259",239,86.3,77.6,"860US01259"
"01260",141,92.8,92.8,"860US01260"
"01262",457,85.4,80.6,"860US01262"
"01264",69,90.8,69.7,"860US01264"
"01266",562,93.5,87.2,"860US01266"
"01267",2214,92.4,87.3,"860US01267"
"01270",295,88.3,85.9,"860US01270"
"01301",7168,89.7,81.9,"860US01301"
"01330",525,89.3,79.3,"860US01330"
"01331",4653,88.1,79.5,"860US01331"
"01337",903,85.8,82.9,"860US01337"
"01338",50,100,90,"860US01338"
"01339",505,87.1,76.7,"860US01339"
"01340",641,86.3,72.8,"860US01340"
"01341",715,95.2,86.7,"860US01341"
"01342",417,91.2,87.3,"860US01342"
"01343",19,79.2,58.3,"860US01343"
"01344",501,86.2,81.8,"860US01344"
"01346",138,79.8,69.4,"860US01346"
"01347",72,91.1,91.1,"860US01347"
"01349",402,86.8,81.6,"860US01349"
"01350",36,76.6,42.6,"860US01350"
"01351",857,89.4,85.1,"860US01351"
"01354",546,94.8,87,"860US01354"
"01355",360,88.7,70.4,"860US01355"
"01360",1101,89.2,84.4,"860US01360"
"01364",2613,81.7,75.8,"860US01364"
"01366",421,85.1,75.4,"860US01366"
"01367",194,87.4,65.3,"860US01367"
"01368",435,87.5,66.8,"860US01368"
"01370",1600,87,77.3,"860US01370"
"01373",1774,89.9,81.3,"860US01373"
"01375",1556,96.6,83.5,"860US01375"
"01376",1862,80.3,76.2,"860US01376"
"01378",309,91.2,79.6,"860US01378"
"01379",309,80.3,54.8,"860US01379"
"01420",12936,87.3,79.3,"860US01420"
"01430",1918,95.5,90.7,"860US01430"
"01431",1071,96.5,91,"860US01431"
"01432",3101,90.8,85.9,"860US01432"
"01434",195,92,88.2,"860US01434"
"01436",1074,84.3,80.8,"860US01436"
"01438",206,100,100,"860US01438"
"01440",6960,84.7,80.4,"860US01440"
"01450",3817,94.3,91.8,"860US01450"
"01451",1555,98.2,98.2,"860US01451"
"01452",1620,93.5,92.5,"860US01452"
"01453",15095,89.1,84.1,"860US01453"
"01460",3345,94,89.4,"860US01460"
"01462",3792,90.2,86.6,"860US01462"
"01463",3959,91.3,88,"860US01463"
"01464",2142,87.8,84,"860US01464"
"01467",135,100,68.9,"860US01467"
"01468",1634,93.3,93.3,"860US01468"
"01469",2592,94.8,86.5,"860US01469"
"01473",2664,93.7,89.5,"860US01473"
"01474",665,95.8,89.9,"860US01474"
"01475",3334,87.3,83.2,"860US01475"
"01501",5940,88.6,82.9,"860US01501"
"01503",1031,91.6,86.9,"860US01503"
"01504",3191,93.1,87.9,"860US01504"
"01505",1668,94.2,91.5,"860US01505"
"01506",1237,84.3,81.6,"860US01506"
