GEOID,HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
2013,050US02013,361.45,,1782,
2016,050US02016,361.45,,1782,
2020,050US02020,361.45,,1782,
2050,050US02050,361.45,,1782,
2060,050US02060,361.45,,1782,
2261,050US02261,361.45,,1782,
2068,050US02068,361.45,,1782,
2070,050US02070,361.45,,1782,
2090,050US02090,361.45,,1782,
2100,050US02100,361.45,,1782,
2105,050US02105,361.45,,1782,
2110,050US02110,361.45,,1782,
2122,050US02122,361.45,,1782,
2130,050US02130,361.45,,1782,
2150,050US02150,361.45,,1782,
2158,050US02158,361.45,,1782,
2164,050US02164,361.45,,1782,
2170,050US02170,361.45,,1782,
2180,050US02180,361.45,,1782,
2185,050US02185,361.45,,1782,
2188,050US02188,361.45,,1782,
2195,050US02195,361.45,,1782,
2198,050US02198,361.45,,1782,
2220,050US02220,361.45,,1782,
2230,050US02230,361.45,,1782,
2240,050US02240,361.45,,1782,
2275,050US02275,361.45,,1782,
2282,050US02282,361.45,,1782,
2290,050US02290,361.45,,1782,
1001,050US01001,452.88,285.34,173,109
1003,050US01003,511.2,347.22,717,487
1005,050US01005,589.56,75.26,94,12
1007,050US01007,340.82,80.19,51,12
1009,050US01009,386.49,254.05,143,94
1011,050US01011,507.61,101.52,35,7
1013,050US01013,1401.11,598.04,164,70
1015,050US01015,1136.98,920.91,863,699
1017,050US01017,857.39,547.27,188,120
1019,050US01019,882.89,830.95,136,128
1021,050US01021,854.1,710.59,244,203
1023,050US01023,563.31,140.83,44,11
1025,050US01025,692.4,198.81,101,29
1027,050US01027,628.23,605.79,56,54
1029,050US01029,747.81,596.08,69,55
1031,050US01031,362.57,83.21,122,28
1033,050US01033,727.29,369.24,260,132
1035,050US01035,581.23,127.59,41,9
1037,050US01037,915.33,457.67,60,30
1039,050US01039,1765.35,1391.15,401,316
1041,050US01041,628.25,193.31,52,16
1043,050US01043,652.04,540.31,356,295
1045,050US01045,637.23,336.05,201,106
1047,050US01047,734.57,202.21,178,49
1049,050US01049,434.47,361.32,196,163
1051,050US01051,489.03,317.95,283,184
1053,050US01053,1327.13,801.45,308,186
1055,050US01055,1320.12,923.47,862,603
1057,050US01057,1109.67,949.72,111,95
1059,050US01059,764.81,749.81,153,150
1061,050US01061,798.59,670.57,131,110
1063,050US01063,993.31,280.72,46,13
1065,050US01065,331.79,66.36,30,6
1067,050US01067,898.12,338,93,35
1069,050US01069,1471.33,957.7,994,647
1071,050US01071,689.32,683.27,228,226
1073,050US01073,697.27,263.9,3057,1157
1075,050US01075,883.81,883.81,75,75
1077,050US01077,570.57,436.71,341,261
1079,050US01079,866.79,790.59,182,166
1081,050US01081,543.26,292.27,658,354
1083,050US01083,355.71,286.05,240,193
1085,050US01085,991.63,340.87,64,22
1087,050US01087,955.98,339.22,124,44
1089,050US01089,641.93,340.9,1642,872
1091,050US01091,583.04,208.23,70,25
1093,050US01093,1357.49,1352.02,248,247
1095,050US01095,566.04,425.36,342,257
1097,050US01097,952.92,443.3,2543,1183
1099,050US01099,521.84,345.22,65,43
1101,050US01101,1002.11,314.59,1494,469
1103,050US01103,902.13,622.29,706,487
1105,050US01105,474.97,,26,
1107,050US01107,884.25,517.8,111,65
1109,050US01109,974.61,467.64,223,107
1111,050US01111,1082.79,987.04,147,134
1113,050US01113,1308.94,697.41,503,268
1117,050US01117,296.86,232.51,429,336
1115,050US01115,424.74,313.42,248,183
1119,050US01119,484.55,121.14,40,10
1121,050US01121,1053.17,535.03,561,285
1123,050US01123,744.64,348.56,188,88
1125,050US01125,615.45,332.48,957,517
1127,050US01127,1001.44,580.3,409,237
1129,050US01129,415.7,131.81,41,13
1131,050US01131,394.42,,26,
1133,050US01133,1339.07,1017.97,196,149
5001,050US05001,,,,
5003,050US05003,,,,
5005,050US05005,,,,
5007,050US05007,,,,331
5009,050US05009,,,,
5011,050US05011,,,,
5013,050US05013,,,,
5015,050US05015,,,,
5017,050US05017,,,,
5019,050US05019,,,,
5021,050US05021,,,,
5023,050US05023,,,,
5025,050US05025,,,,
5027,050US05027,,,,
5029,050US05029,,,,
5031,050US05031,,,,
5033,050US05033,,,,
5035,050US05035,,,,
5037,050US05037,,,,
5039,050US05039,,,,
5041,050US05041,,,,
5043,050US05043,,,,
5045,050US05045,,,,
5047,050US05047,,,,
5049,050US05049,,,,
5051,050US05051,,,,
5053,050US05053,,,,
5055,050US05055,,,,
5057,050US05057,,,,
5059,050US05059,,,,
5061,050US05061,,,,
5063,050US05063,,,,
5065,050US05065,,,,
5067,050US05067,,,,
5069,050US05069,,,,
5071,050US05071,,,,
5073,050US05073,,,,
5075,050US05075,,,,
5077,050US05077,,,,
5079,050US05079,,,,
5081,050US05081,,,,
5083,050US05083,,,,
5085,050US05085,,,,
5087,050US05087,,,,
5089,050US05089,,,,
5091,050US05091,,,,
5093,050US05093,,,,
5095,050US05095,,,,
5097,050US05097,,,,
5099,050US05099,,,,
5101,050US05101,,,,
5103,050US05103,,,,
5105,050US05105,,,,
5107,050US05107,,,,
5109,050US05109,,,,
5111,050US05111,,,,
5113,050US05113,,,,
5115,050US05115,,,,
5117,050US05117,,,,
5119,050US05119,,,,
5121,050US05121,,,,
5125,050US05125,,,,
5127,050US05127,,,,
5129,050US05129,,,,
5131,050US05131,,,,
5133,050US05133,,,,
5135,050US05135,,,,
5123,050US05123,,,,
5137,050US05137,,,,
5139,050US05139,,,,
5141,050US05141,,,,
5143,050US05143,,,,
5145,050US05145,,,,
5147,050US05147,,,,
5149,050US05149,,,,
4001,050US04001,,,,
4003,050US04003,,,,
4005,050US04005,,,,
4007,050US04007,,,,
4009,050US04009,,,,
4011,050US04011,,,,
4012,050US04012,,,,
4013,050US04013,,,,
4015,050US04015,,,,
4017,050US04017,,,,
4019,050US04019,,,,
4021,050US04021,,,,
4023,050US04023,,,,
4025,050US04025,,,,
4027,050US04027,,,,
6001,050US06001,291.07,50.06,3384,582
6003,050US06003,,,,
6005,050US06005,577.41,235.09,140,57
6007,050US06007,656.4,235.54,928,333
6009,050US06009,319.12,129.17,84,34
6011,050US06011,445.58,241.05,61,33
6013,050US06013,238.38,51.2,1825,392
6015,050US06015,798.74,331.87,142,59
6017,050US06017,328.94,116.34,393,139
6019,050US06019,623.49,223.57,4013,1439
6021,050US06021,478.76,200.41,86,36
6023,050US06023,496.78,180.75,448,163
6025,050US06025,313.78,118.99,356,135
6027,050US06027,371.68,150.44,42,17
6029,050US06029,654.84,245.29,3847,1441
6031,050US06031,1005.02,360.55,1023,367
6033,050US06033,781.99,300.38,315,121
6035,050US06035,397.33,173.3,94,41
6037,050US06037,584.87,138.16,40296,9519
6039,050US06039,677.72,272.52,664,267
6041,050US06041,156.84,30.87,254,50
6043,050US06043,529.64,193.52,52,19
6045,050US06045,651.59,195.29,357,107
6047,050US06047,537.51,163.03,966,293
6049,050US06049,750.2,506.89,37,25
6051,050US06051,152.84,87.34,14,8
6053,050US06053,540.36,143.81,1533,408
6055,050US06055,368.75,150.65,328,134
6057,050US06057,195.49,62.35,116,37
6059,050US06059,297.53,90.25,6376,1934
6061,050US06061,279.7,111.88,700,280
6063,050US06063,377.29,215.59,42,24
6065,050US06065,585.42,163.13,9151,2550
6067,050US06067,616.37,146.59,6446,1533
6069,050US06069,289.67,90.97,121,38
6071,050US06071,513.53,190.77,7435,2762
6073,050US06073,387.51,115.78,8672,2591
6075,050US06075,124.04,23.53,796,151
6077,050US06077,547.12,159.54,2747,801
6079,050US06079,352.73,129.35,649,238
6081,050US06081,225.81,72.42,1163,373
6083,050US06083,416.55,119.69,1232,354
6085,050US06085,294.83,59.33,3931,791
6087,050US06087,305.75,78.06,564,144
6089,050US06089,1112.64,368.79,1243,412
6091,050US06091,,,,
6093,050US06093,912.95,228.24,232,58
6095,050US06095,313.05,79.27,932,236
6097,050US06097,258.46,75.03,813,236
6099,050US06099,476.59,180.02,1697,641
6101,050US06101,553.85,224.7,350,142
6103,050US06103,1042.75,357.52,420,144
6105,050US06105,803.7,253.22,73,23
6107,050US06107,745.85,168.4,2219,501
6109,050US06109,804.27,222.39,264,73
6111,050US06111,316.22,95.14,1755,528
6113,050US06113,417.08,107.23,634,163
6115,050US06115,734.85,265.63,379,137
8001,050US08001,488.6,225.62,1713,791
8003,050US08003,1387.33,928.01,148,99
8005,050US08005,401.45,154.14,1771,680
8007,050US08007,,,,
8009,050US08009,345.68,345.68,7,7
8011,050US08011,603.47,402.31,24,16
8013,050US08013,242.66,76.59,564,178
8014,050US08014,128.03,65.03,63,32
8015,050US08015,298.36,140.89,36,17
8017,050US08017,,,,
8019,050US08019,570.25,300.97,36,19
8021,050US08021,647.47,334.9,29,15
8023,050US08023,740.74,345.68,15,7
8025,050US08025,230.03,125.47,11,6
8027,050US08027,235.94,157.29,6,4
8029,050US08029,249.32,105.27,45,19
8031,050US08031,710.7,295.51,3634,1511
8033,050US08033,,,,
8035,050US08035,149.29,60.73,354,144
8037,050US08037,183.15,101.75,72,40
8041,050US08041,714.68,341.14,3486,1664
8039,050US08039,135.13,52.88,23,9
8043,050US08043,549.33,238.57,175,76
8045,050US08045,260.47,136.44,105,55
8047,050US08047,725.69,628.93,30,26
8049,050US08049,250.74,232.17,27,25
8051,050US08051,153.66,72.79,19,9
