GEOID,HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
02,040US02,310.709036,314.0122549,1505,1521
01,040US01,814.0699987,312.5516092,26421,10144
05,040US05,912.7749654,443.2072711,17625,8558
04,040US04,723.5651926,248.7021657,33865,11640
06,040US06,376.6970529,108.8588412,97608,28207
08,040US08,436.6497913,166.5159706,17168,6547
09,040US09,260.6387061,143.9184442,6181,3413
11,040US11,518.7022372,,2472,
10,040US10,438.7255558,326.6837352,2788,2076
99,040US99,,,159309,45300
12,040US12,608.0569157,202.901063,84678,28256
13,040US13,670.9426523,199.0430421,48439,14370
15,040US15,279.3919681,122.4502553,2503,1097
19,040US19,419.4108053,177.0603624,8473,3577
16,040US16,740.3115485,297.5873645,9110,3662
17,040US17,361.3605418,220.6160128,29634,18092
18,040US18,576.1802798,210.023477,25286,9217
20,040US20,466.8103171,181.5998799,8709,3388
21,040US21,682.5126865,530.6549965,19744,15351
22,040US22,930.3622366,486.3474045,27296,14269
25,040US25,129.5933176,33.3431232,6001,1544
24,040US24,389.7589387,128.8395443,15637,5169
23,040US23,192.1094072,107.1224993,1675,934
26,040US26,503.5713841,126.4761514,32374,8131
27,040US27,236.2091441,135.8831667,8636,4968
29,040US29,606.4502711,292.1035412,23911,11517
28,040US28,1053.279384,373.7700349,19802,7027
30,040US30,664.4353574,292.0626107,4691,2062
37,040US37,425.8891498,205.4479944,29627,14292
38,040US38,366.1460957,279.697733,1817,1388
31,040US31,455.0034675,170.1128206,5649,2112
33,040US33,229.4965818,96.70541484,2086,879
34,040US34,210.4316367,90.56025324,12657,5447
35,040US35,371.8384381,176.866412,4970,2364
32,040US32,496.705422,216.9229813,10304,4500
36,040US36,242.9588879,79.67847182,31148,10215
39,040US39,604.9050265,236.6595968,45313,17728
40,040US40,891.6047837,239.0205056,22941,6150
41,040US41,456.8886605,252.0953809,12518,6907
42,040US42,457.8567666,159.3259421,37910,13192
44,040US44,188.3615321,66.43974512,1358,479
45,040US45,485.9223084,143.6207436,16318,4823
46,040US46,610.3937075,617.8375332,3444,3486
47,040US47,519.868573,213.5546066,23735,9750
48,040US48,702.9450079,322.0545441,139631,63972
98,040US98,564.5974076,218.8314076,1217152,471754
49,040US49,271.483032,162.6910298,6009,3601
51,040US51,478.0192454,157.6678602,27162,8959
50,040US50,196.3158225,197.5216936,814,819
53,040US53,269.2025237,225.2020241,13772,11521
55,040US55,552.9867723,145.3401731,20873,5486
54,040US54,528.3560686,251.2682615,5873,2793
56,040US56,586.3250702,232.4612859,2154,854
