GEOID,HEROP_ID,SmokeP
1001,050US01001,0.154
1003,050US01003,0.147
1005,050US01005,0.219
1007,050US01007,0.218
1009,050US01009,0.195
1011,050US01011,0.249
1013,050US01013,0.204
1015,050US01015,0.18
1017,050US01017,0.209
1019,050US01019,0.176
1021,050US01021,0.155
1023,050US01023,0.208
1025,050US01025,0.205
1027,050US01027,0.215
1029,050US01029,0.208
1031,050US01031,0.146
1033,050US01033,0.188
1035,050US01035,0.198
1037,050US01037,0.203
1039,050US01039,0.189
1041,050US01041,0.2
1043,050US01043,0.186
1045,050US01045,0.185
1047,050US01047,0.197
1049,050US01049,0.225
1051,050US01051,0.158
1053,050US01053,0.217
1055,050US01055,0.188
1057,050US01057,0.218
1059,050US01059,0.203
1061,050US01061,0.18
1063,050US01063,0.239
1065,050US01065,0.186
1067,050US01067,0.215
1069,050US01069,0.188
1071,050US01071,0.207
1073,050US01073,0.15
1075,050US01075,0.19
1077,050US01077,0.163
1079,050US01079,0.205
1081,050US01081,0.159
1083,050US01083,0.155
1085,050US01085,0.219
1087,050US01087,0.192
1089,050US01089,0.138
1091,050US01091,0.199
1093,050US01093,0.188
1095,050US01095,0.171
1097,050US01097,0.191
1099,050US01099,0.208
1101,050US01101,0.181
1103,050US01103,0.175
1105,050US01105,0.235
1107,050US01107,0.196
1109,050US01109,0.164
1111,050US01111,0.204
1113,050US01113,0.203
1115,050US01115,0.152
1117,050US01117,0.112
1119,050US01119,0.207
1121,050US01121,0.185
1123,050US01123,0.176
1125,050US01125,0.176
1127,050US01127,0.218
1129,050US01129,0.212
1131,050US01131,0.25
1133,050US01133,0.178
2013,050US02013,0.172
2016,050US02016,0.163
2020,050US02020,0.136
2050,050US02050,0.338
2060,050US02060,0.18
2063,050US02063,0.149
2066,050US02066,0.175
2068,050US02068,0.151
2070,050US02070,0.274
2090,050US02090,0.139
2100,050US02100,0.157
2105,050US02105,0.206
2110,050US02110,0.148
2122,050US02122,0.163
2130,050US02130,0.153
2150,050US02150,0.168
2158,050US02158,0.383
2164,050US02164,0.235
2170,050US02170,0.195
2180,050US02180,0.329
2185,050US02185,0.223
2188,050US02188,0.292
2195,050US02195,0.163
2198,050US02198,0.221
2220,050US02220,0.158
2230,050US02230,0.175
2240,050US02240,0.199
2275,050US02275,0.193
2282,050US02282,0.206
2290,050US02290,0.294
4001,050US04001,0.271
4003,050US04003,0.153
4005,050US04005,0.138
4007,050US04007,0.185
4009,050US04009,0.157
4011,050US04011,0.134
4012,050US04012,0.186
4013,050US04013,0.118
4015,050US04015,0.176
4017,050US04017,0.224
4019,050US04019,0.14
4021,050US04021,0.151
4023,050US04023,0.136
4025,050US04025,0.152
4027,050US04027,0.144
5001,050US05001,0.228
5003,050US05003,0.212
5005,050US05005,0.21
5007,050US05007,0.138
5009,050US05009,0.2
5011,050US05011,0.223
5013,050US05013,0.225
5015,050US05015,0.181
5017,050US05017,0.234
5019,050US05019,0.215
5021,050US05021,0.236
5023,050US05023,0.212
5025,050US05025,0.239
5027,050US05027,0.198
5029,050US05029,0.241
5031,050US05031,0.198
5033,050US05033,0.189
5035,050US05035,0.226
5037,050US05037,0.218
5039,050US05039,0.221
5041,050US05041,0.264
5043,050US05043,0.208
5045,050US05045,0.161
5047,050US05047,0.244
5049,050US05049,0.262
5051,050US05051,0.171
5053,050US05053,0.204
5055,050US05055,0.225
5057,050US05057,0.208
5059,050US05059,0.218
5061,050US05061,0.193
5063,050US05063,0.241
